tensor_name	producer_op	consumer_ops	dtype	signedness	scale_name	scale_value_or_summary	zero_point_name	zero_point_value_or_summary	per_tensor_or_per_channel	axis	can_feed_smt_vmadot_directly	correction_required	requant_required	recommended_path	caveat
model.22.m.0.1.attn.qkv.conv.weight_DequantizeLinear_Output	DequantizeLinear:model.22.m.0.1.attn.qkv.conv.weight_DequantizeLinear	Conv:/model.22/m.0/m.0.1/attn/qkv/conv/Conv	s8	s8	model.22.m.0.1.attn.qkv.conv.weight_scale	shape=[256] min=0.0004556870844680816 max=0.011241813190281391 first=[0.003770172595977783, 0.0028523672372102737, 0.004672348964959383, 0.0032759844325482845]	model.22.m.0.1.attn.qkv.conv.weight_zero_point	shape=[256] min=0 max=0 first=[0, 0, 0, 0]	per_channel_or_vector	0	yes	none	after_accumulator_if_consumed_by_int8_op	direct_s8_candidate	Stage0 raw audit from chosen model; refine producer tensor semantics in Stage1 converter.
model.22.m.0.1.ffn.0.conv.bias	DequantizeLinear:model.22.m.0.1.ffn.0.conv.bias_DequantizeLinear	Conv:/model.22/m.0/m.0.1/ffn/ffn.0/conv/Conv	INT32	INT32	model.22.m.0.1.ffn.0.conv.bias_quantized_scale	shape=[256] min=0.0001250750501640141 max=0.0007688921177759767 first=[0.00016550613509025425, 0.00023327680537477136, 0.00030032152426429093, 0.00027996260905638337]	model.22.m.0.1.ffn.0.conv.bias_quantized_zero_point	shape=[256] min=0 max=0 first=[0, 0, 0, 0]	per_channel_or_vector	0	no	dtype_or_layout_check	after_accumulator_if_consumed_by_int8_op	subtract_zero_point_or_future_symmetric_requant	Stage0 raw audit from chosen model; refine producer tensor semantics in Stage1 converter.
model.22.m.0.1.ffn.0.conv.weight_DequantizeLinear_Output	DequantizeLinear:model.22.m.0.1.ffn.0.conv.weight_DequantizeLinear	Conv:/model.22/m.0/m.0.1/ffn/ffn.0/conv/Conv	s8	s8	model.22.m.0.1.ffn.0.conv.weight_scale	shape=[256] min=0.001493066898547113 max=0.009178548119962215 first=[0.001975707709789276, 0.0027847110759466887, 0.003585048718377948, 0.0033420168329030275]	model.22.m.0.1.ffn.0.conv.weight_zero_point	shape=[256] min=0 max=0 first=[0, 0, 0, 0]	per_channel_or_vector	0	yes	none	after_accumulator_if_consumed_by_int8_op	direct_s8_candidate	Stage0 raw audit from chosen model; refine producer tensor semantics in Stage1 converter.
model.22.m.0.1.ffn.1.conv.bias	DequantizeLinear:model.22.m.0.1.ffn.1.conv.bias_DequantizeLinear	Conv:/model.22/m.0/m.0.1/ffn/ffn.1/conv/Conv	INT32	INT32	model.22.m.0.1.ffn.1.conv.bias_quantized_scale	shape=[128] min=8.064407302299514e-05 max=0.0006126010557636619 first=[0.00030728286947123706, 0.0003687398275360465, 0.00029946063295938075, 0.0002480115508660674]	model.22.m.0.1.ffn.1.conv.bias_quantized_zero_point	shape=[128] min=0 max=0 first=[0, 0, 0, 0]	per_channel_or_vector	0	no	dtype_or_layout_check	after_accumulator_if_consumed_by_int8_op	subtract_zero_point_or_future_symmetric_requant	Stage0 raw audit from chosen model; refine producer tensor semantics in Stage1 converter.
model.22.m.0.1.ffn.1.conv.weight_DequantizeLinear_Output	DequantizeLinear:model.22.m.0.1.ffn.1.conv.weight_DequantizeLinear	Conv:/model.22/m.0/m.0.1/ffn/ffn.1/conv/Conv	s8	s8	model.22.m.0.1.ffn.1.conv.weight_scale	shape=[128] min=0.0010388846276327968 max=0.007891736924648285 first=[0.003958523273468018, 0.004750232677906752, 0.0038577544037252665, 0.0031949698459357023]	model.22.m.0.1.ffn.1.conv.weight_zero_point	shape=[128] min=0 max=0 first=[0, 0, 0, 0]	per_channel_or_vector	0	yes	none	after_accumulator_if_consumed_by_int8_op	direct_s8_candidate	Stage0 raw audit from chosen model; refine producer tensor semantics in Stage1 converter.
model.23.one2one_cv2.0.0.conv.bias	DequantizeLinear:model.23.one2one_cv2.0.0.conv.bias_DequantizeLinear	Conv:/model.23/one2one_cv2.0/one2one_cv2.0.0/conv/Conv	INT32	INT32	model.23.one2one_cv2.0.0.conv.bias_quantized_scale	shape=[16] min=6.944679626030847e-05 max=0.00048629441880621016 first=[0.00029313520644791424, 0.00016319136193487793, 0.00022660520335193723, 6.944679626030847e-05]	model.23.one2one_cv2.0.0.conv.bias_quantized_zero_point	shape=[16] min=0 max=0 first=[0, 0, 0, 0]	per_channel_or_vector	0	no	dtype_or_layout_check	after_accumulator_if_consumed_by_int8_op	subtract_zero_point_or_future_symmetric_requant	Stage0 raw audit from chosen model; refine producer tensor semantics in Stage1 converter.
model.23.one2one_cv2.0.0.conv.weight_DequantizeLinear_Output	DequantizeLinear:model.23.one2one_cv2.0.0.conv.weight_DequantizeLinear	Conv:/model.23/one2one_cv2.0/one2one_cv2.0.0/conv/Conv	s8	s8	model.23.one2one_cv2.0.0.conv.weight_scale	shape=[16] min=0.003207050496712327 max=0.022457057610154152 first=[0.013536971993744373, 0.0075361705385148525, 0.010464619845151901, 0.003207050496712327]	model.23.one2one_cv2.0.0.conv.weight_zero_point	shape=[16] min=0 max=0 first=[0, 0, 0, 0]	per_channel_or_vector	0	yes	none	after_accumulator_if_consumed_by_int8_op	direct_s8_candidate	Stage0 raw audit from chosen model; refine producer tensor semantics in Stage1 converter.
model.23.one2one_cv2.0.1.conv.bias	DequantizeLinear:model.23.one2one_cv2.0.1.conv.bias_DequantizeLinear	Conv:/model.23/one2one_cv2.0/one2one_cv2.0.1/conv/Conv	INT32	INT32	model.23.one2one_cv2.0.1.conv.bias_quantized_scale	shape=[16] min=6.047308852430433e-05 max=0.0005170554504729807 first=[0.00022581014491152018, 6.315864447969943e-05, 6.047308852430433e-05, 0.0004191877960693091]	model.23.one2one_cv2.0.1.conv.bias_quantized_zero_point	shape=[16] min=0 max=0 first=[0, 0, 0, 0]	per_channel_or_vector	0	no	dtype_or_layout_check	after_accumulator_if_consumed_by_int8_op	subtract_zero_point_or_future_symmetric_requant	Stage0 raw audit from chosen model; refine producer tensor semantics in Stage1 converter.
model.23.one2one_cv2.0.1.conv.weight_DequantizeLinear_Output	DequantizeLinear:model.23.one2one_cv2.0.1.conv.weight_DequantizeLinear	Conv:/model.23/one2one_cv2.0/one2one_cv2.0.1/conv/Conv	s8	s8	model.23.one2one_cv2.0.1.conv.weight_scale	shape=[16] min=0.0008335907477885485 max=0.007127346470952034 first=[0.003112677950412035, 0.0008706097723916173, 0.0008335907477885485, 0.005778290331363678]	model.23.one2one_cv2.0.1.conv.weight_zero_point	shape=[16] min=0 max=0 first=[0, 0, 0, 0]	per_channel_or_vector	0	yes	none	after_accumulator_if_consumed_by_int8_op	direct_s8_candidate	Stage0 raw audit from chosen model; refine producer tensor semantics in Stage1 converter.
model.23.one2one_cv2.0.2.bias	DequantizeLinear:model.23.one2one_cv2.0.2.bias_DequantizeLinear	Conv:/model.23/one2one_cv2.0/one2one_cv2.0.2/Conv	INT32	INT32	model.23.one2one_cv2.0.2.bias_quantized_scale	shape=[4] min=0.00013104798563290387 max=0.00018196769815403968 first=[0.00014674561680294573, 0.00013104798563290387, 0.00018196769815403968, 0.0001559611555421725]	model.23.one2one_cv2.0.2.bias_quantized_zero_point	shape=[4] min=0 max=0 first=[0, 0, 0, 0]	per_channel_or_vector	0	no	dtype_or_layout_check	after_accumulator_if_consumed_by_int8_op	subtract_zero_point_or_future_symmetric_requant	Stage0 raw audit from chosen model; refine producer tensor semantics in Stage1 converter.
