operation_index	name	kernel	stride	m	n	k	input_c	output_c	input_h	input_w	output_h	output_w	macs	current_route	current_mean_us	current_p95_us	packed_weight_bytes	a_panel_bytes_per_worker	output_bytes	n_tail	m_tail	worker_partition	profile_category
56	/model.8/m.0/m/m.1/cv1/conv/Conv	3x3	1x1	400	64	576	64	64	20	20	20	20	14745600	packed_m12_n4_n8_n16	446.87161999999995	476.66134999999997	36864	6912	25600	0	4	spatial_m_tiles	resident_model4_final_to_model9
58	/model.8/m.0/m/m.1/cv2/conv/Conv	3x3	1x1	400	64	576	64	64	20	20	20	20	14745600	packed_m12_n4_n8_n16	443.67322	475.70959999999997	36864	6912	25600	0	4	spatial_m_tiles	resident_model4_final_to_model9
61	/model.8/m.0/cv3/conv/Conv	1x1	1x1	400	128	128	128	128	20	20	20	20	6553600	packed_m12_n4_n8_n16	306.1946	340.31315	16384	1536	51200	0	4	spatial_m_tiles	resident_model4_final_to_model9
63	/model.8/cv2/conv/Conv	1x1	1x1	400	256	384	384	256	20	20	20	20	39321600	packed_m12_n4_n8_n16	860.74868	899.05675	98304	4608	102400	0	4	spatial_m_tiles	resident_model4_final_to_model9
65	/model.9/cv1/conv/Conv	1x1	1x1	400	128	256	256	128	20	20	20	20	13107200	packed_m12_n4_n8_n16	403.22102	437.58549999999997	32768	3072	51200	0	4	spatial_m_tiles	resident_model4_final_to_model9
67	/model.9/cv2/conv/Conv	1x1	1x1	400	256	512	512	256	20	20	20	20	52428800	packed_m12_n4_n8_n16	974.81546	1021.8779	131072	6144	102400	0	4	spatial_m_tiles	resident_model4_final_to_model9
69	/model.10/cv1/conv/Conv	1x1	1x1	400	256	256	256	256	20	20	20	20	26214400	packed_m12_n4_n8_n16	1027.1246	1066.9248499999999	65536	3072	102400	0	4	spatial_m_tiles	dense_conv_outside_resident_region
71	/model.10/m/m.0/attn/qkv/conv/Conv	1x1	1x1	400	256	128	128	256	20	20	20	20	13107200	packed_m12_n4_n8_n16	896.6135	930.75775	32768	1536	102400	0	4	spatial_m_tiles	dense_conv_outside_resident_region
81	/model.10/m/m.0/attn/proj/conv/Conv	1x1	1x1	400	128	128	128	128	20	20	20	20	6553600	packed_m12_n4_n8_n16	448.82419999999996	468.17545	16384	1536	51200	0	4	spatial_m_tiles	dense_conv_outside_resident_region
83	/model.10/m/m.0/ffn/ffn.0/conv/Conv	1x1	1x1	400	256	128	128	256	20	20	20	20	13107200	packed_m12_n4_n8_n16	924.8322000000001	942.2430999999999	32768	1536	102400	0	4	spatial_m_tiles	dense_conv_outside_resident_region
85	/model.10/m/m.0/ffn/ffn.1/conv/Conv	1x1	1x1	400	128	256	256	128	20	20	20	20	13107200	packed_m12_n4_n8_n16	547.2116199999999	574.5798	32768	3072	51200	0	4	spatial_m_tiles	dense_conv_outside_resident_region
88	/model.10/cv2/conv/Conv	1x1	1x1	400	256	256	256	256	20	20	20	20	26214400	packed_m12_n4_n8_n16	1014.8293600000001	1042.4596	65536	3072	102400	0	4	spatial_m_tiles	dense_conv_outside_resident_region
90	/model.13/cv1/conv/Conv	1x1	1x1	1600	128	384	384	128	40	40	40	40	78643200	packed_m12_n4_n8_n16	2627.8686599999996	2661.60685	49152	4608	204800	0	4	spatial_m_tiles	dense_conv_outside_resident_region
92	/model.13/m.0/cv1/conv/Conv	1x1	1x1	1600	32	64	64	32	40	40	40	40	3276800	packed_m12_n4_n8_n16	442.52414	469.25904999999995	2048	768	51200	0	4	spatial_m_tiles	dense_conv_outside_resident_region
93	/model.13/m.0/cv2/conv/Conv	1x1	1x1	1600	32	64	64	32	40	40	40	40	3276800	packed_m12_n4_n8_n16	417.83538	447.61674999999997	2048	768	51200	0	4	spatial_m_tiles	dense_conv_outside_resident_region
95	/model.13/m.0/m/m.0/cv1/conv/Conv	3x3	1x1	1600	32	288	32	32	40	40	40	40	14745600	packed_m12_n4_n8_n16	608.4383	643.99545	9216	3456	51200	0	4	spatial_m_tiles	dense_conv_outside_resident_region
97	/model.13/m.0/m/m.0/cv2/conv/Conv	3x3	1x1	1600	32	288	32	32	40	40	40	40	14745600	packed_m12_n4_n8_n16	640.82964	670.4440000000001	9216	3456	51200	0	4	spatial_m_tiles	dense_conv_outside_resident_region
99	/model.13/m.0/m/m.1/cv1/conv/Conv	3x3	1x1	1600	32	288	32	32	40	40	40	40	14745600	packed_m12_n4_n8_n16	618.04256	655.80955	9216	3456	51200	0	4	spatial_m_tiles	dense_conv_outside_resident_region
101	/model.13/m.0/m/m.1/cv2/conv/Conv	3x3	1x1	1600	32	288	32	32	40	40	40	40	14745600	packed_m12_n4_n8_n16	604.3958	636.44475	9216	3456	51200	0	4	spatial_m_tiles	dense_conv_outside_resident_region
104	/model.13/m.0/cv3/conv/Conv	1x1	1x1	1600	64	64	64	64	40	40	40	40	6553600	packed_m12_n4_n8_n16	838.7684399999999	865.8692500000001	4096	768	102400	0	4	spatial_m_tiles	dense_conv_outside_resident_region
106	/model.13/cv2/conv/Conv	1x1	1x1	1600	128	192	192	128	40	40	40	40	39321600	packed_m12_n4_n8_n16	2033.94894	2089.67695	24576	2304	204800	0	4	spatial_m_tiles	dense_conv_outside_resident_region
108	/model.16/cv1/conv/Conv	1x1	1x1	6400	64	256	256	64	80	80	80	80	104857600	packed_m12_n4_n8_n16	5090.36982	5288.5335	16384	3072	409600	0	4	spatial_m_tiles	dense_conv_outside_resident_region
110	/model.16/m.0/cv1/conv/Conv	1x1	1x1	6400	16	32	32	16	80	80	80	80	3276800	packed_m12_n4_n8_n16	798.80876	832.83785	512	384	102400	0	4	spatial_m_tiles	dense_conv_outside_resident_region
111	/model.16/m.0/cv2/conv/Conv	1x1	1x1	6400	16	32	32	16	80	80	80	80	3276800	packed_m12_n4_n8_n16	787.50594	821.28945	512	384	102400	0	4	spatial_m_tiles	dense_conv_outside_resident_region
113	/model.16/m.0/m/m.0/cv1/conv/Conv	3x3	1x1	6400	16	144	16	16	80	80	80	80	14745600	packed_m12_n4_n8_n16	1123.20604	1158.17995	2304	1728	102400	0	4	spatial_m_tiles	dense_conv_outside_resident_region
115	/model.16/m.0/m/m.0/cv2/conv/Conv	3x3	1x1	6400	16	144	16	16	80	80	80	80	14745600	packed_m12_n4_n8_n16	1105.1875	1139.8654000000001	2304	1728	102400	0	4	spatial_m_tiles	dense_conv_outside_resident_region
117	/model.16/m.0/m/m.1/cv1/conv/Conv	3x3	1x1	6400	16	144	16	16	80	80	80	80	14745600	packed_m12_n4_n8_n16	1247.44042	1117.84405	2304	1728	102400	0	4	spatial_m_tiles	dense_conv_outside_resident_region
119	/model.16/m.0/m/m.1/cv2/conv/Conv	3x3	1x1	6400	16	144	16	16	80	80	80	80	14745600	packed_m12_n4_n8_n16	1090.74556	1105.99535	2304	1728	102400	0	4	spatial_m_tiles	dense_conv_outside_resident_region
122	/model.16/m.0/cv3/conv/Conv	1x1	1x1	6400	32	32	32	32	80	80	80	80	6553600	packed_m12_n4_n8_n16	1491.7483	1517.44555	1024	384	204800	0	4	spatial_m_tiles	dense_conv_outside_resident_region
124	/model.16/cv2/conv/Conv	1x1	1x1	6400	64	96	96	64	80	80	80	80	39321600	packed_m12_n4_n8_n16	3714.25078	3763.86485	6144	1152	409600	0	4	spatial_m_tiles	dense_conv_outside_resident_region
126	/model.17/conv/Conv	3x3	2x2	1600	64	576	64	64	80	80	40	40	58982400	packed_m12_n4_n8_n16	1762.2165	1782.5084	36864	6912	102400	0	4	spatial_m_tiles	dense_conv_outside_resident_region
127	/model.23/one2one_cv2.0/one2one_cv2.0.0/conv/Conv	3x3	1x1	6400	16	576	64	16	80	80	80	80	58982400	packed_m12_n4_n8_n16	2703.19148	2734.5263	9216	6912	102400	0	4	spatial_m_tiles	dense_conv_outside_resident_region
132	/model.23/one2one_cv2.0/one2one_cv2.0.1/conv/Conv	3x3	1x1	6400	16	144	16	16	80	80	80	80	14745600	packed_m12_n4_n8_n16	1143.53388	1171.2465	2304	1728	102400	0	4	spatial_m_tiles	dense_conv_outside_resident_region
133	/model.23/one2one_cv3.0/one2one_cv3.0.0/one2one_cv3.0.0.1/conv/Conv	1x1	1x1	6400	80	64	64	80	80	80	80	80	32768000	packed_m12_n4_n8_n16	4283.58112	4322.58375	5120	768	512000	0	4	spatial_m_tiles	dense_conv_outside_resident_region
134	/model.19/cv1/conv/Conv	1x1	1x1	1600	128	192	192	128	40	40	40	40	39321600	packed_m12_n4_n8_n16	2049.7457999999997	2090.83375	24576	2304	204800	0	4	spatial_m_tiles	dense_conv_outside_resident_region
138	/model.23/one2one_cv2.0/one2one_cv2.0.2/Conv	1x1	1x1	6400	4	16	16	4	80	80	80	80	409600	packed_m12_n4_n8_n16	242.17282	271.39365000000004	256	192	51200	4	4	spatial_m_tiles	dense_conv_outside_resident_region
140	/model.19/m.0/cv1/conv/Conv	1x1	1x1	1600	32	64	64	32	40	40	40	40	3276800	packed_m12_n4_n8_n16	482.56559999999996	534.9455	2048	768	51200	0	4	spatial_m_tiles	dense_conv_outside_resident_region
141	/model.19/m.0/cv2/conv/Conv	1x1	1x1	1600	32	64	64	32	40	40	40	40	3276800	packed_m12_n4_n8_n16	442.54	474.26529999999997	2048	768	51200	0	4	spatial_m_tiles	dense_conv_outside_resident_region
144	/model.23/one2one_cv3.0/one2one_cv3.0.1/one2one_cv3.0.1.1/conv/Conv	1x1	1x1	6400	80	80	80	80	80	80	80	80	40960000	packed_m12_n4_n8_n16	4297.82712	4337.7381	6400	960	512000	0	4	spatial_m_tiles	dense_conv_outside_resident_region
145	/model.19/m.0/m/m.0/cv1/conv/Conv	3x3	1x1	1600	32	288	32	32	40	40	40	40	14745600	packed_m12_n4_n8_n16	664.5783	693.93515	9216	3456	51200	0	4	spatial_m_tiles	dense_conv_outside_resident_region
148	/model.23/one2one_cv3.0/one2one_cv3.0.2/Conv	1x1	1x1	6400	80	80	80	80	80	80	80	80	40960000	packed_m12_n4_n8_n16	4302.90794	4361.440149999999	6400	960	512000	0	4	spatial_m_tiles	dense_conv_outside_resident_region
149	/model.19/m.0/m/m.0/cv2/conv/Conv	3x3	1x1	1600	32	288	32	32	40	40	40	40	14745600	packed_m12_n4_n8_n16	659.64576	677.0098499999999	9216	3456	51200	0	4	spatial_m_tiles	dense_conv_outside_resident_region
151	/model.19/m.0/m/m.1/cv1/conv/Conv	3x3	1x1	1600	32	288	32	32	40	40	40	40	14745600	packed_m12_n4_n8_n16	624.0918800000001	652.06815	9216	3456	51200	0	4	spatial_m_tiles	dense_conv_outside_resident_region
153	/model.19/m.0/m/m.1/cv2/conv/Conv	3x3	1x1	1600	32	288	32	32	40	40	40	40	14745600	packed_m12_n4_n8_n16	622.3335	648.20535	9216	3456	51200	0	4	spatial_m_tiles	dense_conv_outside_resident_region
156	/model.19/m.0/cv3/conv/Conv	1x1	1x1	1600	64	64	64	64	40	40	40	40	6553600	packed_m12_n4_n8_n16	877.42232	911.46125	4096	768	102400	0	4	spatial_m_tiles	dense_conv_outside_resident_region
158	/model.19/cv2/conv/Conv	1x1	1x1	1600	128	192	192	128	40	40	40	40	39321600	packed_m12_n4_n8_n16	2053.3990400000002	2107.7173	24576	2304	204800	0	4	spatial_m_tiles	dense_conv_outside_resident_region
160	/model.20/conv/Conv	3x3	2x2	400	128	1152	128	128	40	40	20	20	58982400	packed_m12_n4_n8_n16	1131.40116	1176.99475	147456	13824	51200	0	4	spatial_m_tiles	dense_conv_outside_resident_region
161	/model.23/one2one_cv2.1/one2one_cv2.1.0/conv/Conv	3x3	1x1	1600	16	1152	128	16	40	40	40	40	29491200	packed_m12_n4_n8_n16	1299.7112	1331.29095	18432	13824	25600	0	4	spatial_m_tiles	dense_conv_outside_resident_region
166	/model.23/one2one_cv2.1/one2one_cv2.1.1/conv/Conv	3x3	1x1	1600	16	144	16	16	40	40	40	40	3686400	packed_m12_n4_n8_n16	297.24272	318.8834999999999	2304	1728	25600	0	4	spatial_m_tiles	dense_conv_outside_resident_region
167	/model.23/one2one_cv3.1/one2one_cv3.1.0/one2one_cv3.1.0.1/conv/Conv	1x1	1x1	1600	80	128	128	80	40	40	40	40	16384000	packed_m12_n4_n8_n16	1174.35616	1214.81015	10240	1536	128000	0	4	spatial_m_tiles	dense_conv_outside_resident_region
168	/model.22/cv1/conv/Conv	1x1	1x1	400	256	384	384	256	20	20	20	20	39321600	packed_m12_n4_n8_n16	1196.66472	1237.7378999999999	98304	4608	102400	0	4	spatial_m_tiles	dense_conv_outside_resident_region
172	/model.23/one2one_cv2.1/one2one_cv2.1.2/Conv	1x1	1x1	1600	4	16	16	4	40	40	40	40	102400	packed_m12_n4_n8_n16	66.73426	71.8673	256	192	12800	4	4	spatial_m_tiles	dense_conv_outside_resident_region
174	/model.22/m.0/m.0.0/cv1/conv/Conv	3x3	1x1	400	64	1152	128	64	20	20	20	20	29491200	packed_m12_n4_n8_n16	685.78948	727.8898	73728	13824	25600	0	4	spatial_m_tiles	dense_conv_outside_resident_region
177	/model.23/one2one_cv3.1/one2one_cv3.1.1/one2one_cv3.1.1.1/conv/Conv	1x1	1x1	1600	80	80	80	80	40	40	40	40	10240000	packed_m12_n4_n8_n16	982.83072	1013.7093	6400	960	128000	0	4	spatial_m_tiles	dense_conv_outside_resident_region
178	/model.22/m.0/m.0.0/cv2/conv/Conv	3x3	1x1	400	128	576	64	128	20	20	20	20	29491200	packed_m12_n4_n8_n16	755.7447599999999	794.2394499999999	73728	6912	51200	0	4	spatial_m_tiles	dense_conv_outside_resident_region
181	/model.23/one2one_cv3.1/one2one_cv3.1.2/Conv	1x1	1x1	1600	80	80	80	80	40	40	40	40	10240000	packed_m12_n4_n8_n16	978.27966	1008.1193499999999	6400	960	128000	0	4	spatial_m_tiles	dense_conv_outside_resident_region
182	/model.22/m.0/m.0.1/attn/qkv/conv/Conv	1x1	1x1	400	256	128	128	256	20	20	20	20	13107200	packed_m12_n4_n8_n16	924.0563000000001	953.7371	32768	1536	102400	0	4	spatial_m_tiles	dense_conv_outside_resident_region
192	/model.22/m.0/m.0.1/attn/proj/conv/Conv	1x1	1x1	400	128	128	128	128	20	20	20	20	6553600	packed_m12_n4_n8_n16	446.24752	467.7782	16384	1536	51200	0	4	spatial_m_tiles	dense_conv_outside_resident_region
194	/model.22/m.0/m.0.1/ffn/ffn.0/conv/Conv	1x1	1x1	400	256	128	128	256	20	20	20	20	13107200	packed_m12_n4_n8_n16	950.74926	995.5652499999999	32768	1536	102400	0	4	spatial_m_tiles	dense_conv_outside_resident_region
196	/model.22/m.0/m.0.1/ffn/ffn.1/conv/Conv	1x1	1x1	400	128	256	256	128	20	20	20	20	13107200	packed_m12_n4_n8_n16	546.01316	565.49025	32768	3072	51200	0	4	spatial_m_tiles	dense_conv_outside_resident_region
199	/model.22/cv2/conv/Conv	1x1	1x1	400	256	384	384	256	20	20	20	20	39321600	packed_m12_n4_n8_n16	1215.48156	1254.7187	98304	4608	102400	0	4	spatial_m_tiles	dense_conv_outside_resident_region
201	/model.23/one2one_cv2.2/one2one_cv2.2.0/conv/Conv	3x3	1x1	400	16	2304	256	16	20	20	20	20	14745600	packed_m12_n4_n8_n16	674.46176	711.0902	36864	27648	6400	0	4	spatial_m_tiles	dense_conv_outside_resident_region
205	/model.23/one2one_cv2.2/one2one_cv2.2.1/conv/Conv	3x3	1x1	400	16	144	16	16	20	20	20	20	921600	packed_m12_n4_n8_n16	85.85126	87.04925	2304	1728	6400	0	4	spatial_m_tiles	dense_conv_outside_resident_region
206	/model.23/one2one_cv3.2/one2one_cv3.2.0/one2one_cv3.2.0.1/conv/Conv	1x1	1x1	400	80	256	256	80	20	20	20	20	8192000	packed_m12_n4_n8_n16	361.88376000000005	369.35515	20480	3072	32000	0	4	spatial_m_tiles	dense_conv_outside_resident_region
209	/model.23/one2one_cv2.2/one2one_cv2.2.2/Conv	1x1	1x1	400	4	16	16	4	20	20	20	20	25600	packed_m12_n4_n8_n16	19.29356	20.06875	256	192	3200	4	4	spatial_m_tiles	dense_conv_outside_resident_region
212	/model.23/one2one_cv3.2/one2one_cv3.2.1/one2one_cv3.2.1.1/conv/Conv	1x1	1x1	400	80	80	80	80	20	20	20	20	2560000	packed_m12_n4_n8_n16	262.92554	294.3562	6400	960	32000	0	4	spatial_m_tiles	dense_conv_outside_resident_region
214	/model.23/one2one_cv3.2/one2one_cv3.2.2/Conv	1x1	1x1	400	80	80	80	80	20	20	20	20	2560000	packed_m12_n4_n8_n16	268.83148	271.29205	6400	960	32000	0	4	spatial_m_tiles	dense_conv_outside_resident_region
