fold	role	shape_class	name	m	n	k	kernel	stride	measured_us
2	training	1x1|1x1|400|128|128|128|128|20|20|0|4	/model.22/m.0/m.0.1/attn/proj/conv/Conv	400	128	128	1x1	1x1	215.968643
2	training	1x1|1x1|400|256|128|128|256|20|20|0|4	/model.22/m.0/m.0.1/ffn/ffn.0/conv/Conv	400	256	128	1x1	1x1	506.756329
2	training	1x1|1x1|400|128|256|256|128|20|20|0|4	/model.22/m.0/m.0.1/ffn/ffn.1/conv/Conv	400	128	256	1x1	1x1	292.802029
2	training	1x1|1x1|400|256|384|384|256|20|20|0|4	/model.22/cv2/conv/Conv	400	256	384	1x1	1x1	797.586443
2	training	3x3|1x1|400|16|2304|256|16|20|20|0|4	/model.23/one2one_cv2.2/one2one_cv2.2.0/conv/Conv	400	16	2304	3x3	1x1	638.271271
2	training	1x1|1x1|400|80|256|256|80|20|20|0|4	/model.23/one2one_cv3.2/one2one_cv3.2.0/one2one_cv3.2.0.1/conv/Conv	400	80	256	1x1	1x1	196.073271
2	training	1x1|1x1|400|4|16|16|4|20|20|4|4	/model.23/one2one_cv2.2/one2one_cv2.2.2/Conv	400	4	16	1x1	1x1	20.867486
2	training	1x1|1x1|400|80|80|80|80|20|20|0|4	/model.23/one2one_cv3.2/one2one_cv3.2.1/one2one_cv3.2.1.1/conv/Conv	400	80	80	1x1	1x1	119.498143
2	training	1x1|1x1|400|80|80|80|80|20|20|0|4	/model.23/one2one_cv3.2/one2one_cv3.2.2/Conv	400	80	80	1x1	1x1	123.888657
3	training	3x3|2x2|102400|16|27|3|16|320|320|0|4	/model.0/conv/Conv	102400	16	27	3x3	2x2	9620.012429
3	training	3x3|2x2|25600|32|144|16|32|160|160|0|4	/model.1/conv/Conv	25600	32	144	3x3	2x2	4358.087471
3	training	1x1|1x1|25600|32|32|32|32|160|160|0|4	/model.2/cv1/conv/Conv	25600	32	32	1x1	1x1	2607.275586
3	training	3x3|1x1|25600|8|144|16|8|160|160|8|4	/model.2/m.0/cv1/conv/Conv	25600	8	144	3x3	1x1	2362.384014
3	training	3x3|1x1|25600|16|72|8|16|160|160|0|4	/model.2/m.0/cv2/conv/Conv	25600	16	72	3x3	1x1	2014.477314
3	training	1x1|1x1|6400|64|64|64|64|80|80|0|4	/model.4/cv1/conv/Conv	6400	64	64	1x1	1x1	1773.214429
3	training	3x3|1x1|6400|16|288|32|16|80|80|0|4	/model.4/m.0/cv1/conv/Conv	6400	16	288	3x3	1x1	1273.9485
3	training	1x1|1x1|6400|128|96|96|128|80|80|0|4	/model.4/cv2/conv/Conv	6400	128	96	1x1	1x1	3540.388914
3	training	1x1|1x1|400|256|256|256|256|20|20|0|4	/model.10/cv1/conv/Conv	400	256	256	1x1	1x1	611.1573
3	training	1x1|1x1|400|256|128|128|256|20|20|0|4	/model.10/m/m.0/attn/qkv/conv/Conv	400	256	128	1x1	1x1	431.8052
3	training	1x1|1x1|400|128|128|128|128|20|20|0|4	/model.10/m/m.0/attn/proj/conv/Conv	400	128	128	1x1	1x1	211.921586
3	training	1x1|1x1|400|256|128|128|256|20|20|0|4	/model.10/m/m.0/ffn/ffn.0/conv/Conv	400	256	128	1x1	1x1	502.646771
3	training	1x1|1x1|400|128|256|256|128|20|20|0|4	/model.10/m/m.0/ffn/ffn.1/conv/Conv	400	128	256	1x1	1x1	416.762729
3	training	1x1|1x1|400|256|256|256|256|20|20|0|4	/model.10/cv2/conv/Conv	400	256	256	1x1	1x1	605.536443
3	training	1x1|1x1|1600|128|384|384|128|40|40|0|4	/model.13/cv1/conv/Conv	1600	128	384	1x1	1x1	2055.464643
3	training	1x1|1x1|1600|32|64|64|32|40|40|0|4	/model.13/m.0/cv1/conv/Conv	1600	32	64	1x1	1x1	238.223671
3	training	1x1|1x1|1600|32|64|64|32|40|40|0|4	/model.13/m.0/cv2/conv/Conv	1600	32	64	1x1	1x1	195.549986
3	training	1x1|1x1|1600|64|64|64|64|40|40|0|4	/model.13/m.0/cv3/conv/Conv	1600	64	64	1x1	1x1	424.390814
3	training	1x1|1x1|1600|128|192|192|128|40|40|0|4	/model.13/cv2/conv/Conv	1600	128	192	1x1	1x1	1186.398971
3	training	1x1|1x1|6400|64|256|256|64|80|80|0|4	/model.16/cv1/conv/Conv	6400	64	256	1x1	1x1	3213.852614
3	training	3x3|1x1|6400|16|144|16|16|80|80|0|4	/model.16/m.0/m/m.0/cv1/conv/Conv	6400	16	144	3x3	1x1	747.105657
3	training	3x3|1x1|6400|16|144|16|16|80|80|0|4	/model.16/m.0/m/m.0/cv2/conv/Conv	6400	16	144	3x3	1x1	693.622429
