arm	run	operation_index	resident_operation_index	kind	scope	wall_us	name
packed	0	-1	10	add_silu	resident_core	208.938	/model.6/m.0/m/m.1/Add
packed	0	40	11	concat	resident_core	6.708	/model.6/m.0/Concat
packed	0	41	12	conv	resident_core	503.618	/model.6/m.0/cv3/conv/Conv
packed	0	42	13	concat	resident_core	53.329	/model.6/Concat
packed	0	43	14	conv	resident_core	1357.45	/model.6/cv2/conv/Conv
packed	0	45	15	conv	resident_core	1814.655	/model.7/conv/Conv
packed	0	47	16	conv	resident_core	721.054	/model.8/cv1/conv/Conv
packed	0	49	17	conv	resident_core	149.319	/model.8/m.0/cv1/conv/Conv
packed	0	50	18	conv	resident_core	155.068	/model.8/m.0/cv2/conv/Conv
packed	0	52	19	conv	resident_core	448.706	/model.8/m.0/m/m.0/cv1/conv/Conv
packed	0	54	20	conv	resident_core	434.374	/model.8/m.0/m/m.0/cv2/conv/Conv
packed	0	-1	21	add_silu	resident_core	79.95	/model.8/m.0/m/m.0/Add
packed	0	56	22	conv	resident_core	444.956	/model.8/m.0/m/m.1/cv1/conv/Conv
packed	0	58	23	conv	resident_core	428.666	/model.8/m.0/m/m.1/cv2/conv/Conv
packed	0	-1	24	add_silu	resident_core	97.448	/model.8/m.0/m/m.1/Add
packed	0	60	25	concat	resident_core	4.792	/model.8/m.0/Concat
packed	0	61	26	conv	resident_core	297.595	/model.8/m.0/cv3/conv/Conv
packed	0	62	27	concat	resident_core	28.831	/model.8/Concat
packed	0	63	28	conv	resident_core	924.367	/model.8/cv2/conv/Conv
packed	0	65	29	conv	resident_core	383.129	/model.9/cv1/conv/Conv
packed	0	-1	30	maxpool	resident_core	480.078	/model.9/m/MaxPool
packed	0	-1	31	maxpool	resident_core	473.454	/model.9/m_1/MaxPool
packed	0	-1	32	maxpool	resident_core	473.454	/model.9/m_2/MaxPool
packed	0	66	33	concat	resident_core	100.116	/model.9/Concat
packed	0	67	34	conv	resident_core	984.945	/model.9/cv2/conv/Conv
packed	0	-1	35	add_silu	resident_core	350.632	/model.9/Add
packed	0	-1	-1	bridge	resident_bridge	130.903	resident_core_bridge_overhead
packed	0	69	-1	conv_dense	full_executor	1018.983	/model.10/cv1/conv/Conv
packed	0	70	-1	split	full_executor	27.955	/model.10/Split
packed	0	71	-1	conv_dense	full_executor	922.826	/model.10/m/m.0/attn/qkv/conv/Conv
packed	0	72	-1	split	full_executor	347.3	/model.10/m/m.0/attn/Split
packed	0	73	-1	split	full_executor	691.974	/model.10/m/m.0/attn/Split
packed	0	74	-1	reshape_split_transpose	full_executor	354.757	/model.10/m/m.0/attn/Transpose
packed	0	75	-1	reshape	full_executor	24.081	/model.10/m/m.0/attn/Reshape_2
packed	0	76	-1	matmul	full_executor	2911.215	/model.10/m/m.0/attn/MatMul
packed	0	77	-1	conv_grouped	full_executor	5686.401	/model.10/m/m.0/attn/pe/conv/Conv
packed	0	78	-1	softmax_transpose	full_executor	4626.172	/model.10/m/m.0/attn/Transpose_1
packed	0	79	-1	matmul	full_executor	3624.895	/model.10/m/m.0/attn/MatMul_1
packed	0	80	-1	lut2	full_executor	1803.823	/model.10/m/m.0/attn/Add_output_0_QuantizeLinear
packed	0	81	-1	conv_dense	full_executor	443.707	/model.10/m/m.0/attn/proj/conv/Conv
packed	0	82	-1	lut2	full_executor	224.228	/model.10/m/m.0/Add_output_0_QuantizeLinear
packed	0	83	-1	conv_dense	full_executor	933.95	/model.10/m/m.0/ffn/ffn.0/conv/Conv
packed	0	84	-1	lut1	full_executor	45.621	/model.10/m/m.0/ffn/ffn.0/act/Mul_output_0_QuantizeLinear
packed	0	85	-1	conv_dense	full_executor	581.068	/model.10/m/m.0/ffn/ffn.1/conv/Conv
packed	0	86	-1	lut2	full_executor	246.184	/model.10/m/m.0/Add_1_output_0@/model.10/Concat_output_0_QuantizeLinear_Output
packed	0	87	-1	concat	full_executor	48.662	/model.10/Concat
packed	0	88	-1	conv_dense	full_executor	1068.437	/model.10/cv2/conv/Conv
packed	0	89	-1	concat	full_executor	533.489	/model.12/Concat
packed	0	90	-1	conv_dense	full_executor	2686.987	/model.13/cv1/conv/Conv
packed	0	91	-1	split	full_executor	53.578	/model.13/Split
packed	0	92	-1	conv_dense	full_executor	452.373	/model.13/m.0/cv1/conv/Conv
packed	0	93	-1	conv_dense	full_executor	433.541	/model.13/m.0/cv2/conv/Conv
packed	0	94	-1	lut1	full_executor	23.789	/model.13/m.0/cv1/act/Mul_output_0_QuantizeLinear
packed	0	95	-1	conv_dense	full_executor	603.566	/model.13/m.0/m/m.0/cv1/conv/Conv
packed	0	96	-1	lut1	full_executor	25.123	/model.13/m.0/m/m.0/cv1/act/Mul_output_0_QuantizeLinear
packed	0	97	-1	conv_dense	full_executor	612.149	/model.13/m.0/m/m.0/cv2/conv/Conv
packed	0	98	-1	lut2	full_executor	226.311	/model.13/m.0/m/m.0/Add_output_0_QuantizeLinear
packed	0	99	-1	conv_dense	full_executor	641.771	/model.13/m.0/m/m.1/cv1/conv/Conv
packed	0	100	-1	lut1	full_executor	20.457	/model.13/m.0/m/m.1/cv1/act/Mul_output_0_QuantizeLinear
packed	0	101	-1	conv_dense	full_executor	609.19	/model.13/m.0/m/m.1/cv2/conv/Conv
packed	0	102	-1	lut2	full_executor	236.726	/model.13/m.0/m/m.1/Add_output_0@/model.13/m.0/Concat_output_0_QuantizeLinear_Output
packed	0	103	-1	concat	full_executor	49.828	/model.13/m.0/Concat
packed	0	104	-1	conv_dense	full_executor	863.832	/model.13/m.0/cv3/conv/Conv
packed	0	105	-1	concat	full_executor	174.4	/model.13/Concat
packed	0	106	-1	conv_dense	full_executor	2043.466	/model.13/cv2/conv/Conv
packed	0	107	-1	concat	full_executor	1307.581	/model.15/Concat
packed	0	108	-1	conv_dense	full_executor	4844.692	/model.16/cv1/conv/Conv
packed	0	109	-1	split	full_executor	97.907	/model.16/Split
packed	0	110	-1	conv_dense	full_executor	788.839	/model.16/m.0/cv1/conv/Conv
packed	0	111	-1	conv_dense	full_executor	816.045	/model.16/m.0/cv2/conv/Conv
packed	0	112	-1	lut1	full_executor	47.287	/model.16/m.0/cv1/act/Mul_output_0_QuantizeLinear
packed	0	113	-1	conv_dense	full_executor	1109.6	/model.16/m.0/m/m.0/cv1/conv/Conv
packed	0	114	-1	lut1	full_executor	42.704	/model.16/m.0/m/m.0/cv1/act/Mul_output_0_QuantizeLinear
packed	0	115	-1	conv_dense	full_executor	1095.768	/model.16/m.0/m/m.0/cv2/conv/Conv
packed	0	116	-1	lut2	full_executor	568.361	/model.16/m.0/m/m.0/Add_output_0_QuantizeLinear
packed	0	117	-1	conv_dense	full_executor	1111.308	/model.16/m.0/m/m.1/cv1/conv/Conv
packed	0	118	-1	lut1	full_executor	35.122	/model.16/m.0/m/m.1/cv1/act/Mul_output_0_QuantizeLinear
packed	0	119	-1	conv_dense	full_executor	1090.976	/model.16/m.0/m/m.1/cv2/conv/Conv
packed	0	120	-1	lut2	full_executor	488.993	/model.16/m.0/m/m.1/Add_output_0@/model.16/m.0/Concat_output_0_QuantizeLinear_Output
packed	0	121	-1	concat	full_executor	99.865	/model.16/m.0/Concat
packed	0	122	-1	conv_dense	full_executor	1495.603	/model.16/m.0/cv3/conv/Conv
packed	0	123	-1	concat	full_executor	348.465	/model.16/Concat
packed	0	124	-1	conv_dense	full_executor	3619.395	/model.16/cv2/conv/Conv
packed	0	125	-1	lut1	full_executor	155.193	/model.16/cv2/act/Mul_output_0_QuantizeLinear
packed	0	126	-1	conv_dense	full_executor	1763.702	/model.17/conv/Conv
packed	0	127	-1	conv_dense	full_executor	2650.324	/model.23/one2one_cv2.0/one2one_cv2.0.0/conv/Conv
packed	0	128	-1	conv_grouped	full_executor	2284.026	/model.23/one2one_cv3.0/one2one_cv3.0.0/one2one_cv3.0.0.0/conv/Conv
packed	0	129	-1	lut1	full_executor	67.41	/model.23/one2one_cv2.0/one2one_cv2.0.0/act/Mul_output_0_QuantizeLinear
packed	0	130	-1	lut1	full_executor	201.731	/model.23/one2one_cv3.0/one2one_cv3.0.0/one2one_cv3.0.0.0/act/Mul_output_0_QuantizeLinear
packed	0	131	-1	concat	full_executor	126.196	/model.18/Concat
packed	0	132	-1	conv_dense	full_executor	1134.014	/model.23/one2one_cv2.0/one2one_cv2.0.1/conv/Conv
packed	0	133	-1	conv_dense	full_executor	4312.285	/model.23/one2one_cv3.0/one2one_cv3.0.0/one2one_cv3.0.0.1/conv/Conv
packed	0	134	-1	conv_dense	full_executor	2071.797	/model.19/cv1/conv/Conv
packed	0	135	-1	lut1	full_executor	59.619	/model.23/one2one_cv2.0/one2one_cv2.0.1/act/Mul_output_0_QuantizeLinear
packed	0	136	-1	lut1	full_executor	280.265	/model.23/one2one_cv3.0/one2one_cv3.0.0/one2one_cv3.0.0.1/act/Mul_output_0_QuantizeLinear
packed	0	137	-1	split	full_executor	48.12	/model.19/Split
packed	0	138	-1	conv_dense	full_executor	240.477	/model.23/one2one_cv2.0/one2one_cv2.0.2/Conv
packed	0	139	-1	conv_grouped	full_executor	2890.967	/model.23/one2one_cv3.0/one2one_cv3.0.1/one2one_cv3.0.1.0/conv/Conv
packed	0	140	-1	conv_dense	full_executor	483.244	/model.19/m.0/cv1/conv/Conv
packed	0	141	-1	conv_dense	full_executor	435.749	/model.19/m.0/cv2/conv/Conv
packed	0	142	-1	lut1	full_executor	369.005	/model.23/one2one_cv3.0/one2one_cv3.0.1/one2one_cv3.0.1.0/act/Mul_output_0_QuantizeLinear
packed	0	143	-1	lut1	full_executor	30.83	/model.19/m.0/cv1/act/Mul_output_0_QuantizeLinear
packed	0	144	-1	conv_dense	full_executor	4266.832	/model.23/one2one_cv3.0/one2one_cv3.0.1/one2one_cv3.0.1.1/conv/Conv
packed	0	145	-1	conv_dense	full_executor	655.061	/model.19/m.0/m/m.0/cv1/conv/Conv
packed	0	146	-1	lut1	full_executor	338.759	/model.23/one2one_cv3.0/one2one_cv3.0.1/one2one_cv3.0.1.1/act/Mul_output_0_QuantizeLinear
packed	0	147	-1	lut1	full_executor	31.372	/model.19/m.0/m/m.0/cv1/act/Mul_output_0_QuantizeLinear
packed	0	148	-1	conv_dense	full_executor	4327.784	/model.23/one2one_cv3.0/one2one_cv3.0.2/Conv
packed	0	149	-1	conv_dense	full_executor	654.102	/model.19/m.0/m/m.0/cv2/conv/Conv
packed	0	150	-1	lut2	full_executor	251.309	/model.19/m.0/m/m.0/Add_output_0_QuantizeLinear
packed	0	151	-1	conv_dense	full_executor	603.024	/model.19/m.0/m/m.1/cv1/conv/Conv
packed	0	152	-1	lut1	full_executor	19.457	/model.19/m.0/m/m.1/cv1/act/Mul_output_0_QuantizeLinear
packed	0	153	-1	conv_dense	full_executor	599.941	/model.19/m.0/m/m.1/cv2/conv/Conv
packed	0	154	-1	lut2	full_executor	261.725	/model.19/m.0/m/m.1/Add_output_0@/model.19/m.0/Concat_output_0_QuantizeLinear_Output
packed	0	155	-1	concat	full_executor	57.245	/model.19/m.0/Concat
packed	0	156	-1	conv_dense	full_executor	889.33	/model.19/m.0/cv3/conv/Conv
packed	0	157	-1	concat	full_executor	208.105	/model.19/Concat
packed	0	158	-1	conv_dense	full_executor	2008.261	/model.19/cv2/conv/Conv
packed	0	159	-1	lut1	full_executor	80.825	/model.19/cv2/act/Mul_output_0_QuantizeLinear
packed	0	160	-1	conv_dense	full_executor	1139.221	/model.20/conv/Conv
packed	0	161	-1	conv_dense	full_executor	1327.579	/model.23/one2one_cv2.1/one2one_cv2.1.0/conv/Conv
packed	0	162	-1	conv_grouped	full_executor	1345.785	/model.23/one2one_cv3.1/one2one_cv3.1.0/one2one_cv3.1.0.0/conv/Conv
packed	0	163	-1	lut1	full_executor	18.665	/model.23/one2one_cv2.1/one2one_cv2.1.0/act/Mul_output_0_QuantizeLinear
packed	0	164	-1	lut1	full_executor	63.036	/model.23/one2one_cv3.1/one2one_cv3.1.0/one2one_cv3.1.0.0/act/Mul_output_0_QuantizeLinear
packed	0	165	-1	concat	full_executor	100.907	/model.21/Concat
packed	0	166	-1	conv_dense	full_executor	292.305	/model.23/one2one_cv2.1/one2one_cv2.1.1/conv/Conv
packed	0	167	-1	conv_dense	full_executor	1130.222	/model.23/one2one_cv3.1/one2one_cv3.1.0/one2one_cv3.1.0.1/conv/Conv
packed	0	168	-1	conv_dense	full_executor	1232.629	/model.22/cv1/conv/Conv
packed	0	169	-1	lut1	full_executor	21.164	/model.23/one2one_cv2.1/one2one_cv2.1.1/act/Mul_output_0_QuantizeLinear
packed	0	170	-1	lut1	full_executor	53.203	/model.23/one2one_cv3.1/one2one_cv3.1.0/one2one_cv3.1.0.1/act/Mul_output_0_QuantizeLinear
packed	0	171	-1	split	full_executor	26.623	/model.22/Split
packed	0	172	-1	conv_dense	full_executor	62.952	/model.23/one2one_cv2.1/one2one_cv2.1.2/Conv
packed	0	173	-1	conv_grouped	full_executor	801.796	/model.23/one2one_cv3.1/one2one_cv3.1.1/one2one_cv3.1.1.0/conv/Conv
packed	0	174	-1	conv_dense	full_executor	681.934	/model.22/m.0/m.0.0/cv1/conv/Conv
packed	0	175	-1	lut1	full_executor	43.787	/model.23/one2one_cv3.1/one2one_cv3.1.1/one2one_cv3.1.1.0/act/Mul_output_0_QuantizeLinear
packed	0	176	-1	lut1	full_executor	13.707	/model.22/m.0/m.0.0/cv1/act/Mul_output_0_QuantizeLinear
packed	0	177	-1	conv_dense	full_executor	958.698	/model.23/one2one_cv3.1/one2one_cv3.1.1/one2one_cv3.1.1.1/conv/Conv
packed	0	178	-1	conv_dense	full_executor	789.173	/model.22/m.0/m.0.0/cv2/conv/Conv
packed	0	179	-1	lut1	full_executor	44.954	/model.23/one2one_cv3.1/one2one_cv3.1.1/one2one_cv3.1.1.1/act/Mul_output_0_QuantizeLinear
packed	0	180	-1	lut2	full_executor	211.104	/model.22/m.0/m.0.0/Add_output_0_QuantizeLinear
packed	0	181	-1	conv_dense	full_executor	986.487	/model.23/one2one_cv3.1/one2one_cv3.1.2/Conv
packed	0	182	-1	conv_dense	full_executor	918.91	/model.22/m.0/m.0.1/attn/qkv/conv/Conv
packed	0	183	-1	split	full_executor	347.716	/model.22/m.0/m.0.1/attn/Split
packed	0	184	-1	split	full_executor	693.182	/model.22/m.0/m.0.1/attn/Split
packed	0	185	-1	reshape_split_transpose	full_executor	353.507	/model.22/m.0/m.0.1/attn/Transpose
packed	0	186	-1	reshape	full_executor	25.83	/model.22/m.0/m.0.1/attn/Reshape_2
packed	0	187	-1	matmul	full_executor	2879.843	/model.22/m.0/m.0.1/attn/MatMul
packed	0	188	-1	conv_grouped	full_executor	5681.568	/model.22/m.0/m.0.1/attn/pe/conv/Conv
packed	0	189	-1	softmax_transpose	full_executor	3952.696	/model.22/m.0/m.0.1/attn/Transpose_1
packed	0	190	-1	matmul	full_executor	3606.564	/model.22/m.0/m.0.1/attn/MatMul_1
packed	0	191	-1	lut2	full_executor	1793.7	/model.22/m.0/m.0.1/attn/Add_output_0_QuantizeLinear
packed	0	192	-1	conv_dense	full_executor	441.831	/model.22/m.0/m.0.1/attn/proj/conv/Conv
packed	0	193	-1	lut2	full_executor	244.476	/model.22/m.0/m.0.1/Add_output_0_QuantizeLinear
packed	0	194	-1	conv_dense	full_executor	916.326	/model.22/m.0/m.0.1/ffn/ffn.0/conv/Conv
packed	0	195	-1	lut1	full_executor	46.204	/model.22/m.0/m.0.1/ffn/ffn.0/act/Mul_output_0_QuantizeLinear
packed	0	196	-1	conv_dense	full_executor	581.151	/model.22/m.0/m.0.1/ffn/ffn.1/conv/Conv
packed	0	197	-1	lut2	full_executor	238.06	/model.22/m.0/m.0.1/Add_1_output_0@/model.22/Concat_output_0_QuantizeLinear_Output
packed	0	198	-1	concat	full_executor	90.325	/model.22/Concat
packed	0	199	-1	conv_dense	full_executor	1166.344	/model.22/cv2/conv/Conv
packed	0	200	-1	lut1	full_executor	40.829	/model.22/cv2/act/Mul_output_0_QuantizeLinear
packed	0	201	-1	conv_dense	full_executor	741.719	/model.23/one2one_cv2.2/one2one_cv2.2.0/conv/Conv
packed	0	202	-1	conv_grouped	full_executor	801.005	/model.23/one2one_cv3.2/one2one_cv3.2.0/one2one_cv3.2.0.0/conv/Conv
packed	0	203	-1	lut1	full_executor	9.791	/model.23/one2one_cv2.2/one2one_cv2.2.0/act/Mul_output_0_QuantizeLinear
packed	0	204	-1	lut1	full_executor	32.913	/model.23/one2one_cv3.2/one2one_cv3.2.0/one2one_cv3.2.0.0/act/Mul_output_0_QuantizeLinear
packed	0	205	-1	conv_dense	full_executor	84.033	/model.23/one2one_cv2.2/one2one_cv2.2.1/conv/Conv
packed	0	206	-1	conv_dense	full_executor	364.214	/model.23/one2one_cv3.2/one2one_cv3.2.0/one2one_cv3.2.0.1/conv/Conv
packed	0	207	-1	lut1	full_executor	8.541	/model.23/one2one_cv2.2/one2one_cv2.2.1/act/Mul_output_0_QuantizeLinear
packed	0	208	-1	lut1	full_executor	14.956	/model.23/one2one_cv3.2/one2one_cv3.2.0/one2one_cv3.2.0.1/act/Mul_output_0_QuantizeLinear
packed	0	209	-1	conv_dense	full_executor	18.957	/model.23/one2one_cv2.2/one2one_cv2.2.2/Conv
packed	0	210	-1	conv_grouped	full_executor	299.845	/model.23/one2one_cv3.2/one2one_cv3.2.1/one2one_cv3.2.1.0/conv/Conv
packed	0	211	-1	lut1	full_executor	17.415	/model.23/one2one_cv3.2/one2one_cv3.2.1/one2one_cv3.2.1.0/act/Mul_output_0_QuantizeLinear
packed	0	212	-1	conv_dense	full_executor	259.725	/model.23/one2one_cv3.2/one2one_cv3.2.1/one2one_cv3.2.1.1/conv/Conv
packed	0	213	-1	lut1	full_executor	17.082	/model.23/one2one_cv3.2/one2one_cv3.2.1/one2one_cv3.2.1.1/act/Mul_output_0_QuantizeLinear
packed	0	214	-1	conv_dense	full_executor	270.64	/model.23/one2one_cv3.2/one2one_cv3.2.2/Conv
packed	0	-1	-1	head_decode	full_executor	7972.386	final_head_decode
packed	1	0	-1	input_quant	full_executor	12067.651	images_QuantizeLinear
packed	1	1	-1	conv_dense	full_executor	9944.734	/model.0/conv/Conv
packed	1	2	-1	lut1	full_executor	802.088	/model.0/act/Mul_output_0_QuantizeLinear
packed	1	3	-1	conv_dense	full_executor	8183.657	/model.1/conv/Conv
packed	1	4	-1	lut1	full_executor	353.507	/model.1/act/Mul_output_0_QuantizeLinear
packed	1	5	-1	conv_dense	full_executor	6017.161	/model.2/cv1/conv/Conv
packed	1	6	-1	split	full_executor	247.851	/model.2/Split
packed	1	7	-1	conv_dense	full_executor	3039.661	/model.2/m.0/cv1/conv/Conv
packed	1	8	-1	lut1	full_executor	81.284	/model.2/m.0/cv1/act/Mul_output_0_QuantizeLinear
packed	1	9	-1	conv_dense	full_executor	3613.729	/model.2/m.0/cv2/conv/Conv
packed	1	10	-1	lut2	full_executor	1643.505	/model.2/m.0/Add_output_0@/model.2/Concat_output_0_QuantizeLinear_Output
packed	1	11	-1	concat	full_executor	584.61	/model.2/Concat
packed	1	12	-1	conv_dense	full_executor	13088.218	/model.2/cv2/conv/Conv
packed	1	13	-1	lut1	full_executor	1068.811	/model.2/cv2/act/Mul_output_0_QuantizeLinear
packed	1	14	-1	conv_dense	full_executor	7048.06	/model.3/conv/Conv
packed	1	15	-1	lut1	full_executor	172.025	/model.3/act/Mul_output_0_QuantizeLinear
packed	1	16	-1	conv_dense	full_executor	3391.584	/model.4/cv1/conv/Conv
packed	1	17	-1	split	full_executor	100.49	/model.4/Split
packed	1	18	-1	conv_dense	full_executor	1654.63	/model.4/m.0/cv1/conv/Conv
packed	1	19	-1	lut1	full_executor	43.079	/model.4/m.0/cv1/act/Mul_output_0_QuantizeLinear
packed	1	20	-1	conv_dense	full_executor	1925.062	/model.4/m.0/cv2/conv/Conv
packed	1	21	-1	lut2	full_executor	898.704	/model.4/m.0/Add_output_0@/model.4/Concat_output_0_QuantizeLinear_Output
packed	1	22	-1	concat	full_executor	355.881	/model.4/Concat
packed	1	23	-1	conv_dense	full_executor	6921.28	/model.4/cv2/conv/Conv
packed	1	-1	0	lut	resident_core	357.674	/model.4/cv2/final_silu
packed	1	25	1	conv	resident_core	3537.487	/model.5/conv/Conv
packed	1	27	2	conv	resident_core	1221.297	/model.6/cv1/conv/Conv
packed	1	29	3	conv	resident_core	249.642	/model.6/m.0/cv1/conv/Conv
packed	1	30	4	conv	resident_core	265.391	/model.6/m.0/cv2/conv/Conv
packed	1	32	5	conv	resident_core	538.322	/model.6/m.0/m/m.0/cv1/conv/Conv
packed	1	34	6	conv	resident_core	591.234	/model.6/m.0/m/m.0/cv2/conv/Conv
packed	1	-1	7	add_silu	resident_core	177.524	/model.6/m.0/m/m.0/Add
packed	1	36	8	conv	resident_core	537.198	/model.6/m.0/m/m.1/cv1/conv/Conv
packed	1	38	9	conv	resident_core	536.906	/model.6/m.0/m/m.1/cv2/conv/Conv
packed	1	-1	10	add_silu	resident_core	211.813	/model.6/m.0/m/m.1/Add
packed	1	40	11	concat	resident_core	6.75	/model.6/m.0/Concat
packed	1	41	12	conv	resident_core	496.868	/model.6/m.0/cv3/conv/Conv
packed	1	42	13	concat	resident_core	54.453	/model.6/Concat
packed	1	43	14	conv	resident_core	1362.158	/model.6/cv2/conv/Conv
packed	1	45	15	conv	resident_core	1848.028	/model.7/conv/Conv
packed	1	47	16	conv	resident_core	723.429	/model.8/cv1/conv/Conv
packed	1	49	17	conv	resident_core	145.61	/model.8/m.0/cv1/conv/Conv
packed	1	50	18	conv	resident_core	154.443	/model.8/m.0/cv2/conv/Conv
packed	1	52	19	conv	resident_core	447.29	/model.8/m.0/m/m.0/cv1/conv/Conv
packed	1	54	20	conv	resident_core	439.874	/model.8/m.0/m/m.0/cv2/conv/Conv
packed	1	-1	21	add_silu	resident_core	79.951	/model.8/m.0/m/m.0/Add
packed	1	56	22	conv	resident_core	492.868	/model.8/m.0/m/m.1/cv1/conv/Conv
packed	1	58	23	conv	resident_core	435.624	/model.8/m.0/m/m.1/cv2/conv/Conv
packed	1	-1	24	add_silu	resident_core	97.824	/model.8/m.0/m/m.1/Add
packed	1	60	25	concat	resident_core	5.041	/model.8/m.0/Concat
packed	1	61	26	conv	resident_core	294.888	/model.8/m.0/cv3/conv/Conv
packed	1	62	27	concat	resident_core	31.163	/model.8/Concat
packed	1	63	28	conv	resident_core	906.453	/model.8/cv2/conv/Conv
packed	1	65	29	conv	resident_core	388.629	/model.9/cv1/conv/Conv
packed	1	-1	30	maxpool	resident_core	476.162	/model.9/m/MaxPool
packed	1	-1	31	maxpool	resident_core	472.245	/model.9/m_1/MaxPool
packed	1	-1	32	maxpool	resident_core	472.787	/model.9/m_2/MaxPool
packed	1	66	33	concat	resident_core	139.694	/model.9/Concat
packed	1	67	34	conv	resident_core	973.863	/model.9/cv2/conv/Conv
packed	1	-1	35	add_silu	resident_core	315.885	/model.9/Add
packed	1	-1	-1	bridge	resident_bridge	124.569	resident_core_bridge_overhead
packed	1	69	-1	conv_dense	full_executor	1013.026	/model.10/cv1/conv/Conv
packed	1	70	-1	split	full_executor	29.205	/model.10/Split
packed	1	71	-1	conv_dense	full_executor	908.286	/model.10/m/m.0/attn/qkv/conv/Conv
packed	1	72	-1	split	full_executor	347.758	/model.10/m/m.0/attn/Split
packed	1	73	-1	split	full_executor	727.137	/model.10/m/m.0/attn/Split
packed	1	74	-1	reshape_split_transpose	full_executor	354.048	/model.10/m/m.0/attn/Transpose
packed	1	75	-1	reshape	full_executor	27.539	/model.10/m/m.0/attn/Reshape_2
packed	1	76	-1	matmul	full_executor	2868.969	/model.10/m/m.0/attn/MatMul
packed	1	77	-1	conv_grouped	full_executor	5696.817	/model.10/m/m.0/attn/pe/conv/Conv
packed	1	78	-1	softmax_transpose	full_executor	4567.261	/model.10/m/m.0/attn/Transpose_1
packed	1	79	-1	matmul	full_executor	3477.743	/model.10/m/m.0/attn/MatMul_1
packed	1	80	-1	lut2	full_executor	1807.114	/model.10/m/m.0/attn/Add_output_0_QuantizeLinear
packed	1	81	-1	conv_dense	full_executor	437.665	/model.10/m/m.0/attn/proj/conv/Conv
packed	1	82	-1	lut2	full_executor	229.519	/model.10/m/m.0/Add_output_0_QuantizeLinear
packed	1	83	-1	conv_dense	full_executor	965.031	/model.10/m/m.0/ffn/ffn.0/conv/Conv
packed	1	84	-1	lut1	full_executor	49.911	/model.10/m/m.0/ffn/ffn.0/act/Mul_output_0_QuantizeLinear
packed	1	85	-1	conv_dense	full_executor	544.322	/model.10/m/m.0/ffn/ffn.1/conv/Conv
packed	1	86	-1	lut2	full_executor	236.81	/model.10/m/m.0/Add_1_output_0@/model.10/Concat_output_0_QuantizeLinear_Output
