timestamp_utc	elapsed_s	top_mC	gpu_mC	cluster0_mC	cluster1_mC	cpu0_khz	cpu1_khz	cpu2_khz	cpu3_khz	cpu4_khz
2026-07-14T19:21:19Z	1360	69000	70000	78000	76000	1600000	1600000	1600000	1600000	1600000
2026-07-14T19:21:24Z	1365	70000	70000	78000	75000	1600000	1600000	1600000	1600000	1600000
2026-07-14T19:21:29Z	1370	69000	70000	80000	75000	1600000	1600000	1600000	1600000	1600000
2026-07-14T19:21:35Z	1376	70000	69000	78000	75000	1600000	1600000	1600000	1600000	1600000
2026-07-14T19:21:40Z	1381	71000	70000	78000	76000	1600000	1600000	1600000	1600000	1600000
2026-07-14T19:21:45Z	1386	70000	69000	78000	76000	1600000	1600000	1600000	1600000	1600000
2026-07-14T19:21:50Z	1391	71000	69000	77000	76000	1600000	1600000	1600000	1600000	1600000
2026-07-14T19:21:55Z	1396	69000	69000	78000	77000	1600000	1600000	1600000	1600000	1600000
2026-07-14T19:22:00Z	1401	72000	69000	78000	76000	1600000	1600000	1600000	1600000	1600000
2026-07-14T19:22:05Z	1406	70000	69000	78000	76000	1600000	1600000	1600000	1600000	1600000
