operation_index	kind	scope	name	mean_us	p95_us	samples	implementation	confidence
56	conv	resident_core	/model.8/m.0/m/m.1/cv1/conv/Conv	444.683257	448.587000	70	stage54-selected-explicit-or-measured	70 complete profiled observations
58	conv	resident_core	/model.8/m.0/m/m.1/cv2/conv/Conv	441.059329	476.087300	70	stage54-selected-explicit-or-measured	70 complete profiled observations
60	concat	resident_core	/model.8/m.0/Concat	5.119086	5.708550	70	stage54-selected-explicit-or-measured	70 complete profiled observations
61	conv	resident_core	/model.8/m.0/cv3/conv/Conv	303.359900	333.917250	70	stage54-selected-explicit-or-measured	70 complete profiled observations
62	concat	resident_core	/model.8/Concat	29.747871	32.545800	70	stage54-selected-explicit-or-measured	70 complete profiled observations
63	conv	resident_core	/model.8/cv2/conv/Conv	911.642871	962.188100	70	stage54-selected-explicit-or-measured	70 complete profiled observations
65	conv	resident_core	/model.9/cv1/conv/Conv	396.133957	429.970850	70	stage54-selected-explicit-or-measured	70 complete profiled observations
66	concat	resident_core	/model.9/Concat	105.075371	112.085900	70	stage54-selected-explicit-or-measured	70 complete profiled observations
67	conv	resident_core	/model.9/cv2/conv/Conv	999.703857	1051.686900	70	stage54-selected-explicit-or-measured	70 complete profiled observations
69	conv_dense	full_executor	/model.10/cv1/conv/Conv	611.157300	653.164550	70	stage54-selected-explicit-or-measured	70 complete profiled observations
70	split	full_executor	/model.10/Split	30.230043	31.752900	70	stage54-selected-explicit-or-measured	70 complete profiled observations
71	conv_dense	full_executor	/model.10/m/m.0/attn/qkv/conv/Conv	431.805200	467.179850	70	stage54-selected-explicit-or-measured	70 complete profiled observations
72	split	full_executor	/model.10/m/m.0/attn/Split	228.248486	228.722500	70	stage54-selected-explicit-or-measured	70 complete profiled observations
73	split	full_executor	/model.10/m/m.0/attn/Split	456.571414	490.238000	70	stage54-selected-explicit-or-measured	70 complete profiled observations
74	reshape_split_transpose	full_executor	/model.10/m/m.0/attn/Transpose	227.527086	244.206200	70	stage54-selected-explicit-or-measured	70 complete profiled observations
75	reshape	full_executor	/model.10/m/m.0/attn/Reshape_2	23.838300	28.273550	70	stage54-selected-explicit-or-measured	70 complete profiled observations
76	matmul	full_executor	/model.10/m/m.0/attn/MatMul	3092.664000	3166.431450	70	stage54-selected-explicit-or-measured	70 complete profiled observations
77	conv_grouped	full_executor	/model.10/m/m.0/attn/pe/conv/Conv	5232.884100	5279.399750	70	stage54-selected-explicit-or-measured	70 complete profiled observations
78	softmax_transpose	full_executor	/model.10/m/m.0/attn/Transpose_1	4566.353043	4628.400700	70	stage54-selected-explicit-or-measured	70 complete profiled observations
79	matmul	full_executor	/model.10/m/m.0/attn/MatMul_1	3550.771771	3848.303900	70	stage54-selected-explicit-or-measured	70 complete profiled observations
80	lut2	full_executor	/model.10/m/m.0/attn/Add_output_0_QuantizeLinear	1501.517229	1553.470400	70	stage54-selected-explicit-or-measured	70 complete profiled observations
81	conv_dense	full_executor	/model.10/m/m.0/attn/proj/conv/Conv	211.921586	217.148350	70	stage54-selected-explicit-or-measured	70 complete profiled observations
82	lut2	full_executor	/model.10/m/m.0/Add_output_0_QuantizeLinear	209.988900	234.018300	70	stage54-selected-explicit-or-measured	70 complete profiled observations
83	conv_dense	full_executor	/model.10/m/m.0/ffn/ffn.0/conv/Conv	502.646771	530.573300	70	stage54-selected-explicit-or-measured	70 complete profiled observations
84	lut1	fused_into_dense_conv	/model.10/m/m.0/ffn/ffn.0/act/Mul_output_0_QuantizeLinear	0.000000	0.000000	70	stage54-selected-explicit-or-measured	70 complete profiled observations
85	conv_dense	full_executor	/model.10/m/m.0/ffn/ffn.1/conv/Conv	416.762729	320.153000	70	stage54-selected-explicit-or-measured	70 complete profiled observations
86	lut2	full_executor	/model.10/m/m.0/Add_1_output_0@/model.10/Concat_output_0_QuantizeLinear_Output	218.826457	246.933550	70	stage54-selected-explicit-or-measured	70 complete profiled observations
87	concat	full_executor	/model.10/Concat	66.725600	69.239950	70	stage54-selected-explicit-or-measured	70 complete profiled observations
88	conv_dense	full_executor	/model.10/cv2/conv/Conv	605.536443	664.686950	70	stage54-selected-explicit-or-measured	70 complete profiled observations
89	concat	full_executor	/model.12/Concat	476.259057	531.975500	70	stage54-selected-explicit-or-measured	70 complete profiled observations
90	conv_dense	full_executor	/model.13/cv1/conv/Conv	2055.464643	2098.998500	70	stage54-selected-explicit-or-measured	70 complete profiled observations
91	split	full_executor	/model.13/Split	52.182557	52.554500	70	stage54-selected-explicit-or-measured	70 complete profiled observations
92	conv_dense	full_executor	/model.13/m.0/cv1/conv/Conv	238.223671	276.394000	70	stage54-selected-explicit-or-measured	70 complete profiled observations
93	conv_dense	full_executor	/model.13/m.0/cv2/conv/Conv	195.549986	200.993300	70	stage54-selected-explicit-or-measured	70 complete profiled observations
94	lut1	full_executor	/model.13/m.0/cv1/act/Mul_output_0_QuantizeLinear	24.058571	26.275000	70	stage54-selected-explicit-or-measured	70 complete profiled observations
95	conv_dense	full_executor	/model.13/m.0/m/m.0/cv1/conv/Conv	478.355614	494.348900	70	stage54-selected-explicit-or-measured	70 complete profiled observations
96	lut1	fused_into_dense_conv	/model.13/m.0/m/m.0/cv1/act/Mul_output_0_QuantizeLinear	0.000000	0.000000	70	stage54-selected-explicit-or-measured	70 complete profiled observations
97	conv_dense	full_executor	/model.13/m.0/m/m.0/cv2/conv/Conv	400.820271	436.841350	70	stage54-selected-explicit-or-measured	70 complete profiled observations
98	lut2	full_executor	/model.13/m.0/m/m.0/Add_output_0_QuantizeLinear	204.650671	207.407950	70	stage54-selected-explicit-or-measured	70 complete profiled observations
99	conv_dense	full_executor	/model.13/m.0/m/m.1/cv1/conv/Conv	409.391200	427.986700	70	stage54-selected-explicit-or-measured	70 complete profiled observations
100	lut1	fused_into_dense_conv	/model.13/m.0/m/m.1/cv1/act/Mul_output_0_QuantizeLinear	0.000000	0.000000	70	stage54-selected-explicit-or-measured	70 complete profiled observations
101	conv_dense	full_executor	/model.13/m.0/m/m.1/cv2/conv/Conv	405.010243	404.243100	70	stage54-selected-explicit-or-measured	70 complete profiled observations
102	lut2	full_executor	/model.13/m.0/m/m.1/Add_output_0@/model.13/m.0/Concat_output_0_QuantizeLinear_Output	209.569214	211.106200	70	stage54-selected-explicit-or-measured	70 complete profiled observations
103	concat	full_executor	/model.13/m.0/Concat	51.185700	56.188350	70	stage54-selected-explicit-or-measured	70 complete profiled observations
104	conv_dense	full_executor	/model.13/m.0/cv3/conv/Conv	424.390814	459.091650	70	stage54-selected-explicit-or-measured	70 complete profiled observations
105	concat	full_executor	/model.13/Concat	166.977700	210.183400	70	stage54-selected-explicit-or-measured	70 complete profiled observations
106	conv_dense	full_executor	/model.13/cv2/conv/Conv	1186.398971	1285.672050	70	stage54-selected-explicit-or-measured	70 complete profiled observations
107	concat	full_executor	/model.15/Concat	1157.781957	1301.903700	70	stage54-selected-explicit-or-measured	70 complete profiled observations
108	conv_dense	full_executor	/model.16/cv1/conv/Conv	3213.852614	3247.990200	70	stage54-selected-explicit-or-measured	70 complete profiled observations
109	split	full_executor	/model.16/Split	97.310443	100.137950	70	stage54-selected-explicit-or-measured	70 complete profiled observations
110	conv_dense	full_executor	/model.16/m.0/cv1/conv/Conv	308.151629	331.998350	70	stage54-selected-explicit-or-measured	70 complete profiled observations
111	conv_dense	full_executor	/model.16/m.0/cv2/conv/Conv	300.289071	340.382200	70	stage54-selected-explicit-or-measured	70 complete profiled observations
112	lut1	full_executor	/model.16/m.0/cv1/act/Mul_output_0_QuantizeLinear	44.634943	47.713200	70	stage54-selected-explicit-or-measured	70 complete profiled observations
113	conv_dense	full_executor	/model.16/m.0/m/m.0/cv1/conv/Conv	747.105657	784.890850	70	stage54-selected-explicit-or-measured	70 complete profiled observations
114	lut1	fused_into_dense_conv	/model.16/m.0/m/m.0/cv1/act/Mul_output_0_QuantizeLinear	0.000000	0.000000	70	stage54-selected-explicit-or-measured	70 complete profiled observations
115	conv_dense	full_executor	/model.16/m.0/m/m.0/cv2/conv/Conv	693.622429	727.548300	70	stage54-selected-explicit-or-measured	70 complete profiled observations
116	lut2	full_executor	/model.16/m.0/m/m.0/Add_output_0_QuantizeLinear	486.100257	523.382050	70	stage54-selected-explicit-or-measured	70 complete profiled observations
117	conv_dense	full_executor	/model.16/m.0/m/m.1/cv1/conv/Conv	727.913857	762.108600	70	stage54-selected-explicit-or-measured	70 complete profiled observations
118	lut1	fused_into_dense_conv	/model.16/m.0/m/m.1/cv1/act/Mul_output_0_QuantizeLinear	0.000000	0.000000	70	stage54-selected-explicit-or-measured	70 complete profiled observations
119	conv_dense	full_executor	/model.16/m.0/m/m.1/cv2/conv/Conv	702.055229	739.967600	70	stage54-selected-explicit-or-measured	70 complete profiled observations
120	lut2	full_executor	/model.16/m.0/m/m.1/Add_output_0@/model.16/m.0/Concat_output_0_QuantizeLinear_Output	437.790971	465.071000	70	stage54-selected-explicit-or-measured	70 complete profiled observations
121	concat	full_executor	/model.16/m.0/Concat	100.582429	106.427600	70	stage54-selected-explicit-or-measured	70 complete profiled observations
122	conv_dense	full_executor	/model.16/m.0/cv3/conv/Conv	603.226929	626.135050	70	stage54-selected-explicit-or-measured	70 complete profiled observations
123	concat	full_executor	/model.16/Concat	359.928886	380.216500	70	stage54-selected-explicit-or-measured	70 complete profiled observations
124	conv_dense	full_executor	/model.16/cv2/conv/Conv	1936.558771	1991.057400	70	stage54-selected-explicit-or-measured	70 complete profiled observations
125	lut1	full_executor	/model.16/cv2/act/Mul_output_0_QuantizeLinear	163.422314	184.349950	70	stage54-selected-explicit-or-measured	70 complete profiled observations
126	conv_dense	full_executor	/model.17/conv/Conv	1156.471857	1226.436150	70	stage54-selected-explicit-or-measured	70 complete profiled observations
127	conv_dense	full_executor	/model.23/one2one_cv2.0/one2one_cv2.0.0/conv/Conv	2324.779586	2366.503250	70	stage54-selected-explicit-or-measured	70 complete profiled observations
128	conv_grouped	full_executor	/model.23/one2one_cv3.0/one2one_cv3.0.0/one2one_cv3.0.0.0/conv/Conv	1418.530257	1486.001200	70	stage54-selected-explicit-or-measured	70 complete profiled observations
129	lut1	full_executor	/model.23/one2one_cv2.0/one2one_cv2.0.0/act/Mul_output_0_QuantizeLinear	65.639843	68.605350	70	stage54-selected-explicit-or-measured	70 complete profiled observations
130	lut1	full_executor	/model.23/one2one_cv3.0/one2one_cv3.0.0/one2one_cv3.0.0.0/act/Mul_output_0_QuantizeLinear	192.441686	211.224400	70	stage54-selected-explicit-or-measured	70 complete profiled observations
131	concat	full_executor	/model.18/Concat	129.418471	137.742850	70	stage54-selected-explicit-or-measured	70 complete profiled observations
132	conv_dense	full_executor	/model.23/one2one_cv2.0/one2one_cv2.0.1/conv/Conv	734.622786	767.871950	70	stage54-selected-explicit-or-measured	70 complete profiled observations
133	conv_dense	full_executor	/model.23/one2one_cv3.0/one2one_cv3.0.0/one2one_cv3.0.0.1/conv/Conv	2187.786071	2215.495700	70	stage54-selected-explicit-or-measured	70 complete profiled observations
134	conv_dense	full_executor	/model.19/cv1/conv/Conv	1237.752329	1290.573800	70	stage54-selected-explicit-or-measured	70 complete profiled observations
135	lut1	full_executor	/model.23/one2one_cv2.0/one2one_cv2.0.1/act/Mul_output_0_QuantizeLinear	55.424971	65.268750	70	stage54-selected-explicit-or-measured	70 complete profiled observations
136	lut1	full_executor	/model.23/one2one_cv3.0/one2one_cv3.0.0/one2one_cv3.0.0.1/act/Mul_output_0_QuantizeLinear	305.806329	390.070000	70	stage54-selected-explicit-or-measured	70 complete profiled observations
137	split	full_executor	/model.19/Split	47.653986	49.442000	70	stage54-selected-explicit-or-measured	70 complete profiled observations
138	conv_dense	full_executor	/model.23/one2one_cv2.0/one2one_cv2.0.2/Conv	234.775343	239.881650	70	stage54-selected-explicit-or-measured	70 complete profiled observations
139	conv_grouped	full_executor	/model.23/one2one_cv3.0/one2one_cv3.0.1/one2one_cv3.0.1.0/conv/Conv	1795.469457	1845.979650	70	stage54-selected-explicit-or-measured	70 complete profiled observations
140	conv_dense	full_executor	/model.19/m.0/cv1/conv/Conv	268.226171	289.477450	70	stage54-selected-explicit-or-measured	70 complete profiled observations
141	conv_dense	full_executor	/model.19/m.0/cv2/conv/Conv	195.726186	229.171300	70	stage54-selected-explicit-or-measured	70 complete profiled observations
142	lut1	full_executor	/model.23/one2one_cv3.0/one2one_cv3.0.1/one2one_cv3.0.1.0/act/Mul_output_0_QuantizeLinear	363.399686	456.423600	70	stage54-selected-explicit-or-measured	70 complete profiled observations
143	lut1	full_executor	/model.19/m.0/cv1/act/Mul_output_0_QuantizeLinear	31.490229	31.987650	70	stage54-selected-explicit-or-measured	70 complete profiled observations
144	conv_dense	full_executor	/model.23/one2one_cv3.0/one2one_cv3.0.1/one2one_cv3.0.1.1/conv/Conv	2158.359529	2209.816200	70	stage54-selected-explicit-or-measured	70 complete profiled observations
145	conv_dense	full_executor	/model.19/m.0/m/m.0/cv1/conv/Conv	466.082857	531.027950	70	stage54-selected-explicit-or-measured	70 complete profiled observations
146	lut1	full_executor	/model.23/one2one_cv3.0/one2one_cv3.0.1/one2one_cv3.0.1.1/act/Mul_output_0_QuantizeLinear	333.095300	412.501550	70	stage54-selected-explicit-or-measured	70 complete profiled observations
147	lut1	full_executor	/model.19/m.0/m/m.0/cv1/act/Mul_output_0_QuantizeLinear	30.869829	34.548100	70	stage54-selected-explicit-or-measured	70 complete profiled observations
148	conv_dense	full_executor	/model.23/one2one_cv3.0/one2one_cv3.0.2/Conv	2144.729757	2194.116350	70	stage54-selected-explicit-or-measured	70 complete profiled observations
149	conv_dense	full_executor	/model.19/m.0/m/m.0/cv2/conv/Conv	454.510614	475.241350	70	stage54-selected-explicit-or-measured	70 complete profiled observations
150	lut2	full_executor	/model.19/m.0/m/m.0/Add_output_0_QuantizeLinear	215.508586	230.872800	70	stage54-selected-explicit-or-measured	70 complete profiled observations
151	conv_dense	full_executor	/model.19/m.0/m/m.1/cv1/conv/Conv	419.384743	455.385100	70	stage54-selected-explicit-or-measured	70 complete profiled observations
152	lut1	fused_into_dense_conv	/model.19/m.0/m/m.1/cv1/act/Mul_output_0_QuantizeLinear	0.000000	0.000000	70	stage54-selected-explicit-or-measured	70 complete profiled observations
153	conv_dense	full_executor	/model.19/m.0/m/m.1/cv2/conv/Conv	405.932271	436.408350	70	stage54-selected-explicit-or-measured	70 complete profiled observations
154	lut2	full_executor	/model.19/m.0/m/m.1/Add_output_0@/model.19/m.0/Concat_output_0_QuantizeLinear_Output	238.596800	267.816800	70	stage54-selected-explicit-or-measured	70 complete profiled observations
155	concat	full_executor	/model.19/m.0/Concat	56.911229	61.892700	70	stage54-selected-explicit-or-measured	70 complete profiled observations
156	conv_dense	full_executor	/model.19/m.0/cv3/conv/Conv	433.414586	466.437300	70	stage54-selected-explicit-or-measured	70 complete profiled observations
157	concat	full_executor	/model.19/Concat	175.845643	215.533250	70	stage54-selected-explicit-or-measured	70 complete profiled observations
158	conv_dense	full_executor	/model.19/cv2/conv/Conv	1235.084986	1278.782350	70	stage54-selected-explicit-or-measured	70 complete profiled observations
159	lut1	fused_into_dense_conv	/model.19/cv2/act/Mul_output_0_QuantizeLinear	0.000000	0.000000	70	stage54-selected-explicit-or-measured	70 complete profiled observations
160	conv_dense	full_executor	/model.20/conv/Conv	852.073843	909.823250	70	stage54-selected-explicit-or-measured	70 complete profiled observations
161	conv_dense	full_executor	/model.23/one2one_cv2.1/one2one_cv2.1.0/conv/Conv	1203.563957	1237.223800	70	stage54-selected-explicit-or-measured	70 complete profiled observations
162	conv_grouped	full_executor	/model.23/one2one_cv3.1/one2one_cv3.1.0/one2one_cv3.1.0.0/conv/Conv	714.466071	745.765550	70	stage54-selected-explicit-or-measured	70 complete profiled observations
163	lut1	full_executor	/model.23/one2one_cv2.1/one2one_cv2.1.0/act/Mul_output_0_QuantizeLinear	20.718114	22.552200	70	stage54-selected-explicit-or-measured	70 complete profiled observations
164	lut1	full_executor	/model.23/one2one_cv3.1/one2one_cv3.1.0/one2one_cv3.1.0.0/act/Mul_output_0_QuantizeLinear	62.840429	63.232100	70	stage54-selected-explicit-or-measured	70 complete profiled observations
165	concat	full_executor	/model.21/Concat	101.949629	106.992850	70	stage54-selected-explicit-or-measured	70 complete profiled observations
166	conv_dense	full_executor	/model.23/one2one_cv2.1/one2one_cv2.1.1/conv/Conv	194.943443	198.897350	70	stage54-selected-explicit-or-measured	70 complete profiled observations
167	conv_dense	full_executor	/model.23/one2one_cv3.1/one2one_cv3.1.0/one2one_cv3.1.0.1/conv/Conv	600.895357	660.141600	70	stage54-selected-explicit-or-measured	70 complete profiled observations
