surface	repeat	run	wall_us	process_cpu_us	input_wrap_us	ort_run_us	output_copy_us
matched_b120_ort_cpu0_3_intra4	1	27	454641.434	1810414.118	9.792	454297.467	285.215
matched_b120_ort_cpu0_3_intra4	1	28	457346.455	1836480.327	9.876	457024.072	270.714
matched_b120_ort_cpu0_3_intra4	1	29	455429.202	1822817.282	9.708	455092.736	289.423
matched_b120_ort_cpu0_3_intra4	1	30	462020.688	1841322.616	9.792	461689.263	274.715
matched_b120_ort_cpu0_3_intra4	1	31	456184.011	1823526.452	8.876	455851.919	277.049
matched_b120_ort_cpu0_3_intra4	1	32	457935.051	1837629.787	10.251	457607.127	279.423
matched_b120_ort_cpu0_3_intra4	1	33	455412.076	1822920.451	10.334	455048.818	257.631
matched_b120_ort_cpu0_3_intra4	1	34	460181.27	1839868.619	11.125	459790.47	339.758
matched_b120_ort_cpu0_3_intra4	1	35	460482.194	1838687.825	10.334	460138.394	295.882
matched_b120_ort_cpu0_3_intra4	1	36	456411.808	1823881.328	9.625	456090.134	273.256
matched_b120_ort_cpu0_3_intra4	1	37	455130.778	1822541.24	9.875	454740.519	342.091
matched_b120_ort_cpu0_3_intra4	1	38	458649.402	1826194.326	9.5	458329.06	267.423
matched_b120_ort_cpu0_3_intra4	1	39	457696.088	1837386.493	11.083	457366.788	279.757
matched_b120_ort_cpu0_3_intra4	1	40	457002.738	1824364.955	9.917	456685.022	267.548
matched_b120_ort_cpu0_3_intra4	1	41	457544.125	1823816.156	9.042	457204.868	282.59
matched_b120_ort_cpu0_3_intra4	1	42	456563.352	1823840.532	10.959	456241.428	266.256
matched_b120_ort_cpu0_3_intra4	1	43	460089.893	1839756.162	10.0	459761.302	271.006
matched_b120_ort_cpu0_3_intra4	1	44	456821.608	1836099.702	9.959	456488.476	286.673
matched_b120_ort_cpu0_3_intra4	1	45	456596.395	1823966.077	9.5	456263.138	280.506
matched_b120_ort_cpu0_3_intra4	1	46	456141.926	1823401.908	11.501	455820.377	268.297
matched_b120_ort_cpu0_3_intra4	1	47	458558.44	1826094.201	9.5	458242.767	261.631
matched_b120_ort_cpu0_3_intra4	1	48	454149.338	1821940.828	10.0	453818.748	277.423
matched_b120_ort_cpu0_3_intra4	1	49	457946.635	1825207.076	9.792	457566.417	274.506
matched_b120_ort_cpu0_3_intra4	1	50	456857.109	1824662.076	11.875	456522.31	282.34
matched_b120_ort_cpu0_3_intra4	1	51	454925.815	1810482.491	9.5	454595.724	272.089
matched_b120_ort_cpu0_3_intra4	1	52	458584.732	1838213.117	9.584	458229.849	302.173
matched_b120_ort_cpu0_3_intra4	1	53	458143.347	1836239.911	9.209	457800.006	295.548
matched_b120_ort_cpu0_3_intra4	1	54	455837.794	1822621.744	10.792	455504.203	285.298
matched_b120_ort_cpu0_3_intra4	1	55	457444.789	1825030.993	10.042	457124.699	267.298
matched_b120_ort_cpu0_3_intra4	1	56	456738.856	1824369.784	10.875	456409.682	271.382
matched_b120_ort_cpu0_3_intra4	1	57	458367.852	1837892.535	10.583	458040.803	276.423
matched_b120_ort_cpu0_3_intra4	1	58	455888.587	1823403.452	9.709	455554.37	284.715
matched_b120_ort_cpu0_3_intra4	1	59	457825.506	1825253.201	9.834	457500.79	274.298
matched_b120_ort_cpu0_3_intra4	1	60	456797.44	1824046.576	10.417	456475.975	264.381
matched_b120_ort_cpu0_3_intra4	1	61	456092.633	1823627.868	9.75	455760.167	275.965
matched_b120_ort_cpu0_3_intra4	1	62	456978.654	1836542.409	11.209	456613.228	318.424
matched_b120_ort_cpu0_3_intra4	1	63	457574.083	1824705.534	10.292	457240.075	280.299
matched_b120_ort_cpu0_3_intra4	1	64	456312.804	1823719.492	10.292	455992.422	267.59
matched_b120_ort_cpu0_3_intra4	1	65	457960.426	1837277.869	9.834	457621.168	294.048
matched_b120_ort_cpu0_3_intra4	1	66	456651.104	1824123.285	10.583	456324.597	276.631
matched_b120_ort_cpu0_3_intra4	1	67	455218.696	1822920.699	10.584	454805.311	364.717
matched_b120_ort_cpu0_3_intra4	1	68	456800.191	1824686.159	10.542	456470.392	279.464
matched_b120_ort_cpu0_3_intra4	1	69	461038.956	1840240.285	9.792	460699.947	282.298
matched_b120_ort_cpu0_3_intra4	1	70	457966.259	1837445.785	10.958	457601.418	261.297
matched_b120_ort_cpu0_3_intra4	1	71	456393.431	1823809.867	10.209	456045.798	300.965
matched_b120_ort_cpu0_3_intra4	1	72	455754.416	1823309.451	10.0	455360.949	343.8
matched_b120_ort_cpu0_3_intra4	1	73	458080.845	1825604.076	11.042	457750.295	273.757
matched_b120_ort_cpu0_3_intra4	1	74	460757.198	1840363.535	9.916	460435.4	264.089
matched_b120_ort_cpu0_3_intra4	1	75	454911.313	1822532.534	10.625	454575.306	282.34
matched_b120_ort_cpu0_3_intra4	1	76	454323.925	1821792.449	10.0	453925.207	350.425
matched_b120_ort_cpu0_3_intra4	1	77	456428.557	1824232.827	10.458	456096.424	282.34
matched_b120_ort_cpu0_3_intra4	1	78	459891.387	1839401.077	10.917	459552.129	289.549
matched_b120_ort_cpu0_3_intra4	1	79	456833.524	1824540.494	10.75	456515.226	268.173
matched_b120_ort_cpu0_3_intra4	1	80	455167.652	1822526.45	9.458	454828.228	291.799
matched_b120_ort_cpu0_3_intra4	1	81	457176.532	1824904.992	9.875	456863.9	262.006
matched_b120_ort_cpu0_3_intra4	1	82	455059.817	1822590.579	9.875	454724.517	287.132
matched_b120_ort_cpu0_3_intra4	1	83	456922.276	1824729.951	9.876	456593.56	276.756
matched_b120_ort_cpu0_3_intra4	1	84	459200.704	1838651.909	9.416	458875.155	277.715
matched_b120_ort_cpu0_3_intra4	1	85	459659.757	1838366.742	10.458	459322.374	288.631
matched_b120_ort_cpu0_3_intra4	1	86	456205.968	1823956.286	11.376	455878.252	277.464
matched_b120_ort_cpu0_3_intra4	1	87	458859.529	1826254.951	10.251	458534.23	272.006
matched_b120_ort_cpu0_3_intra4	1	88	457289.868	1836806.994	9.708	456959.861	282.631
matched_b120_ort_cpu0_3_intra4	1	89	455980.713	1823199.365	10.209	455646.455	284.923
matched_b120_ort_cpu0_3_intra4	1	90	458244.557	1825692.577	10.792	457916.799	269.84
matched_b120_ort_cpu0_3_intra4	1	91	461139.332	1852447.909	10.625	460788.115	302.757
matched_b120_ort_cpu0_3_intra4	1	92	456593.143	1824306.076	9.583	456270.886	274.715
matched_b120_ort_cpu0_3_intra4	1	93	455193.694	1822773.283	9.876	454797.31	346.008
matched_b120_ort_cpu0_3_intra4	1	94	455679.456	1811506.201	10.875	455354.865	270.506
matched_b120_ort_cpu0_3_intra4	1	95	455368.865	1823081.037	11.333	455036.399	274.423
matched_b120_ort_cpu0_3_intra4	1	96	460323.98	1839424.827	11.042	459967.596	303.757
matched_b120_ort_cpu0_3_intra4	1	97	457520.623	1837314.199	9.251	457201.324	272.881
matched_b120_ort_cpu0_3_intra4	1	98	458820.695	1825962.201	9.792	458498.104	265.964
matched_b120_ort_cpu0_3_intra4	1	99	454713.558	1822340.16	9.792	454385.425	273.007
matched_b120_ort_cpu0_3_intra4	2	0	461274.709	1840666.243	12.625	460944.703	271.256
matched_b120_ort_cpu0_3_intra4	2	1	457692.668	1837521.574	9.292	457376.453	264.673
matched_b120_ort_cpu0_3_intra4	2	2	457781.296	1825292.118	9.876	457456.746	265.881
matched_b120_ort_cpu0_3_intra4	2	3	454489.386	1822315.91	10.667	454174.92	262.381
matched_b120_ort_cpu0_3_intra4	2	4	457218.324	1824868.827	8.917	456897.566	266.256
matched_b120_ort_cpu0_3_intra4	2	5	459107.618	1838537.993	10.583	458788.528	263.547
matched_b120_ort_cpu0_3_intra4	2	6	457004.319	1824486.494	9.959	456681.02	266.089
