arm	operation_index	kind	scope	name	samples	mean_us	median_us	p95_us	min_us	max_us
direct	95	conv_dense	full_executor	/model.13/m.0/m/m.0/cv1/conv/Conv	140	617.182300	605.985500	649.600000	598.320000	961.704000
direct	96	lut1	full_executor	/model.13/m.0/m/m.0/cv1/act/Mul_output_0_QuantizeLinear	140	25.878014	25.414000	27.831000	22.748000	63.119000
direct	97	conv_dense	full_executor	/model.13/m.0/m/m.0/cv2/conv/Conv	140	625.553236	610.986000	656.909300	601.696000	1258.384000
direct	98	lut2	full_executor	/model.13/m.0/m/m.0/Add_output_0_QuantizeLinear	140	227.982443	226.208500	259.608200	219.229000	333.261000
direct	99	conv_dense	full_executor	/model.13/m.0/m/m.1/cv1/conv/Conv	140	610.794236	601.569500	643.567050	596.238000	838.216000
direct	100	lut1	full_executor	/model.13/m.0/m/m.1/cv1/act/Mul_output_0_QuantizeLinear	140	20.004179	19.685500	21.585200	18.415000	35.747000
direct	101	conv_dense	full_executor	/model.13/m.0/m/m.1/cv2/conv/Conv	140	614.704643	608.757500	648.150100	601.112000	762.389000
direct	102	lut2	full_executor	/model.13/m.0/m/m.1/Add_output_0@/model.13/m.0/Concat_output_0_QuantizeLinear_Output	140	237.375629	236.499500	242.146050	232.520000	243.062000
direct	103	concat	full_executor	/model.13/m.0/Concat	140	50.422100	49.995500	54.247100	45.080000	72.160000
direct	104	conv_dense	full_executor	/model.13/m.0/cv3/conv/Conv	140	819.823664	820.884000	855.725400	776.262000	876.919000
direct	105	concat	full_executor	/model.13/Concat	140	164.945957	161.694000	198.233450	145.945000	226.605000
direct	106	conv_dense	full_executor	/model.13/cv2/conv/Conv	140	1988.428171	1989.443500	2029.482300	1926.612000	2083.680000
direct	107	concat	full_executor	/model.15/Concat	140	1137.583900	1098.442500	1299.911650	1037.489000	1396.284000
direct	108	conv_dense	full_executor	/model.16/cv1/conv/Conv	140	4784.700864	4776.650000	4835.479450	4732.237000	5025.122000
direct	109	split	full_executor	/model.16/Split	140	97.243757	95.324000	99.793400	89.534000	217.897000
direct	110	conv_dense	full_executor	/model.16/m.0/cv1/conv/Conv	140	721.145529	708.518500	753.689700	703.271000	916.997000
direct	111	conv_dense	full_executor	/model.16/m.0/cv2/conv/Conv	140	715.389350	705.271000	748.642050	699.352000	1014.031000
direct	112	lut1	full_executor	/model.16/m.0/cv1/act/Mul_output_0_QuantizeLinear	140	45.522921	42.788000	68.999900	40.246000	111.782000
direct	113	conv_dense	full_executor	/model.16/m.0/m/m.0/cv1/conv/Conv	140	1124.804050	1112.188500	1153.601650	1100.486000	1635.222000
direct	114	lut1	full_executor	/model.16/m.0/m/m.0/cv1/act/Mul_output_0_QuantizeLinear	140	44.634300	44.183000	47.578050	40.622000	84.784000
direct	115	conv_dense	full_executor	/model.16/m.0/m/m.0/cv2/conv/Conv	140	1115.847186	1104.753000	1144.238300	1094.357000	1703.008000
direct	116	lut2	full_executor	/model.16/m.0/m/m.0/Add_output_0_QuantizeLinear	140	564.820121	553.158000	602.126000	530.410000	967.451000
direct	117	conv_dense	full_executor	/model.16/m.0/m/m.1/cv1/conv/Conv	140	1104.232193	1090.755000	1124.836850	1087.318000	1519.150000
direct	118	lut1	full_executor	/model.16/m.0/m/m.1/cv1/act/Mul_output_0_QuantizeLinear	140	36.413007	35.455000	37.096650	34.080000	68.369000
direct	119	conv_dense	full_executor	/model.16/m.0/m/m.1/cv2/conv/Conv	140	1100.713150	1090.819000	1119.674450	1087.486000	1363.206000
direct	120	lut2	full_executor	/model.16/m.0/m/m.1/Add_output_0@/model.16/m.0/Concat_output_0_QuantizeLinear_Output	140	489.277086	487.892500	497.767950	482.999000	517.536000
direct	121	concat	full_executor	/model.16/m.0/Concat	140	97.683357	97.553500	100.874350	90.408000	134.279000
direct	122	conv_dense	full_executor	/model.16/m.0/cv3/conv/Conv	140	1427.131564	1417.078500	1454.460850	1403.578000	1597.642000
direct	123	concat	full_executor	/model.16/Concat	140	356.671593	352.676000	403.670750	311.888000	453.417000
direct	124	conv_dense	full_executor	/model.16/cv2/conv/Conv	140	3524.740879	3525.232500	3570.856150	3415.974000	3724.584000
direct	125	lut1	full_executor	/model.16/cv2/act/Mul_output_0_QuantizeLinear	140	167.592157	160.797500	202.381050	150.070000	464.915000
direct	126	conv_dense	full_executor	/model.17/conv/Conv	140	1740.919014	1732.887500	1787.253800	1704.799000	1844.370000
direct	127	conv_dense	full_executor	/model.23/one2one_cv2.0/one2one_cv2.0.0/conv/Conv	140	2690.919479	2696.928000	2720.649350	2647.217000	2778.918000
direct	128	conv_grouped	full_executor	/model.23/one2one_cv3.0/one2one_cv3.0.0/one2one_cv3.0.0.0/conv/Conv	140	2315.177229	2288.625500	2418.426050	2242.050000	2535.846000
direct	129	lut1	full_executor	/model.23/one2one_cv2.0/one2one_cv2.0.0/act/Mul_output_0_QuantizeLinear	140	65.321421	65.056500	69.227950	57.911000	97.949000
