kernel	partition	workers	repeat	repeat_mean_us	repeat_process_cpu_mean_us	output_hash64	raw_per_run_path
m12n16	output_channel	4	3	10203.319040	39220.574880	10094906690607741993	/data/ncnn-logs/ai-team/2026-07-12/2026-07-12_14-26-44__contcodex__BANANA-YOLO26-CUSTOM-INT8-IME-ENGINE-STAGE48-EXACT-INTEGER-CONTRACT-AND-NCHWC8-DIRECT-A-TILE-PROOF-001__stage48-integer-contract-nchwc8/artifacts/board-model5-logs/model5_m12n16_output_channel_w4.tsv
m12n16	output_channel	4	4	10121.450790	39127.607640	10094906690607741993	/data/ncnn-logs/ai-team/2026-07-12/2026-07-12_14-26-44__contcodex__BANANA-YOLO26-CUSTOM-INT8-IME-ENGINE-STAGE48-EXACT-INTEGER-CONTRACT-AND-NCHWC8-DIRECT-A-TILE-PROOF-001__stage48-integer-contract-nchwc8/artifacts/board-model5-logs/model5_m12n16_output_channel_w4.tsv
m12n16	spatial	1	0	22118.791480	22122.789880	10094906690607741993	/data/ncnn-logs/ai-team/2026-07-12/2026-07-12_14-26-44__contcodex__BANANA-YOLO26-CUSTOM-INT8-IME-ENGINE-STAGE48-EXACT-INTEGER-CONTRACT-AND-NCHWC8-DIRECT-A-TILE-PROOF-001__stage48-integer-contract-nchwc8/artifacts/board-model5-logs/model5_m12n16_spatial_w1.tsv
m12n16	spatial	1	1	22147.117820	22148.722940	10094906690607741993	/data/ncnn-logs/ai-team/2026-07-12/2026-07-12_14-26-44__contcodex__BANANA-YOLO26-CUSTOM-INT8-IME-ENGINE-STAGE48-EXACT-INTEGER-CONTRACT-AND-NCHWC8-DIRECT-A-TILE-PROOF-001__stage48-integer-contract-nchwc8/artifacts/board-model5-logs/model5_m12n16_spatial_w1.tsv
m12n16	spatial	1	2	22123.363580	22126.201930	10094906690607741993	/data/ncnn-logs/ai-team/2026-07-12/2026-07-12_14-26-44__contcodex__BANANA-YOLO26-CUSTOM-INT8-IME-ENGINE-STAGE48-EXACT-INTEGER-CONTRACT-AND-NCHWC8-DIRECT-A-TILE-PROOF-001__stage48-integer-contract-nchwc8/artifacts/board-model5-logs/model5_m12n16_spatial_w1.tsv
m12n16	spatial	1	3	22120.593860	22122.812180	10094906690607741993	/data/ncnn-logs/ai-team/2026-07-12/2026-07-12_14-26-44__contcodex__BANANA-YOLO26-CUSTOM-INT8-IME-ENGINE-STAGE48-EXACT-INTEGER-CONTRACT-AND-NCHWC8-DIRECT-A-TILE-PROOF-001__stage48-integer-contract-nchwc8/artifacts/board-model5-logs/model5_m12n16_spatial_w1.tsv
m12n16	spatial	1	4	22138.432550	22136.672370	10094906690607741993	/data/ncnn-logs/ai-team/2026-07-12/2026-07-12_14-26-44__contcodex__BANANA-YOLO26-CUSTOM-INT8-IME-ENGINE-STAGE48-EXACT-INTEGER-CONTRACT-AND-NCHWC8-DIRECT-A-TILE-PROOF-001__stage48-integer-contract-nchwc8/artifacts/board-model5-logs/model5_m12n16_spatial_w1.tsv
m12n16	spatial	2	0	11749.335270	23313.419150	10094906690607741993	/data/ncnn-logs/ai-team/2026-07-12/2026-07-12_14-26-44__contcodex__BANANA-YOLO26-CUSTOM-INT8-IME-ENGINE-STAGE48-EXACT-INTEGER-CONTRACT-AND-NCHWC8-DIRECT-A-TILE-PROOF-001__stage48-integer-contract-nchwc8/artifacts/board-model5-logs/model5_m12n16_spatial_w2.tsv
m12n16	spatial	2	1	11690.087230	23265.367860	10094906690607741993	/data/ncnn-logs/ai-team/2026-07-12/2026-07-12_14-26-44__contcodex__BANANA-YOLO26-CUSTOM-INT8-IME-ENGINE-STAGE48-EXACT-INTEGER-CONTRACT-AND-NCHWC8-DIRECT-A-TILE-PROOF-001__stage48-integer-contract-nchwc8/artifacts/board-model5-logs/model5_m12n16_spatial_w2.tsv
m12n16	spatial	2	2	11674.329620	23275.078300	10094906690607741993	/data/ncnn-logs/ai-team/2026-07-12/2026-07-12_14-26-44__contcodex__BANANA-YOLO26-CUSTOM-INT8-IME-ENGINE-STAGE48-EXACT-INTEGER-CONTRACT-AND-NCHWC8-DIRECT-A-TILE-PROOF-001__stage48-integer-contract-nchwc8/artifacts/board-model5-logs/model5_m12n16_spatial_w2.tsv
m12n16	spatial	2	3	11699.596630	23315.469860	10094906690607741993	/data/ncnn-logs/ai-team/2026-07-12/2026-07-12_14-26-44__contcodex__BANANA-YOLO26-CUSTOM-INT8-IME-ENGINE-STAGE48-EXACT-INTEGER-CONTRACT-AND-NCHWC8-DIRECT-A-TILE-PROOF-001__stage48-integer-contract-nchwc8/artifacts/board-model5-logs/model5_m12n16_spatial_w2.tsv
m12n16	spatial	2	4	11655.134990	23257.455000	10094906690607741993	/data/ncnn-logs/ai-team/2026-07-12/2026-07-12_14-26-44__contcodex__BANANA-YOLO26-CUSTOM-INT8-IME-ENGINE-STAGE48-EXACT-INTEGER-CONTRACT-AND-NCHWC8-DIRECT-A-TILE-PROOF-001__stage48-integer-contract-nchwc8/artifacts/board-model5-logs/model5_m12n16_spatial_w2.tsv
m12n16	spatial	3	0	8181.575620	23926.123600	10094906690607741993	/data/ncnn-logs/ai-team/2026-07-12/2026-07-12_14-26-44__contcodex__BANANA-YOLO26-CUSTOM-INT8-IME-ENGINE-STAGE48-EXACT-INTEGER-CONTRACT-AND-NCHWC8-DIRECT-A-TILE-PROOF-001__stage48-integer-contract-nchwc8/artifacts/board-model5-logs/model5_m12n16_spatial_w3.tsv
m12n16	spatial	3	1	8148.763980	23898.974140	10094906690607741993	/data/ncnn-logs/ai-team/2026-07-12/2026-07-12_14-26-44__contcodex__BANANA-YOLO26-CUSTOM-INT8-IME-ENGINE-STAGE48-EXACT-INTEGER-CONTRACT-AND-NCHWC8-DIRECT-A-TILE-PROOF-001__stage48-integer-contract-nchwc8/artifacts/board-model5-logs/model5_m12n16_spatial_w3.tsv
m12n16	spatial	3	2	8244.517980	23919.088480	10094906690607741993	/data/ncnn-logs/ai-team/2026-07-12/2026-07-12_14-26-44__contcodex__BANANA-YOLO26-CUSTOM-INT8-IME-ENGINE-STAGE48-EXACT-INTEGER-CONTRACT-AND-NCHWC8-DIRECT-A-TILE-PROOF-001__stage48-integer-contract-nchwc8/artifacts/board-model5-logs/model5_m12n16_spatial_w3.tsv
m12n16	spatial	3	3	8188.821990	23930.195810	10094906690607741993	/data/ncnn-logs/ai-team/2026-07-12/2026-07-12_14-26-44__contcodex__BANANA-YOLO26-CUSTOM-INT8-IME-ENGINE-STAGE48-EXACT-INTEGER-CONTRACT-AND-NCHWC8-DIRECT-A-TILE-PROOF-001__stage48-integer-contract-nchwc8/artifacts/board-model5-logs/model5_m12n16_spatial_w3.tsv
m12n16	spatial	3	4	8282.985120	23928.206000	10094906690607741993	/data/ncnn-logs/ai-team/2026-07-12/2026-07-12_14-26-44__contcodex__BANANA-YOLO26-CUSTOM-INT8-IME-ENGINE-STAGE48-EXACT-INTEGER-CONTRACT-AND-NCHWC8-DIRECT-A-TILE-PROOF-001__stage48-integer-contract-nchwc8/artifacts/board-model5-logs/model5_m12n16_spatial_w3.tsv
m12n16	spatial	4	0	6546.762060	24647.379400	10094906690607741993	/data/ncnn-logs/ai-team/2026-07-12/2026-07-12_14-26-44__contcodex__BANANA-YOLO26-CUSTOM-INT8-IME-ENGINE-STAGE48-EXACT-INTEGER-CONTRACT-AND-NCHWC8-DIRECT-A-TILE-PROOF-001__stage48-integer-contract-nchwc8/artifacts/board-model5-logs/model5_m12n16_spatial_w4.tsv
m12n16	spatial	4	1	6492.806480	24680.775860	10094906690607741993	/data/ncnn-logs/ai-team/2026-07-12/2026-07-12_14-26-44__contcodex__BANANA-YOLO26-CUSTOM-INT8-IME-ENGINE-STAGE48-EXACT-INTEGER-CONTRACT-AND-NCHWC8-DIRECT-A-TILE-PROOF-001__stage48-integer-contract-nchwc8/artifacts/board-model5-logs/model5_m12n16_spatial_w4.tsv
m12n16	spatial	4	2	6539.298300	24680.999220	10094906690607741993	/data/ncnn-logs/ai-team/2026-07-12/2026-07-12_14-26-44__contcodex__BANANA-YOLO26-CUSTOM-INT8-IME-ENGINE-STAGE48-EXACT-INTEGER-CONTRACT-AND-NCHWC8-DIRECT-A-TILE-PROOF-001__stage48-integer-contract-nchwc8/artifacts/board-model5-logs/model5_m12n16_spatial_w4.tsv
m12n16	spatial	4	3	6418.436970	24746.901960	10094906690607741993	/data/ncnn-logs/ai-team/2026-07-12/2026-07-12_14-26-44__contcodex__BANANA-YOLO26-CUSTOM-INT8-IME-ENGINE-STAGE48-EXACT-INTEGER-CONTRACT-AND-NCHWC8-DIRECT-A-TILE-PROOF-001__stage48-integer-contract-nchwc8/artifacts/board-model5-logs/model5_m12n16_spatial_w4.tsv
m12n16	spatial	4	4	6583.761280	24679.651890	10094906690607741993	/data/ncnn-logs/ai-team/2026-07-12/2026-07-12_14-26-44__contcodex__BANANA-YOLO26-CUSTOM-INT8-IME-ENGINE-STAGE48-EXACT-INTEGER-CONTRACT-AND-NCHWC8-DIRECT-A-TILE-PROOF-001__stage48-integer-contract-nchwc8/artifacts/board-model5-logs/model5_m12n16_spatial_w4.tsv
m4n16	output_channel	1	0	31217.089480	31213.979500	10094906690607741993	/data/ncnn-logs/ai-team/2026-07-12/2026-07-12_14-26-44__contcodex__BANANA-YOLO26-CUSTOM-INT8-IME-ENGINE-STAGE48-EXACT-INTEGER-CONTRACT-AND-NCHWC8-DIRECT-A-TILE-PROOF-001__stage48-integer-contract-nchwc8/artifacts/board-model5-logs/model5_m4n16_output_channel_w1.tsv
m4n16	output_channel	1	1	31224.502140	31222.209430	10094906690607741993	/data/ncnn-logs/ai-team/2026-07-12/2026-07-12_14-26-44__contcodex__BANANA-YOLO26-CUSTOM-INT8-IME-ENGINE-STAGE48-EXACT-INTEGER-CONTRACT-AND-NCHWC8-DIRECT-A-TILE-PROOF-001__stage48-integer-contract-nchwc8/artifacts/board-model5-logs/model5_m4n16_output_channel_w1.tsv
m4n16	output_channel	1	2	31218.205150	31216.992820	10094906690607741993	/data/ncnn-logs/ai-team/2026-07-12/2026-07-12_14-26-44__contcodex__BANANA-YOLO26-CUSTOM-INT8-IME-ENGINE-STAGE48-EXACT-INTEGER-CONTRACT-AND-NCHWC8-DIRECT-A-TILE-PROOF-001__stage48-integer-contract-nchwc8/artifacts/board-model5-logs/model5_m4n16_output_channel_w1.tsv
m4n16	output_channel	1	3	31194.485840	31192.647920	10094906690607741993	/data/ncnn-logs/ai-team/2026-07-12/2026-07-12_14-26-44__contcodex__BANANA-YOLO26-CUSTOM-INT8-IME-ENGINE-STAGE48-EXACT-INTEGER-CONTRACT-AND-NCHWC8-DIRECT-A-TILE-PROOF-001__stage48-integer-contract-nchwc8/artifacts/board-model5-logs/model5_m4n16_output_channel_w1.tsv
m4n16	output_channel	1	4	31232.386350	31231.225950	10094906690607741993	/data/ncnn-logs/ai-team/2026-07-12/2026-07-12_14-26-44__contcodex__BANANA-YOLO26-CUSTOM-INT8-IME-ENGINE-STAGE48-EXACT-INTEGER-CONTRACT-AND-NCHWC8-DIRECT-A-TILE-PROOF-001__stage48-integer-contract-nchwc8/artifacts/board-model5-logs/model5_m4n16_output_channel_w1.tsv
m4n16	output_channel	2	0	23212.168900	46350.568940	10094906690607741993	/data/ncnn-logs/ai-team/2026-07-12/2026-07-12_14-26-44__contcodex__BANANA-YOLO26-CUSTOM-INT8-IME-ENGINE-STAGE48-EXACT-INTEGER-CONTRACT-AND-NCHWC8-DIRECT-A-TILE-PROOF-001__stage48-integer-contract-nchwc8/artifacts/board-model5-logs/model5_m4n16_output_channel_w2.tsv
m4n16	output_channel	2	1	23154.922000	46229.992670	10094906690607741993	/data/ncnn-logs/ai-team/2026-07-12/2026-07-12_14-26-44__contcodex__BANANA-YOLO26-CUSTOM-INT8-IME-ENGINE-STAGE48-EXACT-INTEGER-CONTRACT-AND-NCHWC8-DIRECT-A-TILE-PROOF-001__stage48-integer-contract-nchwc8/artifacts/board-model5-logs/model5_m4n16_output_channel_w2.tsv
m4n16	output_channel	2	2	23333.014380	46578.742340	10094906690607741993	/data/ncnn-logs/ai-team/2026-07-12/2026-07-12_14-26-44__contcodex__BANANA-YOLO26-CUSTOM-INT8-IME-ENGINE-STAGE48-EXACT-INTEGER-CONTRACT-AND-NCHWC8-DIRECT-A-TILE-PROOF-001__stage48-integer-contract-nchwc8/artifacts/board-model5-logs/model5_m4n16_output_channel_w2.tsv
m4n16	output_channel	2	3	23261.714000	45476.095600	10094906690607741993	/data/ncnn-logs/ai-team/2026-07-12/2026-07-12_14-26-44__contcodex__BANANA-YOLO26-CUSTOM-INT8-IME-ENGINE-STAGE48-EXACT-INTEGER-CONTRACT-AND-NCHWC8-DIRECT-A-TILE-PROOF-001__stage48-integer-contract-nchwc8/artifacts/board-model5-logs/model5_m4n16_output_channel_w2.tsv
m4n16	output_channel	2	4	23071.530790	45418.705630	10094906690607741993	/data/ncnn-logs/ai-team/2026-07-12/2026-07-12_14-26-44__contcodex__BANANA-YOLO26-CUSTOM-INT8-IME-ENGINE-STAGE48-EXACT-INTEGER-CONTRACT-AND-NCHWC8-DIRECT-A-TILE-PROOF-001__stage48-integer-contract-nchwc8/artifacts/board-model5-logs/model5_m4n16_output_channel_w2.tsv
m4n16	output_channel	3	0	16931.242060	50380.783640	10094906690607741993	/data/ncnn-logs/ai-team/2026-07-12/2026-07-12_14-26-44__contcodex__BANANA-YOLO26-CUSTOM-INT8-IME-ENGINE-STAGE48-EXACT-INTEGER-CONTRACT-AND-NCHWC8-DIRECT-A-TILE-PROOF-001__stage48-integer-contract-nchwc8/artifacts/board-model5-logs/model5_m4n16_output_channel_w3.tsv
m4n16	output_channel	3	1	16937.744000	50409.299060	10094906690607741993	/data/ncnn-logs/ai-team/2026-07-12/2026-07-12_14-26-44__contcodex__BANANA-YOLO26-CUSTOM-INT8-IME-ENGINE-STAGE48-EXACT-INTEGER-CONTRACT-AND-NCHWC8-DIRECT-A-TILE-PROOF-001__stage48-integer-contract-nchwc8/artifacts/board-model5-logs/model5_m4n16_output_channel_w3.tsv
m4n16	output_channel	3	2	16840.406470	50071.135910	10094906690607741993	/data/ncnn-logs/ai-team/2026-07-12/2026-07-12_14-26-44__contcodex__BANANA-YOLO26-CUSTOM-INT8-IME-ENGINE-STAGE48-EXACT-INTEGER-CONTRACT-AND-NCHWC8-DIRECT-A-TILE-PROOF-001__stage48-integer-contract-nchwc8/artifacts/board-model5-logs/model5_m4n16_output_channel_w3.tsv
m4n16	output_channel	3	3	16807.486280	50111.026970	10094906690607741993	/data/ncnn-logs/ai-team/2026-07-12/2026-07-12_14-26-44__contcodex__BANANA-YOLO26-CUSTOM-INT8-IME-ENGINE-STAGE48-EXACT-INTEGER-CONTRACT-AND-NCHWC8-DIRECT-A-TILE-PROOF-001__stage48-integer-contract-nchwc8/artifacts/board-model5-logs/model5_m4n16_output_channel_w3.tsv
m4n16	output_channel	3	4	16973.562750	50554.091910	10094906690607741993	/data/ncnn-logs/ai-team/2026-07-12/2026-07-12_14-26-44__contcodex__BANANA-YOLO26-CUSTOM-INT8-IME-ENGINE-STAGE48-EXACT-INTEGER-CONTRACT-AND-NCHWC8-DIRECT-A-TILE-PROOF-001__stage48-integer-contract-nchwc8/artifacts/board-model5-logs/model5_m4n16_output_channel_w3.tsv
m4n16	output_channel	4	0	16469.762020	64642.394200	10094906690607741993	/data/ncnn-logs/ai-team/2026-07-12/2026-07-12_14-26-44__contcodex__BANANA-YOLO26-CUSTOM-INT8-IME-ENGINE-STAGE48-EXACT-INTEGER-CONTRACT-AND-NCHWC8-DIRECT-A-TILE-PROOF-001__stage48-integer-contract-nchwc8/artifacts/board-model5-logs/model5_m4n16_output_channel_w4.tsv
m4n16	output_channel	4	1	16324.644030	64081.858190	10094906690607741993	/data/ncnn-logs/ai-team/2026-07-12/2026-07-12_14-26-44__contcodex__BANANA-YOLO26-CUSTOM-INT8-IME-ENGINE-STAGE48-EXACT-INTEGER-CONTRACT-AND-NCHWC8-DIRECT-A-TILE-PROOF-001__stage48-integer-contract-nchwc8/artifacts/board-model5-logs/model5_m4n16_output_channel_w4.tsv
m4n16	output_channel	4	2	16201.222090	64068.935140	10094906690607741993	/data/ncnn-logs/ai-team/2026-07-12/2026-07-12_14-26-44__contcodex__BANANA-YOLO26-CUSTOM-INT8-IME-ENGINE-STAGE48-EXACT-INTEGER-CONTRACT-AND-NCHWC8-DIRECT-A-TILE-PROOF-001__stage48-integer-contract-nchwc8/artifacts/board-model5-logs/model5_m4n16_output_channel_w4.tsv
m4n16	output_channel	4	3	16570.322620	63991.905480	10094906690607741993	/data/ncnn-logs/ai-team/2026-07-12/2026-07-12_14-26-44__contcodex__BANANA-YOLO26-CUSTOM-INT8-IME-ENGINE-STAGE48-EXACT-INTEGER-CONTRACT-AND-NCHWC8-DIRECT-A-TILE-PROOF-001__stage48-integer-contract-nchwc8/artifacts/board-model5-logs/model5_m4n16_output_channel_w4.tsv
m4n16	output_channel	4	4	16300.384680	64160.243300	10094906690607741993	/data/ncnn-logs/ai-team/2026-07-12/2026-07-12_14-26-44__contcodex__BANANA-YOLO26-CUSTOM-INT8-IME-ENGINE-STAGE48-EXACT-INTEGER-CONTRACT-AND-NCHWC8-DIRECT-A-TILE-PROOF-001__stage48-integer-contract-nchwc8/artifacts/board-model5-logs/model5_m4n16_output_channel_w4.tsv
m4n16	spatial	1	0	31210.513660	31214.616150	10094906690607741993	/data/ncnn-logs/ai-team/2026-07-12/2026-07-12_14-26-44__contcodex__BANANA-YOLO26-CUSTOM-INT8-IME-ENGINE-STAGE48-EXACT-INTEGER-CONTRACT-AND-NCHWC8-DIRECT-A-TILE-PROOF-001__stage48-integer-contract-nchwc8/artifacts/board-model5-logs/model5_m4n16_spatial_w1.tsv
m4n16	spatial	1	1	31231.126600	31215.772830	10094906690607741993	/data/ncnn-logs/ai-team/2026-07-12/2026-07-12_14-26-44__contcodex__BANANA-YOLO26-CUSTOM-INT8-IME-ENGINE-STAGE48-EXACT-INTEGER-CONTRACT-AND-NCHWC8-DIRECT-A-TILE-PROOF-001__stage48-integer-contract-nchwc8/artifacts/board-model5-logs/model5_m4n16_spatial_w1.tsv
m4n16	spatial	1	2	31205.345180	31204.922340	10094906690607741993	/data/ncnn-logs/ai-team/2026-07-12/2026-07-12_14-26-44__contcodex__BANANA-YOLO26-CUSTOM-INT8-IME-ENGINE-STAGE48-EXACT-INTEGER-CONTRACT-AND-NCHWC8-DIRECT-A-TILE-PROOF-001__stage48-integer-contract-nchwc8/artifacts/board-model5-logs/model5_m4n16_spatial_w1.tsv
m4n16	spatial	1	3	31202.074490	31203.491950	10094906690607741993	/data/ncnn-logs/ai-team/2026-07-12/2026-07-12_14-26-44__contcodex__BANANA-YOLO26-CUSTOM-INT8-IME-ENGINE-STAGE48-EXACT-INTEGER-CONTRACT-AND-NCHWC8-DIRECT-A-TILE-PROOF-001__stage48-integer-contract-nchwc8/artifacts/board-model5-logs/model5_m4n16_spatial_w1.tsv
m4n16	spatial	1	4	31166.378480	31166.472320	10094906690607741993	/data/ncnn-logs/ai-team/2026-07-12/2026-07-12_14-26-44__contcodex__BANANA-YOLO26-CUSTOM-INT8-IME-ENGINE-STAGE48-EXACT-INTEGER-CONTRACT-AND-NCHWC8-DIRECT-A-TILE-PROOF-001__stage48-integer-contract-nchwc8/artifacts/board-model5-logs/model5_m4n16_spatial_w1.tsv
m4n16	spatial	2	0	16175.896880	32285.540000	10094906690607741993	/data/ncnn-logs/ai-team/2026-07-12/2026-07-12_14-26-44__contcodex__BANANA-YOLO26-CUSTOM-INT8-IME-ENGINE-STAGE48-EXACT-INTEGER-CONTRACT-AND-NCHWC8-DIRECT-A-TILE-PROOF-001__stage48-integer-contract-nchwc8/artifacts/board-model5-logs/model5_m4n16_spatial_w2.tsv
m4n16	spatial	2	1	16158.253510	32255.664050	10094906690607741993	/data/ncnn-logs/ai-team/2026-07-12/2026-07-12_14-26-44__contcodex__BANANA-YOLO26-CUSTOM-INT8-IME-ENGINE-STAGE48-EXACT-INTEGER-CONTRACT-AND-NCHWC8-DIRECT-A-TILE-PROOF-001__stage48-integer-contract-nchwc8/artifacts/board-model5-logs/model5_m4n16_spatial_w2.tsv
