repeat	run	wall_us	input_us	core_us	dense_us	depthwise_us	attention_us	lut_us	concat_us	transform_us	head_us	process_cpu_us	voluntary_cs	involuntary_cs	affinity_ok	cpu4_7_ime_count	hash
0	85	134031	2232.82	20315.6	67383.1	15850.8	11367.5	7645.29	3967.23	2496.4	2677.11	668109	0	3	1	0	0xd43f5e018b415631
0	86	135318	4146.73	20207.7	67202.4	15851.2	11355.5	7452.66	3816.27	2512.23	2681.11	676591	0	0	1	0	0xd43f5e018b415631
0	87	133673	2194.03	20240.3	67443.8	15787.8	11373.4	7420.54	3941.02	2502.07	2678.44	660738	0	0	1	0	0xd43f5e018b415631
0	88	133798	2515.15	20214	67007.8	15832.4	11395.4	7598.08	3989.81	2504.57	2648.86	653295	0	0	1	0	0xd43f5e018b415631
0	89	133572	2211.9	20275.3	67405.5	15697.8	11372.2	7329.66	4003.69	2503.36	2683.07	660833	0	0	1	0	0xd43f5e018b415631
0	90	133916	2464.82	20117	67087.5	15933.1	11378.9	7705.91	3955.27	2530.15	2647.98	653911	0	1	1	0	0xd43f5e018b415631
0	91	134315	2505.57	20303.5	67391.1	15691.9	11361.3	7712.08	3930.85	2579.94	2745.48	661431	0	3	1	0	0xd43f5e018b415631
0	92	133715	2235.11	20248.6	67030.8	15860.4	11373.9	7600.16	4066.35	2542.86	2664.15	666679	1	2	1	0	0xd43f5e018b415631
0	93	134057	2208.4	20097.8	67738	15804.5	11367.4	7656.04	3906.06	2547.48	2639.57	659359	0	1	1	0	0xd43f5e018b415631
0	94	134364	2276.57	20262.6	67773.7	15840.2	11414	7628.66	3904.73	2504.86	2666.73	666336	0	0	1	0	0xd43f5e018b415631
0	95	133454	2270.07	20089.6	67075.6	15867.5	11375.8	7540.91	3965.35	2535.28	2642.94	655104	0	0	1	0	0xd43f5e018b415631
0	96	133889	2240.11	20207.8	67639.9	15769.2	11387.8	7446.54	3908.43	2506.36	2688.07	664796	0	0	1	0	0xd43f5e018b415631
0	97	133382	2200.03	20080.8	67218.3	15749.9	11299.1	7549.04	3976.35	2561.32	2651.23	655832	0	0	1	0	0xd43f5e018b415631
0	98	133476	2243.61	20148.9	67209.2	15793.4	11388.7	7515.08	3897.48	2508.69	2677.4	665415	0	1	1	0	0xd43f5e018b415631
0	99	133730	2189.7	20278.8	67467.5	15712.6	11354.3	7439	3950.1	2562.73	2681.07	658935	0	0	1	0	0xd43f5e018b415631
1	0	134301	2422.99	20355.7	67266.9	15875.9	11342.2	7591.91	4154.06	2505.78	2691.82	667416	0	3	1	0	0xd43f5e018b415631
1	1	133141	2187.2	20136.9	66899.5	15805.1	11318.7	7634.17	3862.52	2520.23	2688.03	656318	0	0	1	0	0xd43f5e018b415631
1	2	134153	2238.95	20209	67473.8	15878.9	11364.8	7610.54	4118.35	2502.57	2662.61	667839	0	0	1	0	0xd43f5e018b415631
1	3	133086	2207.82	20047	67076.9	15745.2	11392.8	7401.29	3913.56	2524.61	2683.82	657285	0	1	1	0	0xd43f5e018b415631
1	4	133839	2240.99	20195.2	67031.1	15928.2	11362.5	7710.11	4028.1	2546.94	2680.98	668800	0	0	1	0	0xd43f5e018b415631
1	5	134573	2523.57	20182.2	67808.2	15773.7	11353.1	7621.53	4012.14	2566.36	2641.44	661173	0	1	1	0	0xd43f5e018b415631
1	6	133852	2231.45	20160.5	67725.1	15805.5	11331.3	7360.29	3990.06	2491.24	2660.78	665128	1	3	1	0	0xd43f5e018b415631
1	7	134105	2216.15	20206.8	67576.3	15834.1	11371.9	7547.91	4054.18	2564.61	2638.82	657041	0	1	1	0	0xd43f5e018b415631
1	8	133741	2272.65	20252.8	67284.9	15814.1	11385.9	7536.25	3908.18	2497.61	2698.07	663365	0	1	1	0	0xd43f5e018b415631
1	9	133736	2499.49	20116.3	67179	15872.8	11364.1	7513.54	3924.69	2534.69	2639.69	655557	0	0	1	0	0xd43f5e018b415631
1	10	133313	2244.82	20307.6	66997.3	15763.9	11317.7	7529.92	3859.56	2531.53	2668.28	663212	1	0	1	0	0xd43f5e018b415631
1	11	133657	2201.61	20130	67540.1	15733.3	11284.5	7633.41	3840.44	2559.23	2647.15	657394	0	0	1	0	0xd43f5e018b415631
1	12	133914	2243.86	20217	67337	15819.6	11358.2	7841.91	3839.31	2491.86	2672.82	666144	0	0	1	0	0xd43f5e018b415631
1	13	133443	2188.82	20168.7	67338.1	15747.6	11364.6	7381.95	3915.48	2559.69	2688.32	657025	0	1	1	0	0xd43f5e018b415631
1	14	133771	2233.82	20291.2	67265.7	16044.4	11369.8	7436.24	3869.77	2498.4	2667.86	666693	0	1	1	0	0xd43f5e018b415631
1	15	134316	2527.9	20161.8	67602.4	15734.9	11362	7540.37	4020.31	2623.15	2651.73	659228	0	2	1	0	0xd43f5e018b415631
1	16	134078	2320.32	20124.8	67352.1	15815.9	11371.7	7890.75	3938.64	2498.99	2671.4	664918	0	0	1	0	0xd43f5e018b415631
1	17	133837	2203.2	20172.1	67200.7	15870.2	11333	7525.29	4285.52	2500.9	2655.07	655390	1	0	1	0	0xd43f5e018b415631
1	18	133782	2236.49	20360.5	67297.6	15781.9	11399.3	7552.08	3875.77	2518.32	2667.15	662996	0	1	1	0	0xd43f5e018b415631
1	19	133804	2195.24	20063.7	67229.4	15767.5	11380.1	7777.74	4142.35	2496.4	2657.11	655071	0	0	1	0	0xd43f5e018b415631
1	20	133878	2260.49	20186	67394.8	15818.5	11499.3	7539.41	3887.35	2502.49	2693.23	662834	0	2	1	0	0xd43f5e018b415631
1	21	133705	2255.82	20293.5	66973	15791.8	11401.8	7567	4164.98	2512.15	2649.23	653969	0	2	1	0	0xd43f5e018b415631
1	22	134233	2238.28	20096.8	67591.5	15810.7	11444	7837.58	3945.85	2500.32	2676.11	662872	0	1	1	0	0xd43f5e018b415631
1	23	133841	2441.19	20179.4	67197.5	15958.7	11319.5	7571.04	3899.35	2502.78	2682.78	668612	0	1	1	0	0xd43f5e018b415631
1	24	133613	2200.49	20272.2	67332.9	15724.9	11402.3	7495.12	3933.68	2489.11	2670.23	660244	0	0	1	0	0xd43f5e018b415631
1	25	133941	2254.24	20345.8	67280.2	15850.7	11360.2	7450.21	4090.6	2540.07	2676.23	669121	0	0	1	0	0xd43f5e018b415631
1	26	133415	2196.82	20089.6	67045.9	15737.9	11441.6	7683.54	3947.64	2510.57	2674.73	659909	0	0	1	0	0xd43f5e018b415631
1	27	133667	2245.03	19993.8	67547.2	15759.2	11397.4	7523	3964.98	2504.11	2639.32	653591	0	0	1	0	0xd43f5e018b415631
1	28	133860	2206.53	20209.4	67248.3	15790	11405.3	7758.96	3952.98	2497.82	2679.74	662170	0	1	1	0	0xd43f5e018b415631
1	29	133775	2526.9	20111.7	67185.4	15740.7	11501.1	7465.54	3944.85	2544.28	2660.15	653758	0	1	1	0	0xd43f5e018b415631
1	30	133970	2194.53	20335	67514.7	15827.3	11376.1	7501.33	3908.6	2536.24	2686.57	661652	1	3	1	0	0xd43f5e018b415631
1	31	133816	2225.49	20179	67206	15953.3	11359.4	7545.91	4037.06	2549.36	2667.99	668871	0	0	1	0	0xd43f5e018b415631
1	32	134208	2561.61	20090.8	67449.8	15745.7	11349.3	7723.75	3986.89	2535.73	2670.9	661163	0	0	1	0	0xd43f5e018b415631
1	33	133384	2232.36	20156.3	66998.9	15817.1	11386	7601.62	3899.48	2505.36	2692.28	666583	0	0	1	0	0xd43f5e018b415631
1	34	133748	2535.69	20170.8	67164.8	15788.9	11434.2	7437.78	3943.27	2503.28	2679.73	660260	0	0	1	0	0xd43f5e018b415631
1	35	133838	2478.32	20117.2	67201.7	15979.7	11324.1	7551.12	3900.19	2509.65	2681.32	668376	0	2	1	0	0xd43f5e018b415631
1	36	133934	2193.65	20261.3	67652.1	15744.5	11350.8	7454.29	3979.81	2537.19	2667.03	660153	1	2	1	0	0xd43f5e018b415631
1	37	133677	2238.03	20167.7	67191.3	15900.6	11370.6	7694.91	3815.89	2522.86	2680.11	667248	1	1	1	0	0xd43f5e018b415631
1	38	133854	2189.74	20367.2	67365.6	15797.4	11322	7530.33	3961.64	2556.28	2672.99	659834	0	1	1	0	0xd43f5e018b415631
1	39	133556	2225.82	20107.5	67345.1	15917.5	11357.4	7374.04	3956.52	2503.95	2680.48	667236	0	0	1	0	0xd43f5e018b415631
1	40	133458	2190.65	20371	66953.2	15777.1	11451.4	7459.08	3995.73	2487.61	2680.9	660038	0	0	1	0	0xd43f5e018b415631
1	41	133344	2241.49	20322.4	66851.4	15810.3	11342.4	7475.7	4033.69	2534.65	2639.69	653240	0	0	1	0	0xd43f5e018b415631
1	42	134212	2250.07	20266.1	67569.7	15827.7	11443.1	7600.17	3992.52	2499.15	2671.49	663710	1	0	1	0	0xd43f5e018b415631
1	43	133876	2230.7	20289.3	67074.3	15895.2	11368.4	7671.12	4121.6	2489.48	2641.65	665606	0	1	1	0	0xd43f5e018b415631
1	44	133993	2192.03	20250	67527	15674	11365.2	7701.67	3991.48	2511.19	2688.61	661224	0	2	1	0	0xd43f5e018b415631
1	45	134016	2460.44	20090.7	67525.7	15909	11409.2	7361.49	3953.89	2535.07	2677.28	668252	0	1	1	0	0xd43f5e018b415631
1	46	133548	2194.95	20261.9	66992.5	15678.6	11348.6	7703.99	4072.22	2535.86	2669.03	658863	0	0	1	0	0xd43f5e018b415631
1	47	133518	2257.82	20209.4	67018.8	15992.7	11378.1	7381.2	3998.89	2511.19	2678.11	667514	0	0	1	0	0xd43f5e018b415631
1	48	133497	2190.78	20120.2	67047.5	15722.8	11460.2	7664.49	4036.35	2488.98	2676.28	660629	0	0	1	0	0xd43f5e018b415631
1	49	133945	2249.86	20054.6	67184.8	15817.4	11384.9	7975.24	4013.31	2528.19	2644.07	654196	0	0	1	0	0xd43f5e018b415631
1	50	133923	2194.11	20182.6	67305.9	15897.7	11385.1	7615.33	4008.89	2539.98	2677.15	661166	0	2	1	0	0xd43f5e018b415631
1	51	134076	2314.15	20220.4	67439.9	15868.5	11354.3	7689.5	3928.43	2504.15	2663.36	668738	0	2	1	0	0xd43f5e018b415631
1	52	134347	2179.15	20264.2	67703.9	15895.3	11332.4	7683	3972.23	2570.78	2653.44	659878	0	1	1	0	0xd43f5e018b415631
1	53	133941	2331.82	20313	67074.4	15892.6	11350.9	7590.17	4101.27	2520.36	2677.28	665111	0	1	1	0	0xd43f5e018b415631
1	54	133944	2206.82	20086	67493.1	15871.5	11349.5	7611.04	4063.1	2531.07	2636.86	656556	0	0	1	0	0xd43f5e018b415631
1	55	133359	2234.2	20226	67194.9	15807.7	11348.2	7374.88	3918.23	2504.19	2658.11	663271	0	0	1	0	0xd43f5e018b415631
1	56	133720	2220.24	20211.4	67257.3	15730.2	11355.1	7646.04	3996.1	2554.03	2659.99	657297	0	0	1	0	0xd43f5e018b415631
1	57	134459	2232.2	20330.1	67800.4	15701.2	11409.6	7578.5	4140.44	2494.73	2679.15	666132	0	1	1	0	0xd43f5e018b415631
1	58	133544	2344.44	20153.3	67030	15857.7	11382.7	7648.79	3849.19	2530.53	2652.86	654504	0	1	1	0	0xd43f5e018b415631
1	59	133673	2245.95	20175.2	67280	15814.2	11370.3	7536.66	3963.73	2501.4	2691.4	663515	0	1	1	0	0xd43f5e018b415631
1	60	133579	2189.45	20287.6	66990.7	15901.4	11409.4	7430.25	4051.06	2577.82	2651.78	655805	0	2	1	0	0xd43f5e018b415631
1	61	133727	2264.4	20234.3	67288.4	15877.5	11322.6	7598.67	3864.02	2502.2	2683.53	664538	1	0	1	0	0xd43f5e018b415631
1	62	133624	2527.32	20159.6	67216.4	15797.4	11306.6	7430.41	3885.9	2559.24	2647.69	656595	0	0	1	0	0xd43f5e018b415631
