source_run	scene_id	camera_mode	illumination_note	distance_m	distance_status	letterbox_shorter_side_bin	processed_index	measured	source_sequence	class_id	class_name	confidence	original_x1	original_y1	original_x2	original_y2	original_width	original_height	original_area	letterbox_x1	letterbox_y1	letterbox_x2	letterbox_y2	letterbox_width	letterbox_height	letterbox_area
release-c5-r3	fixed-wall-poster	1280x720@60_MJPG	stable-indoor-board-session		not-measured	>=96	795	1	1342	0	person	0.265251	7.699219	6.696289	1268.052734	704.469727	1260.353516	697.773438	879441.205063	3.849609	143.348145	634.026367	492.234863	630.176758	348.886719	219860.301266
release-c5-r3	fixed-wall-poster	1280x720@60_MJPG	stable-indoor-board-session		not-measured	>=96	800	1	1350	0	person	0.265251	16.420898	6.696289	1276.774414	717.552734	1260.353516	710.856445	895930.419954	8.210449	143.348145	638.387207	498.776367	630.176758	355.428223	223982.604989
release-c5-r3	fixed-wall-poster	1280x720@60_MJPG	stable-indoor-board-session		not-measured	>=96	806	1	1361	0	person	0.265251	7.699219	6.696289	1272.413086	717.552734	1264.713867	710.856445	899030.003966	3.849609	143.348145	636.206543	498.776367	632.356934	355.428223	224757.500992
release-c5-r3	fixed-wall-poster	1280x720@60_MJPG	stable-indoor-board-session		not-measured	>=96	828	1	1398	0	person	0.265251	3.337891	6.696289	1272.413086	704.469727	1269.075195	697.773438	885526.961479	1.668945	143.348145	636.206543	492.234863	634.537598	348.886719	221381.740370
release-c5-r3	fixed-wall-poster	1280x720@60_MJPG	stable-indoor-board-session		not-measured	>=96	839	1	1416	0	person	0.265251	16.420898	6.696289	1272.413086	717.552734	1255.992188	710.856445	892830.141747	8.210449	143.348145	636.206543	498.776367	627.996094	355.428223	223207.535437
release-c5-r3	fixed-wall-poster	1280x720@60_MJPG	stable-indoor-board-session		not-measured	>=96	846	1	1428	0	person	0.265251	16.420898	6.696289	1268.052734	713.191406	1251.631836	706.495117	884271.780606	8.210449	143.348145	634.026367	496.595703	625.815918	353.247559	221067.945152
release-c5-r3	fixed-wall-poster	1280x720@60_MJPG	stable-indoor-board-session		not-measured	>=96	883	1	1490	0	person	0.265251	25.143555	6.696289	1276.774414	708.831055	1251.630859	702.134766	878813.540096	12.571777	143.348145	638.387207	494.415527	625.815430	351.067383	219703.385024
release-c5-r3	fixed-wall-poster	1280x720@60_MJPG	stable-indoor-board-session		not-measured	>=96	892	1	1505	0	person	0.375328	12.059570	6.696289	1259.330078	713.191406	1247.270508	706.495117	881190.523582	6.029785	143.348145	629.665039	496.595703	623.635254	353.247559	220297.630895
release-c5-r3	fixed-wall-poster	1280x720@60_MJPG	stable-indoor-board-session		not-measured	>=96	896	1	1512	0	person	0.265251	16.420898	6.696289	1268.052734	713.191406	1251.631836	706.495117	884271.780606	8.210449	143.348145	634.026367	496.595703	625.815918	353.247559	221067.945152
release-c5-r3	fixed-wall-poster	1280x720@60_MJPG	stable-indoor-board-session		not-measured	>=96	932	1	1573	0	person	0.265251	12.059570	11.056641	1263.691406	708.831055	1251.631836	697.774414	873356.670943	6.029785	145.528320	631.845703	494.415527	625.815918	348.887207	218339.167736
release-c5-r3	fixed-wall-poster	1280x720@60_MJPG	stable-indoor-board-session		not-measured	>=96	938	1	1583	0	person	0.265251	3.337891	6.696289	1272.413086	713.191406	1269.075195	706.495117	896595.428832	1.668945	143.348145	636.206543	496.595703	634.537598	353.247559	224148.857208
release-c5-r3	fixed-wall-poster	1280x720@60_MJPG	stable-indoor-board-session		not-measured	>=96	946	1	1596	0	person	0.265251	25.143555	6.696289	1272.413086	704.469727	1247.269531	697.773438	870311.548309	12.571777	143.348145	636.206543	492.234863	623.634766	348.886719	217577.887077
release-c5-r3	fixed-wall-poster	1280x720@60_MJPG	stable-indoor-board-session		not-measured	>=96	952	1	1606	0	person	0.265251	0.000000	6.696289	1272.413086	713.191406	1272.413086	706.495117	898953.632260	0.000000	143.348145	636.206543	496.595703	636.206543	353.247559	224738.408065
release-c5-r3	fixed-wall-poster	1280x720@60_MJPG	stable-indoor-board-session		not-measured	>=96	954	1	1610	0	person	0.265251	0.000000	6.696289	1276.774414	713.191406	1276.774414	706.495117	902034.889285	0.000000	143.348145	638.387207	496.595703	638.387207	353.247559	225508.722321
release-c5-r3	fixed-wall-poster	1280x720@60_MJPG	stable-indoor-board-session		not-measured	>=96	970	1	1637	0	person	0.265251	16.420898	6.696289	1263.691406	713.191406	1247.270508	706.495117	881190.523582	8.210449	143.348145	631.845703	496.595703	623.635254	353.247559	220297.630895
release-c5-r3	fixed-wall-poster	1280x720@60_MJPG	stable-indoor-board-session		not-measured	>=96	984	1	1660	0	person	0.265251	12.059570	2.334961	1263.691406	713.191406	1251.631836	710.856445	889730.557734	6.029785	141.167480	631.845703	496.595703	625.815918	355.428223	222432.639434
release-c5-r3	fixed-wall-poster	1280x720@60_MJPG	stable-indoor-board-session		not-measured	>=96	1029	1	1736	0	person	0.265251	25.143555	6.696289	1276.774414	704.469727	1251.630859	697.773438	873354.767227	12.571777	143.348145	638.387207	492.234863	625.815430	348.886719	218338.691807
release-c5-r3	fixed-wall-poster	1280x720@60_MJPG	stable-indoor-board-session		not-measured	>=96	1030	1	1738	0	person	0.265251	12.059570	2.334961	1276.774414	708.831055	1264.714844	706.496094	893516.096817	6.029785	141.167480	638.387207	494.415527	632.357422	353.248047	223379.024204
release-c5-r3	fixed-wall-poster	1280x720@60_MJPG	stable-indoor-board-session		not-measured	>=96	1052	1	1775	0	person	0.265251	3.337891	6.696289	1276.774414	713.191406	1273.436523	706.495117	899676.685857	1.668945	143.348145	638.387207	496.595703	636.718262	353.247559	224919.171464
release-c5-r3	fixed-wall-poster	1280x720@60_MJPG	stable-indoor-board-session		not-measured	>=96	1062	1	1791	0	person	0.265251	20.782227	6.696289	1263.691406	708.831055	1242.909180	702.134766	872689.745573	10.391113	143.348145	631.845703	494.415527	621.454590	351.067383	218172.436393
release-c5-r3	fixed-wall-poster	1280x720@60_MJPG	stable-indoor-board-session		not-measured	>=96	1066	1	1798	0	person	0.265251	7.699219	6.696289	1263.691406	713.191406	1255.992188	706.495117	887352.347694	3.849609	143.348145	631.845703	496.595703	627.996094	353.247559	221838.086924
