run	profile	flow	effective_format	measured_frames	captured_frames	dropped_frames	drop_pct	capture_fps	processed_fps	displayed_fps	recorded_frames	recording_fps	recording_mode	capture_ms_mean	capture_ms_p95	resize_letterbox_ms_mean	resize_letterbox_ms_p95	bgr_to_rgb_ms_mean	bgr_to_rgb_ms_p95	preprocess_ms_mean	preprocess_ms_p95	executor_ms_mean	executor_ms_p95	postprocess_ms_mean	postprocess_ms_p95	render_ms_mean	render_ms_p95	display_ms_mean	display_ms_p95	record_ms_mean	record_ms_p95	total_ms_mean	total_ms_p95	read_to_display_ms_mean	read_to_display_ms_p95
final-c3-r1	low-latency-dedicated	latest-frame	1280x720@60.000 MJPG	634	1108	443	39.981949	5.600819	3.514088	3.514088	664	3.356454	mjpg-avi	172.289587	199.538493	17.796640	22.576714	0.915844	0.997481	18.712484	23.463669	214.300546	229.942300	0.049787	0.054042	15.766777	23.357925	23.102618	31.097932	10.265342	16.528221	283.685720	299.865461	368.945204	428.268678
final-c3-r2	low-latency-dedicated	latest-frame	1280x720@60.000 MJPG	629	1071	411	38.375350	5.633918	3.484293	3.484293	659	3.466629	mjpg-avi	171.416760	200.844847	17.899832	22.555584	0.990099	1.180962	18.889932	23.494628	215.663371	227.242630	0.049798	0.056335	16.061739	23.752721	23.544402	31.029496	10.374374	16.825706	285.981094	299.761130	375.479859	436.009449
final-c3-r3	low-latency-dedicated	latest-frame	1280x720@60.000 MJPG	635	1067	401	37.582006	5.614299	3.517811	3.517811	665	3.499078	mjpg-avi	171.327687	200.374937	18.010607	22.486589	0.999022	1.336884	19.009629	23.638296	213.994134	226.840338	0.050288	0.055251	15.729019	23.248696	23.129263	30.638125	10.377709	16.815902	283.365490	299.636754	369.035549	430.115844
final-c4-r1	low-latency-dedicated	latest-frame	1280x720@60.000 MJPG	880	1123	212	18.878005	6.008837	4.880030	0.000000	0	0.000000	off	166.060276	172.170018	7.224446	12.817076	0.902647	4.620558	8.127093	13.391388	182.060553	190.279772	0.046238	0.048168	13.011405	18.353640	0.000000	0.000000	0.000000	0.000000	204.306044	217.603095	275.652726	352.921831
final-c4-r2	low-latency-dedicated	latest-frame	1280x720@60.000 MJPG	878	1223	314	25.674571	6.547723	4.871125	0.000000	0	0.000000	off	151.825715	170.796980	7.916132	12.850444	0.670598	0.598926	8.586730	13.402431	186.819922	201.372211	0.049028	0.046709	8.291415	16.865865	0.000000	0.000000	0.000000	0.000000	204.626807	220.756845	276.419786	351.923531
final-c4-r3	low-latency-dedicated	latest-frame	1280x720@60.000 MJPG	913	1152	208	18.055556	6.176923	5.065560	0.000000	0	0.000000	off	161.808700	170.896161	7.603713	12.830716	0.626898	0.587775	8.230611	13.368282	183.085055	195.558745	0.048954	0.044409	4.493914	8.673415	0.000000	0.000000	0.000000	0.000000	196.624232	210.954622	266.617457	342.998676
final-c5-r1	low-latency	latest-frame	1280x720@60.000 MJPG	999	1836	806	43.899782	9.852036	5.541417	5.541417	0	0.000000	off	98.179554	105.468463	5.310411	5.503526	0.730618	0.795374	6.041029	6.278079	154.022556	166.367842	0.045321	0.048092	10.193216	11.796288	9.323330	10.171874	0.000000	0.000000	179.885218	193.952648	230.591923	273.337024
final-c5-r2	low-latency	latest-frame	1280x720@60.000 MJPG	1008	1838	799	43.471164	9.863955	5.589368	5.589368	0	0.000000	off	98.182983	106.220735	5.219531	5.481336	0.729978	0.776410	5.949509	6.241013	152.720449	160.066395	0.047529	0.051001	10.118117	11.807474	9.256172	10.097837	0.000000	0.000000	178.355225	185.446818	228.649719	271.695099
final-c5-r3	low-latency	latest-frame	1280x720@60.000 MJPG	1008	1848	809	43.777056	9.916282	5.590393	5.590393	0	0.000000	off	97.555349	104.604791	5.219625	5.325885	0.724781	0.764106	5.944407	6.083341	152.672530	157.145647	0.049051	0.050653	10.140163	11.872695	9.206434	10.004092	0.000000	0.000000	178.272218	183.662492	227.955609	270.232417
final-c5-soak	low-latency	latest-frame	1280x720@60.000 MJPG	10527	18003	7445	41.354219	9.968258	5.847586	5.847586	0	0.000000	off	97.856291	104.520614	5.393893	5.625747	0.753384	0.830804	6.147277	6.400210	151.761120	156.540130	0.043831	0.047209	3.602924	4.623917	9.052402	9.848401	0.000000	0.000000	170.866676	176.083205	221.028807	262.619012
mode-mjpg-640x480	low-latency	latest-frame	640x480@60.000 MJPG	402	971	538	55.406797	14.929991	6.678999	0.000000	0	0.000000	off	66.499478	68.259436	1.101751	1.212937	0.548910	0.609217	1.650661	1.773295	145.201033	147.643239	0.041487	0.044163	2.411875	3.333780	0.000000	0.000000	0.000000	0.000000	149.530474	151.995777	181.315481	210.171856
mode-yuyv-640x480	low-latency	latest-frame	640x480@30.000 YUYV	400	998	567	56.813627	15.376946	6.655262	0.000000	0	0.000000	off	64.882751	68.131779	1.107270	1.182730	0.552671	0.598711	1.659941	1.737146	145.732157	150.819082	0.040872	0.042545	2.287825	2.467091	0.000000	0.000000	0.000000	0.000000	149.948598	155.050662	181.777897	210.413751
o2-gui-smoke	low-latency-dedicated	latest-frame	1280x720@60.000 MJPG	135	198	52	26.262626	5.952044	4.471467	4.471467	0	0.000000	off	166.565805	171.056257	7.381323	13.442138	1.111128	4.651883	8.492451	14.136926	183.191202	191.483813	0.048671	0.050359	15.558209	22.948018	14.268164	22.973406	0.000000	0.000000	222.198463	238.178493	279.812601	347.099635
rejected-clipped-final-c2-r1	low-latency-dedicated	latest-frame	1280x720@60.000 MJPG	807	1126	288	25.577265	5.994694	4.475971	4.475971	0	0.000000	off	166.508910	172.209080	7.736015	13.239761	1.054949	4.692287	8.790964	13.973646	183.834838	191.516015	0.045415	0.046793	14.612434	23.009666	14.533941	23.209650	0.000000	0.000000	222.627510	240.730406	289.729447	357.252077
release-c5-r1	low-latency	latest-frame	1280x720@60.000 MJPG	1065	1856	760	40.948276	9.979939	5.909227	5.909227	0	0.000000	off	97.757617	101.698763	5.206295	5.457468	0.700689	0.740734	5.906984	6.152065	150.399759	153.519395	0.041549	0.043418	3.371955	3.749323	8.993420	9.910039	0.000000	0.000000	168.973387	172.114763	218.768381	261.547628
release-c5-r2	low-latency	latest-frame	1280x720@60.000 MJPG	1066	1857	760	40.926225	9.980086	5.910860	5.910860	0	0.000000	off	97.708344	101.428866	5.302381	5.503533	0.705179	0.757818	6.007560	6.226831	150.248131	154.800488	0.041890	0.043324	3.373540	3.552907	8.949879	9.748254	0.000000	0.000000	168.882506	173.360570	219.017538	262.142888
release-c5-r3	low-latency	latest-frame	1280x720@60.000 MJPG	1069	1856	756	40.732759	9.981217	5.930506	5.930506	0	0.000000	off	98.090976	101.007532	5.317456	5.581487	0.704927	0.758524	6.022383	6.295907	149.516824	152.906932	0.041817	0.043834	3.415690	3.852994	9.105409	9.785697	0.000000	0.000000	168.361993	171.728670	218.361982	262.458531
release-c5-soak	low-latency	latest-frame	1280x720@60.000 MJPG	10679	18057	7347	40.687822	9.997112	5.931789	5.931789	0	0.000000	off	97.728780	101.893179	5.185476	5.446280	0.746084	0.854965	5.931560	6.207357	149.796870	153.256775	0.043288	0.045959	3.389724	3.496402	9.024409	9.729448	0.000000	0.000000	168.446368	172.001751	218.943088	261.562430
release-camera-demo-30s	low-latency	latest-frame	1280x720@60.000 MJPG	146	367	190	51.771117	9.881496	4.833642	4.833642	176	4.738854	mjpg-avi	96.353751	100.180339	12.699318	13.886487	0.950526	1.026145	13.649845	14.768245	161.032992	164.561889	0.045457	0.053522	3.475112	3.908774	17.910925	19.708632	8.418014	11.617401	205.379131	211.603285	256.761485	301.978901
windowfix-gui-smoke	low-latency	latest-frame	1280x720@60.000 MJPG	163	316	142	44.936709	9.610852	5.370435	5.370435	0	0.000000	off	99.898846	118.645300	5.300335	5.728520	0.724419	0.773320	6.024755	6.557161	159.060041	193.036620	0.049722	0.051801	10.245509	11.711651	9.310872	10.200458	0.000000	0.000000	184.946691	219.322716	236.403738	293.873530
aggregate-final-c0	compatibility	sequential	1280x720@60.000 MJPG	2440	2530	0	0.000000	4.506850	4.513202	0.000000	0	0.000000	off	51.688038	52.552239	5.000518	5.088052	0.543292	0.591301	5.543810	5.648539	160.471267	167.053418	0.040526	0.040959	3.354972	3.464844	0.000000	0.000000	0.000000	0.000000	221.320488	228.613966	169.629837	176.199555
aggregate-final-c1	low-latency	latest-frame	1280x720@60.000 MJPG	3463	5544	1988	35.858586	9.971951	6.402964	0.000000	0	0.000000	off	99.769968	100.822297	5.077574	5.298572	0.554523	0.598512	5.632097	5.879073	146.498183	149.809883	0.042069	0.044036	3.511214	4.548095	0.000000	0.000000	0.000000	0.000000	155.919572	159.268864	205.548675	250.277025
aggregate-final-c2	low-latency-dedicated	latest-frame	1280x720@60.000 MJPG	2361	3380	926	27.396450	5.993605	4.364351	4.364351	0	0.000000	off	166.337025	174.017380	8.078397	13.565508	1.307686	4.972730	9.386083	14.534313	187.966006	196.293860	0.047200	0.050542	14.459922	23.026796	15.517571	23.176382	0.000000	0.000000	228.337338	249.592256	297.681482	367.764153
aggregate-final-c3	low-latency-dedicated	latest-frame	1280x720@60.000 MJPG	1898	3246	1255	38.662970	5.616138	3.505395	3.505395	1988	3.439589	mjpg-avi	171.678515	200.362274	17.902423	22.542372	0.968281	1.212662	18.870704	23.574870	214.649674	227.317149	0.049958	0.055466	15.851895	23.305563	23.257940	31.035477	10.339069	16.788180	284.339273	299.732258	371.141024	432.518588
aggregate-final-c4	low-latency-dedicated	latest-frame	1280x720@60.000 MJPG	2671	3498	734	20.983419	6.244483	4.938894	0.000000	0	0.000000	off	159.927879	171.792886	7.581455	12.835104	0.732112	0.785157	8.313568	13.389765	183.975228	197.531559	0.048083	0.047667	8.548425	17.826244	0.000000	0.000000	0.000000	0.000000	201.785691	217.458129	272.816439	349.525735
aggregate-final-c5	low-latency	latest-frame	1280x720@60.000 MJPG	3015	5522	2414	43.716045	9.877425	5.573729	5.573729	0	0.000000	off	97.972011	105.300793	5.249675	5.465242	0.728453	0.778561	5.978128	6.245151	153.135873	161.375182	0.047306	0.050500	10.150371	11.820946	9.261796	10.082567	0.000000	0.000000	178.834426	187.799318	229.061194	271.674422
aggregate-release-c5	low-latency	latest-frame	1280x720@60.000 MJPG	3200	5569	2276	40.869097	9.980414	5.916864	5.916864	0	0.000000	off	97.852566	101.376354	5.275438	5.539801	0.703601	0.755640	5.979039	6.263367	150.054292	153.694789	0.041752	0.043626	3.387093	3.774873	9.016327	9.809358	0.000000	0.000000	168.738869	172.120384	218.715619	262.011456
