arm	operation_index	M	N	K	source_file	event	worker_samples	cycles_mean_per_worker	event_mean_per_worker	event_per_cycle	all_available	all_time_running
candidate	133	6400	80	64	shapes_l1d_read_access.log	l1d_read_access	4	10035553.000000	1869170.000000	0.186254808	1	1
candidate	133	6400	80	64	shapes_l1d_read_miss.log	l1d_read_miss	4	10064342.750000	13291.000000	0.001320603	1	1
candidate	133	6400	80	64	shapes_l1i_read_access.log	l1i_read_access	4	9975149.500000	4339029.250000	0.434983882	1	1
candidate	133	6400	80	64	shapes_l1i_read_miss.log	l1i_read_miss	4	9897726.750000	393.750000	0.000039782	1	1
candidate	144	6400	80	80	shapes_backend_stalls.log	backend_stalls	4	11529662.500000	5908227.750000	0.512437181	1	1
candidate	144	6400	80	80	shapes_dtlb_read_miss.log	dtlb_read_miss	4	11206821.250000	37833.250000	0.003375913	1	1
candidate	144	6400	80	80	shapes_dtlb_write_miss.log	dtlb_write_miss	4	11425849.750000	6370.750000	0.000557573	1	1
candidate	144	6400	80	80	shapes_frontend_stalls.log	frontend_stalls	4	11117039.250000	88930.000000	0.007999432	1	1
candidate	144	6400	80	80	shapes_instructions.log	instructions	4	11532522.750000	7191111.750000	0.623550623	1	1
candidate	144	6400	80	80	shapes_itlb_read_miss.log	itlb_read_miss	4	11545008.250000	112.000000	0.000009701	1	1
candidate	144	6400	80	80	shapes_l1d_read_access.log	l1d_read_access	4	11337752.000000	1962806.000000	0.173121268	1	1
candidate	144	6400	80	80	shapes_l1d_read_miss.log	l1d_read_miss	4	11746931.000000	24138.750000	0.002054898	1	1
candidate	144	6400	80	80	shapes_l1i_read_access.log	l1i_read_access	4	11421435.000000	4467063.250000	0.391112260	1	1
candidate	144	6400	80	80	shapes_l1i_read_miss.log	l1i_read_miss	4	11111192.000000	376.250000	0.000033862	1	1
candidate	161	1600	16	1152	shapes_backend_stalls.log	backend_stalls	4	10203401.250000	5669654.000000	0.555663142	1	1
candidate	161	1600	16	1152	shapes_dtlb_read_miss.log	dtlb_read_miss	4	10230520.750000	25249.000000	0.002468007	1	1
candidate	161	1600	16	1152	shapes_dtlb_write_miss.log	dtlb_write_miss	4	10337228.000000	1132.500000	0.000109555	1	1
candidate	161	1600	16	1152	shapes_frontend_stalls.log	frontend_stalls	4	10268297.250000	62980.750000	0.006133514	1	1
candidate	161	1600	16	1152	shapes_instructions.log	instructions	4	10214546.250000	6296948.750000	0.616468769	1	1
candidate	161	1600	16	1152	shapes_itlb_read_miss.log	itlb_read_miss	4	10774239.000000	289.750000	0.000026893	1	1
candidate	161	1600	16	1152	shapes_l1d_read_access.log	l1d_read_access	4	10245814.250000	1541217.750000	0.150424135	1	1
candidate	161	1600	16	1152	shapes_l1d_read_miss.log	l1d_read_miss	4	10147756.000000	33761.500000	0.003326992	1	1
candidate	161	1600	16	1152	shapes_l1i_read_access.log	l1i_read_access	4	10158230.500000	3905579.000000	0.384474343	1	1
candidate	161	1600	16	1152	shapes_l1i_read_miss.log	l1i_read_miss	4	10186587.500000	448.250000	0.000044004	1	1
candidate	201	400	16	2304	shapes_backend_stalls.log	backend_stalls	4	4784619.500000	2338673.000000	0.488789756	1	1
candidate	201	400	16	2304	shapes_dtlb_read_miss.log	dtlb_read_miss	4	4748142.750000	9923.000000	0.002089870	1	1
candidate	201	400	16	2304	shapes_dtlb_write_miss.log	dtlb_write_miss	4	4831956.000000	563.750000	0.000116671	1	1
candidate	201	400	16	2304	shapes_frontend_stalls.log	frontend_stalls	4	4795359.500000	41960.750000	0.008750282	1	1
candidate	201	400	16	2304	shapes_instructions.log	instructions	4	4748536.250000	3320239.000000	0.699213152	1	1
