block	cycle	position	arm	repeat	run	wall_us	input_us	core_us	dense_us	depthwise_us	attention_us	lut_us	concat_us	transform_us	head_us	process_cpu_us	voluntary_cs	involuntary_cs	affinity_ok	cpu4_7_ime_count	hash
1	0	1	B	0	34	152623	2198.59	19507.3	69872.7	15788	20746.6	9254.65	3858.11	2547.66	8755.41	758139	0	4	1	0	0xd43f5e018b415631
1	0	1	B	0	35	152107	2203.09	19503.8	70106.6	15732.6	20301.1	8947.96	3961.2	2494.82	8760.86	754521	0	0	1	0	0xd43f5e018b415631
1	0	1	B	0	36	151896	2186.84	19556.4	69669.1	15749.8	20321.6	9077.3	3984.07	2529.7	8727.78	752938	0	1	1	0	0xd43f5e018b415631
1	0	1	B	0	37	151753	2261.22	19560.6	69635	15875.1	20264	8863.83	3871.23	2601.33	8725.57	752361	0	1	1	0	0xd43f5e018b415631
1	0	1	B	0	38	152852	2256.26	19924.5	69918.9	15711.5	20915.1	8957.92	3745.68	2585.07	8742.28	753124	0	1	1	0	0xd43f5e018b415631
1	0	1	B	0	39	152494	2255.68	19686	69773.2	15687.2	20673.6	9060.79	3989.11	2493.03	8782.74	748860	0	1	1	0	0xd43f5e018b415631
1	0	1	B	0	40	156500	2243.93	21142.4	71699.8	15748.9	21153.8	8992.55	4080.16	2538.28	8809.49	782031	0	0	1	0	0xd43f5e018b415631
1	0	1	B	0	41	152577	2206.13	19603.8	69938.3	15678.5	20889.6	9041.38	3855.61	2543.9	8720.69	758647	0	3	1	0	0xd43f5e018b415631
1	0	1	B	0	42	152278	2200.17	19528.8	70089.9	15798	20427.1	9012.87	3876.07	2503.44	8746.28	755211	0	3	1	0	0xd43f5e018b415631
1	0	1	B	0	43	152832	2203.93	19570	69765.4	15735.1	20982.6	8964.25	4139.88	2646.99	8727.86	753727	0	1	1	0	0xd43f5e018b415631
1	0	1	B	0	44	152240	2295.85	19544	69713.1	15702.3	20733.8	8853.04	4040.04	2528.07	8734.4	748870	1	1	1	0	0xd43f5e018b415631
1	0	1	B	0	45	152944	2263.22	19611.6	69833	15732.7	21399.9	9017.09	3816.15	2504.19	8673.69	763633	0	2	1	0	0xd43f5e018b415631
1	0	1	B	0	46	152534	2197.01	19531.2	70325.9	15657.7	20751.6	8932	3803.52	2500.07	8736.86	758605	0	1	1	0	0xd43f5e018b415631
1	0	1	B	0	47	152184	2189.09	19607.8	70131.8	15676.5	20430.2	8888.28	3871.86	2537.2	8754.65	755265	0	3	1	0	0xd43f5e018b415631
1	0	1	B	0	48	153694	2188.17	19532.2	70681.1	16062.1	20825.5	8979.5	4000.12	2573.36	8758.82	754283	0	2	1	0	0xd43f5e018b415631
1	0	1	B	0	49	153595	2452.69	19648.1	70051.2	15723.4	21364	9065.55	3920.36	2549.24	8728.99	763424	0	1	1	0	0xd43f5e018b415631
1	0	1	B	0	50	152181	2175.22	19663.6	69950.5	15784.6	20303.6	9018.55	3901.45	2503.19	8786.74	754704	0	1	1	0	0xd43f5e018b415631
1	0	1	B	0	51	151783	2197.59	19591.1	69622	15760.6	20255.2	8962.33	3951.49	2556.11	8787.66	752772	0	1	1	0	0xd43f5e018b415631
1	0	1	B	0	52	152812	2187.3	19369.9	70217.6	15865.4	20950.6	8869.7	3987.61	2544.57	8724.86	753835	0	0	1	0	0xd43f5e018b415631
1	0	1	B	0	53	154875	2267.55	19608.8	69939.4	16900.5	21654.6	9093.8	3971.99	2575.2	8767.49	767547	0	2	1	0	0xd43f5e018b415631
1	0	1	B	0	54	153127	2369.35	19508.5	70129.8	15795.2	20862.5	9012.92	4053.74	2552.4	8746.44	752897	0	5	1	0	0xd43f5e018b415631
1	0	1	B	0	55	152887	2257.39	19701.9	69771	15715.5	21062.5	9076.01	3930.49	2546.36	8731.07	763460	0	0	1	0	0xd43f5e018b415631
1	0	1	B	0	56	152372	2188.47	19550.9	69829.7	15750.5	20796.1	9027.67	3867.77	2539.23	8728.19	758537	0	1	1	0	0xd43f5e018b415631
1	0	1	B	0	57	152011	2187.3	19588.9	69392.5	15730.9	20679.6	8876.66	4226.3	2498.94	8709.73	755781	0	1	1	0	0xd43f5e018b415631
1	0	1	B	0	58	152061	2195.55	19506.2	69840.6	15961.3	20548.1	8767.9	3883.32	2507.32	8754.65	754742	0	1	1	0	0xd43f5e018b415631
1	0	1	B	0	59	151815	2186.97	19705.9	69685.7	15722.1	20422.2	8813.4	3913.98	2499.48	8770.32	753493	0	2	1	0	0xd43f5e018b415631
1	0	1	B	0	60	152954	2184.59	19555.5	70050.7	15712.7	21005.6	9121.17	3954.41	2541.94	8731.9	754336	0	4	1	0	0xd43f5e018b415631
1	0	1	B	0	61	152314	2262.59	19596.6	69678	15671	20768.5	9110.67	3809.9	2580.65	8740.57	749158	0	1	1	0	0xd43f5e018b415631
1	0	1	B	0	62	152769	2257.22	19584.3	69866.9	15812.9	21102.1	8992.58	3761.64	2543.36	8754.69	763447	0	1	1	0	0xd43f5e018b415631
1	0	1	B	0	63	152858	2195.42	19723.1	69914.7	15730.2	20908	8965.95	4073.99	2550.36	8699.19	759272	0	5	1	0	0xd43f5e018b415631
1	0	1	B	0	64	152048	2185.59	19390.9	69956.5	15764.8	20478.4	8919.12	3969.32	2544.28	8738.24	754542	0	0	1	0	0xd43f5e018b415631
