operation_index	resident_operation_index	kind	scope	name	samples	mean_us	median_us	p95_us	implementation	confidence
179	-1	lut1	full_executor	/model.23/one2one_cv3.1/one2one_cv3.1.1/one2one_cv3.1.1.1/act/Mul_output_0_QuantizeLinear	50	43.42558	42.501	44.96365	stage56-selected-explicit-or-measured	50 complete profiled observations
18	-1	conv_dense	full_executor	/model.4/m.0/cv1/conv/Conv	50	1197.64424	1180.9360000000001	1254.5366	stage56-selected-explicit-or-measured	50 complete profiled observations
180	-1	lut2	full_executor	/model.22/m.0/m.0.0/Add_output_0_QuantizeLinear	50	52.007600000000004	50.6475	58.927	stage56-selected-explicit-or-measured	50 complete profiled observations
181	-1	conv_dense	full_executor	/model.23/one2one_cv3.1/one2one_cv3.1.2/Conv	50	620.73966	599.9165	654.6514999999999	stage56-selected-explicit-or-measured	50 complete profiled observations
182	-1	conv_dense	full_executor	/model.22/m.0/m.0.1/attn/qkv/conv/Conv	50	368.1318	359.929	401.45995	stage56-selected-explicit-or-measured	50 complete profiled observations
183	-1	split	full_executor	/model.22/m.0/m.0.1/attn/Split	50	241.47242000000003	239.675	241.2022	stage56-selected-explicit-or-measured	50 complete profiled observations
184	-1	split	full_executor	/model.22/m.0/m.0.1/attn/Split	50	483.47582	477.558	514.39215	stage56-selected-explicit-or-measured	50 complete profiled observations
185	-1	reshape_split_transpose	full_executor	/model.22/m.0/m.0.1/attn/Transpose	50	252.48368	247.69650000000001	283.19489999999996	stage56-selected-explicit-or-measured	50 complete profiled observations
186	-1	reshape	full_executor	/model.22/m.0/m.0.1/attn/Reshape_2	50	28.040100000000002	27.5425	32.351299999999995	stage56-selected-explicit-or-measured	50 complete profiled observations
187	-1	matmul	full_executor	/model.22/m.0/m.0.1/attn/MatMul	50	3049.23266	3042.6040000000003	3124.8383	stage56-selected-explicit-or-measured	50 complete profiled observations
188	-1	conv_grouped	full_executor	/model.22/m.0/m.0.1/attn/pe/conv/Conv	50	5405.72072	5353.35	5416.12695	stage56-selected-explicit-or-measured	50 complete profiled observations
189	-1	softmax_transpose	full_executor	/model.22/m.0/m.0.1/attn/Transpose_1	50	4635.9462	4585.1155	4618.7773	stage56-selected-explicit-or-measured	50 complete profiled observations
19	-1	lut1	fused_into_dense_conv	/model.4/m.0/cv1/act/Mul_output_0_QuantizeLinear	50	0.0	0.0	0.0	stage56-selected-explicit-or-measured	50 complete profiled observations
190	-1	matmul	full_executor	/model.22/m.0/m.0.1/attn/MatMul_1	50	758.5635000000001	755.5675	789.5456	stage56-selected-explicit-or-measured	50 complete profiled observations
191	-1	lut2	full_executor	/model.22/m.0/m.0.1/attn/Add_output_0_QuantizeLinear	50	1536.06502	1513.51	1545.7011	stage56-selected-explicit-or-measured	50 complete profiled observations
192	-1	conv_dense	full_executor	/model.22/m.0/m.0.1/attn/proj/conv/Conv	50	175.02932	170.9645	200.76919999999998	stage56-selected-explicit-or-measured	50 complete profiled observations
193	-1	lut2	full_executor	/model.22/m.0/m.0.1/Add_output_0_QuantizeLinear	50	70.85812	69.356	72.08529999999999	stage56-selected-explicit-or-measured	50 complete profiled observations
194	-1	conv_dense	full_executor	/model.22/m.0/m.0.1/ffn/ffn.0/conv/Conv	50	438.02584	429.452	464.6471	stage56-selected-explicit-or-measured	50 complete profiled observations
195	-1	lut1	fused_into_dense_conv	/model.22/m.0/m.0.1/ffn/ffn.0/act/Mul_output_0_QuantizeLinear	50	0.0	0.0	0.0	stage56-selected-explicit-or-measured	50 complete profiled observations
196	-1	conv_dense	full_executor	/model.22/m.0/m.0.1/ffn/ffn.1/conv/Conv	50	252.77944	247.7375	281.2699	stage56-selected-explicit-or-measured	50 complete profiled observations
197	-1	lut2	full_executor	/model.22/m.0/m.0.1/Add_1_output_0@/model.22/Concat_output_0_QuantizeLinear_Output	50	59.42528	58.356	61.23325	stage56-selected-explicit-or-measured	50 complete profiled observations
198	-1	concat	full_executor	/model.22/Concat	50	96.094	93.607	124.8578	stage56-selected-explicit-or-measured	50 complete profiled observations
199	-1	conv_dense	full_executor	/model.22/cv2/conv/Conv	50	731.8167	710.5450000000001	776.6660999999999	stage56-selected-explicit-or-measured	50 complete profiled observations
2	-1	lut1	full_executor	/model.0/act/Mul_output_0_QuantizeLinear	50	930.51026	913.4894999999999	990.8508499999999	stage56-selected-explicit-or-measured	50 complete profiled observations
20	-1	conv_dense	full_executor	/model.4/m.0/cv2/conv/Conv	50	899.4549000000001	881.697	924.1067	stage56-selected-explicit-or-measured	50 complete profiled observations
200	-1	lut1	fused_into_dense_conv	/model.22/cv2/act/Mul_output_0_QuantizeLinear	50	0.0	0.0	0.0	stage56-selected-explicit-or-measured	50 complete profiled observations
201	-1	conv_dense	full_executor	/model.23/one2one_cv2.2/one2one_cv2.2.0/conv/Conv	50	665.1169	646.7305	740.5108499999999	stage56-selected-explicit-or-measured	50 complete profiled observations
202	-1	conv_grouped	full_executor	/model.23/one2one_cv3.2/one2one_cv3.2.0/one2one_cv3.2.0.0/conv/Conv	50	406.21729999999997	390.24249999999995	446.77385	stage56-selected-explicit-or-measured	50 complete profiled observations
203	-1	lut1	full_executor	/model.23/one2one_cv2.2/one2one_cv2.2.0/act/Mul_output_0_QuantizeLinear	50	9.85622	9.5625	11.160599999999999	stage56-selected-explicit-or-measured	50 complete profiled observations
204	-1	lut1	full_executor	/model.23/one2one_cv3.2/one2one_cv3.2.0/one2one_cv3.2.0.0/act/Mul_output_0_QuantizeLinear	50	34.9444	33.9805	34.90695	stage56-selected-explicit-or-measured	50 complete profiled observations
205	-1	conv_dense	full_executor	/model.23/one2one_cv2.2/one2one_cv2.2.1/conv/Conv	50	53.06602	51.21	52.92685	stage56-selected-explicit-or-measured	50 complete profiled observations
206	-1	conv_dense	full_executor	/model.23/one2one_cv3.2/one2one_cv3.2.0/one2one_cv3.2.0.1/conv/Conv	50	167.53164	161.25549999999998	207.96484999999996	stage56-selected-explicit-or-measured	50 complete profiled observations
207	-1	lut1	full_executor	/model.23/one2one_cv2.2/one2one_cv2.2.1/act/Mul_output_0_QuantizeLinear	50	8.09698	7.792	9.421199999999999	stage56-selected-explicit-or-measured	50 complete profiled observations
208	-1	lut1	full_executor	/model.23/one2one_cv3.2/one2one_cv3.2.0/one2one_cv3.2.0.1/act/Mul_output_0_QuantizeLinear	50	16.854860000000002	15.543	21.85724999999998	stage56-selected-explicit-or-measured	50 complete profiled observations
209	-1	conv_dense	full_executor	/model.23/one2one_cv2.2/one2one_cv2.2.2/Conv	50	20.917379999999998	20.459	22.479649999999996	stage56-selected-explicit-or-measured	50 complete profiled observations
21	-1	lut2	full_executor	/model.4/m.0/Add_output_0@/model.4/Concat_output_0_QuantizeLinear_Output	50	214.73648	209.34050000000002	259.30885	stage56-selected-explicit-or-measured	50 complete profiled observations
210	-1	conv_grouped	full_executor	/model.23/one2one_cv3.2/one2one_cv3.2.1/one2one_cv3.2.1.0/conv/Conv	50	125.70514000000001	122.73349999999999	142.1628499999999	stage56-selected-explicit-or-measured	50 complete profiled observations
211	-1	lut1	full_executor	/model.23/one2one_cv3.2/one2one_cv3.2.1/one2one_cv3.2.1.0/act/Mul_output_0_QuantizeLinear	50	12.22372	11.7085	14.785899999999987	stage56-selected-explicit-or-measured	50 complete profiled observations
212	-1	conv_dense	full_executor	/model.23/one2one_cv3.2/one2one_cv3.2.1/one2one_cv3.2.1.1/conv/Conv	50	90.71064	89.086	91.30330000000001	stage56-selected-explicit-or-measured	50 complete profiled observations
213	-1	lut1	full_executor	/model.23/one2one_cv3.2/one2one_cv3.2.1/one2one_cv3.2.1.1/act/Mul_output_0_QuantizeLinear	50	18.034740000000003	17.792	19.167	stage56-selected-explicit-or-measured	50 complete profiled observations
214	-1	conv_dense	full_executor	/model.23/one2one_cv3.2/one2one_cv3.2.2/Conv	50	165.91898	160.901	201.49219999999997	stage56-selected-explicit-or-measured	50 complete profiled observations
22	-1	concat	full_executor	/model.4/Concat	50	369.1002	359.637	409.356	stage56-selected-explicit-or-measured	50 complete profiled observations
23	-1	conv_dense	full_executor	/model.4/cv2/conv/Conv	50	3229.95292	3177.4	3407.6061	stage56-selected-explicit-or-measured	50 complete profiled observations
25	1	conv	resident_core	/model.5/conv/Conv	50	3536.66098	3477.4935	3591.31295	stage56-selected-explicit-or-measured	50 complete profiled observations
27	2	conv	resident_core	/model.6/cv1/conv/Conv	50	1233.6463800000001	1205.333	1255.9239499999999	stage56-selected-explicit-or-measured	50 complete profiled observations
29	3	conv	resident_core	/model.6/m.0/cv1/conv/Conv	50	254.8587	248.59249999999997	293.34195	stage56-selected-explicit-or-measured	50 complete profiled observations
