block	cycle	position	arm	repeat	run	wall_us	input_us	core_us	dense_us	depthwise_us	attention_us	lut_us	concat_us	transform_us	head_us	process_cpu_us	voluntary_cs	involuntary_cs	affinity_ok	cpu4_7_ime_count	hash
0	0	0	A	0	62	150989	2251.05	19684.2	69673.2	15994.8	20673	7493.71	3869.44	2546.68	8707.71	746829	0	3	1	0	0xd43f5e018b415631
0	0	0	A	0	63	150062	2262.42	19386.3	69799.8	15709.6	20298.3	7537	3960.74	2492.97	8525.37	749165	0	1	1	0	0xd43f5e018b415631
0	0	0	A	0	64	151078	2192.59	19858.5	70066.6	15644.8	20770.6	7454.75	3831.9	2505.18	8660.21	740722	0	2	1	0	0xd43f5e018b415631
0	0	0	A	0	65	151053	2271.8	19439.4	69716.2	15840.8	21213.5	7516.84	3806.23	2506.64	8651.09	743778	0	1	1	0	0xd43f5e018b415631
0	0	0	A	0	66	150959	2249.38	19602.5	69867.5	15887.7	20683.9	7496.16	3863.82	2539.93	8674.3	746584	0	1	1	0	0xd43f5e018b415631
0	0	0	A	0	67	149956	2241.67	19459.2	69877.4	15710.9	20226.8	7510.05	3845.36	2500.64	8488.66	748406	0	2	1	0	0xd43f5e018b415631
0	0	0	A	0	68	151199	2180.29	19518	70223.2	15765.5	20798.1	7627.84	3810.15	2511.43	8675.13	740985	0	1	1	0	0xd43f5e018b415631
0	0	0	A	0	69	154435	2294.67	19658.6	72018.1	16460.9	21265.7	7528.2	3883.61	2581.14	8649.84	762525	0	2	1	0	0xd43f5e018b415631
0	0	0	A	0	70	151376	2274.71	19525.7	70205.8	15829.7	20723.3	7526.3	3943.61	2538.3	8711.21	748813	0	1	1	0	0xd43f5e018b415631
0	0	0	A	0	71	151447	2260.59	19641.3	69951.3	15807.1	20752	7735.38	3973.69	2544.52	8685.8	750640	0	0	1	0	0xd43f5e018b415631
0	0	0	A	0	72	150496	2258.88	19675.8	69761.4	15680.9	20328.2	7528.84	4035.74	2557.43	8574.17	750707	1	2	1	0	0xd43f5e018b415631
0	0	0	A	0	73	151136	2173.34	19497.2	70347.1	15630.3	20796.3	7549.79	3861.69	2501.81	8689.63	740743	0	0	1	0	0xd43f5e018b415631
0	0	0	A	0	74	150856	2188.29	19575.2	69533.9	15708.1	21215.1	7495.83	3856.19	2527.1	8662.21	742690	0	2	1	0	0xd43f5e018b415631
0	0	0	A	0	75	151705	2270.63	19626.1	70000.7	15816.5	21300.8	7533.17	3850.94	2500.72	8712.8	747094	1	3	1	0	0xd43f5e018b415631
0	0	0	A	0	76	151500	2256.76	19590.3	69763.4	15668.5	21343.6	7623.38	3971.24	2500.1	8687.25	747315	0	0	1	0	0xd43f5e018b415631
0	0	0	A	0	77	151200	2262.01	19542.9	70089.6	15852.4	20726.8	7526.16	3841.28	2581.06	8688.46	747505	0	3	1	0	0xd43f5e018b415631
0	0	0	A	0	78	151359	2265.96	19562.7	70297.9	15830.9	20768.1	7415.38	3915.61	2541.3	8668.17	750339	0	1	1	0	0xd43f5e018b415631
0	0	0	A	0	79	150342	2264.92	19637.8	69929.5	15618.7	20411.3	7418.46	3771.19	2535.81	8662.59	751289	0	1	1	0	0xd43f5e018b415631
