graph_index	node_name	block	shape_class	macs	mapping_case_id	mapping_rate_gmacs	central_us	conservative_us	evidence
630	/model.13/cv2/conv/Conv	model.13	1x1_low_resolution	39321600	7	2.980455	13193.153394	13609.531932	fullshape_integrated_m12n16_w4
639	/model.16/cv1/conv/Conv	model.16	1x1_high_resolution	104857600	2	2.966017	35353.000337	35383.165443	fullshape_integrated_m12n16_w4
647	/model.16/m.0/cv1/conv/Conv	model.16	1x1_high_resolution	3276800	2	2.966017	1104.781261	1105.723920	fullshape_integrated_m12n16_w4
648	/model.16/m.0/cv2/conv/Conv	model.16	1x1_high_resolution	3276800	2	2.966017	1104.781261	1105.723920	fullshape_integrated_m12n16_w4
659	/model.16/m.0/m/m.0/cv1/conv/Conv	model.16	3x3_stride1	14745600	3	1.406489	10483.978190	10501.620873	fullshape_integrated_m12n16_w4
666	/model.16/m.0/m/m.0/cv2/conv/Conv	model.16	3x3_stride1	14745600	3	1.406489	10483.978190	10501.620873	fullshape_integrated_m12n16_w4
674	/model.16/m.0/m/m.1/cv1/conv/Conv	model.16	3x3_stride1	14745600	3	1.406489	10483.978190	10501.620873	fullshape_integrated_m12n16_w4
681	/model.16/m.0/m/m.1/cv2/conv/Conv	model.16	3x3_stride1	14745600	3	1.406489	10483.978190	10501.620873	fullshape_integrated_m12n16_w4
690	/model.16/m.0/cv3/conv/Conv	model.16	1x1_high_resolution	6553600	2	2.966017	2209.562521	2211.447840	fullshape_integrated_m12n16_w4
698	/model.16/cv2/conv/Conv	model.16	1x1_high_resolution	39321600	2	2.966017	13257.375126	13268.687041	fullshape_integrated_m12n16_w4
705	/model.17/conv/Conv	model.17	3x3_stride2	58982400	4	8.940790	6597.000936	6669.775365	fullshape_integrated_m12n16_w4
706	/model.23/one2one_cv2.0/one2one_cv2.0.0/conv/Conv	model.23	3x3_stride1	58982400	3	1.406489	41935.912759	42006.483492	fullshape_integrated_m12n16_w4
707	/model.23/one2one_cv3.0/one2one_cv3.0.0/one2one_cv3.0.0.0/conv/Conv	model.23	grouped_or_depthwise_conv	3686400	-1	0.500000	7372.800000	11059.200000	conservative_unsupported_fallback
727	/model.23/one2one_cv2.0/one2one_cv2.0.1/conv/Conv	model.23	3x3_stride1	14745600	3	1.406489	10483.978190	10501.620873	fullshape_integrated_m12n16_w4
728	/model.23/one2one_cv3.0/one2one_cv3.0.0/one2one_cv3.0.0.1/conv/Conv	model.23	1x1_high_resolution	32768000	2	2.966017	11047.812605	11057.239201	fullshape_integrated_m12n16_w4
729	/model.19/cv1/conv/Conv	model.19	1x1_low_resolution	39321600	7	2.980455	13193.153394	13609.531932	fullshape_integrated_m12n16_w4
748	/model.23/one2one_cv2.0/one2one_cv2.0.2/Conv	model.23	small_n_head_conv	409600	8	0.240191	1705.309525	1762.550616	fullshape_integrated_m12n16_w4
749	/model.23/one2one_cv3.0/one2one_cv3.0.1/one2one_cv3.0.1.0/conv/Conv	model.23	grouped_or_depthwise_conv	4608000	-1	0.500000	9216.000000	13824.000000	conservative_unsupported_fallback
