fixture	fixture_kind	tensor_id	tensor_name	status	mismatches	max_abs_diff	custom_hash64	affinity_ok	first_mismatch_index	first_actual	first_expected
F2	random_4302	19	/model.8/Split_output_1_QuantizeLinear_Output	0	523	5	1674099013471175168	1	277	7	8
F2	random_4302	20	/model.8/m.0/cv1/act/Mul_output_0_QuantizeLinear_Output	0	274	3	1419309766149396573	1	11	18	20
F2	random_4302	22	/model.8/m.0/m/m.0/cv1/act/Mul_output_0_QuantizeLinear_Output	0	470	4	17311866155385370840	1	238	6	7
F2	random_4302	23	/model.8/m.0/m/m.0/cv2/conv/Conv_output_0_QuantizeLinear_Output	0	1672	3	7285206234180322913	1	50	119	120
F2	random_4302	24	/model.8/m.0/m/m.0/Add_output_0_QuantizeLinear_Output	0	1201	6	14193445476393181495	1	11	34	35
F2	random_4302	25	/model.8/m.0/m/m.1/cv1/act/Mul_output_0_QuantizeLinear_Output	0	1182	3	15450920829929864902	1	7	2	3
F2	random_4302	26	/model.8/m.0/m/m.1/cv2/conv/Conv_output_0_QuantizeLinear_Output	0	3752	3	7022643914552791337	1	12	147	148
F2	random_4302	28	/model.8/m.0/Concat_output_0_QuantizeLinear_Output	0	3952	5	17334665098388899199	1	12	39	40
F2	random_4302	30	/model.8/Concat_output_0_QuantizeLinear_Output	0	5611	7	17560560295724478651	1	296	56	58
F2	random_4302	31	/model.8/cv2/act/Mul_output_0_QuantizeLinear_Output	0	8427	7	10631238132829551535	1	6	3	4
F3	zero_point_structured	1	/model.4/cv2/act/Mul_output_0_QuantizeLinear_Output	0	0	0	7150282442234750989	1	819200	-1	-1
F3	zero_point_structured	2	/model.5/act/Mul_output_0_QuantizeLinear_Output	0	0	0	12443027413236350437	1	204800	-1	-1
F3	zero_point_structured	4	/model.6/Split_output_1_QuantizeLinear_Output	0	0	0	8328866894127310059	1	102400	-1	-1
F3	zero_point_structured	5	/model.6/m.0/cv1/act/Mul_output_0_QuantizeLinear_Output	0	0	0	65598920363789379	1	51200	-1	-1
F3	zero_point_structured	7	/model.6/m.0/m/m.0/cv1/act/Mul_output_0_QuantizeLinear_Output	0	0	0	15939081107070399864	1	51200	-1	-1
F3	zero_point_structured	8	/model.6/m.0/m/m.0/cv2/conv/Conv_output_0_QuantizeLinear_Output	0	0	0	15345524736855827119	1	51200	-1	-1
F3	zero_point_structured	9	/model.6/m.0/m/m.0/Add_output_0_QuantizeLinear_Output	0	0	0	18294228679985155283	1	51200	-1	-1
F3	zero_point_structured	10	/model.6/m.0/m/m.1/cv1/act/Mul_output_0_QuantizeLinear_Output	0	0	0	9820907517219797417	1	51200	-1	-1
F3	zero_point_structured	11	/model.6/m.0/m/m.1/cv2/conv/Conv_output_0_QuantizeLinear_Output	0	0	0	9796396336929841530	1	51200	-1	-1
F3	zero_point_structured	13	/model.6/m.0/Concat_output_0_QuantizeLinear_Output	0	0	0	1664685559114510584	1	102400	-1	-1
F3	zero_point_structured	15	/model.6/Concat_output_0_QuantizeLinear_Output	0	0	0	7812126066945191539	1	307200	-1	-1
F3	zero_point_structured	16	/model.6/cv2/act/Mul_output_0_QuantizeLinear_Output	0	0	0	10077252353052234469	1	204800	-1	-1
F3	zero_point_structured	17	/model.7/act/Mul_output_0_QuantizeLinear_Output	0	2	1	121150452794380856	1	79361	12	13
F3	zero_point_structured	19	/model.8/Split_output_1_QuantizeLinear_Output	0	6	2	16275935930912659614	1	7361	16	14
F3	zero_point_structured	20	/model.8/m.0/cv1/act/Mul_output_0_QuantizeLinear_Output	0	4	2	4911170947745364303	1	2961	1	0
F3	zero_point_structured	22	/model.8/m.0/m/m.0/cv1/act/Mul_output_0_QuantizeLinear_Output	0	27	2	12998398903405978834	1	4140	33	31
F3	zero_point_structured	23	/model.8/m.0/m/m.0/cv2/conv/Conv_output_0_QuantizeLinear_Output	0	251	2	18143357419454734001	1	120	117	118
F3	zero_point_structured	24	/model.8/m.0/m/m.0/Add_output_0_QuantizeLinear_Output	0	186	2	101226821368854426	1	120	10	11
F3	zero_point_structured	25	/model.8/m.0/m/m.1/cv1/act/Mul_output_0_QuantizeLinear_Output	0	246	2	262103677346319560	1	123	4	3
F3	zero_point_structured	26	/model.8/m.0/m/m.1/cv2/conv/Conv_output_0_QuantizeLinear_Output	0	1019	2	2116887097649113386	1	222	135	134
F3	zero_point_structured	28	/model.8/m.0/Concat_output_0_QuantizeLinear_Output	0	975	4	11856795825253159017	1	141	12	11
F3	zero_point_structured	30	/model.8/Concat_output_0_QuantizeLinear_Output	0	1567	3	400475611180949202	1	10161	3	4
F3	zero_point_structured	31	/model.8/cv2/act/Mul_output_0_QuantizeLinear_Output	0	2986	5	4569210657043762738	1	160	2	1
F4	edge_saturation	1	/model.4/cv2/act/Mul_output_0_QuantizeLinear_Output	0	0	0	4610385359331420647	1	819200	-1	-1
F4	edge_saturation	2	/model.5/act/Mul_output_0_QuantizeLinear_Output	0	0	0	13981790854264082969	1	204800	-1	-1
F4	edge_saturation	4	/model.6/Split_output_1_QuantizeLinear_Output	0	0	0	16611913385673512602	1	102400	-1	-1
F4	edge_saturation	5	/model.6/m.0/cv1/act/Mul_output_0_QuantizeLinear_Output	0	0	0	17291431035998913301	1	51200	-1	-1
F4	edge_saturation	7	/model.6/m.0/m/m.0/cv1/act/Mul_output_0_QuantizeLinear_Output	0	0	0	2421798111615809077	1	51200	-1	-1
F4	edge_saturation	8	/model.6/m.0/m/m.0/cv2/conv/Conv_output_0_QuantizeLinear_Output	0	0	0	16666481690547512375	1	51200	-1	-1
F4	edge_saturation	9	/model.6/m.0/m/m.0/Add_output_0_QuantizeLinear_Output	0	0	0	13117542945605444760	1	51200	-1	-1
F4	edge_saturation	10	/model.6/m.0/m/m.1/cv1/act/Mul_output_0_QuantizeLinear_Output	0	0	0	5379924790150775188	1	51200	-1	-1
F4	edge_saturation	11	/model.6/m.0/m/m.1/cv2/conv/Conv_output_0_QuantizeLinear_Output	0	0	0	16804717440170845971	1	51200	-1	-1
F4	edge_saturation	13	/model.6/m.0/Concat_output_0_QuantizeLinear_Output	0	0	0	4622506573322625249	1	102400	-1	-1
F4	edge_saturation	15	/model.6/Concat_output_0_QuantizeLinear_Output	0	0	0	5660500868923589898	1	307200	-1	-1
F4	edge_saturation	16	/model.6/cv2/act/Mul_output_0_QuantizeLinear_Output	0	0	0	3621112063120323321	1	204800	-1	-1
F4	edge_saturation	17	/model.7/act/Mul_output_0_QuantizeLinear_Output	0	0	0	12074049114905731190	1	102400	-1	-1
F4	edge_saturation	19	/model.8/Split_output_1_QuantizeLinear_Output	0	0	0	17175506268213837653	1	51200	-1	-1
F4	edge_saturation	20	/model.8/m.0/cv1/act/Mul_output_0_QuantizeLinear_Output	0	0	0	5202958516334291413	1	25600	-1	-1
F4	edge_saturation	22	/model.8/m.0/m/m.0/cv1/act/Mul_output_0_QuantizeLinear_Output	0	0	0	13401566741594350758	1	25600	-1	-1
F4	edge_saturation	23	/model.8/m.0/m/m.0/cv2/conv/Conv_output_0_QuantizeLinear_Output	0	0	0	6546434010117779052	1	25600	-1	-1
F4	edge_saturation	24	/model.8/m.0/m/m.0/Add_output_0_QuantizeLinear_Output	0	0	0	685717657989937601	1	25600	-1	-1
F4	edge_saturation	25	/model.8/m.0/m/m.1/cv1/act/Mul_output_0_QuantizeLinear_Output	0	0	0	18152714159287566273	1	25600	-1	-1
F4	edge_saturation	26	/model.8/m.0/m/m.1/cv2/conv/Conv_output_0_QuantizeLinear_Output	0	0	0	4713152442646520183	1	25600	-1	-1
F4	edge_saturation	28	/model.8/m.0/Concat_output_0_QuantizeLinear_Output	0	0	0	8770194907390658237	1	51200	-1	-1
F4	edge_saturation	30	/model.8/Concat_output_0_QuantizeLinear_Output	0	0	0	15581990050741861587	1	153600	-1	-1
F4	edge_saturation	31	/model.8/cv2/act/Mul_output_0_QuantizeLinear_Output	0	0	0	10894361315604534491	1	102400	-1	-1
F5	canonical_image	1	/model.4/cv2/act/Mul_output_0_QuantizeLinear_Output	0	0	0	7741817573614455166	1	819200	-1	-1
F5	canonical_image	2	/model.5/act/Mul_output_0_QuantizeLinear_Output	0	0	0	4237750016293473917	1	204800	-1	-1
F5	canonical_image	4	/model.6/Split_output_1_QuantizeLinear_Output	0	0	0	13023352540201877150	1	102400	-1	-1
F5	canonical_image	5	/model.6/m.0/cv1/act/Mul_output_0_QuantizeLinear_Output	0	0	0	10361188276585692368	1	51200	-1	-1
F5	canonical_image	7	/model.6/m.0/m/m.0/cv1/act/Mul_output_0_QuantizeLinear_Output	0	0	0	1342433360667073698	1	51200	-1	-1
F5	canonical_image	8	/model.6/m.0/m/m.0/cv2/conv/Conv_output_0_QuantizeLinear_Output	0	0	0	5420496275976586427	1	51200	-1	-1
F5	canonical_image	9	/model.6/m.0/m/m.0/Add_output_0_QuantizeLinear_Output	0	0	0	10439382742064863334	1	51200	-1	-1
F5	canonical_image	10	/model.6/m.0/m/m.1/cv1/act/Mul_output_0_QuantizeLinear_Output	0	0	0	7862157698138743023	1	51200	-1	-1
