selection_group	image_id	model	boundary_index	boundary_label	sign_crossings	zero_crossings	cpu_lower_ep_not	ep_lower_cpu_not	cpu_upper_ep_not	ep_upper_cpu_not
large-loss	217855	B2	3	P4_confidence	0	0	0	0	0	0
large-loss	217855	B2	4	P5_bbox	0	3	1	2	0	0
large-loss	217855	B2	5	P5_confidence	1	1	0	0	0	1
large-loss	217855	A1	0	P3_bbox	18	16	0	0	0	0
large-loss	217855	A1	1	P3_confidence	0	0	7	13	0	0
large-loss	217855	A1	2	P4_bbox	0	0	0	0	0	0
large-loss	217855	A1	3	P4_confidence	0	0	0	1	0	0
large-loss	217855	A1	4	P5_bbox	0	6	0	0	0	0
large-loss	217855	A1	5	P5_confidence	0	0	0	0	1	0
large-loss	245971	B2	0	P3_bbox	28	24	0	0	3	4
large-loss	245971	B2	1	P3_confidence	0	0	2	7	0	0
large-loss	245971	B2	2	P4_bbox	0	0	0	0	0	0
large-loss	245971	B2	3	P4_confidence	0	0	0	0	0	0
large-loss	245971	B2	4	P5_bbox	0	0	0	0	0	0
large-loss	245971	B2	5	P5_confidence	0	0	0	0	0	0
large-loss	245971	A1	0	P3_bbox	27	25	0	0	1	1
large-loss	245971	A1	1	P3_confidence	0	0	3	6	0	0
large-loss	245971	A1	2	P4_bbox	0	0	0	0	0	0
large-loss	245971	A1	3	P4_confidence	0	0	0	0	0	0
large-loss	245971	A1	4	P5_bbox	0	0	0	0	0	0
large-loss	245971	A1	5	P5_confidence	0	0	0	0	0	0
large-loss	297620	B2	0	P3_bbox	38	49	0	0	3	8
large-loss	297620	B2	1	P3_confidence	0	0	4	8	0	0
large-loss	297620	B2	2	P4_bbox	0	0	0	0	0	0
large-loss	297620	B2	3	P4_confidence	0	0	0	0	0	0
large-loss	297620	B2	4	P5_bbox	0	0	0	0	0	0
large-loss	297620	B2	5	P5_confidence	0	0	0	0	0	0
large-loss	297620	A1	0	P3_bbox	38	49	0	0	0	0
large-loss	297620	A1	1	P3_confidence	0	0	1	4	0	0
large-loss	297620	A1	2	P4_bbox	0	0	0	0	0	0
large-loss	297620	A1	3	P4_confidence	0	0	0	0	0	0
large-loss	297620	A1	4	P5_bbox	0	0	0	0	0	0
large-loss	297620	A1	5	P5_confidence	0	0	0	0	0	0
large-loss	308310	B2	0	P3_bbox	94	109	0	0	0	0
large-loss	308310	B2	1	P3_confidence	0	0	0	6	0	0
large-loss	308310	B2	2	P4_bbox	2	2	0	0	0	0
large-loss	308310	B2	3	P4_confidence	1	1	0	0	0	1
large-loss	308310	B2	4	P5_bbox	0	0	0	0	0	0
large-loss	308310	B2	5	P5_confidence	0	0	0	0	0	0
large-loss	308310	A1	0	P3_bbox	94	109	0	0	0	0
large-loss	308310	A1	1	P3_confidence	0	0	0	6	0	0
large-loss	308310	A1	2	P4_bbox	2	2	0	0	0	0
large-loss	308310	A1	3	P4_confidence	0	0	1	0	0	0
large-loss	308310	A1	4	P5_bbox	0	0	0	0	0	0
large-loss	308310	A1	5	P5_confidence	0	0	0	0	0	0
large-loss	334032	B2	0	P3_bbox	33	47	0	0	0	0
large-loss	334032	B2	1	P3_confidence	0	0	0	0	0	0
large-loss	334032	B2	2	P4_bbox	0	1	0	0	0	0
large-loss	334032	B2	3	P4_confidence	0	0	0	0	0	0
large-loss	334032	B2	4	P5_bbox	0	0	0	0	0	0
large-loss	334032	B2	5	P5_confidence	0	0	0	0	0	0
large-loss	334032	A1	0	P3_bbox	33	48	0	0	0	0
large-loss	334032	A1	1	P3_confidence	0	0	0	1	0	0
large-loss	334032	A1	2	P4_bbox	0	1	0	0	0	0
large-loss	334032	A1	3	P4_confidence	0	0	0	0	0	0
large-loss	334032	A1	4	P5_bbox	0	0	0	0	0	0
large-loss	334032	A1	5	P5_confidence	0	0	0	0	0	0
large-loss	375194	B2	0	P3_bbox	22	20	0	0	0	0
large-loss	375194	B2	1	P3_confidence	0	0	0	3	0	0
large-loss	375194	B2	2	P4_bbox	0	0	0	0	0	0
large-loss	375194	B2	3	P4_confidence	0	0	0	0	0	0
large-loss	375194	B2	4	P5_bbox	0	0	0	0	0	0
large-loss	375194	B2	5	P5_confidence	0	0	0	0	0	0
large-loss	375194	A1	0	P3_bbox	22	20	0	0	0	0
large-loss	375194	A1	1	P3_confidence	0	0	0	0	0	0
large-loss	375194	A1	2	P4_bbox	0	0	0	0	0	0
large-loss	375194	A1	3	P4_confidence	0	0	0	0	0	0
large-loss	375194	A1	4	P5_bbox	0	0	0	0	0	0
large-loss	375194	A1	5	P5_confidence	0	0	0	0	0	0
large-loss	375759	B2	0	P3_bbox	51	57	0	0	0	0
large-loss	375759	B2	1	P3_confidence	0	0	2	5	0	0
large-loss	375759	B2	2	P4_bbox	0	1	0	0	0	0
large-loss	375759	B2	3	P4_confidence	0	0	0	0	0	0
large-loss	375759	B2	4	P5_bbox	0	0	0	0	0	0
large-loss	375759	B2	5	P5_confidence	1	1	0	0	0	1
large-loss	375759	A1	0	P3_bbox	52	58	0	0	0	0
large-loss	375759	A1	1	P3_confidence	0	0	2	5	0	0
large-loss	375759	A1	2	P4_bbox	0	1	0	0	0	0
large-loss	375759	A1	3	P4_confidence	0	0	0	0	0	0
large-loss	375759	A1	4	P5_bbox	0	0	0	0	0	0
large-loss	375759	A1	5	P5_confidence	1	1	0	0	0	0
large-loss	389157	B2	0	P3_bbox	84	121	0	0	0	0
large-loss	389157	B2	1	P3_confidence	0	0	0	0	0	0
large-loss	389157	B2	2	P4_bbox	2	5	0	0	0	0
large-loss	389157	B2	3	P4_confidence	0	0	0	0	0	0
large-loss	389157	B2	4	P5_bbox	0	0	0	0	0	0
large-loss	389157	B2	5	P5_confidence	0	0	0	0	0	0
large-loss	389157	A1	0	P3_bbox	83	122	0	0	0	0
large-loss	389157	A1	1	P3_confidence	0	0	1	0	0	0
large-loss	389157	A1	2	P4_bbox	0	3	0	0	0	0
large-loss	389157	A1	3	P4_confidence	0	4	0	0	3	1
large-loss	389157	A1	4	P5_bbox	0	0	0	0	0	0
large-loss	389157	A1	5	P5_confidence	0	0	0	0	0	0
large-loss	424632	B2	0	P3_bbox	56	68	0	0	0	1
large-loss	424632	B2	1	P3_confidence	0	0	0	14	0	0
large-loss	424632	B2	2	P4_bbox	0	0	0	0	0	0
large-loss	424632	B2	3	P4_confidence	1	1	0	0	0	1
large-loss	424632	B2	4	P5_bbox	0	0	0	0	0	0
large-loss	424632	B2	5	P5_confidence	0	0	0	0	0	0
large-loss	424632	A1	0	P3_bbox	54	70	0	0	0	1
large-loss	424632	A1	1	P3_confidence	0	0	0	6	0	0
large-loss	424632	A1	2	P4_bbox	0	0	0	0	0	0
large-loss	424632	A1	3	P4_confidence	0	0	0	0	0	0
large-loss	424632	A1	4	P5_bbox	0	0	0	0	0	0
large-loss	424632	A1	5	P5_confidence	1	0	0	0	0	0
large-loss	430175	B2	0	P3_bbox	63	68	0	0	0	0
large-loss	430175	B2	1	P3_confidence	0	0	2	1	0	0
large-loss	430175	B2	2	P4_bbox	0	1	0	0	0	0
large-loss	430175	B2	3	P4_confidence	0	0	0	0	0	0
large-loss	430175	B2	4	P5_bbox	0	0	0	0	0	0
large-loss	430175	B2	5	P5_confidence	0	0	0	0	0	0
large-loss	430175	A1	0	P3_bbox	63	68	0	0	0	0
large-loss	430175	A1	1	P3_confidence	0	1	4	0	0	0
large-loss	430175	A1	2	P4_bbox	0	0	0	0	0	0
large-loss	430175	A1	3	P4_confidence	0	0	0	0	0	0
large-loss	430175	A1	4	P5_bbox	0	0	0	0	0	0
large-loss	430175	A1	5	P5_confidence	0	0	0	0	0	0
large-loss	469014	B2	0	P3_bbox	25	35	0	0	0	0
large-loss	469014	B2	1	P3_confidence	1	1	2	0	1	0
large-loss	469014	B2	2	P4_bbox	0	0	0	0	0	0
large-loss	469014	B2	3	P4_confidence	1	1	0	0	1	0
large-loss	469014	B2	4	P5_bbox	0	0	0	0	0	0
large-loss	469014	B2	5	P5_confidence	0	0	0	0	0	0
large-loss	469014	A1	0	P3_bbox	25	35	0	0	0	0
large-loss	469014	A1	1	P3_confidence	0	1	0	1	0	0
large-loss	469014	A1	2	P4_bbox	0	0	0	0	0	0
large-loss	469014	A1	3	P4_confidence	1	3	2	0	2	0
large-loss	469014	A1	4	P5_bbox	0	1	0	0	0	0
large-loss	469014	A1	5	P5_confidence	0	1	0	0	0	0
large-loss	473793	B2	0	P3_bbox	27	23	0	0	0	0
large-loss	473793	B2	1	P3_confidence	0	0	0	3	0	0
large-loss	473793	B2	2	P4_bbox	0	0	0	0	0	0
large-loss	473793	B2	3	P4_confidence	0	0	0	0	0	0
large-loss	473793	B2	4	P5_bbox	0	0	0	0	0	0
large-loss	473793	B2	5	P5_confidence	0	0	0	0	0	0
large-loss	473793	A1	0	P3_bbox	27	22	0	0	0	0
large-loss	473793	A1	1	P3_confidence	0	0	0	2	0	0
large-loss	473793	A1	2	P4_bbox	0	0	0	0	0	0
large-loss	473793	A1	3	P4_confidence	0	0	0	0	0	0
large-loss	473793	A1	4	P5_bbox	0	0	0	0	0	0
large-loss	473793	A1	5	P5_confidence	0	0	0	0	0	0
large-loss	533239	B2	0	P3_bbox	48	53	0	0	0	0
large-loss	533239	B2	1	P3_confidence	0	0	0	1	0	0
large-loss	533239	B2	2	P4_bbox	0	0	0	0	0	0
large-loss	533239	B2	3	P4_confidence	0	0	0	0	0	0
large-loss	533239	B2	4	P5_bbox	0	0	0	0	0	0
large-loss	533239	B2	5	P5_confidence	0	0	0	0	0	0
large-loss	533239	A1	0	P3_bbox	49	54	0	0	0	0
large-loss	533239	A1	1	P3_confidence	0	0	0	0	0	0
large-loss	533239	A1	2	P4_bbox	0	0	0	0	0	0
large-loss	533239	A1	3	P4_confidence	0	0	0	0	0	0
large-loss	533239	A1	4	P5_bbox	0	0	0	0	0	0
large-loss	533239	A1	5	P5_confidence	0	0	0	0	0	0
large-loss	540520	B2	0	P3_bbox	41	69	0	0	1	1
large-loss	540520	B2	1	P3_confidence	0	0	2	1	0	0
large-loss	540520	B2	2	P4_bbox	0	1	0	0	0	0
large-loss	540520	B2	3	P4_confidence	0	0	0	0	0	0
large-loss	540520	B2	4	P5_bbox	0	0	0	0	0	0
large-loss	540520	B2	5	P5_confidence	0	0	0	0	0	0
large-loss	540520	A1	0	P3_bbox	41	70	0	0	0	0
large-loss	540520	A1	1	P3_confidence	0	0	2	2	0	0
large-loss	540520	A1	2	P4_bbox	0	1	0	0	0	0
large-loss	540520	A1	3	P4_confidence	0	0	0	0	0	0
large-loss	540520	A1	4	P5_bbox	0	0	0	0	0	0
large-loss	540520	A1	5	P5_confidence	0	0	0	0	0	0
large-loss	2471	B2	0	P3_bbox	45	28	0	0	0	0
large-loss	2471	B2	1	P3_confidence	0	0	1	0	0	0
large-loss	2471	B2	2	P4_bbox	0	0	0	0	0	0
large-loss	2471	B2	3	P4_confidence	0	0	0	0	0	0
large-loss	2471	B2	4	P5_bbox	0	2	1	1	0	0
large-loss	2471	B2	5	P5_confidence	0	0	0	0	0	0
large-loss	2471	A1	0	P3_bbox	45	30	0	0	0	0
large-loss	2471	A1	1	P3_confidence	0	0	1	0	0	0
large-loss	2471	A1	2	P4_bbox	0	0	0	0	0	0
large-loss	2471	A1	3	P4_confidence	0	0	0	0	0	0
large-loss	2471	A1	4	P5_bbox	0	2	0	0	0	0
large-loss	2471	A1	5	P5_confidence	0	0	0	0	0	1
small-loss	94439	B2	0	P3_bbox	100	80	0	0	0	0
small-loss	94439	B2	1	P3_confidence	0	0	4	8	0	0
small-loss	94439	B2	2	P4_bbox	0	3	0	0	0	0
small-loss	94439	B2	3	P4_confidence	0	0	0	0	0	0
small-loss	94439	B2	4	P5_bbox	0	0	0	0	0	0
small-loss	94439	B2	5	P5_confidence	0	0	0	0	0	0
small-loss	94439	A1	0	P3_bbox	100	80	0	0	0	0
small-loss	94439	A1	1	P3_confidence	0	0	4	7	0	0
small-loss	94439	A1	2	P4_bbox	0	3	0	0	0	0
small-loss	94439	A1	3	P4_confidence	0	0	0	0	0	0
small-loss	94439	A1	4	P5_bbox	0	0	0	0	0	0
small-loss	94439	A1	5	P5_confidence	0	0	0	0	0	0
small-loss	237759	B2	0	P3_bbox	112	119	0	0	0	0
small-loss	237759	B2	1	P3_confidence	0	0	1	0	0	0
small-loss	237759	B2	2	P4_bbox	0	0	0	0	0	0
small-loss	237759	B2	3	P4_confidence	1	1	0	0	1	0
small-loss	237759	B2	4	P5_bbox	0	0	0	0	0	0
small-loss	237759	B2	5	P5_confidence	0	0	0	0	0	0
small-loss	237759	A1	0	P3_bbox	113	119	0	0	0	0
small-loss	237759	A1	1	P3_confidence	0	0	0	0	0	0
small-loss	237759	A1	2	P4_bbox	0	0	0	0	0	0
small-loss	237759	A1	3	P4_confidence	1	0	1	0	1	0
small-loss	237759	A1	4	P5_bbox	1	1	0	0	0	0
small-loss	237759	A1	5	P5_confidence	0	0	0	0	0	0
small-loss	441012	B2	0	P3_bbox	79	101	0	0	0	0
small-loss	441012	B2	1	P3_confidence	0	0	0	18	0	0
small-loss	441012	B2	2	P4_bbox	0	0	0	0	0	0
small-loss	441012	B2	3	P4_confidence	0	0	0	0	0	0
small-loss	441012	B2	4	P5_bbox	0	0	0	0	0	0
small-loss	441012	B2	5	P5_confidence	0	0	0	0	0	0
small-loss	441012	A1	0	P3_bbox	80	102	0	0	0	0
small-loss	441012	A1	1	P3_confidence	0	0	0	11	0	0
small-loss	441012	A1	2	P4_bbox	0	0	0	0	0	0
small-loss	441012	A1	3	P4_confidence	2	2	0	1	0	0
small-loss	441012	A1	4	P5_bbox	0	0	0	0	0	0
small-loss	441012	A1	5	P5_confidence	0	0	0	0	0	0
small-loss	365947	B2	0	P3_bbox	49	36	0	0	0	0
small-loss	365947	B2	1	P3_confidence	0	0	9	44	0	0
small-loss	365947	B2	2	P4_bbox	0	0	0	0	0	0
small-loss	365947	B2	3	P4_confidence	0	0	0	0	0	0
small-loss	365947	B2	4	P5_bbox	0	0	0	0	0	0
small-loss	365947	B2	5	P5_confidence	0	0	0	0	0	0
small-loss	365947	A1	0	P3_bbox	48	37	0	0	0	0
small-loss	365947	A1	1	P3_confidence	0	0	5	32	0	0
small-loss	365947	A1	2	P4_bbox	0	0	0	0	0	0
small-loss	365947	A1	3	P4_confidence	0	0	0	1	0	0
small-loss	365947	A1	4	P5_bbox	0	0	0	0	0	0
small-loss	365947	A1	5	P5_confidence	0	0	0	0	0	0
