selection_group	image_id	model	provider	boundary_index	boundary_label	boundary_name	shape	dtype	bytes	sha256	minimum	maximum	mean	stddev	non_finite	lower_rail_count	upper_rail_count
large-loss	209356	B2	spacemit	5	P5_confidence	/model.23/one2one_cv3.2/one2one_cv3.2.2/Conv_output_0	1x80x20x20	float32	128000	0aef97534504dae5d5bdb81151e9071fe7596d641c9192e839f285c3f9efdb2f	-78.39218139648438	-0.4061771035194397	-18.474381701152772	5.090170244285142	0	0	0
large-loss	209356	A1	cpu	0	P3_bbox	/model.23/one2one_cv2.0/one2one_cv2.0.2/Conv_output_0	1x4x80x80	float32	102400	08415fd76209f6aa2a62a39fc631aea23da3850963f4d746dc9b19d58827376d	-0.5645624995231628	7.173264503479004	2.732426696707262	1.3259447381371712	0	0	0
large-loss	209356	A1	cpu	1	P3_confidence	/model.23/one2one_cv3.0/one2one_cv3.0.2/Conv_output_0	1x80x80x80	float32	2048000	269cad2520ec806dd943ceb753b373ea847f04ece03dcc5958620211187fba38	-27.926040649414062	-4.356462478637695	-19.768265266634526	1.9433541423885412	0	1	0
large-loss	209356	A1	cpu	2	P4_bbox	/model.23/one2one_cv2.1/one2one_cv2.1.2/Conv_output_0	1x4x40x40	float32	25600	78206f4b216638bd54ff767b8b8c4c8198b8cb0a67473a7b813dc38a9e99a785	0.05494349077343941	10.164546012878418	3.6753160440840293	1.847980996506442	0	0	0
large-loss	209356	A1	cpu	3	P4_confidence	/model.23/one2one_cv3.1/one2one_cv3.1.2/Conv_output_0	1x80x40x40	float32	512000	38b69899923928d1ab188233f1fb2dd60851bee9caacf5f7291f80abe4484549	-102.01737976074219	-2.1253621578216553	-20.2073754983563	5.476098910059149	0	0	0
large-loss	209356	A1	cpu	4	P5_bbox	/model.23/one2one_cv2.2/one2one_cv2.2.2/Conv_output_0	1x4x20x20	float32	6400	a07d11bcad7846517605a7c26dcc7ffd4674736594463717ea1ef60a1ef50539	0.22329014539718628	16.002460479736328	4.570981869250536	2.9848467349967733	0	0	0
large-loss	209356	A1	cpu	5	P5_confidence	/model.23/one2one_cv3.2/one2one_cv3.2.2/Conv_output_0	1x80x20x20	float32	128000	de7086b2c8c66f059f09c7e2a1f81742ee7df5ed915d02defacd54e1d41353df	-65.4760971069336	-0.35392484068870544	-18.686977196571416	5.194011252254256	0	0	0
large-loss	209356	A1	spacemit	0	P3_bbox	/model.23/one2one_cv2.0/one2one_cv2.0.2/Conv_output_0	1x4x80x80	float32	102400	628cadd0d0d934955923f955c85b9f1e822820e9df302a6ae9d09339988c44fd	-0.5313529372215271	7.306102752685547	2.7231695334341204	1.32313880280584	0	0	0
large-loss	209356	A1	spacemit	1	P3_confidence	/model.23/one2one_cv3.0/one2one_cv3.0.2/Conv_output_0	1x80x80x80	float32	2048000	f85c703d266c15dcb79b9fd07163236ff0946c125b8c1ec6b3d9774b30dbcbbc	-27.926040649414062	-4.468166351318359	-19.845992381383663	1.9694294131800851	0	1	0
large-loss	209356	A1	spacemit	2	P4_bbox	/model.23/one2one_cv2.1/one2one_cv2.1.2/Conv_output_0	1x4x40x40	float32	25600	51cd24eba36d1010d917db6dcbbbaec7544e5f53b7186bba99fa2c656c045657	0.05494349077343941	10.329376220703125	3.657742712994805	1.8448793316038266	0	0	0
large-loss	209356	A1	spacemit	3	P4_confidence	/model.23/one2one_cv3.1/one2one_cv3.1.2/Conv_output_0	1x80x40x40	float32	512000	2d39b120b7a051d41405a8ebf0fbd0e87ff4f54d6823e287a4adcabcb84df4b7	-99.46694946289062	-1.7002897262573242	-20.24912889361754	5.491158533892079	0	0	0
large-loss	209356	A1	spacemit	4	P5_bbox	/model.23/one2one_cv2.2/one2one_cv2.2.2/Conv_output_0	1x4x20x20	float32	6400	d75fbb7e22d4142063c44349264495b3571b75676e8c4d0ad750c9d077d3947e	0.22329014539718628	16.07689094543457	4.544605722911656	2.964608527703201	0	0	0
large-loss	209356	A1	spacemit	5	P5_confidence	/model.23/one2one_cv3.2/one2one_cv3.2.2/Conv_output_0	1x80x20x20	float32	128000	0362d2df964ca968e4df4422006f99f2b5d9a257635ed08635920ee3d5ace0ae	-78.21739196777344	-0.35392484068870544	-18.524835380425678	5.091601482776365	0	0	0
large-loss	157153	B2	cpu	0	P3_bbox	/model.23/one2one_cv2.0/one2one_cv2.0.2/Conv_output_0	1x4x80x80	float32	102400	c7ca6755f11f33f02fcad4d1263f79f005eee0c39d84d78c1cec495adad1892a	-0.48767411708831787	6.43729829788208	1.7067844277451514	1.036899397251974	0	0	0
large-loss	157153	B2	cpu	1	P3_confidence	/model.23/one2one_cv3.0/one2one_cv3.0.2/Conv_output_0	1x80x80x80	float32	2048000	e7190f403dec77fd237297e996302e13ff2accb96645fe7ca39ee2866e9f9b94	-27.830358505249023	0.0	-18.11568766856962	2.6089568824846077	0	3	1
large-loss	157153	B2	cpu	2	P4_bbox	/model.23/one2one_cv2.1/one2one_cv2.1.2/Conv_output_0	1x4x40x40	float32	25600	6c8d8b3e648d807cc00f67428f543603e5ecb6bbc061143dd9981d50601ec3b4	0.0	9.391518592834473	2.4759889791026946	1.4533533583192444	0	0	0
large-loss	157153	B2	cpu	3	P4_confidence	/model.23/one2one_cv3.1/one2one_cv3.1.2/Conv_output_0	1x80x40x40	float32	512000	3576378950528abe7964d2b505f58e24bd672596c3842136f850283ebdf8703c	-123.56875610351562	0.0	-18.821588610183447	6.189311516702748	0	0	2
large-loss	157153	B2	cpu	4	P5_bbox	/model.23/one2one_cv2.2/one2one_cv2.2.2/Conv_output_0	1x4x20x20	float32	6400	ef42c0e3f16735816c8ad1b8ed8122e0f074305d93393ff384252f70b33acfeb	0.06701355427503586	10.387101173400879	3.1579299762519075	1.8468644790465512	0	0	0
large-loss	157153	B2	cpu	5	P5_confidence	/model.23/one2one_cv3.2/one2one_cv3.2.2/Conv_output_0	1x80x20x20	float32	128000	1f613d7bc1976c98dc79fccf4751f522a8874e39751300813bd0eb01a0b085f4	-90.98367309570312	0.0	-17.853374978674577	5.549758955870636	0	0	5
large-loss	157153	B2	spacemit	0	P3_bbox	/model.23/one2one_cv2.0/one2one_cv2.0.2/Conv_output_0	1x4x80x80	float32	102400	57196fba0d70b76bfd973c38d6856a76675d4ca7dce8bce6e21bfddd4107d255	-0.48767411708831787	6.469809532165527	1.6987187551113312	1.0325663618845007	0	0	0
large-loss	157153	B2	spacemit	1	P3_confidence	/model.23/one2one_cv3.0/one2one_cv3.0.2/Conv_output_0	1x80x80x80	float32	2048000	7ffd4a2d8a60d09c7a4c5d049f5d8edf2e88184c71a5237b1dd888b9d16ace46	-27.830358505249023	0.0	-18.115670829353853	2.6214435872445225	0	2	1
large-loss	157153	B2	spacemit	2	P4_bbox	/model.23/one2one_cv2.1/one2one_cv2.1.2/Conv_output_0	1x4x40x40	float32	25600	fa7e5619319f84acb5a28faa1753c95da431f266319efea6f53cd2988f69a503	0.0	9.649526596069336	2.467950392656494	1.4462262076300356	0	0	0
large-loss	157153	B2	spacemit	3	P4_confidence	/model.23/one2one_cv3.1/one2one_cv3.1.2/Conv_output_0	1x80x40x40	float32	512000	7b6360c1f1cb3a89611a09cf5e5c9d4318ee8ed2ca15b5406b2a3c435e3e6d22	-123.56875610351562	0.0	-18.826403450228273	6.1341805743790845	0	0	2
large-loss	157153	B2	spacemit	4	P5_bbox	/model.23/one2one_cv2.2/one2one_cv2.2.2/Conv_output_0	1x4x20x20	float32	6400	cc8e1b161df62e9681e6398213cdf1df71657907f658af56521bc631d4eebfe4	0.06701355427503586	10.052033424377441	3.1389986462472006	1.8178034006120432	0	0	0
large-loss	157153	B2	spacemit	5	P5_confidence	/model.23/one2one_cv3.2/one2one_cv3.2.2/Conv_output_0	1x80x20x20	float32	128000	acba4682e13dcb22e8be37fd582b3d510cdf3299e33f85c863dd76ad794914c2	-91.38984680175781	0.0	-18.042869290851055	5.9416554086668345	0	0	5
large-loss	157153	A1	cpu	0	P3_bbox	/model.23/one2one_cv2.0/one2one_cv2.0.2/Conv_output_0	1x4x80x80	float32	102400	53341ca4a33d00e7c4df15d376ef4fd4a5b8764d57568ab5eba01f1b036e3807	-0.4649338126182556	6.442654132843018	1.7067611612674956	1.0369283027641745	0	0	0
large-loss	157153	A1	cpu	1	P3_confidence	/model.23/one2one_cv3.0/one2one_cv3.0.2/Conv_output_0	1x80x80x80	float32	2048000	23840f9fca13fa2237705329c7c614e97e7c1387eca40facd02b72b5ac1b27b4	-27.926040649414062	0.5585207939147949	-18.0850044002746	2.6036124616230594	0	2	1
large-loss	157153	A1	cpu	2	P4_bbox	/model.23/one2one_cv2.1/one2one_cv2.1.2/Conv_output_0	1x4x40x40	float32	25600	adfb24f4fdd3e601f03cb081d8764e2ec8df99f04757acb364af7ad0d446f5e9	0.0	9.395337104797363	2.4756506780558265	1.4537772077496538	0	0	0
large-loss	157153	A1	cpu	3	P4_confidence	/model.23/one2one_cv3.1/one2one_cv3.1.2/Conv_output_0	1x80x40x40	float32	512000	a880749bc26440dd2f4486523ebafd6bfc4b6ecb31683eecc41088a631b0fd39	-107.96839904785156	0.42507243156433105	-18.851939042296262	6.20375382327011	0	5	2
large-loss	157153	A1	cpu	4	P5_bbox	/model.23/one2one_cv2.2/one2one_cv2.2.2/Conv_output_0	1x4x20x20	float32	6400	dac8a80ec34220b1b65c758bcd0dca09688d5a25a136f1aff6ef491286631c3f	0.07443004846572876	10.420207023620605	3.155834059044719	1.845972118514158	0	0	0
large-loss	157153	A1	cpu	5	P5_confidence	/model.23/one2one_cv3.2/one2one_cv3.2.2/Conv_output_0	1x80x20x20	float32	128000	3022c179a863a2d551fcc6dd55d7a122c3d6d9881211a5698b9dc76b1df2ccf3	-89.54298400878906	0.7078496813774109	-17.873856985036284	5.584578304367771	0	1	2
large-loss	157153	A1	spacemit	0	P3_bbox	/model.23/one2one_cv2.0/one2one_cv2.0.2/Conv_output_0	1x4x80x80	float32	102400	d4cf89082e948047ee942f23d4b65c2476974dad19a977c9802820f731156c94	-0.49814337491989136	6.475863933563232	1.6985223367632716	1.0326636005437013	0	0	0
large-loss	157153	A1	spacemit	1	P3_confidence	/model.23/one2one_cv3.0/one2one_cv3.0.2/Conv_output_0	1x80x80x80	float32	2048000	4f8b2841ef13257c78353a6bca4d39aa3f10f6537a905acd72aec095800447ef	-27.926040649414062	0.5585207939147949	-18.10224894844275	2.62425593870249	0	2	1
large-loss	157153	A1	spacemit	2	P4_bbox	/model.23/one2one_cv2.1/one2one_cv2.1.2/Conv_output_0	1x4x40x40	float32	25600	8a6c7fcd8413fc9f95faf0ea45ec9cba7eff31e855054b0c8f7189b13e91e570	0.0	9.615111351013184	2.4676581168337726	1.4459415562285856	0	0	0
large-loss	157153	A1	spacemit	3	P4_confidence	/model.23/one2one_cv3.1/one2one_cv3.1.2/Conv_output_0	1x80x40x40	float32	512000	65ee4d4bec1c51e41259cbd64ce3d1ead34d1919414ad9be0f6693c55ad9e060	-107.96839904785156	0.42507243156433105	-18.83607187460363	6.131570792691786	0	3	2
large-loss	157153	A1	spacemit	4	P5_bbox	/model.23/one2one_cv2.2/one2one_cv2.2.2/Conv_output_0	1x4x20x20	float32	6400	5cd08b235d67eee043f528156cb34acb696c5c02ba03b274490fcaec37bbaa1e	0.07443004846572876	10.048056602478027	3.1386686268076303	1.8180759192149711	0	0	0
large-loss	157153	A1	spacemit	5	P5_confidence	/model.23/one2one_cv3.2/one2one_cv3.2.2/Conv_output_0	1x80x20x20	float32	128000	e4d3f8ee2e46de387f61f9175876f1778b467402e94efdc13e69973df86f1bf8	-89.54298400878906	0.7078496813774109	-18.03672877825983	5.919965908912124	0	1	2
large-loss	555263	B2	cpu	0	P3_bbox	/model.23/one2one_cv2.0/one2one_cv2.0.2/Conv_output_0	1x4x80x80	float32	102400	3eb161b3455f4eab9816c53fc623d30cc58f70a9d1714cb14705e07b63015881	-0.6502321362495422	7.510180950164795	2.3815374270861502	1.328164926873947	0	0	3
large-loss	555263	B2	cpu	1	P3_confidence	/model.23/one2one_cv3.0/one2one_cv3.0.2/Conv_output_0	1x80x80x80	float32	2048000	651d5d2eec07340593a4f0c3bae2406d9f4f57fdac05b7e8234ba49d89c52081	-27.830358505249023	-0.10913866013288498	-18.884412010925924	2.4919426265438425	0	2	0
large-loss	555263	B2	cpu	2	P4_bbox	/model.23/one2one_cv2.1/one2one_cv2.1.2/Conv_output_0	1x4x40x40	float32	25600	ba576a053a352c5dc44d58796e8e7d65a793bcfc505d31bf00479f285adfce64	0.10320349782705307	9.752730369567871	3.243016724605113	1.8644835553982329	0	0	0
large-loss	555263	B2	cpu	3	P4_confidence	/model.23/one2one_cv3.1/one2one_cv3.1.2/Conv_output_0	1x80x40x40	float32	512000	98f96b7663f2f11cd0af57fffde8212a758b459b81453f81854eb35a917f144f	-127.68771362304688	0.0	-19.414127369950524	5.861855247125971	0	0	1
large-loss	555263	B2	cpu	4	P5_bbox	/model.23/one2one_cv2.2/one2one_cv2.2.2/Conv_output_0	1x4x20x20	float32	6400	eec00903a6aac45e6ee6cfe6aa1e26e2b762260deac591f40db75a06818de0a2	0.0	14.340900421142578	4.039325753832236	2.742294766895188	0	4	0
large-loss	555263	B2	cpu	5	P5_confidence	/model.23/one2one_cv3.2/one2one_cv3.2.2/Conv_output_0	1x80x20x20	float32	128000	671cc32c0f29970ff27bc77673057ec31cff8fe2265edcd07c717250384a5fae	-48.74125289916992	0.0	-18.313459409743547	4.2596678263334935	0	0	1
large-loss	555263	B2	spacemit	0	P3_bbox	/model.23/one2one_cv2.0/one2one_cv2.0.2/Conv_output_0	1x4x80x80	float32	102400	3d80552d1fb3c30b1fcbab5a4286f727547f52be7deceb44181cfbc28dce21b7	-0.6177205443382263	7.510180950164795	2.3642415071226424	1.3227137735704118	0	0	3
large-loss	555263	B2	spacemit	1	P3_confidence	/model.23/one2one_cv3.0/one2one_cv3.0.2/Conv_output_0	1x80x80x80	float32	2048000	bdbb4096e84c25403d911b85df0dafb01cff6336590da5c08aa1e6043c48f9d5	-27.830358505249023	-0.10913866013288498	-18.89385719262656	2.502508903835691	0	3	0
large-loss	555263	B2	spacemit	2	P4_bbox	/model.23/one2one_cv2.1/one2one_cv2.1.2/Conv_output_0	1x4x40x40	float32	25600	2865bfda0dddf6d4d393457641fe5c6dbd9d15ecd692aced1738a45b5f6af29b	0.10320349782705307	9.752730369567871	3.2190057871839963	1.8532730234749886	0	0	0
large-loss	555263	B2	spacemit	3	P4_confidence	/model.23/one2one_cv3.1/one2one_cv3.1.2/Conv_output_0	1x80x40x40	float32	512000	1658f8b193ef0f3ccfaf2b014b1b04ef691ea3c7207d6f53d178fd631df80bc8	-128.20257568359375	0.0	-19.50817155818455	5.991268338562086	0	0	1
large-loss	555263	B2	spacemit	4	P5_bbox	/model.23/one2one_cv2.2/one2one_cv2.2.2/Conv_output_0	1x4x20x20	float32	6400	8baae87161895236e4307ff9ef25822efe0d55249b3512bee4a99c3ee27dce0e	0.0	14.47492790222168	4.006782295103185	2.696255217413582	0	2	0
large-loss	555263	B2	spacemit	5	P5_confidence	/model.23/one2one_cv3.2/one2one_cv3.2.2/Conv_output_0	1x80x20x20	float32	128000	1077388c27307ec34a9bf2002a4b3990e4c3814a408d9af814a1639bcf09013c	-50.36595916748047	0.0	-18.565416145497935	4.5346686523780475	0	0	2
large-loss	555263	A1	cpu	0	P3_bbox	/model.23/one2one_cv2.0/one2one_cv2.0.2/Conv_output_0	1x4x80x80	float32	102400	d5045c13daf2e79ff6cfb5a36a364e0c0a5ab0a055cbe558e01bba6adab1df1b	-0.6641911864280701	7.671408176422119	2.3816507386493324	1.3283464925003723	0	0	3
large-loss	555263	A1	cpu	1	P3_confidence	/model.23/one2one_cv3.0/one2one_cv3.0.2/Conv_output_0	1x80x80x80	float32	2048000	a887c9a6488f4768fc857dad362f96b9b6b552f9dd093d1b545f8f9d9d6fe03b	-27.926040649414062	-0.11170416325330734	-18.836816831292918	2.4840776414226253	0	2	0
large-loss	555263	A1	cpu	2	P4_bbox	/model.23/one2one_cv2.1/one2one_cv2.1.2/Conv_output_0	1x4x40x40	float32	25600	5514b7113a6b6d6713e7e8bad178645db1b874ac882d8dd7c0ac81c47554d77f	0.10988698154687881	9.724997520446777	3.2424815261829645	1.8647479964505949	0	0	0
large-loss	555263	A1	cpu	3	P4_confidence	/model.23/one2one_cv3.1/one2one_cv3.1.2/Conv_output_0	1x80x40x40	float32	512000	74cc7a08ce5af134fdbce3fcdb67806e5654d412355737b68bf2be125b7186c2	-107.96839904785156	0.42507243156433105	-19.500413616592063	5.889919968459876	0	5	1
large-loss	555263	A1	cpu	4	P5_bbox	/model.23/one2one_cv2.2/one2one_cv2.2.2/Conv_output_0	1x4x20x20	float32	6400	101644cd27ee0fab7d9cb01992de62dabd03594ecfab01424a307743b78d534e	0.0	14.364999771118164	4.03824880015105	2.741635186092007	0	0	0
large-loss	555263	A1	cpu	5	P5_confidence	/model.23/one2one_cv3.2/one2one_cv3.2.2/Conv_output_0	1x80x20x20	float32	128000	0b178673a8a7e84040de0749c050574a28df79c26db25489b0b4ec5f4c8b1760	-48.84162902832031	0.35392484068870544	-18.368157274856234	4.257136739051352	0	0	0
large-loss	555263	A1	spacemit	0	P3_bbox	/model.23/one2one_cv2.0/one2one_cv2.0.2/Conv_output_0	1x4x80x80	float32	102400	a2f12154957bd4305e46a1aa1358f7199f4765a8f0ca7776c3e13a3be74cfba2	-0.6309816241264343	7.671408176422119	2.364166426474694	1.3228495188816065	0	0	2
large-loss	555263	A1	spacemit	1	P3_confidence	/model.23/one2one_cv3.0/one2one_cv3.0.2/Conv_output_0	1x80x80x80	float32	2048000	0f27bc7a4a1da658d528cb6b74ba9391cccc6eb7aebfef3c998d185288602fda	-27.926040649414062	-0.22340832650661469	-18.869887155256787	2.5080343253569906	0	2	0
large-loss	555263	A1	spacemit	2	P4_bbox	/model.23/one2one_cv2.1/one2one_cv2.1.2/Conv_output_0	1x4x40x40	float32	25600	cbbd62d19a8006c0be2bd2bcf3c3e4c3ab18da79104797b76221d9d7d856c3f1	0.10988698154687881	9.724997520446777	3.2184008239558897	1.853521338399279	0	0	0
large-loss	555263	A1	spacemit	3	P4_confidence	/model.23/one2one_cv3.1/one2one_cv3.1.2/Conv_output_0	1x80x40x40	float32	512000	72ad83c6e848715365c64dc8ac8d61eb0c50e7b0cea7a38c6294a90f9b565ae5	-107.96839904785156	0.42507243156433105	-19.56569875862263	5.9761509670702555	0	4	1
large-loss	555263	A1	spacemit	4	P5_bbox	/model.23/one2one_cv2.2/one2one_cv2.2.2/Conv_output_0	1x4x20x20	float32	6400	d98e341222ab9315bcf5dee515f7b7e11b2f4e2cf41f3917d652179e013d8f72	0.0	14.43942928314209	4.006662543825805	2.695874970062652	0	0	0
large-loss	555263	A1	spacemit	5	P5_confidence	/model.23/one2one_cv3.2/one2one_cv3.2.2/Conv_output_0	1x80x20x20	float32	128000	10018c28bc75822a376dd548cde314e490537d8fafac9a027449896b71a5c4be	-50.257328033447266	0.7078496813774109	-18.612619803437962	4.527047307361208	0	0	1
large-loss	549409	B2	cpu	0	P3_bbox	/model.23/one2one_cv2.0/one2one_cv2.0.2/Conv_output_0	1x4x80x80	float32	102400	550c4ee8cb8355e7f28969e879f613b59ace5df205e522acdf52216135dc29c7	-0.6177205443382263	7.510180950164795	2.5888713097467555	1.4878734730563703	0	0	14
large-loss	549409	B2	cpu	1	P3_confidence	/model.23/one2one_cv3.0/one2one_cv3.0.2/Conv_output_0	1x80x80x80	float32	2048000	67a111fc52f94a45a71dda4a56b9ff976bb62dea6b7fdbf661ce300986baf6a5	-27.830358505249023	-1.2005252838134766	-20.07709251733683	2.2136980126847297	0	17	0
large-loss	549409	B2	cpu	2	P4_bbox	/model.23/one2one_cv2.1/one2one_cv2.1.2/Conv_output_0	1x4x40x40	float32	25600	eedd0e267b754c532184d0ae8c86ee64b5756e62b1a364b6a8e40441f295be34	-0.10320349782705307	11.352384567260742	3.6939756941550876	2.2023432829524627	0	3	0
large-loss	549409	B2	cpu	3	P4_confidence	/model.23/one2one_cv3.1/one2one_cv3.1.2/Conv_output_0	1x80x40x40	float32	512000	264543a5ec94a27273a058d7921e829577cfa2462eb20c5c6df1740d8f45fafe	-123.56875610351562	0.0	-21.063742101107724	7.032914754107826	0	0	2
large-loss	549409	B2	cpu	4	P5_bbox	/model.23/one2one_cv2.2/one2one_cv2.2.2/Conv_output_0	1x4x20x20	float32	6400	7d930361b1eba0b9c0007c2784e7c6286ad627c24651200d0f94f9f3c276d75d	0.06701355427503586	15.748185157775879	4.602449022424407	3.227348219947563	0	0	0
large-loss	549409	B2	cpu	5	P5_confidence	/model.23/one2one_cv3.2/one2one_cv3.2.2/Conv_output_0	1x80x20x20	float32	128000	e1b86e888f43c0cc68cccdba1f29dbefd34e16c84d98a36412e9634acfb37baa	-86.10954284667969	-2.8432397842407227	-19.10455279031396	4.824540349137721	0	0	0
large-loss	549409	B2	spacemit	0	P3_bbox	/model.23/one2one_cv2.0/one2one_cv2.0.2/Conv_output_0	1x4x80x80	float32	102400	661bea337fe4286f908ec1a18a8983b41e14802642b06fee3758e7513f6579b0	-0.5852088928222656	7.510180950164795	2.560662411454832	1.484716953572289	0	0	7
large-loss	549409	B2	spacemit	1	P3_confidence	/model.23/one2one_cv3.0/one2one_cv3.0.2/Conv_output_0	1x80x80x80	float32	2048000	25b0fc8732599a349e26372558280bb34ffe13b20db4d59cb3efc97b4584d6f7	-27.830358505249023	-1.2005252838134766	-20.16658536827704	2.248244636008517	0	20	0
large-loss	549409	B2	spacemit	2	P4_bbox	/model.23/one2one_cv2.1/one2one_cv2.1.2/Conv_output_0	1x4x40x40	float32	25600	e9cba44e0f32b8a5ac899715f7eba31ccaf3e366516dbbd5aefd846615a26a2f	-0.10320349782705307	11.455588340759277	3.6626518204424063	2.1886756340547593	0	4	0
large-loss	549409	B2	spacemit	3	P4_confidence	/model.23/one2one_cv3.1/one2one_cv3.1.2/Conv_output_0	1x80x40x40	float32	512000	733d3038f960224cb30e4d78599a748d8cbc1b2dd714c6e52c9db3ce769abf4e	-123.56875610351562	0.0	-21.166422426833773	7.053816157716959	0	0	1
large-loss	549409	B2	spacemit	4	P5_bbox	/model.23/one2one_cv2.2/one2one_cv2.2.2/Conv_output_0	1x4x20x20	float32	6400	edee48454887d75c28c9f4a162de48a2e7b53849c4008e1fc89c258c3a45a7c5	0.06701355427503586	15.748185157775879	4.554283039774746	3.1565431603066147	0	0	0
large-loss	549409	B2	spacemit	5	P5_confidence	/model.23/one2one_cv3.2/one2one_cv3.2.2/Conv_output_0	1x80x20x20	float32	128000	86a08bc2d7255b59b3c18eb3e00ee813ba75d691da16412ee829a4e47c0f6db3	-76.36129760742188	-2.8432397842407227	-19.066397525325417	4.700391170367183	0	0	0
large-loss	549409	A1	cpu	0	P3_bbox	/model.23/one2one_cv2.0/one2one_cv2.0.2/Conv_output_0	1x4x80x80	float32	102400	630bd067fe6a9327d7cd82b7e480f3012061f6650218e963bb426a5ab95cf434	-0.5977720618247986	7.671408176422119	2.588918596496078	1.4879022528843897	0	0	3
large-loss	549409	A1	cpu	1	P3_confidence	/model.23/one2one_cv3.0/one2one_cv3.0.2/Conv_output_0	1x80x80x80	float32	2048000	32040bc2f90e27b257a740e9b82f0508613ccc0ce41d237457435ca27a1c7948	-27.926040649414062	-1.3404499292373657	-20.02918022309081	2.2126118491772124	0	16	0
large-loss	549409	A1	cpu	2	P4_bbox	/model.23/one2one_cv2.1/one2one_cv2.1.2/Conv_output_0	1x4x40x40	float32	25600	6869efe60a927aa5f01eb393baf62692ed42f62ae8f3af9fe3f83305cbf5d116	-0.10988698154687881	11.373302459716797	3.6943659826001385	2.2018500329376516	0	0	0
large-loss	549409	A1	cpu	3	P4_confidence	/model.23/one2one_cv3.1/one2one_cv3.1.2/Conv_output_0	1x80x40x40	float32	512000	7374f00508f290601be300d146d1cd2fff610170df082aea287f602a385485e7	-107.96839904785156	0.42507243156433105	-21.167145888619125	7.066206982768549	0	7	1
