category_id	category	size_bin	object_threshold_events	B2_CPU_recall	B2_EP_recall	A1_CPU_recall	A1_EP_recall	a1_provider_interaction
46	wine glass	small	200	0.575	0.585	0.575	0.57	-0.015000000000000013
47	cup	large	110	0.9454545454545454	0.9454545454545454	0.9363636363636364	0.9363636363636364	0.0
47	cup	medium	300	0.8266666666666667	0.8166666666666667	0.82	0.8266666666666667	0.01666666666666672
47	cup	small	330	0.49393939393939396	0.49393939393939396	0.503030303030303	0.4909090909090909	-0.012121212121212144
48	fork	medium	50	0.82	0.8	0.74	0.78	0.05999999999999994
48	fork	small	30	0.4	0.4	0.4	0.4	0.0
49	knife	large	20	0.8	0.85	0.8	0.8	-0.04999999999999993
49	knife	medium	70	0.5142857142857142	0.6285714285714286	0.5142857142857142	0.5714285714285714	-0.05714285714285716
49	knife	small	290	0.35517241379310344	0.3448275862068966	0.3586206896551724	0.35517241379310344	0.006896551724137889
50	spoon	medium	90	0.6333333333333333	0.6555555555555556	0.6333333333333333	0.6666666666666666	0.011111111111111072
50	spoon	small	280	0.30357142857142855	0.32142857142857145	0.2892857142857143	0.325	0.017857142857142794
51	bowl	large	100	0.79	0.78	0.8	0.79	0.0
51	bowl	medium	300	0.7366666666666667	0.7666666666666667	0.74	0.7466666666666667	-0.023333333333333317
51	bowl	small	270	0.22962962962962963	0.24074074074074073	0.24074074074074073	0.24814814814814815	-0.0037037037037036813
52	banana	large	50	0.92	0.92	0.92	0.92	0.0
52	banana	medium	200	0.58	0.555	0.59	0.56	-0.0050000000000000044
52	banana	small	220	0.37272727272727274	0.36363636363636365	0.37727272727272726	0.37272727272727274	0.004545454545454575
53	apple	large	20	0.65	0.65	0.65	0.6	-0.050000000000000044
53	apple	medium	80	0.65	0.5875	0.625	0.575	0.012499999999999956
53	apple	small	30	0.8	0.7	0.7666666666666667	0.7333333333333333	0.06666666666666665
54	sandwich	large	50	0.94	0.94	0.94	0.94	0.0
54	sandwich	medium	70	0.7285714285714285	0.7714285714285715	0.7428571428571429	0.7714285714285715	-0.014285714285714346
55	orange	large	70	0.8714285714285714	0.8428571428571429	0.8714285714285714	0.8428571428571429	0.0
55	orange	medium	40	0.8	0.8	0.8	0.825	0.02499999999999991
55	orange	small	80	0.6375	0.6	0.6375	0.5875	-0.012499999999999956
56	broccoli	large	50	0.7	0.64	0.7	0.64	0.0
56	broccoli	medium	210	0.4714285714285714	0.4666666666666667	0.47619047619047616	0.4666666666666667	-0.004761904761904745
56	broccoli	small	30	0.4	0.4	0.4	0.43333333333333335	0.033333333333333326
57	carrot	medium	200	0.825	0.83	0.815	0.815	-0.0050000000000000044
57	carrot	small	10	0.7	0.6	0.7	0.6	0.0
58	hot dog	large	40	0.9	0.925	0.925	0.925	-0.025000000000000022
58	hot dog	medium	20	0.8	0.8	0.8	0.8	0.0
58	hot dog	small	60	0.11666666666666667	0.1	0.11666666666666667	0.1	0.0
59	pizza	large	70	0.9285714285714286	0.9428571428571428	0.9285714285714286	0.9428571428571428	0.0
59	pizza	medium	50	0.62	0.62	0.56	0.62	0.05999999999999994
59	pizza	small	10	0.9	0.9	0.8	0.9	0.09999999999999998
60	donut	large	10	1.0	0.9	1.0	1.0	0.09999999999999998
60	donut	medium	20	0.7	0.7	0.7	0.65	-0.04999999999999993
60	donut	small	30	0.0	0.0	0.0	0.03333333333333333	0.03333333333333333
61	cake	large	70	0.8428571428571429	0.9142857142857143	0.8285714285714286	0.9	0.0
61	cake	medium	50	0.54	0.58	0.54	0.62	0.040000000000000036
61	cake	small	60	0.2	0.21666666666666667	0.25	0.21666666666666667	-0.04999999999999999
62	chair	large	220	0.8636363636363636	0.85	0.85	0.85	0.013636363636363669
62	chair	medium	590	0.7237288135593221	0.7169491525423729	0.7271186440677966	0.7152542372881356	-0.005084745762711784
62	chair	small	220	0.2727272727272727	0.2818181818181818	0.2636363636363636	0.2818181818181818	0.009090909090909094
63	couch	large	200	0.915	0.92	0.915	0.915	-0.0050000000000000044
63	couch	medium	140	0.7428571428571429	0.7428571428571429	0.75	0.7428571428571429	-0.0071428571428571175
63	couch	small	10	0.9	0.9	0.9	0.9	0.0
64	potted plant	large	130	0.7769230769230769	0.8076923076923077	0.7923076923076923	0.8153846153846154	-0.007692307692307665
64	potted plant	medium	150	0.68	0.7	0.7	0.6933333333333334	-0.026666666666666505
64	potted plant	small	210	0.4523809523809524	0.4714285714285714	0.44761904761904764	0.44285714285714284	-0.023809523809523836
65	bed	large	140	0.8642857142857143	0.8571428571428571	0.8642857142857143	0.8571428571428571	0.0
65	bed	medium	10	0.0	0.2	0.0	0.2	0.0
67	dining table	large	390	0.8076923076923077	0.8076923076923077	0.782051282051282	0.7743589743589744	-0.007692307692307665
67	dining table	medium	160	0.5	0.5	0.5	0.48125	-0.018750000000000044
67	dining table	small	150	0.2	0.18666666666666668	0.19333333333333333	0.18	0.0
70	toilet	large	150	0.9066666666666666	0.8933333333333333	0.9066666666666666	0.8866666666666667	-0.006666666666666599
70	toilet	medium	20	0.75	0.75	0.75	0.75	0.0
72	tv	large	50	0.9	0.9	0.88	0.88	0.0
72	tv	medium	190	0.8052631578947368	0.8157894736842105	0.8105263157894737	0.8	-0.021052631578947323
72	tv	small	110	0.38181818181818183	0.37272727272727274	0.37272727272727274	0.37272727272727274	0.009090909090909094
73	laptop	large	120	0.8833333333333333	0.875	0.8666666666666667	0.875	0.016666666666666607
73	laptop	medium	120	0.8166666666666667	0.725	0.825	0.7416666666666667	0.008333333333333415
73	laptop	small	10	0.5	0.5	0.4	0.4	0.0
74	mouse	large	30	1.0	0.9666666666666667	1.0	0.9666666666666667	0.0
74	mouse	medium	30	0.8666666666666667	0.8666666666666667	0.8666666666666667	0.8666666666666667	0.0
74	mouse	small	70	0.5571428571428572	0.5714285714285714	0.5571428571428572	0.5714285714285714	0.0
75	remote	large	20	0.9	0.45	0.85	0.45	0.050000000000000044
75	remote	medium	40	0.85	0.85	0.875	0.85	-0.025000000000000022
75	remote	small	180	0.35555555555555557	0.3611111111111111	0.3611111111111111	0.37777777777777777	0.011111111111111127
76	keyboard	large	100	0.84	0.83	0.83	0.83	0.010000000000000009
76	keyboard	medium	60	0.75	0.7	0.75	0.7166666666666667	0.01666666666666672
76	keyboard	small	60	0.4166666666666667	0.4	0.4166666666666667	0.4166666666666667	0.016666666666666663
77	cell phone	large	90	0.9444444444444444	0.9333333333333333	0.9333333333333333	0.9333333333333333	0.011111111111111072
77	cell phone	medium	90	0.8666666666666667	0.8222222222222222	0.8666666666666667	0.8333333333333334	0.011111111111111183
77	cell phone	small	130	0.26153846153846155	0.23846153846153847	0.26153846153846155	0.23846153846153847	0.0
78	microwave	large	20	0.65	0.65	0.6	0.6	0.0
78	microwave	medium	30	0.8333333333333334	0.8666666666666667	0.8666666666666667	0.8666666666666667	-0.033333333333333326
79	oven	large	130	0.8692307692307693	0.8769230769230769	0.8769230769230769	0.8846153846153846	0.0
79	oven	medium	80	0.5125	0.525	0.525	0.525	-0.012500000000000067
79	oven	small	10	0.8	0.8	0.8	0.8	0.0
80	toaster	small	20	0.0	0.0	0.0	0.0	0.0
81	sink	large	80	0.9375	0.9125	0.925	0.9125	0.012499999999999956
81	sink	medium	150	0.6066666666666667	0.6133333333333333	0.5933333333333334	0.5866666666666667	-0.013333333333333308
81	sink	small	80	0.425	0.4	0.425	0.4125	0.012499999999999956
82	refrigerator	large	100	0.83	0.84	0.83	0.84	0.0
82	refrigerator	medium	50	0.6	0.58	0.64	0.6	-0.020000000000000018
84	book	large	80	0.95	0.825	0.9125	0.825	0.03749999999999998
84	book	medium	470	0.6042553191489362	0.6340425531914894	0.6021276595744681	0.6148936170212767	-0.017021276595744705
84	book	small	660	0.35454545454545455	0.36363636363636365	0.3621212121212121	0.36515151515151517	-0.006060606060606044
85	clock	large	30	0.9333333333333333	0.9	0.9	0.9	0.033333333333333326
85	clock	medium	30	0.7666666666666667	0.8333333333333334	0.8	0.8333333333333334	-0.033333333333333326
85	clock	small	80	0.425	0.4125	0.425	0.4125	0.0
86	vase	large	10	0.7	0.5	0.7	0.5	0.0
86	vase	medium	120	0.825	0.825	0.8	0.825	0.02499999999999991
86	vase	small	210	0.3380952380952381	0.4	0.3380952380952381	0.3952380952380952	-0.0047619047619048005
87	scissors	large	20	0.4	0.45	0.4	0.45	0.0
87	scissors	medium	20	0.7	0.6	0.7	0.6	0.0
88	teddy bear	large	240	0.6583333333333333	0.6583333333333333	0.6666666666666666	0.675	0.008333333333333415
88	teddy bear	medium	90	0.5666666666666667	0.5333333333333333	0.5666666666666667	0.5444444444444444	0.011111111111111072
88	teddy bear	small	10	0.0	0.5	0.0	0.0	-0.5
90	toothbrush	large	10	0.0	0.1	0.0	0.0	-0.1
90	toothbrush	medium	30	0.7666666666666667	0.7666666666666667	0.8	0.8	0.0
90	toothbrush	small	30	0.7333333333333333	0.7666666666666667	0.7333333333333333	0.7666666666666667	0.0
