pair	metric	replicates	seed	draw_matrix_sha256	point_delta	bootstrap_mean	bootstrap_median	percentile_2_5	percentile_97_5	probability_gt_zero	probability_lt_zero
A1_EP-vs-A1_CPU	ap_large	10000	65008	2c35138af6b27b417b0d7661dd65138e2e9268da64df3ebddc295a8c4ecab5db	-0.008548174751587756	-0.003427494882641065	-0.003304345794728103	-0.01645677375225338	0.008767955203041595	0.2955	0.7045
A1_EP-vs-A1_CPU	ar1	10000	65008	2c35138af6b27b417b0d7661dd65138e2e9268da64df3ebddc295a8c4ecab5db	-0.002816593396918754	-0.0025748085837485357	-0.0024665802063157383	-0.00826943240803828	0.002675969931491925	0.1683	0.8317
A1_EP-vs-A1_CPU	ar10	10000	65008	2c35138af6b27b417b0d7661dd65138e2e9268da64df3ebddc295a8c4ecab5db	-0.0055367015661828	-0.005366438209781149	-0.005348692442966874	-0.010883420829026524	9.14714375413513e-05	0.027	0.973
A1_EP-vs-A1_CPU	ar100	10000	65008	2c35138af6b27b417b0d7661dd65138e2e9268da64df3ebddc295a8c4ecab5db	-0.00303310532237977	-0.0026943855272562687	-0.002667714233601237	-0.007490400187646701	0.002020050632711706	0.134	0.866
A1_EP-vs-A1_CPU	ar_small	10000	65008	2c35138af6b27b417b0d7661dd65138e2e9268da64df3ebddc295a8c4ecab5db	-0.004332208774620816	-0.005077499409904889	-0.004885412723066446	-0.014468058324663587	0.0034359599988067926	0.1227	0.8773
A1_EP-vs-A1_CPU	ar_medium	10000	65008	2c35138af6b27b417b0d7661dd65138e2e9268da64df3ebddc295a8c4ecab5db	0.0014534270725037324	0.0011790262683911313	0.0012071975246096267	-0.007061073103297391	0.009111280295695677	0.6166	0.3834
A1_EP-vs-A1_CPU	ar_large	10000	65008	2c35138af6b27b417b0d7661dd65138e2e9268da64df3ebddc295a8c4ecab5db	-0.015083694577696094	-0.012417864901108373	-0.01222397083197485	-0.025255336427235552	-0.0004695215649133833	0.0199	0.9801
A1_EP-vs-A1_CPU	prediction_count	10000	65008	2c35138af6b27b417b0d7661dd65138e2e9268da64df3ebddc295a8c4ecab5db	1191.0	1189.3197	1189.0	886.0	1491.0	1.0	0.0
B2_EP-vs-B2_CPU	map50_95	10000	65008	2c35138af6b27b417b0d7661dd65138e2e9268da64df3ebddc295a8c4ecab5db	-0.0008432750533723388	-0.0005288732380095855	-0.0005321717767646783	-0.00627819262036525	0.005262915000392735	0.4231	0.5769
B2_EP-vs-B2_CPU	map50	10000	65008	2c35138af6b27b417b0d7661dd65138e2e9268da64df3ebddc295a8c4ecab5db	0.0019394873909843735	0.001989617539405061	0.0018617101347999654	-0.005919235646091467	0.010698434877148316	0.678	0.322
