selection_group	image_id	model	score_threshold	cpu_above_ep_below	ep_above_cpu_below	cpu_above_count	ep_above_count
small-loss	430122	B2	0.05	3	4	39	40
small-loss	430122	B2	0.25	2	2	9	9
small-loss	430122	B2	0.5	0	1	1	2
small-loss	430122	A1	0.001	0	0	300	300
small-loss	430122	A1	0.01	17	20	165	168
small-loss	430122	A1	0.05	2	5	40	43
small-loss	430122	A1	0.25	1	0	7	6
small-loss	430122	A1	0.5	0	1	0	1
small-loss	249184	B2	0.001	0	0	300	300
small-loss	249184	B2	0.01	7	6	61	61
small-loss	249184	B2	0.05	3	3	24	24
small-loss	249184	B2	0.25	5	1	13	9
small-loss	249184	B2	0.5	2	1	6	5
small-loss	249184	A1	0.001	0	0	300	300
small-loss	249184	A1	0.01	7	9	59	62
small-loss	249184	A1	0.05	3	2	24	23
small-loss	249184	A1	0.25	3	0	10	7
small-loss	249184	A1	0.5	2	1	6	5
small-loss	495956	B2	0.001	13	13	160	163
small-loss	495956	B2	0.01	3	3	44	44
small-loss	495956	B2	0.05	1	1	16	16
small-loss	495956	B2	0.25	1	0	5	4
small-loss	495956	B2	0.5	0	0	1	1
small-loss	495956	A1	0.001	12	19	155	162
small-loss	495956	A1	0.01	3	3	46	46
small-loss	495956	A1	0.05	1	3	16	18
small-loss	495956	A1	0.25	0	0	4	4
small-loss	495956	A1	0.5	0	0	1	1
small-loss	272807	B2	0.001	0	0	300	300
small-loss	272807	B2	0.01	14	12	125	122
small-loss	272807	B2	0.05	5	6	25	26
small-loss	272807	B2	0.25	1	0	8	7
small-loss	272807	B2	0.5	0	0	5	5
small-loss	272807	A1	0.001	0	0	300	300
small-loss	272807	A1	0.01	15	21	120	125
small-loss	272807	A1	0.05	1	4	24	26
small-loss	272807	A1	0.25	0	0	7	7
small-loss	272807	A1	0.5	0	0	5	5
small-loss	192091	B2	0.001	19	14	180	177
small-loss	192091	B2	0.01	9	5	48	45
small-loss	192091	B2	0.05	0	0	12	12
small-loss	192091	B2	0.25	0	0	0	0
small-loss	192091	B2	0.5	0	0	0	0
small-loss	192091	A1	0.001	17	13	179	175
small-loss	192091	A1	0.01	5	3	46	44
small-loss	192091	A1	0.05	0	2	12	14
small-loss	192091	A1	0.25	0	0	0	0
small-loss	192091	A1	0.5	0	0	0	0
small-loss	301783	B2	0.001	18	12	236	225
small-loss	301783	B2	0.01	0	1	38	39
small-loss	301783	B2	0.05	0	1	9	10
small-loss	301783	B2	0.25	0	0	5	5
small-loss	301783	B2	0.5	1	1	1	1
small-loss	301783	A1	0.001	18	12	232	228
small-loss	301783	A1	0.01	4	4	39	39
small-loss	301783	A1	0.05	4	2	13	11
small-loss	301783	A1	0.25	1	1	5	5
small-loss	301783	A1	0.5	2	1	3	2
small-loss	6522	B2	0.001	0	0	300	300
small-loss	6522	B2	0.01	8	12	80	84
small-loss	6522	B2	0.05	0	1	11	12
small-loss	6522	B2	0.25	0	0	3	3
small-loss	6522	B2	0.5	0	0	1	1
small-loss	6522	A1	0.001	0	0	300	300
small-loss	6522	A1	0.01	11	21	79	89
small-loss	6522	A1	0.05	1	2	11	12
small-loss	6522	A1	0.25	0	0	3	3
small-loss	6522	A1	0.5	0	1	0	1
small-loss	150867	B2	0.001	0	0	300	300
small-loss	150867	B2	0.01	10	9	101	102
small-loss	150867	B2	0.05	2	4	14	17
small-loss	150867	B2	0.25	1	0	5	4
small-loss	150867	B2	0.5	0	0	3	3
small-loss	150867	A1	0.001	0	0	300	300
small-loss	150867	A1	0.01	8	5	98	97
small-loss	150867	A1	0.05	0	1	13	15
small-loss	150867	A1	0.25	1	1	5	5
small-loss	150867	A1	0.5	1	1	3	3
small-loss	184585	B2	0.001	8	14	258	269
small-loss	184585	B2	0.01	6	4	68	67
small-loss	184585	B2	0.05	1	3	17	19
small-loss	184585	B2	0.25	2	0	8	6
small-loss	184585	B2	0.5	1	0	4	3
small-loss	184585	A1	0.001	7	17	246	266
small-loss	184585	A1	0.01	5	6	66	68
small-loss	184585	A1	0.05	4	4	19	19
small-loss	184585	A1	0.25	1	1	7	7
small-loss	184585	A1	0.5	2	0	5	3
small-loss	531894	B2	0.001	14	14	115	115
small-loss	531894	B2	0.01	1	5	22	26
small-loss	531894	B2	0.05	0	0	10	10
small-loss	531894	B2	0.25	0	0	5	5
small-loss	531894	B2	0.5	0	0	4	4
small-loss	531894	A1	0.001	13	13	114	114
small-loss	531894	A1	0.01	0	8	22	30
small-loss	531894	A1	0.05	0	0	10	10
small-loss	531894	A1	0.25	0	0	5	5
small-loss	531894	A1	0.5	0	1	3	4
small-loss	170232	B2	0.001	3	0	299	292
small-loss	170232	B2	0.01	5	3	56	52
small-loss	170232	B2	0.05	0	0	13	13
small-loss	170232	B2	0.25	0	1	7	8
small-loss	170232	B2	0.5	0	1	3	4
small-loss	170232	A1	0.001	5	2	290	284
small-loss	170232	A1	0.01	3	5	54	54
small-loss	170232	A1	0.05	0	0	13	13
small-loss	170232	A1	0.25	0	1	7	8
small-loss	170232	A1	0.5	0	1	3	4
small-loss	211919	B2	0.001	0	0	300	300
small-loss	211919	B2	0.01	8	2	32	26
small-loss	211919	B2	0.05	0	1	2	3
small-loss	211919	B2	0.25	0	0	1	1
small-loss	211919	B2	0.5	0	0	1	1
small-loss	211919	A1	0.001	0	0	300	300
small-loss	211919	A1	0.01	7	2	30	25
small-loss	211919	A1	0.05	0	1	2	3
small-loss	211919	A1	0.25	0	0	1	1
small-loss	211919	A1	0.5	0	0	1	1
matched-control	95161	B2	0.001	12	15	127	131
matched-control	95161	B2	0.01	5	3	28	27
matched-control	95161	B2	0.05	1	0	8	8
matched-control	95161	B2	0.25	1	0	5	5
matched-control	95161	B2	0.5	0	0	3	3
matched-control	95161	A1	0.001	12	17	121	127
matched-control	95161	A1	0.01	4	5	25	27
matched-control	95161	A1	0.05	3	0	8	6
matched-control	95161	A1	0.25	1	0	4	4
matched-control	95161	A1	0.5	0	0	3	3
matched-control	104344	B2	0.001	3	10	31	38
