operation_index	resident_operation_index	kind	scope	name	samples	mean_us	median_us	p95_us	implementation	confidence
207	-1	lut1	full_executor	/model.23/one2one_cv2.2/one2one_cv2.2.1/act/Mul_output_0_QuantizeLinear	50	7.5143200000000006	7.375500000000001	8.1334	stage55-selected-explicit-or-measured	50 complete profiled observations
208	-1	lut1	full_executor	/model.23/one2one_cv3.2/one2one_cv3.2.0/one2one_cv3.2.0.1/act/Mul_output_0_QuantizeLinear	50	15.85604	15.6875	17.06455	stage55-selected-explicit-or-measured	50 complete profiled observations
21	-1	lut2	full_executor	/model.4/m.0/Add_output_0@/model.4/Concat_output_0_QuantizeLinear_Output	50	214.97104	212.4405	250.37695	stage55-selected-explicit-or-measured	50 complete profiled observations
211	-1	lut1	full_executor	/model.23/one2one_cv3.2/one2one_cv3.2.1/one2one_cv3.2.1.0/act/Mul_output_0_QuantizeLinear	50	11.576839999999999	11.542	11.98155	stage55-selected-explicit-or-measured	50 complete profiled observations
213	-1	lut1	full_executor	/model.23/one2one_cv3.2/one2one_cv3.2.1/one2one_cv3.2.1.1/act/Mul_output_0_QuantizeLinear	50	17.22852	17.396	18.5042	stage55-selected-explicit-or-measured	50 complete profiled observations
22	-1	concat	full_executor	/model.4/Concat	50	343.89056	343.3805	383.5374999999999	stage55-selected-explicit-or-measured	50 complete profiled observations
25	1	conv	resident_core	/model.5/conv/Conv	50	3503.70882	3501.8485	3574.608	stage55-selected-explicit-or-measured	50 complete profiled observations
27	2	conv	resident_core	/model.6/cv1/conv/Conv	50	1231.64012	1228.458	1278.2127	stage55-selected-explicit-or-measured	50 complete profiled observations
29	3	conv	resident_core	/model.6/m.0/cv1/conv/Conv	50	258.90088	257.233	264.0312	stage55-selected-explicit-or-measured	50 complete profiled observations
30	4	conv	resident_core	/model.6/m.0/cv2/conv/Conv	50	263.02344	261.9	273.2361	stage55-selected-explicit-or-measured	50 complete profiled observations
32	5	conv	resident_core	/model.6/m.0/m/m.0/cv1/conv/Conv	50	544.8914	545.009	549.35245	stage55-selected-explicit-or-measured	50 complete profiled observations
34	6	conv	resident_core	/model.6/m.0/m/m.0/cv2/conv/Conv	50	547.94316	542.592	588.8535999999999	stage55-selected-explicit-or-measured	50 complete profiled observations
36	8	conv	resident_core	/model.6/m.0/m/m.1/cv1/conv/Conv	50	554.3789	538.342	596.2973499999999	stage55-selected-explicit-or-measured	50 complete profiled observations
38	9	conv	resident_core	/model.6/m.0/m/m.1/cv2/conv/Conv	50	575.9603	558.801	619.0125999999999	stage55-selected-explicit-or-measured	50 complete profiled observations
4	-1	lut1	fused_into_dense_conv	/model.1/act/Mul_output_0_QuantizeLinear	50	0.0	0.0	0.0	stage55-selected-explicit-or-measured	50 complete profiled observations
40	11	concat	resident_core	/model.6/m.0/Concat	50	5.9576199999999995	5.917	6.5462	stage55-selected-explicit-or-measured	50 complete profiled observations
41	12	conv	resident_core	/model.6/m.0/cv3/conv/Conv	50	525.12942	511.80050000000006	592.1908	stage55-selected-explicit-or-measured	50 complete profiled observations
42	13	concat	resident_core	/model.6/Concat	50	57.645900000000005	55.230000000000004	58.51075	stage55-selected-explicit-or-measured	50 complete profiled observations
43	14	conv	resident_core	/model.6/cv2/conv/Conv	50	1393.24932	1368.8139999999999	1416.7855	stage55-selected-explicit-or-measured	50 complete profiled observations
45	15	conv	resident_core	/model.7/conv/Conv	50	1746.0342	1729.5900000000001	1801.0312000000001	stage55-selected-explicit-or-measured	50 complete profiled observations
47	16	conv	resident_core	/model.8/cv1/conv/Conv	50	742.3345999999999	730.7825	779.77915	stage55-selected-explicit-or-measured	50 complete profiled observations
49	17	conv	resident_core	/model.8/m.0/cv1/conv/Conv	50	157.47754	155.27300000000002	178.4215999999999	stage55-selected-explicit-or-measured	50 complete profiled observations
50	18	conv	resident_core	/model.8/m.0/cv2/conv/Conv	50	157.005	155.7945	158.752	stage55-selected-explicit-or-measured	50 complete profiled observations
52	19	conv	resident_core	/model.8/m.0/m/m.0/cv1/conv/Conv	50	450.79339999999996	450.403	459.66355	stage55-selected-explicit-or-measured	50 complete profiled observations
54	20	conv	resident_core	/model.8/m.0/m/m.0/cv2/conv/Conv	50	433.27278	432.4445	438.60265	stage55-selected-explicit-or-measured	50 complete profiled observations
56	22	conv	resident_core	/model.8/m.0/m/m.1/cv1/conv/Conv	50	439.35388	436.882	459.78649999999993	stage55-selected-explicit-or-measured	50 complete profiled observations
58	23	conv	resident_core	/model.8/m.0/m/m.1/cv2/conv/Conv	50	435.93462	433.8405	457.2114999999999	stage55-selected-explicit-or-measured	50 complete profiled observations
6	-1	split	full_executor	/model.2/Split	50	169.59522	167.1485	181.2257	stage55-selected-explicit-or-measured	50 complete profiled observations
60	25	concat	resident_core	/model.8/m.0/Concat	50	5.7375	5.7915	6.21265	stage55-selected-explicit-or-measured	50 complete profiled observations
61	26	conv	resident_core	/model.8/m.0/cv3/conv/Conv	50	301.52404	298.96299999999997	333.0974	stage55-selected-explicit-or-measured	50 complete profiled observations
62	27	concat	resident_core	/model.8/Concat	50	29.41626	29.396500000000003	31.10665	stage55-selected-explicit-or-measured	50 complete profiled observations
63	28	conv	resident_core	/model.8/cv2/conv/Conv	50	878.01848	879.3475000000001	919.2897	stage55-selected-explicit-or-measured	50 complete profiled observations
65	29	conv	resident_core	/model.9/cv1/conv/Conv	50	396.71227999999996	389.94399999999996	427.3676	stage55-selected-explicit-or-measured	50 complete profiled observations
66	33	concat	resident_core	/model.9/Concat	50	99.36334000000001	98.7515	105.8254	stage55-selected-explicit-or-measured	50 complete profiled observations
67	34	conv	resident_core	/model.9/cv2/conv/Conv	50	1007.1605599999999	1007.829	1071.13385	stage55-selected-explicit-or-measured	50 complete profiled observations
70	-1	split	full_executor	/model.10/Split	50	28.70868	28.125500000000002	30.858549999999997	stage55-selected-explicit-or-measured	50 complete profiled observations
72	-1	split	full_executor	/model.10/m/m.0/attn/Split	50	229.95464	227.06599999999997	250.06634999999991	stage55-selected-explicit-or-measured	50 complete profiled observations
73	-1	split	full_executor	/model.10/m/m.0/attn/Split	50	454.6799	452.382	472.8885499999999	stage55-selected-explicit-or-measured	50 complete profiled observations
74	-1	reshape_split_transpose	full_executor	/model.10/m/m.0/attn/Transpose	50	226.42291999999998	225.087	228.78959999999998	stage55-selected-explicit-or-measured	50 complete profiled observations
75	-1	reshape	full_executor	/model.10/m/m.0/attn/Reshape_2	50	24.41212	24.125500000000002	28.148249999999997	stage55-selected-explicit-or-measured	50 complete profiled observations
78	-1	softmax_transpose	full_executor	/model.10/m/m.0/attn/Transpose_1	50	3573.43826	3572.5995000000003	3597.7147	stage55-selected-explicit-or-measured	50 complete profiled observations
8	-1	lut1	fused_into_dense_conv	/model.2/m.0/cv1/act/Mul_output_0_QuantizeLinear	50	0.0	0.0	0.0	stage55-selected-explicit-or-measured	50 complete profiled observations
80	-1	lut2	full_executor	/model.10/m/m.0/attn/Add_output_0_QuantizeLinear	50	1483.29588	1478.6695	1504.97415	stage55-selected-explicit-or-measured	50 complete profiled observations
82	-1	lut2	full_executor	/model.10/m/m.0/Add_output_0_QuantizeLinear	50	55.87674	54.918	56.7593	stage55-selected-explicit-or-measured	50 complete profiled observations
84	-1	lut1	fused_into_dense_conv	/model.10/m/m.0/ffn/ffn.0/act/Mul_output_0_QuantizeLinear	50	0.0	0.0	0.0	stage55-selected-explicit-or-measured	50 complete profiled observations
86	-1	lut2	full_executor	/model.10/m/m.0/Add_1_output_0@/model.10/Concat_output_0_QuantizeLinear_Output	50	67.27692	66.8345	71.29735	stage55-selected-explicit-or-measured	50 complete profiled observations
87	-1	concat	full_executor	/model.10/Concat	50	64.04358	61.480000000000004	67.33455	stage55-selected-explicit-or-measured	50 complete profiled observations
89	-1	concat	full_executor	/model.12/Concat	50	496.26978	491.54949999999997	568.25535	stage55-selected-explicit-or-measured	50 complete profiled observations
91	-1	split	full_executor	/model.13/Split	50	50.30984	50.126000000000005	52.1901	stage55-selected-explicit-or-measured	50 complete profiled observations
94	-1	lut1	full_executor	/model.13/m.0/cv1/act/Mul_output_0_QuantizeLinear	50	24.68878	24.438000000000002	26.626	stage55-selected-explicit-or-measured	50 complete profiled observations
96	-1	lut1	fused_into_dense_conv	/model.13/m.0/m/m.0/cv1/act/Mul_output_0_QuantizeLinear	50	0.0	0.0	0.0	stage55-selected-explicit-or-measured	50 complete profiled observations
98	-1	lut2	full_executor	/model.13/m.0/m/m.0/Add_output_0_QuantizeLinear	50	50.611720000000005	49.543	52.067299999999996	stage55-selected-explicit-or-measured	50 complete profiled observations
