timestamp_utc	zone0_mC	zone1_mC	zone2_mC	zone3_mC	cpu0_khz	cpu1_khz	cpu2_khz	cpu3_khz	cpu4_khz
2026-07-15T09:58:45Z	61000	61000	68000	66000	1600000	1600000	1600000	1600000	1600000
2026-07-15T09:58:50Z	62000	60000	69000	66000	1600000	1600000	1600000	1600000	1600000
2026-07-15T09:58:55Z	59000	61000	69000	66000	1600000	1600000	1600000	1600000	1600000
2026-07-15T09:59:01Z	61000	60000	68000	65000	1600000	1600000	1600000	1600000	1600000
2026-07-15T09:59:06Z	63000	61000	69000	66000	1600000	1600000	1600000	1600000	1600000
2026-07-15T09:59:11Z	61000	61000	68000	66000	1600000	1600000	1600000	1600000	1600000
2026-07-15T09:59:16Z	62000	60000	67000	65000	1600000	1600000	1600000	1600000	1600000
2026-07-15T09:59:21Z	61000	59000	68000	67000	1600000	1600000	1600000	1600000	1600000
2026-07-15T09:59:26Z	59000	61000	68000	68000	1600000	1600000	1600000	1600000	1600000
2026-07-15T09:59:31Z	61000	61000	68000	67000	1600000	1600000	1600000	1600000	1600000
2026-07-15T09:59:36Z	61000	60000	68000	65000	1600000	1600000	1600000	1600000	1600000
2026-07-15T09:59:41Z	62000	59000	68000	66000	1600000	1600000	1600000	1600000	1600000
2026-07-15T09:59:46Z	60000	59000	67000	66000	1600000	1600000	1600000	1600000	1600000
2026-07-15T09:59:51Z	61000	60000	68000	65000	1600000	1600000	1600000	1600000	1600000
2026-07-15T09:59:56Z	61000	59000	69000	65000	1600000	1600000	1600000	1600000	1600000
2026-07-15T10:00:02Z	62000	59000	68000	65000	1600000	1600000	1600000	1600000	1600000
2026-07-15T10:00:07Z	61000	61000	67000	66000	1600000	1600000	1600000	1600000	1600000
2026-07-15T10:00:12Z	60000	60000	68000	64000	1600000	1600000	1600000	1600000	1600000
2026-07-15T10:00:17Z	60000	60000	68000	65000	1600000	1600000	1600000	1600000	1600000
2026-07-15T10:00:22Z	61000	59000	68000	65000	1600000	1600000	1600000	1600000	1600000
2026-07-15T10:00:27Z	60000	58000	67000	65000	1600000	1600000	1600000	1600000	1600000
2026-07-15T10:00:32Z	61000	59000	67000	65000	1600000	1600000	1600000	1600000	1600000
2026-07-15T10:00:37Z	60000	59000	68000	64000	1600000	1600000	1600000	1600000	1600000
2026-07-15T10:00:42Z	59000	59000	67000	65000	1600000	1600000	1600000	1600000	1600000
2026-07-15T10:00:47Z	59000	60000	67000	66000	1600000	1600000	1600000	1600000	1600000
2026-07-15T10:00:52Z	60000	59000	67000	66000	1600000	1600000	1600000	1600000	1600000
2026-07-15T10:00:57Z	60000	59000	67000	65000	1600000	1600000	1600000	1600000	1600000
2026-07-15T10:01:03Z	60000	58000	67000	64000	1600000	1600000	1600000	1600000	1600000
2026-07-15T10:01:08Z	60000	59000	67000	65000	1600000	1600000	1600000	1600000	1600000
2026-07-15T10:01:13Z	60000	59000	66000	67000	1600000	1600000	1600000	1600000	1600000
2026-07-15T10:01:18Z	59000	61000	67000	64000	1600000	1600000	1600000	1600000	1600000
2026-07-15T10:01:23Z	60000	59000	68000	64000	1600000	1600000	1600000	1600000	1600000
2026-07-15T10:01:28Z	59000	58000	66000	65000	1600000	1600000	1600000	1600000	1600000
2026-07-15T10:01:33Z	60000	59000	67000	65000	1600000	1600000	1600000	1600000	1600000
2026-07-15T10:01:38Z	59000	59000	68000	66000	1600000	1600000	1600000	1600000	1600000
2026-07-15T10:01:43Z	61000	59000	67000	64000	1600000	1600000	1600000	1600000	1600000
2026-07-15T10:01:48Z	60000	59000	67000	64000	1600000	1600000	1600000	1600000	1600000
2026-07-15T10:01:53Z	59000	58000	67000	63000	1600000	1600000	1600000	1600000	1600000
2026-07-15T10:01:58Z	60000	59000	65000	64000	1600000	1600000	1600000	1600000	1600000
2026-07-15T10:02:04Z	59000	59000	66000	62000	1600000	1600000	1600000	1600000	1600000
2026-07-15T10:02:09Z	59000	58000	67000	65000	1600000	1600000	1600000	1600000	1600000
2026-07-15T10:02:14Z	60000	58000	67000	66000	1600000	1600000	1600000	1600000	1600000
2026-07-15T10:02:19Z	60000	59000	66000	63000	1600000	1600000	1600000	1600000	1600000
2026-07-15T10:02:24Z	60000	58000	66000	66000	1600000	1600000	1600000	1600000	1600000
2026-07-15T10:02:29Z	60000	58000	67000	63000	1600000	1600000	1600000	1600000	1600000
2026-07-15T10:02:34Z	59000	58000	66000	63000	1600000	1600000	1600000	1600000	1600000
2026-07-15T10:02:39Z	60000	59000	65000	63000	1600000	1600000	1600000	1600000	1600000
2026-07-15T10:02:44Z	59000	57000	66000	64000	1600000	1600000	1600000	1600000	1600000
2026-07-15T10:02:49Z	59000	58000	66000	64000	1600000	1600000	1600000	1600000	1600000
2026-07-15T10:02:54Z	60000	59000	66000	63000	1600000	1600000	1600000	1600000	1600000
2026-07-15T10:03:00Z	59000	59000	66000	63000	1600000	1600000	1600000	1600000	1600000
2026-07-15T10:03:05Z	59000	59000	66000	63000	1600000	1600000	1600000	1600000	1600000
2026-07-15T10:03:10Z	59000	58000	66000	64000	1600000	1600000	1600000	1600000	1600000
2026-07-15T10:03:15Z	58000	58000	65000	64000	1600000	1600000	1600000	1600000	1600000
2026-07-15T10:03:20Z	58000	57000	66000	64000	1600000	1600000	1600000	1600000	1600000
2026-07-15T10:03:25Z	59000	57000	66000	64000	1600000	1600000	1600000	1600000	1600000
2026-07-15T10:03:30Z	58000	58000	65000	64000	1600000	1600000	1600000	1600000	1600000
2026-07-15T10:03:35Z	60000	57000	66000	63000	1600000	1600000	1600000	1600000	1600000
2026-07-15T10:03:40Z	58000	57000	66000	63000	1600000	1600000	1600000	1600000	1600000
2026-07-15T10:03:45Z	58000	57000	65000	62000	1600000	1600000	1600000	1600000	1600000
2026-07-15T10:03:50Z	59000	57000	66000	63000	1600000	1600000	1600000	1600000	1600000
2026-07-15T10:03:55Z	58000	58000	65000	62000	1600000	1600000	1600000	1600000	1600000
2026-07-15T10:04:01Z	58000	57000	64000	64000	1600000	1600000	1600000	1600000	1600000
2026-07-15T10:04:06Z	59000	57000	66000	65000	1600000	1600000	1600000	1600000	1600000
2026-07-15T10:04:11Z	56000	58000	66000	64000	1600000	1600000	1600000	1600000	1600000
2026-07-15T10:04:16Z	58000	58000	65000	62000	1600000	1600000	1600000	1600000	1600000
2026-07-15T10:04:21Z	59000	58000	66000	63000	1600000	1600000	1600000	1600000	1600000
2026-07-15T10:04:26Z	59000	58000	66000	62000	1600000	1600000	1600000	1600000	1600000
2026-07-15T10:04:31Z	59000	58000	65000	64000	1600000	1600000	1600000	1600000	1600000
2026-07-15T10:04:36Z	58000	56000	65000	63000	1600000	1600000	1600000	1600000	1600000
2026-07-15T10:04:41Z	57000	56000	64000	63000	1600000	1600000	1600000	1600000	1600000
2026-07-15T10:04:46Z	57000	58000	65000	63000	1600000	1600000	1600000	1600000	1600000
2026-07-15T10:04:51Z	58000	57000	65000	61000	1600000	1600000	1600000	1600000	1600000
2026-07-15T10:04:56Z	58000	57000	64000	62000	1600000	1600000	1600000	1600000	1600000
2026-07-15T10:05:02Z	58000	56000	65000	62000	1600000	1600000	1600000	1600000	1600000
2026-07-15T10:05:07Z	58000	60000	65000	62000	1600000	1600000	1600000	1600000	1600000
2026-07-15T10:05:12Z	59000	57000	65000	62000	1600000	1600000	1600000	1600000	1600000
2026-07-15T10:05:17Z	57000	58000	64000	62000	1600000	1600000	1600000	1600000	1600000
2026-07-15T10:05:22Z	58000	57000	65000	64000	1600000	1600000	1600000	1600000	1600000
2026-07-15T10:05:27Z	58000	58000	64000	62000	1600000	1600000	1600000	1600000	1600000
2026-07-15T10:05:32Z	58000	56000	65000	62000	1600000	1600000	1600000	1600000	1600000
2026-07-15T10:05:37Z	58000	58000	65000	63000	1600000	1600000	1600000	1600000	1600000
2026-07-15T10:05:42Z	57000	57000	64000	63000	1600000	1600000	1600000	1600000	1600000
2026-07-15T10:05:47Z	57000	57000	65000	61000	1600000	1600000	1600000	1600000	1600000
2026-07-15T10:05:52Z	58000	56000	66000	62000	1600000	1600000	1600000	1600000	1600000
2026-07-15T10:05:57Z	58000	56000	65000	63000	1600000	1600000	1600000	1600000	1600000
2026-07-15T10:06:03Z	58000	57000	65000	62000	1600000	1600000	1600000	1600000	1600000
2026-07-15T10:06:08Z	58000	57000	65000	62000	1600000	1600000	1600000	1600000	1600000
2026-07-15T10:06:13Z	58000	58000	65000	63000	1600000	1600000	1600000	1600000	1600000
2026-07-15T10:06:18Z	58000	58000	65000	62000	1600000	1600000	1600000	1600000	1600000
2026-07-15T10:06:23Z	58000	58000	65000	62000	1600000	1600000	1600000	1600000	1600000
2026-07-15T10:06:28Z	58000	57000	65000	63000	1600000	1600000	1600000	1600000	1600000
2026-07-15T10:06:33Z	58000	58000	65000	63000	1600000	1600000	1600000	1600000	1600000
2026-07-15T10:06:38Z	58000	58000	64000	63000	1600000	1600000	1600000	1600000	1600000
2026-07-15T10:06:43Z	58000	56000	65000	63000	1600000	1600000	1600000	1600000	1600000
2026-07-15T10:06:48Z	58000	58000	64000	65000	1600000	1600000	1600000	1600000	1600000
2026-07-15T10:06:53Z	59000	56000	65000	62000	1600000	1600000	1600000	1600000	1600000
2026-07-15T10:06:58Z	58000	58000	65000	63000	1600000	1600000	1600000	1600000	1600000
2026-07-15T10:07:04Z	59000	58000	65000	63000	1600000	1600000	1600000	1600000	1600000
2026-07-15T10:07:09Z	58000	57000	66000	64000	1600000	1600000	1600000	1600000	1600000
2026-07-15T10:07:14Z	58000	57000	64000	64000	1600000	1600000	1600000	1600000	1600000
2026-07-15T10:07:19Z	58000	58000	66000	63000	1600000	1600000	1600000	1600000	1600000
2026-07-15T10:07:24Z	58000	57000	66000	62000	1600000	1600000	1600000	1600000	1600000
2026-07-15T10:07:29Z	58000	58000	65000	64000	1600000	1600000	1600000	1600000	1600000
2026-07-15T10:07:34Z	59000	59000	65000	62000	1600000	1600000	1600000	1600000	1600000
2026-07-15T10:07:39Z	58000	57000	65000	63000	1600000	1600000	1600000	1600000	1600000
2026-07-15T10:07:44Z	58000	58000	66000	63000	1600000	1600000	1600000	1600000	1600000
2026-07-15T10:07:49Z	58000	57000	65000	64000	1600000	1600000	1600000	1600000	1600000
2026-07-15T10:07:54Z	60000	58000	65000	63000	1600000	1600000	1600000	1600000	1600000
2026-07-15T10:08:00Z	58000	58000	67000	65000	1600000	1600000	1600000	1600000	1600000
2026-07-15T10:08:05Z	58000	58000	66000	64000	1600000	1600000	1600000	1600000	1600000
2026-07-15T10:08:10Z	59000	57000	65000	63000	1600000	1600000	1600000	1600000	1600000
2026-07-15T10:08:15Z	59000	56000	65000	63000	1600000	1600000	1600000	1600000	1600000
2026-07-15T10:08:20Z	60000	59000	66000	62000	1600000	1600000	1600000	1600000	1600000
2026-07-15T10:08:25Z	58000	57000	66000	65000	1600000	1600000	1600000	1600000	1600000
2026-07-15T10:08:30Z	59000	58000	66000	63000	1600000	1600000	1600000	1600000	1600000
2026-07-15T10:08:35Z	60000	57000	66000	64000	1600000	1600000	1600000	1600000	1600000
2026-07-15T10:08:40Z	59000	59000	66000	63000	1600000	1600000	1600000	1600000	1600000
2026-07-15T10:08:45Z	59000	58000	66000	63000	1600000	1600000	1600000	1600000	1600000
2026-07-15T10:08:50Z	60000	58000	66000	63000	1600000	1600000	1600000	1600000	1600000
2026-07-15T10:08:55Z	59000	59000	65000	64000	1600000	1600000	1600000	1600000	1600000
2026-07-15T10:09:01Z	59000	58000	65000	64000	1600000	1600000	1600000	1600000	1600000
2026-07-15T10:09:06Z	58000	58000	66000	64000	1600000	1600000	1600000	1600000	1600000
2026-07-15T10:09:11Z	58000	57000	66000	64000	1600000	1600000	1600000	1600000	1600000
2026-07-15T10:09:16Z	59000	57000	66000	64000	1600000	1600000	1600000	1600000	1600000
2026-07-15T10:09:21Z	58000	57000	65000	63000	1600000	1600000	1600000	1600000	1600000
2026-07-15T10:09:26Z	59000	58000	65000	64000	1600000	1600000	1600000	1600000	1600000
2026-07-15T10:09:31Z	60000	59000	66000	64000	1600000	1600000	1600000	1600000	1600000
2026-07-15T10:09:36Z	58000	58000	66000	64000	1600000	1600000	1600000	1600000	1600000
2026-07-15T10:09:41Z	59000	58000	66000	63000	1600000	1600000	1600000	1600000	1600000
2026-07-15T10:09:46Z	59000	59000	65000	63000	1600000	1600000	1600000	1600000	1600000
2026-07-15T10:09:51Z	60000	58000	66000	63000	1600000	1600000	1600000	1600000	1600000
2026-07-15T10:09:56Z	59000	59000	67000	65000	1600000	1600000	1600000	1600000	1600000
