block	cycle	arm	repeat	run	wall_us	input_us	core_us	dense_us	depthwise_us	attention_us	lut_us	concat_us	transform_us	head_us	process_cpu_us	voluntary_cs	involuntary_cs	affinity_ok	cpu4_7_ime_count	hash
1	0	e2c4	0	6	149538	2458.43	19584.2	69927.7	15246.4	20271.7	7354.9	3810.99	2497.01	8274.34	757543	0	0	1	0	0xd43f5e018b415631
1	0	e2c4	0	7	149391	2165.5	19479.4	70431.5	15156.3	20133.9	7333.69	3777.62	2401.8	8427.63	741332	0	1	1	0	0xd43f5e018b415631
1	0	e2c4	0	8	148847	2221.96	19600.5	70233.6	15186.2	19476.7	7281.07	3919.79	2446.97	8396.88	740788	0	1	1	0	0xd43f5e018b415631
1	0	e2c4	0	9	150058	2198	19891.6	70189	15174.1	20374.6	7545.07	3755.37	2477.76	8366.63	758028	0	1	1	0	0xd43f5e018b415631
1	0	e2c4	0	10	149423	2309.88	19633.9	70523.8	15185.2	19744.2	7402.2	3772.49	2415.22	8352.71	740839	0	15	1	0	0xd43f5e018b415631
1	0	e2c4	0	11	149980	2337.92	19599.5	70223.6	15192.9	20374.6	7401.78	3901.12	2463.34	8399.59	757923	0	1	1	0	0xd43f5e018b415631
1	0	e2c4	0	12	152301	2202.71	22024.3	70158	15199.1	20424.4	7499.36	3879.41	2505.97	8321.3	760131	0	3	1	0	0xd43f5e018b415631
1	0	e2c4	0	13	149208	2231.92	19620.4	70384.6	15146	19603.6	7509.11	3817.66	2392.22	8417.55	741062	0	2	1	0	0xd43f5e018b415631
1	0	e2c4	0	14	147811	2187.92	19412.5	70046.5	15216	19046.9	7330.4	3797.66	2534.26	8152.33	739812	0	0	1	0	0xd43f5e018b415631
1	0	e2c4	0	15	149735	2195.55	19501.2	69957.2	15237	20413.6	7481.4	4016.33	2463.09	8385.96	757737	0	0	1	0	0xd43f5e018b415631
1	0	e2c4	0	16	149321	2209.88	19628.1	70378.1	15087	19834.8	7338.11	3880.12	2512.26	8363.8	741107	0	4	1	0	0xd43f5e018b415631
1	0	e2c4	0	17	150738	2268.3	19537.5	70631	15300.7	20443.1	7539.24	3981.83	2447.34	8507.13	758383	0	11	1	0	0xd43f5e018b415631
