block	cycle	arm	repeat	run	wall_us	input_us	core_us	dense_us	depthwise_us	attention_us	lut_us	concat_us	transform_us	head_us	process_cpu_us	voluntary_cs	involuntary_cs	affinity_ok	cpu4_7_ime_count	hash
1	0	indexed	0	26	164802	2135.46	19698.8	82957.2	15286.1	21973.4	7242.49	3950	2487.47	8986.82	820804	0	0	1	0	0xd43f5e018b415631
1	0	indexed	0	27	164427	2193.38	19949.1	83158.9	15216.6	21586.3	7296.04	3771.04	2394.47	8776.74	820288	0	1	1	0	0xd43f5e018b415631
1	0	indexed	0	28	167558	2198.17	21617.1	83602.6	15271.3	21946.6	7240.53	4094.92	2683.31	8817.03	839111	0	10	1	0	0xd43f5e018b415631
1	0	indexed	0	29	164665	2210.84	19786.1	83667.6	15222.2	21220.5	7533.5	3726.92	2393.22	8819.07	819730	0	5	1	0	0xd43f5e018b415631
1	0	indexed	0	30	163873	2189.05	19656.2	83047.6	15265.4	21252.6	7401	3764.46	2400.18	8813.9	819872	0	0	1	0	0xd43f5e018b415631
1	0	indexed	0	31	163989	2188.22	19688.1	82971.7	15323.5	21154.7	7560.62	3757.83	2396.89	8863.86	823925	0	1	1	0	0xd43f5e018b415631
1	0	indexed	0	32	163983	2170.17	19789.9	82997	15322	21120.1	7491.41	3762.79	2450.05	8791.99	819706	0	4	1	0	0xd43f5e018b415631
1	0	indexed	0	33	164730	2154.05	20049.5	83082.3	15254	21579.8	7356.78	3789.87	2393.76	8987.61	820556	0	2	1	0	0xd43f5e018b415631
1	0	indexed	0	34	165315	2149.63	19809.9	83391.1	15263.5	22028.5	7306.08	3757.09	2476.22	9050.41	820962	0	9	1	0	0xd43f5e018b415631
1	0	indexed	0	35	164549	2178.88	19543.8	83103	15247.2	21660.5	7541.17	3841.04	2397.89	8948.32	820374	0	2	1	0	0xd43f5e018b415631
1	0	indexed	0	36	164436	2212.47	19693	83017.6	15289.8	21283.8	7673.21	3839.42	2399.55	8947.45	820132	0	4	1	0	0xd43f5e018b415631
1	0	indexed	0	37	164050	2148.01	19598.4	83190.6	15269	21101.4	7543.92	3709.08	2447.26	8956.36	819988	0	1	1	0	0xd43f5e018b415631
1	0	indexed	0	38	163707	2162.63	19617.4	82903.1	15300.3	21118.6	7409.49	3702.66	2445.14	8963.2	819701	0	0	1	0	0xd43f5e018b415631
1	0	indexed	0	39	164936	2147.17	20166	83149.1	15341	21459.7	7420.21	3937.84	2388.39	8842.28	820815	0	2	1	0	0xd43f5e018b415631
1	0	indexed	0	40	167633	2157.72	19975.1	85844.1	15225.9	21425.6	7535.16	4007.67	2523.72	8850.4	839368	0	8	1	0	0xd43f5e018b415631
1	0	indexed	0	41	165119	2136.92	19737.2	83092.3	15237.9	21971.6	7460.28	4041.01	2476.51	8883.78	820923	0	3	1	0	0xd43f5e018b415631
1	0	indexed	0	42	164569	2209.17	19714.7	82777.7	15221.8	21678.4	7797.8	3891.09	2381.09	8811.9	820571	0	0	1	0	0xd43f5e018b415631
1	0	indexed	0	43	164122	2202.09	19594.5	83040.7	15216.3	21419.3	7623.16	3752.46	2402.3	8786.24	820001	0	2	1	0	0xd43f5e018b415631
1	0	indexed	0	44	164364	2192.51	19659.5	82899	15342.2	21176.3	7552.5	3851.33	2717.97	8887.07	835990	0	5	1	0	0xd43f5e018b415631
1	0	indexed	0	45	164771	2144.46	19747.4	83317.5	15338.8	21545.6	7394.33	3762.54	2449.72	8966.7	820599	0	2	1	0	0xd43f5e018b415631
1	0	indexed	0	46	164103	2138.51	19738.6	82801	15355.2	21378.7	7435.75	3753.54	2534.72	8884.4	819967	0	2	1	0	0xd43f5e018b415631
1	0	indexed	0	47	164969	2137.8	19571.3	83199.7	15426.1	21982.6	7331.58	3868.09	2485.85	8883.99	820657	0	9	1	0	0xd43f5e018b415631
1	0	indexed	0	48	164685	2198.17	19798	83457.8	15214.5	21657.4	7164.41	3946.05	2383.68	8780.32	820242	0	3	1	0	0xd43f5e018b415631
1	0	indexed	0	49	164264	2191.67	19620.7	82971.7	15248.8	21357.8	7535.34	3975.08	2405.97	8850.61	820207	0	1	1	0	0xd43f5e018b415631
2	0	indexed	0	0	164479	2355.59	19701.2	83263.7	15292.6	21086.5	7569.12	3821.58	2398.63	8900.24	835956	0	6	1	0	0xd43f5e018b415631
2	0	indexed	0	1	164327	2151.13	19637.9	83172	15298.1	21493.8	7504.24	3715.71	2396.88	8866.49	820076	0	8	1	0	0xd43f5e018b415631
2	0	indexed	0	2	164261	2153.88	19712	83151.9	15345.6	21481.6	7253.91	3789.25	2385.43	8896.44	820064	0	3	1	0	0xd43f5e018b415631
2	0	indexed	0	3	164967	2140.92	19740.1	83071.3	15286.1	21988.4	7365.25	3906.09	2481.89	8901.03	820856	0	2	1	0	0xd43f5e018b415631
2	0	indexed	0	4	164718	2200.88	19692.3	83089.2	15219.2	21976.3	7389.45	3755.29	2413.68	8892.65	820661	0	1	1	0	0xd43f5e018b415631
2	0	indexed	0	5	164144	2195.26	19770.4	83226	15231.3	21303.2	7391.45	3772.87	2383.01	8782.53	820133	0	0	1	0	0xd43f5e018b415631
2	0	indexed	0	6	164000	2194.55	19657.7	83210	15229.8	21248.8	7284.62	3786.91	2391.97	8904.65	819760	0	5	1	0	0xd43f5e018b415631
2	0	indexed	0	7	167086	2150.3	19742.4	85570	15269.8	21332	7422.25	4306.38	2413.01	8792.4	839008	0	2	1	0	0xd43f5e018b415631
2	0	indexed	0	8	164181	2193.72	19822.4	83130.9	15240.9	21411.5	7291.16	3766.62	2389.39	8846.94	819911	0	8	1	0	0xd43f5e018b415631
2	0	indexed	0	9	164154	2199.8	19807.6	83013.6	15330.3	21201.8	7387.21	3865.54	2404.64	8856.99	820089	0	1	1	0	0xd43f5e018b415631
2	0	indexed	0	10	164088	2146.05	19676.6	83121.4	15307.5	21188.2	7465.66	3832.62	2396.88	8869.4	819813	0	5	1	0	0xd43f5e018b415631
2	0	indexed	0	11	164574	2143.63	19608.2	83208.7	15561.9	21520.2	7329.87	3740.37	2439.01	8933.82	820344	0	4	1	0	0xd43f5e018b415631
2	0	indexed	0	12	164104	2142.46	19666.7	83063.1	15266.3	21411.6	7293.41	3827.79	2435.26	8908.07	819910	0	3	1	0	0xd43f5e018b415631
2	0	indexed	0	13	164872	2152.13	19554.8	83157.7	15348.8	21939.9	7336.54	3827.29	2428.63	9040.36	820669	0	3	1	0	0xd43f5e018b415631
2	0	indexed	0	14	165422	2216.26	20240.5	83274.2	15497.3	21480.7	7461.29	3939.55	2372.8	8848.44	837057	0	9	1	0	0xd43f5e018b415631
2	0	indexed	0	15	166491	3714.83	19803	83026.4	15250.8	21911.3	7458.62	3966.63	2477.76	8792.78	822418	0	1	1	0	0xd43f5e018b415631
2	0	indexed	0	16	164590	2209.17	19811.7	83205.2	15278.3	21461.8	7329.53	3861.17	2398.47	8945.9	820527	0	1	1	0	0xd43f5e018b415631
2	0	indexed	0	17	163805	2188.3	19649.1	82924.5	15239	21341.3	7390.67	3775.67	2390.38	8816.69	819800	0	0	1	0	0xd43f5e018b415631
2	0	indexed	0	18	163986	2189.72	19702.4	82893.1	15240.8	21281.1	7640.42	3785.12	2388.84	8775.48	819922	0	1	1	0	0xd43f5e018b415631
2	0	indexed	0	19	167221	2197.84	19740.8	85555.7	15717.7	21374.1	7393.91	3968.67	2399.51	8781.61	838962	0	4	1	0	0xd43f5e018b415631
2	0	indexed	0	20	164841	2179.97	19809.3	83158.9	15326.5	21262.7	7890.97	3848.25	2410.13	8862.03	835779	0	11	1	0	0xd43f5e018b415631
2	0	indexed	0	21	163838	2149.46	19640.1	83012.9	15329.8	21146	7505.29	3696.29	2395.63	8875.28	819838	0	0	1	0	0xd43f5e018b415631
2	0	indexed	0	22	163833	2148.01	19694.3	82947.5	15294.5	21015.7	7466.58	3928.09	2445.51	8806.82	819772	0	1	1	0	0xd43f5e018b415631
2	0	indexed	0	23	164108	2163.51	19734.9	83617.9	15276.5	20890.4	7390.95	3890.55	2464.3	8590.23	819787	0	5	1	0	0xd43f5e018b415631
2	0	indexed	0	24	163897	2141.63	19778.6	83135	15260.6	21530.5	7208.7	3796.08	2400.13	8557.4	819598	0	3	1	0	0xd43f5e018b415631
2	0	indexed	0	25	164422	2155.05	19641.2	83493.7	15276.8	21465.8	7272.95	3830.12	2395.14	8804.4	820288	0	2	1	0	0xd43f5e018b415631
2	0	indexed	0	26	163909	2146.01	19582.9	83162.2	15265	21431.8	7280.28	3696.41	2388.38	8868.32	819668	0	8	1	0	0xd43f5e018b415631
2	0	indexed	0	27	165005	2149.09	19906.2	83205.1	15239.7	21838.6	7269.03	3942.67	2547.97	8819.48	820871	0	2	1	0	0xd43f5e018b415631
2	0	indexed	0	28	164851	2956.77	19666.6	82804.3	15257.7	21430.1	7640.25	3741.49	2395.84	8867.15	820735	0	2	1	0	0xd43f5e018b415631
2	0	indexed	0	29	163943	2178.8	19747.9	83079.8	15237.6	21223.1	7471.91	3736.42	2393.26	8788.15	819952	0	0	1	0	0xd43f5e018b415631
2	0	indexed	0	30	164039	2177.05	19716.9	83193.9	15313.2	21092.3	7514.29	3736.37	2401.76	8803.36	819813	0	2	1	0	0xd43f5e018b415631
2	0	indexed	0	31	163800	2158.21	19710.6	82736.3	15305.3	21284.4	7362.12	3941.67	2398.13	8815.53	803685	0	2	1	0	0xd43f5e018b415631
2	0	indexed	0	32	167293	3410.57	19686.3	84799.6	15201.4	21593.4	7298.08	3878.92	2396.88	8935.99	822951	0	10	1	0	0xd43f5e018b415631
2	0	indexed	0	33	163828	2213.3	19705.3	82885.5	15231.5	21326.3	7393.16	3732.37	2392.97	8858.03	819820	0	0	1	0	0xd43f5e018b415631
2	0	indexed	0	34	164396	2187.42	19577.3	83039.9	15395.8	21181.8	7705.38	3966.96	2398.47	8855.78	836270	0	2	1	0	0xd43f5e018b415631
2	0	indexed	0	35	164120	2144.55	19723	82929.1	15271.7	21346.1	7484.25	3915.33	2454.93	8761.23	819811	0	5	1	0	0xd43f5e018b415631
2	0	indexed	0	36	163873	2147.67	19742.9	83033.9	15296	21568.3	7253.83	3761.34	2385.72	8598.27	819629	0	3	1	0	0xd43f5e018b415631
2	0	indexed	0	37	163560	2143.76	19640.7	83045.2	15303.3	21034.9	7293.45	3839.5	2387.55	8786.94	819377	0	3	1	0	0xd43f5e018b415631
2	0	indexed	0	38	163836	2144.63	19661.7	82994	15308.1	21060.7	7551.87	3667.08	2418.76	8942.94	819718	0	2	1	0	0xd43f5e018b415631
2	0	indexed	0	39	164144	2160.8	19719.6	83151.1	15256.2	21543.1	7438.45	3763.25	2451.47	8570.6	819914	0	7	1	0	0xd43f5e018b415631
2	0	indexed	0	40	163700	2146.59	19750.8	82910.4	15215.4	21519.9	7369.12	3773.04	2381.26	8543.48	819635	0	1	1	0	0xd43f5e018b415631
2	0	indexed	0	41	164275	2141.59	19610	83120.6	15256.9	21529.8	7359.28	3762.29	2411.01	8997.32	820221	0	1	1	0	0xd43f5e018b415631
2	0	indexed	0	42	164880	2145.59	19721.1	83312.1	15280.7	21912.3	7231.78	3934.12	2429.72	8824.44	820464	0	3	1	0	0xd43f5e018b415631
2	0	indexed	0	43	164757	2195.13	19846.1	83158.8	15211.4	21805.8	7419.91	3827.58	2392.43	8809.44	820648	0	2	1	0	0xd43f5e018b415631
2	0	indexed	0	44	167979	2187.96	20303.8	85202.6	15260	21818	7696.71	4143.22	2435.43	8840.48	839610	0	3	1	0	0xd43f5e018b415631
2	0	indexed	0	45	164314	2198.05	19802.5	83150.6	15223	21275.5	7439.24	3906.63	2407.64	8822.02	820118	0	7	1	0	0xd43f5e018b415631
2	0	indexed	0	46	163968	2179.42	19557.2	82884.2	15345	21271.7	7473.57	3986.92	2382.8	8798.48	819901	0	1	1	0	0xd43f5e018b415631
2	0	indexed	0	47	163594	2190.13	19765.1	82941.7	15237	21269.2	7287.11	3645.41	2387.09	8782.9	819541	0	1	1	0	0xd43f5e018b415631
2	0	indexed	0	48	164385	2190.42	19607.3	83269.2	15298.2	21106	7646.96	3816.83	2437.63	8925.69	835985	0	5	1	0	0xd43f5e018b415631
2	0	indexed	0	49	163919	2139.09	19755.2	82687.3	15343.4	20991.4	7692.96	3910.38	2443.34	8868.44	819788	0	2	1	0	0xd43f5e018b415631
3	0	control	0	0	168403	2177.3	19743.8	83119	15348.2	21561.7	11271.5	3878.08	2472.01	8741.94	856262	0	6	1	0	0xd43f5e018b415631
3	0	control	0	1	167689	2141.01	19715.2	83280.1	15331.4	21442.7	10913.7	3781.16	2403.26	8594.02	839517	0	3	1	0	0xd43f5e018b415631
3	0	control	0	2	167888	2142.26	19729.5	82987.9	15682.5	21468.2	10866	4015.38	2399.8	8511.85	839614	0	4	1	0	0xd43f5e018b415631
3	0	control	0	3	167647	2139.26	19791.4	82995.2	15270.3	21565.4	10891.2	3787.79	2396.34	8723.86	839355	0	5	1	0	0xd43f5e018b415631
3	0	control	0	4	167869	2136.38	19831.8	82996.4	15304	21498	10966.7	4027.09	2440.8	8583.69	839619	0	3	1	0	0xd43f5e018b415631
3	0	control	0	5	167956	2165.71	19782.8	83320.5	15391.1	21404.4	11082	3718.58	2421.84	8583.1	839910	0	2	1	0	0xd43f5e018b415631
3	0	control	0	6	167662	2149.67	19941.2	83087.8	15298	21447.7	10846.8	3743.25	2395.84	8666.1	839442	0	6	1	0	0xd43f5e018b415631
3	0	control	0	7	167835	2137.55	19840.2	82918.4	15327.9	21538.8	10949.7	3913.59	2382.8	8745.27	839700	0	2	1	0	0xd43f5e018b415631
3	0	control	0	8	167960	2138.96	19695.4	83088.6	15301.7	21488.1	10885.5	4006.38	2491.93	8777.02	839953	0	0	1	0	0xd43f5e018b415631
3	0	control	0	9	167822	2144.92	19662.5	83399.2	15402.4	21390.4	10830.5	3892	2419.72	8593.73	839684	0	6	1	0	0xd43f5e018b415631
3	0	control	0	10	169800	2133.67	19770.5	84242.5	15553.6	21495.3	11350.6	3964.92	2402.05	8805.73	841582	0	1	1	0	0xd43f5e018b415631
3	0	control	0	11	168276	2494.3	19692.4	83188.4	15472.4	21398.5	10815.2	3880.67	2457.64	8792.77	839824	0	3	1	0	0xd43f5e018b415631
3	0	control	0	12	168445	2189.88	19750.8	82897	15369.6	21994.2	10916.9	3993.21	2386.51	8862.44	840343	0	6	1	0	0xd43f5e018b415631
3	0	control	0	13	168209	2197.92	19885.1	82730.7	15297.8	21880	10907.9	3985.54	2421.55	8813.27	840075	0	2	1	0	0xd43f5e018b415631
3	0	control	0	14	168082	2139.09	19884.5	82877	15648.3	21505.2	10891.4	4011.63	2417.43	8624.15	839758	0	5	1	0	0xd43f5e018b415631
3	0	control	0	15	167920	2149.26	19694.7	83329.7	15369.6	21417.9	11057.9	3861.87	2391.22	8563.73	839660	0	3	1	0	0xd43f5e018b415631
3	0	control	0	16	167760	2131.34	19853.5	83040.3	15268.3	21474.6	10967.5	3834.29	2456.05	8646.98	839581	0	3	1	0	0xd43f5e018b415631
3	0	control	0	17	168434	2141.38	20002.2	83385.4	15334	21297.7	11186.1	3767.58	2407.18	8828.36	840192	0	3	1	0	0xd43f5e018b415631
