repeat	run	wall_us	process_cpu_us	input_wrap_us	ort_run_us	output_copy_us
2	11	452762.277000	1808042.660000	8.834000	452427.642000	277.716000
2	12	452314.722000	1807964.910000	9.500000	451984.713000	271.507000
2	13	456309.242000	1835663.951000	9.417000	455901.939000	358.259000
2	14	456263.697000	1823846.078000	11.376000	455925.562000	288.757000
2	15	455848.476000	1823156.284000	10.250000	455449.299000	350.343000
2	16	455304.667000	1810828.534000	11.042000	454964.242000	282.674000
2	17	454479.729000	1821987.786000	10.167000	454157.221000	269.549000
2	18	456231.814000	1824019.786000	8.667000	455890.138000	284.715000
2	19	454786.900000	1822512.575000	9.667000	454459.808000	279.258000
2	20	476225.750000	1880267.238000	10.667000	475888.158000	284.841000
2	21	470038.921000	1863528.240000	10.458000	469616.077000	366.176000
2	22	470503.180000	1883643.950000	11.042000	470117.420000	332.675000
2	23	457059.578000	1824709.369000	9.167000	456725.569000	277.173000
2	24	455703.499000	1822698.491000	8.917000	455367.324000	281.674000
2	25	455816.167000	1821687.619000	10.083000	455477.158000	283.924000
2	26	454818.306000	1822633.078000	10.667000	454440.880000	325.550000
2	27	452938.130000	1807703.241000	10.625000	452612.079000	272.383000
2	28	454058.533000	1821299.621000	10.042000	453630.106000	377.885000
2	29	455732.282000	1805319.121000	10.417000	455356.189000	276.090000
2	30	452972.043000	1808295.659000	13.208000	452631.826000	287.799000
2	31	455886.033000	1823146.912000	9.917000	455541.274000	295.508000
2	32	454996.176000	1810633.075000	10.375000	454668.334000	270.674000
2	33	451749.089000	1806686.077000	9.708000	451417.914000	275.549000
2	34	456402.167000	1835877.075000	9.584000	456027.074000	282.341000
2	35	451692.668000	1795180.369000	10.709000	451348.742000	284.549000
2	36	454073.687000	1821916.868000	9.126000	453746.886000	274.007000
2	37	453076.118000	1808152.033000	9.667000	452747.776000	271.799000
2	38	452991.071000	1808797.117000	9.542000	452663.021000	273.132000
2	39	456738.127000	1835998.033000	9.500000	456386.077000	305.258000
2	40	456435.783000	1824104.200000	9.625000	456104.357000	281.008000
2	41	454700.487000	1810386.330000	10.292000	454359.562000	281.340000
2	42	454017.008000	1820014.992000	9.709000	453689.875000	273.423000
2	43	454029.925000	1809538.867000	8.875000	453702.792000	271.923000
2	44	452155.666000	1807887.826000	10.375000	451825.657000	270.757000
2	45	457298.923000	1838053.994000	9.709000	456874.787000	368.759000
2	46	451886.238000	1805533.282000	12.042000	451554.063000	282.174000
2	47	454331.509000	1809792.368000	10.334000	453996.167000	278.632000
2	48	455269.032000	1822459.033000	9.334000	454937.357000	275.965000
2	49	454230.169000	1821973.076000	8.667000	453898.494000	283.549000
2	50	455220.279000	1822612.616000	10.751000	454812.684000	357.426000
2	51	456357.472000	1823961.660000	12.001000	456000.628000	306.633000
2	52	455083.105000	1810449.409000	10.751000	454754.596000	270.340000
2	53	455948.041000	1823700.325000	9.625000	455610.574000	281.966000
2	54	453243.928000	1821145.576000	10.833000	452900.503000	294.258000
2	55	455069.182000	1810217.703000	11.000000	454731.507000	277.715000
2	56	453054.961000	1820661.451000	8.709000	452719.786000	287.632000
2	57	455398.271000	1822449.950000	10.416000	454994.469000	356.260000
2	58	451387.206000	1795185.869000	11.625000	451058.198000	271.632000
2	59	456928.183000	1836105.244000	9.042000	456585.008000	295.383000
2	60	452488.149000	1807867.452000	9.875000	452155.306000	280.716000
2	61	455826.610000	1822940.120000	11.583000	455484.476000	290.591000
2	62	454155.855000	1810025.326000	10.334000	453818.804000	278.924000
2	63	456229.576000	1824104.242000	10.792000	455898.942000	273.173000
2	64	454795.369000	1821872.953000	9.625000	454465.152000	275.090000
2	65	453290.995000	1809195.201000	9.084000	452960.154000	273.298000
2	66	456580.120000	1835681.079000	9.209000	456198.360000	281.591000
2	67	455008.787000	1810939.908000	12.209000	454674.153000	275.174000
2	68	452604.640000	1807391.410000	9.334000	452276.214000	271.966000
2	69	451803.158000	1807372.995000	9.000000	451475.067000	273.632000
2	70	452855.935000	1820448.740000	10.000000	452453.716000	352.843000
2	71	453715.204000	1809590.369000	12.000000	453387.238000	271.715000
2	72	454982.362000	1822782.450000	9.125000	454622.895000	314.050000
2	73	454830.730000	1810066.700000	11.167000	454496.805000	275.674000
2	74	455918.092000	1823621.910000	9.500000	455574.625000	284.174000
2	75	456114.302000	1823467.826000	9.292000	455788.085000	269.757000
2	76	455832.295000	1823770.494000	9.376000	455493.827000	280.674000
2	77	456090.799000	1823069.910000	9.792000	455759.332000	274.591000
2	78	455037.520000	1822749.618000	9.667000	454704.929000	275.465000
2	79	455983.585000	1823405.911000	9.750000	455650.576000	274.841000
2	80	451990.479000	1807873.410000	8.792000	451660.012000	276.341000
2	81	454190.035000	1821590.118000	9.583000	453862.486000	278.674000
2	82	456086.416000	1823499.326000	9.375000	455756.699000	280.633000
2	83	453739.063000	1809185.119000	10.750000	453408.179000	275.341000
2	84	453503.595000	1820852.620000	9.251000	453094.626000	359.426000
2	85	455377.436000	1811152.201000	10.417000	455042.760000	276.133000
2	86	456380.959000	1835306.663000	10.250000	455990.657000	342.800000
2	87	455801.318000	1811502.741000	10.667000	455466.601000	276.882000
2	88	456208.993000	1835756.703000	10.083000	455808.983000	350.926000
2	89	456560.960000	1824501.283000	12.459000	456219.492000	292.216000
2	90	456036.611000	1823450.787000	10.167000	455700.311000	288.174000
2	91	455301.549000	1822784.823000	9.834000	454931.414000	272.590000
2	92	454763.867000	1810208.580000	10.834000	454432.650000	272.465000
2	93	454290.186000	1821626.741000	9.208000	453964.636000	275.840000
2	94	454646.862000	1810480.660000	11.167000	454309.061000	279.133000
2	95	455881.973000	1822810.413000	9.792000	455551.049000	275.923000
2	96	453560.538000	1821141.740000	11.001000	453229.571000	279.882000
2	97	453364.114000	1809091.537000	10.042000	453023.855000	281.465000
2	98	454607.687000	1822424.995000	9.667000	454275.054000	280.382000
2	99	455524.541000	1822963.117000	9.917000	455182.367000	293.966000
3	0	455969.802000	1822985.492000	11.291000	455620.835000	298.883000
3	1	454518.596000	1809783.783000	10.042000	454185.379000	276.591000
3	2	453635.656000	1821172.162000	9.542000	453304.355000	283.382000
3	3	453095.182000	1808852.744000	10.334000	452773.549000	268.590000
3	4	457213.995000	1824372.118000	9.625000	456880.361000	277.091000
3	5	456074.007000	1823635.660000	9.792000	455722.539000	294.633000
3	6	453292.890000	1820908.119000	9.833000	452934.839000	310.258000
3	7	452309.740000	1808202.451000	9.667000	451976.398000	285.715000
3	8	453609.520000	1809120.786000	10.042000	453276.012000	276.882000
3	9	453266.886000	1808815.995000	9.500000	452926.710000	282.758000
3	10	455818.200000	1823024.908000	9.834000	455484.524000	278.382000
3	11	454780.672000	1822183.283000	9.375000	454458.289000	266.673000
3	12	461171.585000	1837348.194000	9.584000	460836.493000	277.632000
3	13	462555.994000	1848272.574000	10.209000	462219.693000	282.799000
3	14	460925.201000	1838054.034000	9.917000	460592.484000	274.924000
3	15	459211.571000	1836580.158000	9.042000	458882.480000	274.465000
3	16	461742.094000	1839767.990000	8.125000	461412.003000	273.132000
3	17	456835.339000	1835151.871000	55.710000	456457.038000	285.091000
3	18	459468.658000	1836457.827000	10.125000	459060.981000	359.634000
3	19	455984.065000	1821327.117000	11.708000	455585.263000	348.884000
3	20	460347.677000	1838140.949000	10.333000	459974.293000	320.300000
3	21	459029.140000	1824722.956000	11.042000	458688.965000	283.924000
3	22	457404.722000	1835659.329000	10.208000	457071.590000	283.965000
3	23	452534.762000	1808008.785000	9.583000	452205.004000	277.299000
3	24	453934.297000	1809444.828000	9.084000	453594.246000	284.882000
3	25	452576.427000	1819915.284000	9.459000	452198.042000	331.800000
3	26	449268.923000	1792531.368000	11.417000	448931.956000	284.007000
3	27	454310.344000	1809444.328000	10.292000	453982.544000	269.757000
3	28	452367.250000	1820032.410000	10.709000	451996.157000	269.090000
3	29	456758.779000	1824268.073000	10.709000	456384.978000	321.133000
3	30	454443.134000	1809877.494000	10.750000	454107.333000	279.133000
3	31	455922.588000	1823361.451000	10.792000	455589.705000	275.965000
3	32	455976.378000	1823679.453000	9.500000	455642.662000	276.465000
3	33	456212.633000	1822179.829000	9.542000	455879.584000	275.007000
3	34	453836.779000	1821334.493000	9.626000	453505.270000	281.757000
3	35	454613.215000	1810283.867000	10.083000	454282.915000	272.382000
3	36	456773.144000	1836124.616000	10.625000	456421.469000	301.591000
3	37	454401.248000	1810174.076000	11.000000	454061.239000	282.340000
3	38	454720.880000	1822181.449000	9.917000	454394.913000	273.258000
3	39	454900.299000	1822166.950000	8.500000	454552.248000	300.049000
3	40	455695.861000	1822996.118000	9.501000	455292.850000	357.926000
3	41	452881.035000	1808599.493000	11.084000	452557.944000	271.298000
3	42	456020.949000	1823499.619000	10.959000	455691.816000	278.132000
3	43	452950.701000	1808402.076000	10.709000	452611.067000	282.883000
3	44	454057.104000	1821845.494000	10.333000	453662.969000	345.634000
3	45	455911.442000	1822375.870000	11.500000	455509.848000	350.592000
3	46	455569.431000	1811394.786000	10.750000	455241.256000	270.007000
3	47	454747.117000	1822223.911000	9.084000	454409.442000	279.632000
3	48	458300.040000	1837489.823000	9.750000	457940.864000	311.175000
3	49	453043.862000	1808354.828000	10.500000	452716.771000	274.840000
3	50	453961.092000	1809830.077000	9.709000	453627.667000	279.382000
3	51	455837.473000	1823385.203000	10.083000	455509.632000	270.840000
3	52	456905.581000	1836324.116000	8.834000	456563.239000	295.466000
3	53	453590.287000	1809230.950000	10.209000	453258.821000	277.173000
3	54	453829.458000	1809206.408000	8.959000	453490.615000	282.799000
3	55	456018.055000	1823865.743000	9.625000	455690.672000	270.965000
3	56	455912.092000	1823242.449000	9.209000	455585.292000	271.715000
3	57	454264.006000	1821231.369000	10.042000	453916.956000	292.424000
3	58	452884.470000	1808061.660000	9.416000	452553.379000	275.215000
3	59	452897.594000	1808773.368000	9.666000	452558.252000	284.924000
3	60	454225.252000	1821908.785000	8.958000	453893.869000	277.340000
3	61	453907.908000	1821438.744000	9.250000	453534.148000	274.924000
3	62	455731.663000	1811264.369000	13.709000	455393.529000	277.424000
