resolution	shape_class	operation_index	kind	m	n	k	kernel	stride	selected_route	design_role
480	dense_3x3s1_k144	113	conv_dense	3600	16	144	3x3	1x1	packed-p1-n16	bounded-graph-backed-synthetic-exact-shape
512	dense_3x3s1_k144	113	conv_dense	4096	16	144	3x3	1x1	packed-p1-n16	bounded-graph-backed-synthetic-exact-shape
640	dense_3x3s1_k144	113	conv_dense	6400	16	144	3x3	1x1	packed-p1-n16	bounded-graph-backed-synthetic-exact-shape
384	dense_3x3s1_k576	127	conv_dense	2304	16	576	3x3	1x1	packed-p1-n16	bounded-graph-backed-synthetic-exact-shape
416	dense_3x3s1_k576	127	conv_dense	2704	16	576	3x3	1x1	packed-p1-n16	bounded-graph-backed-synthetic-exact-shape
448	dense_3x3s1_k576	127	conv_dense	3136	16	576	3x3	1x1	packed-p1-n16	bounded-graph-backed-synthetic-exact-shape
480	dense_3x3s1_k576	127	conv_dense	3600	16	576	3x3	1x1	packed-p1-n16	bounded-graph-backed-synthetic-exact-shape
512	dense_3x3s1_k576	127	conv_dense	4096	16	576	3x3	1x1	packed-p1-n16	bounded-graph-backed-synthetic-exact-shape
640	dense_3x3s1_k576	127	conv_dense	6400	16	576	3x3	1x1	packed-p1-n16	bounded-graph-backed-synthetic-exact-shape
384	dense_3x3s1_k1152	161	conv_dense	576	16	1152	3x3	1x1	packed-p1-n16	bounded-graph-backed-synthetic-exact-shape
416	dense_3x3s1_k1152	161	conv_dense	676	16	1152	3x3	1x1	packed-p1-n16	bounded-graph-backed-synthetic-exact-shape
448	dense_3x3s1_k1152	161	conv_dense	784	16	1152	3x3	1x1	packed-p1-n16	bounded-graph-backed-synthetic-exact-shape
480	dense_3x3s1_k1152	161	conv_dense	900	16	1152	3x3	1x1	packed-p1-n16	bounded-graph-backed-synthetic-exact-shape
512	dense_3x3s1_k1152	161	conv_dense	1024	16	1152	3x3	1x1	packed-p1-n16	bounded-graph-backed-synthetic-exact-shape
640	dense_3x3s1_k1152	161	conv_dense	1600	16	1152	3x3	1x1	packed-p1-n16	bounded-graph-backed-synthetic-exact-shape
384	dense_3x3s1_k2304	201	conv_dense	144	16	2304	3x3	1x1	packed-p1-n16	bounded-graph-backed-synthetic-exact-shape
416	dense_3x3s1_k2304	201	conv_dense	169	16	2304	3x3	1x1	packed-p1-n16	bounded-graph-backed-synthetic-exact-shape
448	dense_3x3s1_k2304	201	conv_dense	196	16	2304	3x3	1x1	packed-p1-n16	bounded-graph-backed-synthetic-exact-shape
480	dense_3x3s1_k2304	201	conv_dense	225	16	2304	3x3	1x1	packed-p1-n16	bounded-graph-backed-synthetic-exact-shape
