resolution	shape_class	operation_index	operation_name	kind	output_h	output_w	m	n	k	kernel	stride	input_c	output_c	working_set_bytes	packed_weight_bytes	mean_us	median_us	p95_us	max_us	output_hash	correctness_status	selected_route	scheduler	workers	tails
640	dense_1x1_n80_k80	144	/model.23/one2one_cv3.0/one2one_cv3.0.1/one2one_cv3.0.1.1/conv/Conv	conv_dense	80	80	6400	80	80	1x1	1x1	80	80	1024000	6400	1510.87	1502.82	1592.38	1647.32	0x2616079a3c7cf4b3	exact-component-contract	family-a-weight-stationary-n16	SCHED_OTHER-raw-epoch-spin	CPU0-3	M%12=4;N%16=0
384	dense_1x1_n80_k128	167	/model.23/one2one_cv3.1/one2one_cv3.1.0/one2one_cv3.1.0.1/conv/Conv	conv_dense	24	24	576	80	128	1x1	1x1	128	80	119808	10240	143.429	140.606	153.133	162.753	0xe4c288bd6af6a407	exact-component-contract	direct-strided-n16	SCHED_OTHER-raw-epoch-spin	CPU0-3	M%12=0;N%16=0
416	dense_1x1_n80_k128	167	/model.23/one2one_cv3.1/one2one_cv3.1.0/one2one_cv3.1.0.1/conv/Conv	conv_dense	26	26	676	80	128	1x1	1x1	128	80	140608	10240	179.313	176.252	198.128	203.67	0x745e760380c0799e	exact-component-contract	direct-strided-n16	SCHED_OTHER-raw-epoch-spin	CPU0-3	M%12=4;N%16=0
448	dense_1x1_n80_k128	167	/model.23/one2one_cv3.1/one2one_cv3.1.0/one2one_cv3.1.0.1/conv/Conv	conv_dense	28	28	784	80	128	1x1	1x1	128	80	163072	10240	213.451	212.565	223.629	226.795	0xf5f87cff80ff2549	exact-component-contract	direct-strided-n16	SCHED_OTHER-raw-epoch-spin	CPU0-3	M%12=4;N%16=0
480	dense_1x1_n80_k128	167	/model.23/one2one_cv3.1/one2one_cv3.1.0/one2one_cv3.1.0.1/conv/Conv	conv_dense	30	30	900	80	128	1x1	1x1	128	80	187200	10240	235.885	232.441	251.948	253.254	0x6e841aacb29b6538	exact-component-contract	direct-strided-n16	SCHED_OTHER-raw-epoch-spin	CPU0-3	M%12=0;N%16=0
512	dense_1x1_n80_k128	167	/model.23/one2one_cv3.1/one2one_cv3.1.0/one2one_cv3.1.0.1/conv/Conv	conv_dense	32	32	1024	80	128	1x1	1x1	128	80	212992	10240	496.625	491.591	519.04	553.675	0x8021642d5aac3c3	exact-component-contract	direct-strided-n16	SCHED_OTHER-raw-epoch-spin	CPU0-3	M%12=4;N%16=0
640	dense_1x1_n80_k128	167	/model.23/one2one_cv3.1/one2one_cv3.1.0/one2one_cv3.1.0.1/conv/Conv	conv_dense	40	40	1600	80	128	1x1	1x1	128	80	332800	10240	442.797	440.382	457.579	464.466	0xaad44d075ada6547	exact-component-contract	direct-strided-n16	SCHED_OTHER-raw-epoch-spin	CPU0-3	M%12=4;N%16=0
384	dense_1x1_k384	90	/model.13/cv1/conv/Conv	conv_dense	24	24	576	128	384	1x1	1x1	384	128	294912	49152	710.876	708.907	729.087	760.595	0x5f146f85cdd1407f	exact-component-contract	direct-strided-n16	SCHED_OTHER-raw-epoch-spin	CPU0-3	M%12=0;N%16=0
416	dense_1x1_k384	90	/model.13/cv1/conv/Conv	conv_dense	26	26	676	128	384	1x1	1x1	384	128	346112	49152	680.159	677.365	701.426	718.803	0xdd8787a0d88268ee	exact-component-contract	direct-strided-n16	SCHED_OTHER-raw-epoch-spin	CPU0-3	M%12=4;N%16=0
448	dense_1x1_k384	90	/model.13/cv1/conv/Conv	conv_dense	28	28	784	128	384	1x1	1x1	384	128	401408	49152	788.442	783.22	821.756	839.055	0xd537fe6c8024c435	exact-component-contract	direct-strided-n16	SCHED_OTHER-raw-epoch-spin	CPU0-3	M%12=4;N%16=0
