fixture_id	tensor_id	tensor_key	elements	mismatches	max_abs_difference	mean_signed_difference	difference_histogram
F0	27	model.8.add1_inner	25600	672	3	-0.001796875	-3:6,-2:121,-1:219,0:24928,1:222,2:101,3:3
F0	28	model.8.inner_concat	51200	698	3	-0.0009765625	-3:7,-2:122,-1:231,0:50502,1:233,2:102,3:3
F0	29	model.8.cv3_outer	51200	1160	4	-0.00060546875	-4:2,-3:6,-2:178,-1:400,0:50040,1:404,2:164,3:5,4:1
F0	30	model.8.outer_concat	153600	1191	4	-0.00020833333333333335	-4:2,-3:6,-2:182,-1:412,0:152409,1:415,2:168,3:5,4:1
F0	31	model.8.output	102400	2155	5	0.000556640625	-5:1,-4:1,-3:40,-2:337,-1:701,0:100245,1:644,2:379,3:50,4:1,5:1
F1	0	model4.preact	819200	0	0	0.0	0:819200
F1	1	model4.postact	819200	0	0	0.0	0:819200
F1	2	model.5.output	204800	0	0	0.0	0:204800
F1	3	model.6.split0_outer	102400	0	0	0.0	0:102400
F1	4	model.6.split1	102400	0	0	0.0	0:102400
F1	5	model.6.m0_cv1_act	51200	0	0	0.0	0:51200
F1	6	model.6.m0_cv2_inner	51200	0	0	0.0	0:51200
F1	7	model.6.r0_cv1_act	51200	0	0	0.0	0:51200
F1	8	model.6.r0_cv2_preact	51200	0	0	0.0	0:51200
F1	9	model.6.add0	51200	0	0	0.0	0:51200
F1	10	model.6.r1_cv1_act	51200	0	0	0.0	0:51200
F1	11	model.6.r1_cv2_preact	51200	0	0	0.0	0:51200
F1	12	model.6.add1_inner	51200	0	0	0.0	0:51200
F1	13	model.6.inner_concat	102400	0	0	0.0	0:102400
F1	14	model.6.cv3_outer	102400	0	0	0.0	0:102400
F1	15	model.6.outer_concat	307200	0	0	0.0	0:307200
F1	16	model.6.output	204800	0	0	0.0	0:204800
F1	17	model.7.output	102400	0	0	0.0	0:102400
F1	18	model.8.split0_outer	51200	0	0	0.0	0:51200
F1	19	model.8.split1	51200	0	0	0.0	0:51200
F1	20	model.8.m0_cv1_act	25600	0	0	0.0	0:25600
F1	21	model.8.m0_cv2_inner	25600	1	1	-3.90625e-05	-1:1,0:25599
F1	22	model.8.r0_cv1_act	25600	0	0	0.0	0:25600
F1	23	model.8.r0_cv2_preact	25600	0	0	0.0	0:25600
F1	24	model.8.add0	25600	0	0	0.0	0:25600
F1	25	model.8.r1_cv1_act	25600	0	0	0.0	0:25600
F1	26	model.8.r1_cv2_preact	25600	0	0	0.0	0:25600
F1	27	model.8.add1_inner	25600	0	0	0.0	0:25600
F1	28	model.8.inner_concat	51200	1	1	-1.953125e-05	-1:1,0:51199
F1	29	model.8.cv3_outer	51200	3	2	-3.90625e-05	-2:1,-1:1,0:51197,1:1
F1	30	model.8.outer_concat	153600	3	2	-1.3020833333333334e-05	-2:1,-1:1,0:153597,1:1
F1	31	model.8.output	102400	4	1	1.953125e-05	-1:1,0:102396,1:3
F2	0	model4.preact	819200	0	0	0.0	0:819200
F2	1	model4.postact	819200	0	0	0.0	0:819200
F2	2	model.5.output	204800	0	0	0.0	0:204800
F2	3	model.6.split0_outer	102400	0	0	0.0	0:102400
F2	4	model.6.split1	102400	0	0	0.0	0:102400
F2	5	model.6.m0_cv1_act	51200	0	0	0.0	0:51200
F2	6	model.6.m0_cv2_inner	51200	0	0	0.0	0:51200
F2	7	model.6.r0_cv1_act	51200	0	0	0.0	0:51200
F2	8	model.6.r0_cv2_preact	51200	0	0	0.0	0:51200
F2	9	model.6.add0	51200	0	0	0.0	0:51200
F2	10	model.6.r1_cv1_act	51200	0	0	0.0	0:51200
F2	11	model.6.r1_cv2_preact	51200	0	0	0.0	0:51200
F2	12	model.6.add1_inner	51200	0	0	0.0	0:51200
F2	13	model.6.inner_concat	102400	0	0	0.0	0:102400
F2	14	model.6.cv3_outer	102400	0	0	0.0	0:102400
F2	15	model.6.outer_concat	307200	0	0	0.0	0:307200
F2	16	model.6.output	204800	0	0	0.0	0:204800
F2	17	model.7.output	102400	0	0	0.0	0:102400
F2	18	model.8.split0_outer	51200	0	0	0.0	0:51200
F2	19	model.8.split1	51200	0	0	0.0	0:51200
F2	20	model.8.m0_cv1_act	25600	0	0	0.0	0:25600
F2	21	model.8.m0_cv2_inner	25600	0	0	0.0	0:25600
F2	22	model.8.r0_cv1_act	25600	0	0	0.0	0:25600
F2	23	model.8.r0_cv2_preact	25600	0	0	0.0	0:25600
F2	24	model.8.add0	25600	0	0	0.0	0:25600
F2	25	model.8.r1_cv1_act	25600	0	0	0.0	0:25600
F2	26	model.8.r1_cv2_preact	25600	0	0	0.0	0:25600
F2	27	model.8.add1_inner	25600	0	0	0.0	0:25600
F2	28	model.8.inner_concat	51200	0	0	0.0	0:51200
F2	29	model.8.cv3_outer	51200	0	0	0.0	0:51200
F2	30	model.8.outer_concat	153600	0	0	0.0	0:153600
F2	31	model.8.output	102400	0	0	0.0	0:102400
F3	0	model4.preact	819200	0	0	0.0	0:819200
F3	1	model4.postact	819200	0	0	0.0	0:819200
F3	2	model.5.output	204800	0	0	0.0	0:204800
F3	3	model.6.split0_outer	102400	0	0	0.0	0:102400
F3	4	model.6.split1	102400	0	0	0.0	0:102400
F3	5	model.6.m0_cv1_act	51200	0	0	0.0	0:51200
F3	6	model.6.m0_cv2_inner	51200	0	0	0.0	0:51200
F3	7	model.6.r0_cv1_act	51200	0	0	0.0	0:51200
F3	8	model.6.r0_cv2_preact	51200	0	0	0.0	0:51200
F3	9	model.6.add0	51200	0	0	0.0	0:51200
F3	10	model.6.r1_cv1_act	51200	0	0	0.0	0:51200
F3	11	model.6.r1_cv2_preact	51200	0	0	0.0	0:51200
F3	12	model.6.add1_inner	51200	0	0	0.0	0:51200
F3	13	model.6.inner_concat	102400	0	0	0.0	0:102400
F3	14	model.6.cv3_outer	102400	0	0	0.0	0:102400
F3	15	model.6.outer_concat	307200	0	0	0.0	0:307200
F3	16	model.6.output	204800	0	0	0.0	0:204800
F3	17	model.7.output	102400	0	0	0.0	0:102400
F3	18	model.8.split0_outer	51200	0	0	0.0	0:51200
F3	19	model.8.split1	51200	0	0	0.0	0:51200
F3	20	model.8.m0_cv1_act	25600	0	0	0.0	0:25600
F3	21	model.8.m0_cv2_inner	25600	0	0	0.0	0:25600
F3	22	model.8.r0_cv1_act	25600	0	0	0.0	0:25600
F3	23	model.8.r0_cv2_preact	25600	0	0	0.0	0:25600
F3	24	model.8.add0	25600	0	0	0.0	0:25600
F3	25	model.8.r1_cv1_act	25600	0	0	0.0	0:25600
F3	26	model.8.r1_cv2_preact	25600	0	0	0.0	0:25600
F3	27	model.8.add1_inner	25600	0	0	0.0	0:25600
F3	28	model.8.inner_concat	51200	0	0	0.0	0:51200
F3	29	model.8.cv3_outer	51200	0	0	0.0	0:51200
F3	30	model.8.outer_concat	153600	0	0	0.0	0:153600
F3	31	model.8.output	102400	0	0	0.0	0:102400
F4	0	model4.preact	819200	0	0	0.0	0:819200
F4	1	model4.postact	819200	0	0	0.0	0:819200
F4	2	model.5.output	204800	0	0	0.0	0:204800
F4	3	model.6.split0_outer	102400	0	0	0.0	0:102400
F4	4	model.6.split1	102400	0	0	0.0	0:102400
F4	5	model.6.m0_cv1_act	51200	0	0	0.0	0:51200
F4	6	model.6.m0_cv2_inner	51200	0	0	0.0	0:51200
F4	7	model.6.r0_cv1_act	51200	0	0	0.0	0:51200
F4	8	model.6.r0_cv2_preact	51200	0	0	0.0	0:51200
F4	9	model.6.add0	51200	0	0	0.0	0:51200
F4	10	model.6.r1_cv1_act	51200	0	0	0.0	0:51200
F4	11	model.6.r1_cv2_preact	51200	0	0	0.0	0:51200
F4	12	model.6.add1_inner	51200	0	0	0.0	0:51200
F4	13	model.6.inner_concat	102400	0	0	0.0	0:102400
F4	14	model.6.cv3_outer	102400	0	0	0.0	0:102400
F4	15	model.6.outer_concat	307200	0	0	0.0	0:307200
F4	16	model.6.output	204800	0	0	0.0	0:204800
F4	17	model.7.output	102400	0	0	0.0	0:102400
F4	18	model.8.split0_outer	51200	0	0	0.0	0:51200
F4	19	model.8.split1	51200	0	0	0.0	0:51200
F4	20	model.8.m0_cv1_act	25600	0	0	0.0	0:25600
F4	21	model.8.m0_cv2_inner	25600	0	0	0.0	0:25600
F4	22	model.8.r0_cv1_act	25600	0	0	0.0	0:25600
F4	23	model.8.r0_cv2_preact	25600	0	0	0.0	0:25600
F4	24	model.8.add0	25600	0	0	0.0	0:25600
F4	25	model.8.r1_cv1_act	25600	0	0	0.0	0:25600
F4	26	model.8.r1_cv2_preact	25600	0	0	0.0	0:25600
F4	27	model.8.add1_inner	25600	0	0	0.0	0:25600
F4	28	model.8.inner_concat	51200	0	0	0.0	0:51200
F4	29	model.8.cv3_outer	51200	0	0	0.0	0:51200
F4	30	model.8.outer_concat	153600	0	0	0.0	0:153600
F4	31	model.8.output	102400	0	0	0.0	0:102400
F5	0	model4.preact	819200	0	0	0.0	0:819200
F5	1	model4.postact	819200	0	0	0.0	0:819200
F5	2	model.5.output	204800	0	0	0.0	0:204800
F5	3	model.6.split0_outer	102400	0	0	0.0	0:102400
F5	4	model.6.split1	102400	0	0	0.0	0:102400
F5	5	model.6.m0_cv1_act	51200	0	0	0.0	0:51200
F5	6	model.6.m0_cv2_inner	51200	0	0	0.0	0:51200
F5	7	model.6.r0_cv1_act	51200	0	0	0.0	0:51200
F5	8	model.6.r0_cv2_preact	51200	0	0	0.0	0:51200
F5	9	model.6.add0	51200	0	0	0.0	0:51200
F5	10	model.6.r1_cv1_act	51200	0	0	0.0	0:51200
F5	11	model.6.r1_cv2_preact	51200	0	0	0.0	0:51200
F5	12	model.6.add1_inner	51200	0	0	0.0	0:51200
F5	13	model.6.inner_concat	102400	0	0	0.0	0:102400
F5	14	model.6.cv3_outer	102400	0	0	0.0	0:102400
F5	15	model.6.outer_concat	307200	0	0	0.0	0:307200
F5	16	model.6.output	204800	0	0	0.0	0:204800
F5	17	model.7.output	102400	0	0	0.0	0:102400
F5	18	model.8.split0_outer	51200	0	0	0.0	0:51200
F5	19	model.8.split1	51200	0	0	0.0	0:51200
F5	20	model.8.m0_cv1_act	25600	0	0	0.0	0:25600
F5	21	model.8.m0_cv2_inner	25600	0	0	0.0	0:25600
F5	22	model.8.r0_cv1_act	25600	0	0	0.0	0:25600
F5	23	model.8.r0_cv2_preact	25600	0	0	0.0	0:25600
F5	24	model.8.add0	25600	0	0	0.0	0:25600
F5	25	model.8.r1_cv1_act	25600	0	0	0.0	0:25600
F5	26	model.8.r1_cv2_preact	25600	0	0	0.0	0:25600
F5	27	model.8.add1_inner	25600	0	0	0.0	0:25600
F5	28	model.8.inner_concat	51200	0	0	0.0	0:51200
F5	29	model.8.cv3_outer	51200	0	0	0.0	0:51200
F5	30	model.8.outer_concat	153600	0	0	0.0	0:153600
F5	31	model.8.output	102400	0	0	0.0	0:102400
F6	0	model4.preact	819200	0	0	0.0	0:819200
F6	1	model4.postact	819200	0	0	0.0	0:819200
F6	2	model.5.output	204800	1	3	-1.46484375e-05	-3:1,0:204799
F6	3	model.6.split0_outer	102400	11	2	-3.90625e-05	-2:2,-1:5,0:102389,1:3,2:1
F6	4	model.6.split1	102400	5	2	7.8125e-05	0:102395,1:2,2:3
F6	5	model.6.m0_cv1_act	51200	13	3	-0.00017578125	-3:3,-2:4,-1:2,0:51187,2:2,3:2
F6	6	model.6.m0_cv2_inner	51200	3	2	-9.765625e-05	-2:2,-1:1,0:51197
F6	7	model.6.r0_cv1_act	51200	45	2	-0.00015625	-2:8,-1:17,0:51155,1:15,2:5
F6	8	model.6.r0_cv2_preact	51200	172	2	0.00046875	-2:1,-1:73,0:51028,1:97,2:1
F6	9	model.6.add0	51200	109	2	0.00021484375	-2:11,-1:39,0:51091,1:46,2:13
F6	10	model.6.r1_cv1_act	51200	149	3	-5.859375e-05	-3:1,-2:25,-1:50,0:51051,1:49,2:21,3:3
F6	11	model.6.r1_cv2_preact	51200	483	2	0.0005859375	-2:4,-1:223,0:50717,1:251,2:5
F6	12	model.6.add1_inner	51200	446	3	0.00087890625	-3:4,-2:103,-1:98,0:50754,1:126,2:110,3:5
F6	13	model.6.inner_concat	102400	449	3	0.000390625	-3:4,-2:105,-1:99,0:101951,1:126,2:110,3:5
F6	14	model.6.cv3_outer	102400	741	4	0.0	-4:1,-3:3,-2:144,-1:223,0:101659,1:220,2:148,4:2
F6	15	model.6.outer_concat	307200	757	4	1.3020833333333334e-05	-4:1,-3:3,-2:146,-1:228,0:306443,1:225,2:152,4:2
F6	16	model.6.output	204800	1347	4	0.0002099609375	-3:18,-2:228,-1:431,0:203453,1:391,2:246,3:31,4:2
F6	17	model.7.output	102400	882	3	-0.00052734375	-3:27,-2:174,-1:257,0:101518,1:242,2:156,3:26
F6	18	model.8.split0_outer	51200	893	4	0.001953125	-4:3,-3:4,-2:113,-1:300,0:50307,1:308,2:155,3:8,4:2
F6	19	model.8.split1	51200	777	4	0.0013671875	-4:1,-3:12,-2:118,-1:234,0:50423,1:271,2:119,3:17,4:5
F6	20	model.8.m0_cv1_act	25600	383	4	-0.0022265625	-3:10,-2:75,-1:127,0:25217,1:99,2:66,3:5,4:1
F6	21	model.8.m0_cv2_inner	25600	494	4	-0.0013671875	-3:6,-2:26,-1:233,0:25106,1:194,2:32,3:2,4:1
F6	22	model.8.r0_cv1_act	25600	605	4	-0.00125	-4:5,-3:7,-2:89,-1:207,0:24995,1:204,2:90,3:2,4:1
F6	23	model.8.r0_cv2_preact	25600	1750	4	0.0059765625	-4:1,-3:3,-2:49,-1:749,0:23850,1:885,2:61,3:2
F6	24	model.8.add0	25600	1259	5	0.0019140625	-5:2,-4:8,-3:22,-2:201,-1:362,0:24341,1:423,2:226,3:14,4:1
F6	25	model.8.r1_cv1_act	25600	987	4	0.0005078125	-4:1,-3:4,-2:103,-1:372,0:24613,1:408,2:98,3:1
F6	26	model.8.r1_cv2_preact	25600	2666	4	-0.003125	-4:1,-3:7,-2:63,-1:1291,0:22934,1:1248,2:54,3:2
F6	27	model.8.add1_inner	25600	2428	6	-0.0024609375	-6:1,-5:5,-4:13,-3:40,-2:360,-1:798,0:23172,1:809,2:362,3:35,4:5
F6	28	model.8.inner_concat	51200	2922	6	-0.0019140625	-6:1,-5:5,-4:13,-3:46,-2:386,-1:1031,0:48278,1:1003,2:394,3:37,4:6
F6	29	model.8.cv3_outer	51200	3290	5	0.002265625	-4:16,-3:26,-2:509,-1:1061,0:47910,1:1071,2:568,3:27,4:11,5:1
F6	30	model.8.outer_concat	153600	4812	5	0.0018294270833333333	-4:19,-3:37,-2:709,-1:1559,0:148788,1:1612,2:810,3:52,4:13,5:1
F6	31	model.8.output	102400	6586	6	0.000888671875	-6:2,-5:10,-4:20,-3:166,-2:1248,-1:1812,0:95814,1:1872,2:1251,3:166,4:29,5:9,6:1
F7	0	model4.preact	819200	0	0	0.0	0:819200
F7	1	model4.postact	819200	0	0	0.0	0:819200
F7	2	model.5.output	204800	0	0	0.0	0:204800
F7	3	model.6.split0_outer	102400	0	0	0.0	0:102400
F7	4	model.6.split1	102400	0	0	0.0	0:102400
F7	5	model.6.m0_cv1_act	51200	0	0	0.0	0:51200
F7	6	model.6.m0_cv2_inner	51200	0	0	0.0	0:51200
F7	7	model.6.r0_cv1_act	51200	0	0	0.0	0:51200
F7	8	model.6.r0_cv2_preact	51200	0	0	0.0	0:51200
F7	9	model.6.add0	51200	0	0	0.0	0:51200
F7	10	model.6.r1_cv1_act	51200	0	0	0.0	0:51200
F7	11	model.6.r1_cv2_preact	51200	0	0	0.0	0:51200
F7	12	model.6.add1_inner	51200	0	0	0.0	0:51200
F7	13	model.6.inner_concat	102400	0	0	0.0	0:102400
F7	14	model.6.cv3_outer	102400	0	0	0.0	0:102400
F7	15	model.6.outer_concat	307200	0	0	0.0	0:307200
F7	16	model.6.output	204800	0	0	0.0	0:204800
F7	17	model.7.output	102400	0	0	0.0	0:102400
F7	18	model.8.split0_outer	51200	0	0	0.0	0:51200
F7	19	model.8.split1	51200	0	0	0.0	0:51200
F7	20	model.8.m0_cv1_act	25600	0	0	0.0	0:25600
F7	21	model.8.m0_cv2_inner	25600	1	1	3.90625e-05	0:25599,1:1
F7	22	model.8.r0_cv1_act	25600	0	0	0.0	0:25600
F7	23	model.8.r0_cv2_preact	25600	0	0	0.0	0:25600
F7	24	model.8.add0	25600	0	0	0.0	0:25600
F7	25	model.8.r1_cv1_act	25600	0	0	0.0	0:25600
F7	26	model.8.r1_cv2_preact	25600	0	0	0.0	0:25600
F7	27	model.8.add1_inner	25600	0	0	0.0	0:25600
F7	28	model.8.inner_concat	51200	1	1	1.953125e-05	0:51199,1:1
F7	29	model.8.cv3_outer	51200	8	2	7.8125e-05	-1:3,0:51192,1:3,2:2
F7	30	model.8.outer_concat	153600	8	2	2.604166666666667e-05	-1:3,0:153592,1:3,2:2
F7	31	model.8.output	102400	30	3	-9.765625e-06	-3:1,-2:5,-1:9,0:102370,1:10,2:4,3:1
