route	operation	kind	name	wall_us	delivery_worker_sum_us	vmadot_worker_sum_us	epilogue_worker_sum_us	q0_extract_worker_sum_us	q1_bias_worker_sum_us	q2_multiply_rne_worker_sum_us	q3_clamp_worker_sum_us	q4_lut_worker_sum_us	q5_store_worker_sum_us
E2c	13	concat	/model.6/Concat	113.754	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
E2c	14	conv	/model.6/cv2/conv/Conv	10782.1	960.655	1146.54	39466.7	4134.3	4743.03	4678.21	4919.82	4730.63	4674.88
E2c	15	conv	/model.7/conv/Conv	6658.48	1616.38	2752.58	19992.6	2061.16	2433.56	2415.8	2467.0	2406.6	2359.02
E2c	16	conv	/model.8/cv1/conv/Conv	5706.45	250.595	688.765	19841.0	2075.47	2390.67	2339.83	2444.89	2378.24	2357.62
E2c	17	conv	/model.8/m.0/cv1/conv/Conv	1434.92	120.421	78.875	4833.51	512.109	576.241	583.163	607.325	592.623	553.932
E2c	18	conv	/model.8/m.0/cv2/conv/Conv	1429.42	110.208	79.788	4857.84	511.837	576.202	580.314	612.446	587.061	583.804
E2c	19	conv	/model.8/m.0/m/m.0/cv1/conv/Conv	1745.05	858.857	379.011	4978.8	514.23	600.665	612.927	641.885	597.622	575.624
E2c	20	conv	/model.8/m.0/m/m.0/cv2/conv/Conv	1717.22	825.314	390.302	4885.01	514.907	600.341	585.513	609.948	595.998	559.608
E2c	21	add_silu	/model.8/m.0/m/m.0/Add	132.004	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
E2c	22	conv	/model.8/m.0/m/m.1/cv1/conv/Conv	1737.63	824.733	379.352	4991.47	515.015	665.436	583.791	613.115	633.953	531.272
E2c	23	conv	/model.8/m.0/m/m.1/cv2/conv/Conv	1699.05	818.774	393.72	4834.26	513.626	589.671	583.294	613.836	595.361	533.593
E2c	24	add_silu	/model.8/m.0/m/m.1/Add	135.296	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
E2c	25	concat	/model.8/m.0/Concat	5.542	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
E2c	26	conv	/model.8/m.0/cv3/conv/Conv	2904.75	135.167	189.677	9915.54	1026.78	1207.85	1164.91	1220.65	1178.57	1140.98
E2c	27	concat	/model.8/Concat	85.711	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
E2c	28	conv	/model.8/cv2/conv/Conv	5762.08	350.471	952.943	19713.1	2052.19	2418.03	2342.65	2438.82	2375.22	2350.33
