graph_index	node_name	block	op_type	input_shape	output_shape	kernel	stride	padding	group	M	N	K	MACs	weight_bytes	activation_bytes	M_mod_4	M_mod_8	M_mod_12	N_mod_16	N_mod_32	K_padding_to_8	candidate_layout	candidate_kernel_class	shape_class
681	/model.16/m.0/m/m.1/cv2/conv/Conv	model.16	Conv	1x16x80x80	1x16x80x80	3x3	1x1	1x1	1	6400	16	144	14745600	2304	819200	0	0	4	0	16	0	resident_NHWC16_signed_s8	m12n16_fullshape	3x3_stride1
690	/model.16/m.0/cv3/conv/Conv	model.16	Conv	1x32x80x80	1x32x80x80	1x1	1x1	0x0	1	6400	32	32	6553600	1024	1638400	0	0	4	0	0	0	resident_NHWC16_signed_s8	m12n16_fullshape	1x1_high_resolution
698	/model.16/cv2/conv/Conv	model.16	Conv	1x96x80x80	1x64x80x80	1x1	1x1	0x0	1	6400	64	96	39321600	6144	4096000	0	0	4	0	0	0	resident_NHWC16_signed_s8	m12n16_fullshape	1x1_high_resolution
705	/model.17/conv/Conv	model.17	Conv	1x64x80x80	1x64x40x40	3x3	2x2	1x1	1	1600	64	576	58982400	36864	2048000	0	0	4	0	0	0	resident_NHWC16_signed_s8	m12n16_fullshape	3x3_stride2
706	/model.23/one2one_cv2.0/one2one_cv2.0.0/conv/Conv	model.23	Conv	1x64x80x80	1x16x80x80	3x3	1x1	1x1	1	6400	16	576	58982400	9216	2048000	0	0	4	0	16	0	resident_NHWC16_signed_s8	m12n16_fullshape	3x3_stride1
707	/model.23/one2one_cv3.0/one2one_cv3.0.0/one2one_cv3.0.0.0/conv/Conv	model.23	Conv	1x64x80x80	1x64x80x80	3x3	1x1	1x1	64	6400	64	9	3686400	576	3276800	0	0	4	0	0	7	resident_NHWC16_signed_s8	grouped_conservative	grouped_or_depthwise_conv
727	/model.23/one2one_cv2.0/one2one_cv2.0.1/conv/Conv	model.23	Conv	1x16x80x80	1x16x80x80	3x3	1x1	1x1	1	6400	16	144	14745600	2304	819200	0	0	4	0	16	0	resident_NHWC16_signed_s8	m12n16_fullshape	3x3_stride1
728	/model.23/one2one_cv3.0/one2one_cv3.0.0/one2one_cv3.0.0.1/conv/Conv	model.23	Conv	1x64x80x80	1x80x80x80	1x1	1x1	0x0	1	6400	80	64	32768000	5120	3686400	0	0	4	0	16	0	resident_NHWC16_signed_s8	m12n16_fullshape	1x1_high_resolution
729	/model.19/cv1/conv/Conv	model.19	Conv	1x192x40x40	1x128x40x40	1x1	1x1	0x0	1	1600	128	192	39321600	24576	2048000	0	0	4	0	0	0	resident_NHWC16_signed_s8	m12n16_fullshape	1x1_low_resolution
748	/model.23/one2one_cv2.0/one2one_cv2.0.2/Conv	model.23	Conv	1x16x80x80	1x4x80x80	1x1	1x1	0x0	1	6400	4	16	409600	64	512000	0	0	4	4	4	0	resident_NHWC16_signed_s8	m4n16_n_tail	small_n_head_conv
