block	initializer	dtype	shape	element_count	bytes	raw_sha256
model7	model.7.conv.bias_quantized	int32	256	256	1024	37936cb42580d7b95c79f21e3b547564b12ceb517ffdfa7ba40e36400cd1086a
model7	model.7.conv.bias_quantized_scale	float32	256	256	1024	df6c1ef3e46a931116c4b0ba65424577a6bf05f8334dd62f88dad3dfaf153a88
model7	model.7.conv.bias_quantized_zero_point	int32	256	256	1024	5f70bf18a086007016e948b04aed3b82103a36bea41755b6cddfaf10ace3c6ef
model7	model.7.conv.weight_quantized	int8	256x128x3x3	294912	294912	fc4b63de9e7ba7e7ecda6fa46a7c9b9e0bb2eb8c4876716183a5440931f13bd1
model7	model.7.conv.weight_scale	float32	256	256	1024	3b46fce4bfa73ffca2eb7c9b2181b5fd94c11055513bd141f4231cae23c5e051
model7	model.7.conv.weight_zero_point	int8	256	256	256	5341e6b2646979a70e57653007a1f310169421ec9bdd9f1a5648f75ade005af1
model8	model.8.cv1.conv.bias_quantized	int32	256	256	1024	9aff11a92d224326bab3afc50f08f85b618b9ef74364465e2cbd3f0f6886f170
model8	model.8.cv1.conv.bias_quantized_scale	float32	256	256	1024	5541fc90955d3475e3a06196cab88573a33fce932c8e048b9660c3d0321caae6
model8	model.8.cv1.conv.bias_quantized_zero_point	int32	256	256	1024	5f70bf18a086007016e948b04aed3b82103a36bea41755b6cddfaf10ace3c6ef
model8	model.8.cv1.conv.weight_quantized	int8	256x256x1x1	65536	65536	286926c9433c7fc2bfa29ce9731110a3ad231d0d2aa70a26c6391ed5c585baca
model8	model.8.cv1.conv.weight_scale	float32	256	256	1024	9bef70477c984b6c84c539c0c36b7cb69847a3dd541aa10cd8fa44ad4edea840
model8	model.8.cv1.conv.weight_zero_point	int8	256	256	256	5341e6b2646979a70e57653007a1f310169421ec9bdd9f1a5648f75ade005af1
model8	model.8.cv2.conv.bias_quantized	int32	256	256	1024	81d6d1d75dbdb903f18d09e4972a61f3ac8bb46096c0a3a35f98064fdfcce2ae
