profile	profile_sha256	event_name	node_index	op_name	provider
model6_ort_only_2026-07-11_07-28-01.json	95d3fa42933ac8521f64d01ae0b2ec10dc4e23ea224fc86f6364e8e9c70b05dd	/model.6/m.0/m/m.1/cv1/act/Sigmoid_kernel_time	57	Sigmoid	CPUExecutionProvider
model6_ort_only_2026-07-11_07-28-01.json	95d3fa42933ac8521f64d01ae0b2ec10dc4e23ea224fc86f6364e8e9c70b05dd	/model.6/m.0/m/m.1/cv1/act/Mul_kernel_time	58	Mul	CPUExecutionProvider
model6_ort_only_2026-07-11_07-28-01.json	95d3fa42933ac8521f64d01ae0b2ec10dc4e23ea224fc86f6364e8e9c70b05dd	/model.6/m.0/m/m.1/cv1/act/Mul_output_0_QuantizeLinear_kernel_time	59	QuantizeLinear	CPUExecutionProvider
model6_ort_only_2026-07-11_07-28-01.json	95d3fa42933ac8521f64d01ae0b2ec10dc4e23ea224fc86f6364e8e9c70b05dd	/model.6/m.0/m/m.1/cv2/conv/Conv_token_23_kernel_time	128	QLinearConv	CPUExecutionProvider
model6_ort_only_2026-07-11_07-28-01.json	95d3fa42933ac8521f64d01ae0b2ec10dc4e23ea224fc86f6364e8e9c70b05dd	/model.6/m.0/m/m.1/cv2/conv/Conv_output_0_DequantizeLinear/duplicated_kernel_time	93	DequantizeLinear	CPUExecutionProvider
model6_ort_only_2026-07-11_07-28-01.json	95d3fa42933ac8521f64d01ae0b2ec10dc4e23ea224fc86f6364e8e9c70b05dd	/model.6/m.0/m/m.1/cv2/conv/Conv_output_0_DequantizeLinear_kernel_time	63	DequantizeLinear	CPUExecutionProvider
model6_ort_only_2026-07-11_07-28-01.json	95d3fa42933ac8521f64d01ae0b2ec10dc4e23ea224fc86f6364e8e9c70b05dd	/model.6/m.0/m/m.1/cv2/act/Sigmoid_kernel_time	64	Sigmoid	CPUExecutionProvider
model6_ort_only_2026-07-11_07-28-01.json	95d3fa42933ac8521f64d01ae0b2ec10dc4e23ea224fc86f6364e8e9c70b05dd	/model.6/m.0/m/m.1/cv2/act/Mul_kernel_time	65	Mul	CPUExecutionProvider
model6_ort_only_2026-07-11_07-28-01.json	95d3fa42933ac8521f64d01ae0b2ec10dc4e23ea224fc86f6364e8e9c70b05dd	/model.6/m.0/m/m.1/Add_kernel_time	66	Add	CPUExecutionProvider
model6_ort_only_2026-07-11_07-28-01.json	95d3fa42933ac8521f64d01ae0b2ec10dc4e23ea224fc86f6364e8e9c70b05dd	/model.6/m.0/cv2/conv/Conv_token_26_kernel_time	130	QLinearConv	CPUExecutionProvider
model6_ort_only_2026-07-11_07-28-01.json	95d3fa42933ac8521f64d01ae0b2ec10dc4e23ea224fc86f6364e8e9c70b05dd	/model.6/m.0/cv2/conv/Conv_output_0_DequantizeLinear/duplicated_kernel_time	94	DequantizeLinear	CPUExecutionProvider
model6_ort_only_2026-07-11_07-28-01.json	95d3fa42933ac8521f64d01ae0b2ec10dc4e23ea224fc86f6364e8e9c70b05dd	/model.6/m.0/cv2/conv/Conv_output_0_DequantizeLinear_kernel_time	32	DequantizeLinear	CPUExecutionProvider
model6_ort_only_2026-07-11_07-28-01.json	95d3fa42933ac8521f64d01ae0b2ec10dc4e23ea224fc86f6364e8e9c70b05dd	/model.6/m.0/cv2/act/Sigmoid_kernel_time	34	Sigmoid	CPUExecutionProvider
model6_ort_only_2026-07-11_07-28-01.json	95d3fa42933ac8521f64d01ae0b2ec10dc4e23ea224fc86f6364e8e9c70b05dd	/model.6/m.0/cv2/act/Mul_kernel_time	36	Mul	CPUExecutionProvider
model6_ort_only_2026-07-11_07-28-01.json	95d3fa42933ac8521f64d01ae0b2ec10dc4e23ea224fc86f6364e8e9c70b05dd	/model.6/m.0/Concat_kernel_time	67	Concat	CPUExecutionProvider
model6_ort_only_2026-07-11_07-28-01.json	95d3fa42933ac8521f64d01ae0b2ec10dc4e23ea224fc86f6364e8e9c70b05dd	/model.6/m.0/Concat_output_0_QuantizeLinear_kernel_time	68	QuantizeLinear	CPUExecutionProvider
model6_ort_only_2026-07-11_07-28-01.json	95d3fa42933ac8521f64d01ae0b2ec10dc4e23ea224fc86f6364e8e9c70b05dd	/model.6/m.0/cv3/conv/Conv_token_30_kernel_time	133	QLinearConv	CPUExecutionProvider
model6_ort_only_2026-07-11_07-28-01.json	95d3fa42933ac8521f64d01ae0b2ec10dc4e23ea224fc86f6364e8e9c70b05dd	/model.6/m.0/cv3/conv/Conv_output_0_DequantizeLinear/duplicated_kernel_time	95	DequantizeLinear	CPUExecutionProvider
model6_ort_only_2026-07-11_07-28-01.json	95d3fa42933ac8521f64d01ae0b2ec10dc4e23ea224fc86f6364e8e9c70b05dd	/model.6/m.0/cv3/conv/Conv_output_0_DequantizeLinear_kernel_time	72	DequantizeLinear	CPUExecutionProvider
model6_ort_only_2026-07-11_07-28-01.json	95d3fa42933ac8521f64d01ae0b2ec10dc4e23ea224fc86f6364e8e9c70b05dd	/model.6/m.0/cv3/act/Sigmoid_kernel_time	73	Sigmoid	CPUExecutionProvider
model6_ort_only_2026-07-11_07-28-01.json	95d3fa42933ac8521f64d01ae0b2ec10dc4e23ea224fc86f6364e8e9c70b05dd	/model.6/m.0/cv3/act/Mul_kernel_time	74	Mul	CPUExecutionProvider
model6_ort_only_2026-07-11_07-28-01.json	95d3fa42933ac8521f64d01ae0b2ec10dc4e23ea224fc86f6364e8e9c70b05dd	/model.6/Concat_kernel_time	75	Concat	CPUExecutionProvider
model6_ort_only_2026-07-11_07-28-01.json	95d3fa42933ac8521f64d01ae0b2ec10dc4e23ea224fc86f6364e8e9c70b05dd	/model.6/Concat_output_0_QuantizeLinear_kernel_time	76	QuantizeLinear	CPUExecutionProvider
model6_ort_only_2026-07-11_07-28-01.json	95d3fa42933ac8521f64d01ae0b2ec10dc4e23ea224fc86f6364e8e9c70b05dd	/model.6/cv2/conv/Conv_token_34_kernel_time	136	QLinearConv	CPUExecutionProvider
model6_ort_only_2026-07-11_07-28-01.json	95d3fa42933ac8521f64d01ae0b2ec10dc4e23ea224fc86f6364e8e9c70b05dd	Transpose_token_33_kernel_time	135	Transpose	CPUExecutionProvider
model6_ort_only_2026-07-11_07-28-01.json	95d3fa42933ac8521f64d01ae0b2ec10dc4e23ea224fc86f6364e8e9c70b05dd	/model.6/cv2/conv/Conv_output_0_DequantizeLinear/duplicated_kernel_time	96	DequantizeLinear	CPUExecutionProvider
model6_ort_only_2026-07-11_07-28-01.json	95d3fa42933ac8521f64d01ae0b2ec10dc4e23ea224fc86f6364e8e9c70b05dd	/model.6/cv2/conv/Conv_output_0_DequantizeLinear_kernel_time	80	DequantizeLinear	CPUExecutionProvider
model6_ort_only_2026-07-11_07-28-01.json	95d3fa42933ac8521f64d01ae0b2ec10dc4e23ea224fc86f6364e8e9c70b05dd	/model.6/cv2/act/Sigmoid_kernel_time	81	Sigmoid	CPUExecutionProvider
model6_ort_only_2026-07-11_07-28-01.json	95d3fa42933ac8521f64d01ae0b2ec10dc4e23ea224fc86f6364e8e9c70b05dd	/model.6/cv2/act/Mul_kernel_time	82	Mul	CPUExecutionProvider
model6_ort_only_2026-07-11_07-28-01.json	95d3fa42933ac8521f64d01ae0b2ec10dc4e23ea224fc86f6364e8e9c70b05dd	/model.6/cv2/act/Mul_output_0_QuantizeLinear_kernel_time	83	QuantizeLinear	CPUExecutionProvider
model6_ort_only_2026-07-11_07-28-01.json	95d3fa42933ac8521f64d01ae0b2ec10dc4e23ea224fc86f6364e8e9c70b05dd	Transpose_kernel_time	111	Transpose	CPUExecutionProvider
model6_ort_only_2026-07-11_07-28-01.json	95d3fa42933ac8521f64d01ae0b2ec10dc4e23ea224fc86f6364e8e9c70b05dd	/model.6/cv1/conv/Conv_token_3_kernel_time	113	QLinearConv	CPUExecutionProvider
model6_ort_only_2026-07-11_07-28-01.json	95d3fa42933ac8521f64d01ae0b2ec10dc4e23ea224fc86f6364e8e9c70b05dd	/model.6/cv1/conv/Conv_output_0_DequantizeLinear/duplicated_kernel_time	84	DequantizeLinear	CPUExecutionProvider
model6_ort_only_2026-07-11_07-28-01.json	95d3fa42933ac8521f64d01ae0b2ec10dc4e23ea224fc86f6364e8e9c70b05dd	/model.6/cv1/conv/Conv_output_0_DequantizeLinear_kernel_time	21	DequantizeLinear	CPUExecutionProvider
model6_ort_only_2026-07-11_07-28-01.json	95d3fa42933ac8521f64d01ae0b2ec10dc4e23ea224fc86f6364e8e9c70b05dd	/model.6/cv1/act/Sigmoid_kernel_time	22	Sigmoid	CPUExecutionProvider
model6_ort_only_2026-07-11_07-28-01.json	95d3fa42933ac8521f64d01ae0b2ec10dc4e23ea224fc86f6364e8e9c70b05dd	/model.6/cv1/act/Mul_kernel_time	23	Mul	CPUExecutionProvider
model6_ort_only_2026-07-11_07-28-01.json	95d3fa42933ac8521f64d01ae0b2ec10dc4e23ea224fc86f6364e8e9c70b05dd	/model.6/cv1/act/Mul_output_0_q_kernel_time	97	QuantizeLinear	CPUExecutionProvider
model6_ort_only_2026-07-11_07-28-01.json	95d3fa42933ac8521f64d01ae0b2ec10dc4e23ea224fc86f6364e8e9c70b05dd	/model.6/Split_kernel_time	102	Split	CPUExecutionProvider
model6_ort_only_2026-07-11_07-28-01.json	95d3fa42933ac8521f64d01ae0b2ec10dc4e23ea224fc86f6364e8e9c70b05dd	/model.6/Split_output_0_dq_kernel_time	100	DequantizeLinear	CPUExecutionProvider
model6_ort_only_2026-07-11_07-28-01.json	95d3fa42933ac8521f64d01ae0b2ec10dc4e23ea224fc86f6364e8e9c70b05dd	/model.6/Split_output_1_DequantizeLinear/duplicated_token_1_kernel_time	86	DequantizeLinear	CPUExecutionProvider
model6_ort_only_2026-07-11_07-28-01.json	95d3fa42933ac8521f64d01ae0b2ec10dc4e23ea224fc86f6364e8e9c70b05dd	/model.6/m.0/cv1/conv/Conv_token_7_kernel_time	116	QLinearConv	CPUExecutionProvider
model6_ort_only_2026-07-11_07-28-01.json	95d3fa42933ac8521f64d01ae0b2ec10dc4e23ea224fc86f6364e8e9c70b05dd	/model.6/m.0/cv1/conv/Conv_output_0_DequantizeLinear/duplicated_kernel_time	87	DequantizeLinear	CPUExecutionProvider
model6_ort_only_2026-07-11_07-28-01.json	95d3fa42933ac8521f64d01ae0b2ec10dc4e23ea224fc86f6364e8e9c70b05dd	/model.6/m.0/cv1/conv/Conv_output_0_DequantizeLinear_kernel_time	31	DequantizeLinear	CPUExecutionProvider
model6_ort_only_2026-07-11_07-28-01.json	95d3fa42933ac8521f64d01ae0b2ec10dc4e23ea224fc86f6364e8e9c70b05dd	/model.6/m.0/cv1/act/Sigmoid_kernel_time	33	Sigmoid	CPUExecutionProvider
model6_ort_only_2026-07-11_07-28-01.json	95d3fa42933ac8521f64d01ae0b2ec10dc4e23ea224fc86f6364e8e9c70b05dd	/model.6/m.0/cv1/act/Mul_kernel_time	35	Mul	CPUExecutionProvider
model6_ort_only_2026-07-11_07-28-01.json	95d3fa42933ac8521f64d01ae0b2ec10dc4e23ea224fc86f6364e8e9c70b05dd	/model.6/m.0/cv1/act/Mul_output_0_QuantizeLinear_kernel_time	37	QuantizeLinear	CPUExecutionProvider
model6_ort_only_2026-07-11_07-28-01.json	95d3fa42933ac8521f64d01ae0b2ec10dc4e23ea224fc86f6364e8e9c70b05dd	/model.6/m.0/cv1/act/Mul_output_0_DequantizeLinear/duplicated_kernel_time	88	DequantizeLinear	CPUExecutionProvider
