surface	category_id	class_name	instances	ap50_95	ap50	ar_100
B2	41	skateboard	179	0.4253726376437051	0.6635848412091135	0.5960893854748603
B2	42	surfboard	267	0.2982148079027094	0.4932849978571836	0.5086142322097378
B2	43	tennis racket	225	0.3928871275210179	0.6622831917831232	0.6173333333333332
B2	44	bottle	1013	0.29794652342668115	0.45986715812579076	0.5432379072063178
B2	46	wine glass	341	0.26283750756045565	0.4242203688556943	0.4639296187683285
B2	47	cup	895	0.32605663752234115	0.4663882908854601	0.6008938547486034
B2	48	fork	215	0.24132619076195921	0.3540856078766092	0.47581395348837213
B2	49	knife	325	0.12546256549228282	0.20621747390864237	0.36369230769230765
B2	50	spoon	253	0.0931428889597306	0.1429671671870846	0.374703557312253
B2	51	bowl	623	0.3555591828411531	0.48323881046640493	0.6568218298555377
B2	52	banana	370	0.2458901314992467	0.41076315299162736	0.4883783783783784
B2	53	apple	236	0.15239579921950647	0.22322629878807135	0.47923728813559324
B2	54	sandwich	177	0.333911705392442	0.4612743859037961	0.6638418079096045
B2	55	orange	285	0.266434155025878	0.33599578319356754	0.5659649122807017
B2	56	broccoli	312	0.2055902461101179	0.36778347765757347	0.5560897435897436
B2	57	carrot	365	0.1959167757365836	0.3172966108240897	0.49890410958904113
B2	58	hot dog	125	0.33233578695598437	0.4853972817920106	0.5800000000000001
B2	59	pizza	284	0.4887670554155448	0.6596257387287453	0.6919014084507042
B2	60	donut	328	0.4577596172530784	0.6049471458230983	0.6756097560975609
B2	61	cake	310	0.3382440341454157	0.5232454268539112	0.6161290322580646
B2	62	chair	1771	0.2480130049734362	0.3995668706477488	0.5320158102766798
B2	63	couch	261	0.4139892459149921	0.5894937387874021	0.7850574712643679
B2	64	potted plant	342	0.21510866968640688	0.35299771084222736	0.52953216374269
B2	65	bed	163	0.4210755675203926	0.5873561341015403	0.7300613496932515
B2	67	dining table	695	0.27760286553582975	0.39457880924539157	0.61568345323741
B2	70	toilet	179	0.615417515068195	0.7742672304747303	0.8189944134078212
B2	72	tv	288	0.5292589283532675	0.7012562078042499	0.7142361111111111
B2	73	laptop	231	0.5405483928846944	0.6787701200821235	0.7285714285714285
B2	74	mouse	106	0.5028503852209408	0.7046871793141033	0.6830188679245283
B2	75	remote	283	0.1836206899037187	0.31951807985955055	0.4915194346289753
B2	76	keyboard	153	0.4951987684027307	0.6371827322381666	0.6888888888888889
B2	77	cell phone	262	0.26730974992342665	0.42042595877909045	0.5332061068702291
B2	78	microwave	55	0.5159403688365323	0.6364142060475917	0.7618181818181818
B2	79	oven	143	0.34271247697075724	0.4996525448113525	0.6328671328671329
B2	80	toaster	9	0.2456041642774316	0.3886669979739287	0.6444444444444444
B2	81	sink	225	0.3470761669292699	0.5185929828205511	0.6106666666666667
B2	82	refrigerator	126	0.583434689455664	0.7196138492635832	0.7690476190476191
B2	84	book	1129	0.11875128296522937	0.2520220191920664	0.3887511071744907
B2	85	clock	267	0.4487635246243303	0.6556288879752715	0.6183520599250937
B2	86	vase	274	0.30876207006897693	0.4567441976785999	0.568978102189781
B2	87	scissors	36	0.29871756863593363	0.37893846017871285	0.43888888888888894
B2	88	teddy bear	190	0.45053423165878376	0.6446012831683159	0.6731578947368422
B2	89	hair drier	11	0.000735457676178679	0.0012532898859506205	0.07272727272727272
B2	90	toothbrush	57	0.17085677370211527	0.2575223512540322	0.4245614035087719
B3	1	person	10777	0.44954641721912936	0.7154999599423987	0.6403730166094461
B3	2	bicycle	314	0.18797134397573437	0.4224761561179593	0.4595541401273885
B3	3	car	1918	0.3252707001956786	0.5329957276185278	0.5499999999999999
B3	4	motorcycle	367	0.3365677715364175	0.5904065874364457	0.5760217983651226
B3	5	airplane	143	0.6249849338418597	0.8212899386695173	0.7706293706293706
B3	6	bus	283	0.5676787563213501	0.7099427804425267	0.7512367491166078
B3	7	train	190	0.6282286511195124	0.8387195150146898	0.7421052631578947
B3	8	truck	414	0.2596830407671725	0.39321613924661286	0.6531400966183575
B3	9	boat	424	0.19364818500650555	0.38103287686690257	0.43372641509433957
B3	10	traffic light	634	0.1977863330190183	0.4061886573235483	0.41435331230283917
B3	11	fire hydrant	101	0.5645764503657504	0.7872379757606689	0.6702970297029703
B3	13	stop sign	75	0.5333517107258265	0.6246958864914576	0.7053333333333333
B3	14	parking meter	60	0.3513381042440058	0.4987008977348273	0.5466666666666667
B3	15	bench	411	0.19506519464546315	0.3034546225546856	0.4126520681265206
B3	16	bird	427	0.26200153558878136	0.4426393559957281	0.4402810304449649
B3	17	cat	202	0.6382568454451205	0.8202798939924618	0.7742574257425743
B3	18	dog	218	0.5671404716142954	0.7021150976963522	0.7477064220183486
B3	19	horse	272	0.4679678347935763	0.660551142587502	0.6908088235294118
B3	20	sheep	354	0.4233677836121028	0.653331001387762	0.655367231638418
B3	21	cow	372	0.49936636836431286	0.7547484465286041	0.671774193548387
B3	22	elephant	252	0.6341277405038095	0.8444071112194285	0.778968253968254
B3	23	bear	71	0.6984754539233451	0.8600911010210527	0.8070422535211268
B3	24	zebra	266	0.5844168764119593	0.830765754659232	0.7593984962406015
B3	25	giraffe	232	0.6297626436885543	0.8374684167413903	0.7767241379310346
B3	27	backpack	371	0.08582248192455014	0.1615124816225438	0.40566037735849064
B3	28	umbrella	407	0.30741307374232185	0.5050857112798304	0.5589680589680589
B3	31	handbag	540	0.08910999903101927	0.16891232106921655	0.3712962962962963
B3	32	tie	252	0.24611051005503867	0.41891041116788164	0.42142857142857143
B3	33	suitcase	299	0.31280058465868726	0.4842156608649835	0.582943143812709
B3	34	frisbee	115	0.5505229000453771	0.7594320578430227	0.72
B3	35	skis	241	0.1471201953239532	0.3229475598311055	0.420746887966805
B3	36	snowboard	69	0.23161349929785482	0.323312730317065	0.5217391304347826
B3	37	sports ball	260	0.3506702409302374	0.5245220112947839	0.4684615384615384
B3	38	kite	327	0.4101117674082363	0.6434126298327926	0.6045871559633028
B3	39	baseball bat	145	0.23396997933392039	0.4373224967912734	0.4793103448275862
B3	40	baseball glove	148	0.3150412848513604	0.5123315714112298	0.5114864864864865
B3	41	skateboard	179	0.37937779710043856	0.5999091079458216	0.5966480446927374
B3	42	surfboard	267	0.25272611366751696	0.4638462954351354	0.4917602996254682
B3	43	tennis racket	225	0.38105572147989436	0.6336860109988006	0.5955555555555556
B3	44	bottle	1013	0.2745410675632267	0.4392319237141853	0.5350444225074038
