candidate	image_index	image	surface	shape	dtype	sha256	non_finite_count	minimum	maximum	mean	stddev	zero_count	nonzero_count	negative_count	positive_count	inference_ms	tail_ms	total_ms
B2	53	000000465285.jpg	source-fp32	1x300x6	float32	d66efeee38c4b932059388e8745daae1aff0f458641fbadeeeb550dd1d62a39f	0	0.0	639.6698608398438	256.7796630859375	202.76028442382812	9	1791	0	1791	nan	nan	nan
B2	53	000000465285.jpg	split-fp32	1x300x6	float32	d66efeee38c4b932059388e8745daae1aff0f458641fbadeeeb550dd1d62a39f	0	0.0	639.6698608398438	256.7796630859375	202.76028442382812	9	1791	0	1791	174.955766	3.428819	178.38458500000002
B2	53	000000465285.jpg	candidate-tail-on-fp32-boundaries	1x300x6	float32	d66efeee38c4b932059388e8745daae1aff0f458641fbadeeeb550dd1d62a39f	0	0.0	639.6698608398438	256.7796630859375	202.76028442382812	9	1791	0	1791	nan	3.267304	nan
B2	53	000000465285.jpg	split-s8	1x300x6	float32	aa124bae001514d386402a6f719c3b335670b86dc787bd6683007ebde42d2c33	0	0.0	631.060791015625	254.05747985839844	202.61451721191406	7	1793	0	1793	243.021003	3.665654	246.686657
B2	54	000000517975.jpg	source-fp32	1x300x6	float32	1cc9a12700dff170cad03c2025bbc163f12b270801373e4d30f159619aec7a95	0	-0.620549201965332	639.9583129882812	218.8392333984375	196.85723876953125	130	1670	7	1663	nan	nan	nan
B2	54	000000517975.jpg	split-fp32	1x300x6	float32	1cc9a12700dff170cad03c2025bbc163f12b270801373e4d30f159619aec7a95	0	-0.620549201965332	639.9583129882812	218.8392333984375	196.85723876953125	130	1670	7	1663	173.44298	3.697798	177.140778
B2	54	000000517975.jpg	candidate-tail-on-fp32-boundaries	1x300x6	float32	1cc9a12700dff170cad03c2025bbc163f12b270801373e4d30f159619aec7a95	0	-0.620549201965332	639.9583129882812	218.8392333984375	196.85723876953125	130	1670	7	1663	nan	3.151723	nan
B2	54	000000517975.jpg	split-s8	1x300x6	float32	65abbdbfe12027c25a28ebf48580b628bf78d76c8bf8df959d31340fa7d4d46a	0	-0.48445701599121094	641.1554565429688	224.49307250976562	200.6094512939453	131	1669	6	1663	243.7425	3.653017	247.395517
B2	55	000000449888.jpg	source-fp32	1x300x6	float32	2ddae7c5f0e7cd29a8eb84d5d13fff7d62bb364f14d030043a93edd5864a2f73	0	-8.300048828125	653.6987915039062	255.25582885742188	241.79014587402344	11	1789	68	1721	nan	nan	nan
B2	55	000000449888.jpg	split-fp32	1x300x6	float32	2ddae7c5f0e7cd29a8eb84d5d13fff7d62bb364f14d030043a93edd5864a2f73	0	-8.300048828125	653.6987915039062	255.25582885742188	241.79014587402344	11	1789	68	1721	169.817819	3.651543	173.469362
B2	55	000000449888.jpg	candidate-tail-on-fp32-boundaries	1x300x6	float32	2ddae7c5f0e7cd29a8eb84d5d13fff7d62bb364f14d030043a93edd5864a2f73	0	-8.300048828125	653.6987915039062	255.25582885742188	241.79014587402344	11	1789	68	1721	nan	3.235742	nan
B2	55	000000449888.jpg	split-s8	1x300x6	float32	f9ebc8219c37d044fee543eacac2fdcfa1dbd3580ed03743fdcc0e252cdf27fa	0	-9.91986083984375	652.2308349609375	237.8408660888672	237.6807861328125	14	1786	57	1729	242.871182	3.621336	246.49251800000002
B2	56	000000066754.jpg	source-fp32	1x300x6	float32	9b87e340fe921672e684f5840c0ac8382901615c6cad9fdf1aae4b177456356e	0	-0.26944637298583984	639.8642578125	239.2404022216797	196.7700958251953	177	1623	10	1613	nan	nan	nan
B2	56	000000066754.jpg	split-fp32	1x300x6	float32	9b87e340fe921672e684f5840c0ac8382901615c6cad9fdf1aae4b177456356e	0	-0.26944637298583984	639.8642578125	239.2404022216797	196.7700958251953	177	1623	10	1613	174.394042	3.679787	178.07382900000002
B2	56	000000066754.jpg	candidate-tail-on-fp32-boundaries	1x300x6	float32	9b87e340fe921672e684f5840c0ac8382901615c6cad9fdf1aae4b177456356e	0	-0.26944637298583984	639.8642578125	239.2404022216797	196.7700958251953	177	1623	10	1613	nan	3.287872	nan
B2	56	000000066754.jpg	split-s8	1x300x6	float32	13da864651ce951bcc83d2ae6941685fe1756bb20534f7a5b1fe8b365628573e	0	-9.087310791015625	639.7041625976562	239.66384887695312	196.0679931640625	197	1603	12	1591	246.684362	3.714954	250.399316
B2	57	000000165464.jpg	source-fp32	1x300x6	float32	66d35bdf1bf87518056dfcf6b649daada5a70b9d1c76e898911c2ae0a3a6a913	0	-10.55426025390625	642.1437377929688	229.13963317871094	207.83213806152344	46	1754	32	1722	nan	nan	nan
B2	57	000000165464.jpg	split-fp32	1x300x6	float32	66d35bdf1bf87518056dfcf6b649daada5a70b9d1c76e898911c2ae0a3a6a913	0	-10.55426025390625	642.1437377929688	229.13963317871094	207.83213806152344	46	1754	32	1722	176.534546	3.767451	180.301997
B2	57	000000165464.jpg	candidate-tail-on-fp32-boundaries	1x300x6	float32	66d35bdf1bf87518056dfcf6b649daada5a70b9d1c76e898911c2ae0a3a6a913	0	-10.55426025390625	642.1437377929688	229.13963317871094	207.83213806152344	46	1754	32	1722	nan	3.253906	nan
B2	57	000000165464.jpg	split-s8	1x300x6	float32	b1a83b32030ad9a04df4103e13d122fb5a1f7535d19411809eabb3bcdee8917c	0	-9.91986083984375	644.2989501953125	217.749267578125	206.53440856933594	57	1743	36	1707	244.195315	3.517374	247.71268899999998
B2	58	000000042947.jpg	source-fp32	1x300x6	float32	e130c0fa346db1ff3441f97226e400f63f77fb61b103e6fd15fb6d056e0d2738	0	0.0	616.597412109375	249.3948211669922	186.51327514648438	157	1643	0	1643	nan	nan	nan
B2	58	000000042947.jpg	split-fp32	1x300x6	float32	e130c0fa346db1ff3441f97226e400f63f77fb61b103e6fd15fb6d056e0d2738	0	0.0	616.597412109375	249.3948211669922	186.51327514648438	157	1643	0	1643	175.421133	3.800381	179.22151399999998
B2	58	000000042947.jpg	candidate-tail-on-fp32-boundaries	1x300x6	float32	e130c0fa346db1ff3441f97226e400f63f77fb61b103e6fd15fb6d056e0d2738	0	0.0	616.597412109375	249.3948211669922	186.51327514648438	157	1643	0	1643	nan	3.414943	nan
B2	58	000000042947.jpg	split-s8	1x300x6	float32	91029fabffff7c892b02c64f42146da52a4ccc2365b4dc5224d273882abfcee4	0	0.0	618.2327270507812	249.37147521972656	186.95217895507812	162	1638	0	1638	251.821237	3.611771	255.433008
B2	59	000000199403.jpg	source-fp32	1x300x6	float32	8ce7a3b4a4ff0453b3e4e3eabcbbd24a029decaa50f31456f53167d082884626	0	-0.21146106719970703	644.6029663085938	243.5157012939453	208.8795928955078	19	1781	5	1776	nan	nan	nan
B2	59	000000199403.jpg	split-fp32	1x300x6	float32	8ce7a3b4a4ff0453b3e4e3eabcbbd24a029decaa50f31456f53167d082884626	0	-0.21146106719970703	644.6029663085938	243.5157012939453	208.8795928955078	19	1781	5	1776	174.080582	3.555646	177.636228
B2	59	000000199403.jpg	candidate-tail-on-fp32-boundaries	1x300x6	float32	8ce7a3b4a4ff0453b3e4e3eabcbbd24a029decaa50f31456f53167d082884626	0	-0.21146106719970703	644.6029663085938	243.5157012939453	208.8795928955078	19	1781	5	1776	nan	3.184957	nan
B2	59	000000199403.jpg	split-s8	1x300x6	float32	5ff40ca11b8ba1a710b4ff89ae9d40bb0684ab32681d592bd797900b59a3a2a0	0	-1.3219757080078125	641.6549682617188	248.0996551513672	211.28030395507812	20	1780	3	1777	247.328912	3.617139	250.946051
