fixture_scope	candidate	image_index	image	fp32_split_vs_unsplit_mae	fp32_split_vs_unsplit_max_abs	fp32_split_vs_unsplit_cosine	s8_vs_fp32_mae	s8_vs_fp32_max_abs	s8_vs_fp32_cosine	candidate_tail_vs_source_mae	candidate_tail_vs_source_max_abs	candidate_tail_vs_source_cosine	confidence_branch_collapsed	status
H500-first-100	B5	22	000000568009.jpg	0.0	0.0	1.0	57.11676298573613	582.6638298034668	0.9548958564979818	0.0	0.0	1.0	0	pass
H500-first-100	B5	23	000000358024.jpg	0.0	0.0	1.0	141.4172304870685	631.7330322265625	0.6744192199150847	0.0	0.0	1.0	0	pass
H500-first-100	B5	24	000000414609.jpg	0.0	0.0	1.0	84.98947871716486	630.6190567016602	0.8586173789467791	0.0	0.0	1.0	0	pass
H500-first-100	B5	25	000000342336.jpg	0.0	0.0	1.0000000000000002	84.5189260251489	630.9796142578125	0.8536814948849472	0.0	0.0	1.0000000000000002	0	pass
H500-first-100	B5	26	000000091751.jpg	0.0	0.0	0.9999999999999999	96.9371325373484	625.6780529022217	0.8142377372294252	0.0	0.0	0.9999999999999999	0	pass
H500-first-100	B5	27	000000443033.jpg	0.0	0.0	1.0	78.95422852522798	636.2700862884521	0.8675159696847602	0.0	0.0	1.0	0	pass
H500-first-100	B5	28	000000329568.jpg	0.0	0.0	1.0	84.5021922285027	632.1185188293457	0.9065011865197233	0.0	0.0	1.0	0	pass
H500-first-100	B5	29	000000299785.jpg	0.0	0.0	1.0	98.13077811080548	631.02734375	0.7887992418886038	0.0	0.0	1.0	0	pass
H500-first-100	B5	30	000000065554.jpg	0.0	0.0	1.0	95.21576447372635	631.9126625061035	0.8158620979195403	0.0	0.0	1.0	0	pass
H500-first-100	B5	31	000000357076.jpg	0.0	0.0	1.0	42.18396590711342	519.034423828125	0.9649284638668568	0.0	0.0	1.0	0	pass
H500-first-100	B5	32	000000530934.jpg	0.0	0.0	1.0	98.54208327536782	585.7034912109375	0.8796987288073941	0.0	0.0	1.0	0	pass
H500-first-100	B5	33	000000167115.jpg	0.0	0.0	0.9999999999999999	77.05324989014201	581.4161338806152	0.9367207412452214	0.0	0.0	0.9999999999999999	0	pass
H500-first-100	B5	34	000000425359.jpg	0.0	0.0	1.0	65.40978827564253	395.3812255859375	0.8584752932379806	0.0	0.0	1.0	0	pass
H500-first-100	B5	35	000000523304.jpg	0.0	0.0	1.0	71.92139766671592	398.37477111816406	0.9295462391946449	0.0	0.0	1.0	0	pass
H500-first-100	B5	36	000000158334.jpg	0.0	0.0	1.0	61.29769467749529	457.9849853515625	0.949085377261313	0.0	0.0	1.0	0	pass
H500-first-100	B5	37	000000075990.jpg	0.0	0.0	1.0	74.65763976605402	630.22412109375	0.8039833952472986	0.0	0.0	1.0	0	pass
H500-first-100	B5	38	000000222313.jpg	0.0	0.0	1.0	122.92289217389292	639.4847259521484	0.7840634553461853	0.0	0.0	1.0	0	pass
H500-first-100	B5	39	000000249184.jpg	0.0	0.0	0.9999999999999999	100.49795443764991	626.7509756088257	0.878131545217468	0.0	0.0	0.9999999999999999	0	pass
H500-first-100	B5	40	000000488726.jpg	0.0	0.0	0.9999999999999999	97.6589346320596	629.1342763900757	0.832345101536269	0.0	0.0	0.9999999999999999	0	pass
H500-first-100	B5	41	000000130741.jpg	0.0	0.0	1.0	45.02167164416777	476.1398468017578	0.9549650336640526	0.0	0.0	1.0	0	pass
H500-first-100	B5	42	000000519601.jpg	0.0	0.0	1.0	82.293601221376	469.40380859375	0.9114726194921839	0.0	0.0	1.0	0	pass
H500-first-100	B5	43	000000470085.jpg	0.0	0.0	0.9999999999999999	86.83014411421286	618.64501953125	0.8886174394034166	0.0	0.0	0.9999999999999999	0	pass
H500-first-100	B5	44	000000425743.jpg	0.0	0.0	1.0	34.178365582360165	296.5190372467041	0.9758522083720076	0.0	0.0	1.0	0	pass
H500-first-100	B5	45	000000368611.jpg	0.0	0.0	0.9999999999999999	76.69155446825756	566.1470947265625	0.8698845048702071	0.0	0.0	0.9999999999999999	0	pass
H500-first-100	B5	46	000000423445.jpg	0.0	0.0	1.0000000000000002	64.5080458766222	631.8635864257812	0.9133203813207909	0.0	0.0	1.0000000000000002	0	pass
H500-first-100	B5	47	000000550481.jpg	0.0	0.0	1.0	115.59057249971562	623.3776969909668	0.8005316252152253	0.0	0.0	1.0	0	pass
