operation_index	resident_operation_index	kind	name	mean_us	p95_us	implementation	layout	workers	confidence
110	-1	conv_dense	/model.16/m.0/cv1/conv/Conv	798.80876	832.83785	stable-selected	NCHWc8_SPATIAL_INNER_V1	4	50 complete profiled observations
111	-1	conv_dense	/model.16/m.0/cv2/conv/Conv	787.50594	821.28945	stable-selected	NCHWc8_SPATIAL_INNER_V1	4	50 complete profiled observations
113	-1	conv_dense	/model.16/m.0/m/m.0/cv1/conv/Conv	1123.20604	1158.17995	stable-selected	NCHWc8_SPATIAL_INNER_V1	4	50 complete profiled observations
115	-1	conv_dense	/model.16/m.0/m/m.0/cv2/conv/Conv	1105.1875	1139.8654000000001	stable-selected	NCHWc8_SPATIAL_INNER_V1	4	50 complete profiled observations
117	-1	conv_dense	/model.16/m.0/m/m.1/cv1/conv/Conv	1247.44042	1117.84405	stable-selected	NCHWc8_SPATIAL_INNER_V1	4	50 complete profiled observations
119	-1	conv_dense	/model.16/m.0/m/m.1/cv2/conv/Conv	1090.74556	1105.99535	stable-selected	NCHWc8_SPATIAL_INNER_V1	4	50 complete profiled observations
122	-1	conv_dense	/model.16/m.0/cv3/conv/Conv	1491.7483	1517.44555	stable-selected	NCHWc8_SPATIAL_INNER_V1	4	50 complete profiled observations
124	-1	conv_dense	/model.16/cv2/conv/Conv	3714.25078	3763.86485	stable-selected	NCHWc8_SPATIAL_INNER_V1	4	50 complete profiled observations
126	-1	conv_dense	/model.17/conv/Conv	1762.2165	1782.5084	stable-selected	NCHWc8_SPATIAL_INNER_V1	4	50 complete profiled observations
127	-1	conv_dense	/model.23/one2one_cv2.0/one2one_cv2.0.0/conv/Conv	2703.19148	2734.5263	stable-selected	NCHWc8_SPATIAL_INNER_V1	4	50 complete profiled observations
128	-1	conv_grouped	/model.23/one2one_cv3.0/one2one_cv3.0.0/one2one_cv3.0.0.0/conv/Conv	2287.7519	2402.3129	stable-selected	NCHWc8_SPATIAL_INNER_V1	4	50 complete profiled observations
132	-1	conv_dense	/model.23/one2one_cv2.0/one2one_cv2.0.1/conv/Conv	1143.53388	1171.2465	stable-selected	NCHWc8_SPATIAL_INNER_V1	4	50 complete profiled observations
133	-1	conv_dense	/model.23/one2one_cv3.0/one2one_cv3.0.0/one2one_cv3.0.0.1/conv/Conv	4283.58112	4322.58375	stable-selected	NCHWc8_SPATIAL_INNER_V1	4	50 complete profiled observations
134	-1	conv_dense	/model.19/cv1/conv/Conv	2049.7457999999997	2090.83375	stable-selected	NCHWc8_SPATIAL_INNER_V1	4	50 complete profiled observations
138	-1	conv_dense	/model.23/one2one_cv2.0/one2one_cv2.0.2/Conv	242.17282	271.39365000000004	stable-selected	NCHWc8_SPATIAL_INNER_V1	4	50 complete profiled observations
139	-1	conv_grouped	/model.23/one2one_cv3.0/one2one_cv3.0.1/one2one_cv3.0.1.0/conv/Conv	2885.02926	2907.4273	stable-selected	NCHWc8_SPATIAL_INNER_V1	4	50 complete profiled observations
140	-1	conv_dense	/model.19/m.0/cv1/conv/Conv	482.56559999999996	534.9455	stable-selected	NCHWc8_SPATIAL_INNER_V1	4	50 complete profiled observations
141	-1	conv_dense	/model.19/m.0/cv2/conv/Conv	442.54	474.26529999999997	stable-selected	NCHWc8_SPATIAL_INNER_V1	4	50 complete profiled observations
144	-1	conv_dense	/model.23/one2one_cv3.0/one2one_cv3.0.1/one2one_cv3.0.1.1/conv/Conv	4297.82712	4337.7381	stable-selected	NCHWc8_SPATIAL_INNER_V1	4	50 complete profiled observations
145	-1	conv_dense	/model.19/m.0/m/m.0/cv1/conv/Conv	664.5783	693.93515	stable-selected	NCHWc8_SPATIAL_INNER_V1	4	50 complete profiled observations
148	-1	conv_dense	/model.23/one2one_cv3.0/one2one_cv3.0.2/Conv	4302.90794	4361.440149999999	stable-selected	NCHWc8_SPATIAL_INNER_V1	4	50 complete profiled observations
149	-1	conv_dense	/model.19/m.0/m/m.0/cv2/conv/Conv	659.64576	677.0098499999999	stable-selected	NCHWc8_SPATIAL_INNER_V1	4	50 complete profiled observations
151	-1	conv_dense	/model.19/m.0/m/m.1/cv1/conv/Conv	624.0918800000001	652.06815	stable-selected	NCHWc8_SPATIAL_INNER_V1	4	50 complete profiled observations
153	-1	conv_dense	/model.19/m.0/m/m.1/cv2/conv/Conv	622.3335	648.20535	stable-selected	NCHWc8_SPATIAL_INNER_V1	4	50 complete profiled observations
156	-1	conv_dense	/model.19/m.0/cv3/conv/Conv	877.42232	911.46125	stable-selected	NCHWc8_SPATIAL_INNER_V1	4	50 complete profiled observations
158	-1	conv_dense	/model.19/cv2/conv/Conv	2053.3990400000002	2107.7173	stable-selected	NCHWc8_SPATIAL_INNER_V1	4	50 complete profiled observations
160	-1	conv_dense	/model.20/conv/Conv	1131.40116	1176.99475	stable-selected	NCHWc8_SPATIAL_INNER_V1	4	50 complete profiled observations
161	-1	conv_dense	/model.23/one2one_cv2.1/one2one_cv2.1.0/conv/Conv	1299.7112	1331.29095	stable-selected	NCHWc8_SPATIAL_INNER_V1	4	50 complete profiled observations
162	-1	conv_grouped	/model.23/one2one_cv3.1/one2one_cv3.1.0/one2one_cv3.1.0.0/conv/Conv	1297.72872	1340.1636	stable-selected	NCHWc8_SPATIAL_INNER_V1	4	50 complete profiled observations
166	-1	conv_dense	/model.23/one2one_cv2.1/one2one_cv2.1.1/conv/Conv	297.24272	318.8834999999999	stable-selected	NCHWc8_SPATIAL_INNER_V1	4	50 complete profiled observations
167	-1	conv_dense	/model.23/one2one_cv3.1/one2one_cv3.1.0/one2one_cv3.1.0.1/conv/Conv	1174.35616	1214.81015	stable-selected	NCHWc8_SPATIAL_INNER_V1	4	50 complete profiled observations
168	-1	conv_dense	/model.22/cv1/conv/Conv	1196.66472	1237.7378999999999	stable-selected	NCHWc8_SPATIAL_INNER_V1	4	50 complete profiled observations
172	-1	conv_dense	/model.23/one2one_cv2.1/one2one_cv2.1.2/Conv	66.73426	71.8673	stable-selected	NCHWc8_SPATIAL_INNER_V1	4	50 complete profiled observations
173	-1	conv_grouped	/model.23/one2one_cv3.1/one2one_cv3.1.1/one2one_cv3.1.1.0/conv/Conv	799.60704	828.3308999999999	stable-selected	NCHWc8_SPATIAL_INNER_V1	4	50 complete profiled observations
174	-1	conv_dense	/model.22/m.0/m.0.0/cv1/conv/Conv	685.78948	727.8898	stable-selected	NCHWc8_SPATIAL_INNER_V1	4	50 complete profiled observations
177	-1	conv_dense	/model.23/one2one_cv3.1/one2one_cv3.1.1/one2one_cv3.1.1.1/conv/Conv	982.83072	1013.7093	stable-selected	NCHWc8_SPATIAL_INNER_V1	4	50 complete profiled observations
178	-1	conv_dense	/model.22/m.0/m.0.0/cv2/conv/Conv	755.7447599999999	794.2394499999999	stable-selected	NCHWc8_SPATIAL_INNER_V1	4	50 complete profiled observations
181	-1	conv_dense	/model.23/one2one_cv3.1/one2one_cv3.1.2/Conv	978.27966	1008.1193499999999	stable-selected	NCHWc8_SPATIAL_INNER_V1	4	50 complete profiled observations
182	-1	conv_dense	/model.22/m.0/m.0.1/attn/qkv/conv/Conv	924.0563000000001	953.7371	stable-selected	NCHWc8_SPATIAL_INNER_V1	4	50 complete profiled observations
187	-1	matmul	/model.22/m.0/m.0.1/attn/MatMul	3050.55494	3074.41705	stable-selected	NCHWc8_SPATIAL_INNER_V1	4	50 complete profiled observations
188	-1	conv_grouped	/model.22/m.0/m.0.1/attn/pe/conv/Conv	5712.89664	5702.9478	stable-selected	NCHWc8_SPATIAL_INNER_V1	4	50 complete profiled observations
190	-1	matmul	/model.22/m.0/m.0.1/attn/MatMul_1	3638.4021999999995	3878.73285	stable-selected	NCHWc8_SPATIAL_INNER_V1	4	50 complete profiled observations
192	-1	conv_dense	/model.22/m.0/m.0.1/attn/proj/conv/Conv	446.24752	467.7782	stable-selected	NCHWc8_SPATIAL_INNER_V1	4	50 complete profiled observations
