operation_index	resident_operation_index	kind	scope	name	category	implementation_status	samples	mean_us	stddev_us	cv_pct	min_us	median_us	p90_us	p95_us	p99_us	p999_us	max_us	full_wall_pct	logical_operation_index	model_block	input_shapes	output_shape	output_layout	macs	input_bytes	output_bytes	input_output_bytes	selected_implementation	worker_count	generic_logical_accessor_in_hot_loop	separate_materialization	fusion_or_view_eligibility
85	-1	conv_dense	full_executor	/model.10/m/m.0/ffn/ffn.1/conv/Conv	dense_conv_outside_resident_region	stable-selected	50	547.2116199999999	10.52932452412241	1.9241778023870202	536.758	544.029	565.25	574.5798	578.09784	578.355384	578.384	0.22822225978958519	85	model.10	1x256x20x20	1x128x20x20	NCHWc8_SPATIAL_INNER_V1	13107200	102400	51200	153600	full_executor:conv_dense	4	no	no	not-applicable
86	-1	lut2	full_executor	/model.10/m/m.0/Add_1_output_0@/model.10/Concat_output_0_QuantizeLinear_Output	lut2_add	stable-selected	50	245.77613999999997	5.132954899510434	2.0884675377806956	240.712	245.045	248.3117	249.1495	264.99916999999994	277.641317	279.046	0.10250437677687008	86	model.10	1x128x20x20,1x128x20x20	1x128x20x20	NCHWc8_SPATIAL_INNER_V1	0	102400	51200	153600	full_executor:lut2	4	no	yes	not-applicable
87	-1	concat	full_executor	/model.10/Concat	concat_resize	measured-direct	50	49.87	1.4650574830263245	2.9377531241755057	47.251	49.7505	51.7551	52.83835	53.48292	53.611692	53.626	0.020798981015254413	87	model.10	1x256x20x20,1x128x20x20	1x256x20x20	NCHWc8_SPATIAL_INNER_V1	0	153600	102400	256000	full_executor:concat	1	no	yes	producer-direct where quantization domains permit
88	-1	conv_dense	full_executor	/model.10/cv2/conv/Conv	dense_conv_outside_resident_region	stable-selected	50	1014.8293600000001	13.148507084898746	1.2956372374660845	992.681	1012.1610000000001	1031.224	1042.4596	1053.59883	1057.2736830000001	1057.682	0.4232487786718025	88	model.10	1x256x20x20	1x256x20x20	NCHWc8_SPATIAL_INNER_V1	26214400	102400	102400	204800	full_executor:conv_dense	4	no	no	not-applicable
89	-1	concat	full_executor	/model.12/Concat	concat_resize	measured-direct	50	497.26752	31.20008940413669	6.274306716058328	458.257	491.4865	533.8246	542.4775999999999	587.4144999999999	623.6867500000001	627.717	0.20739237433291852	89	model.12	1x256x20x20,1x128x40x40	1x384x40x40	NCHWc8_SPATIAL_INNER_V1	0	307200	614400	921600	full_executor:concat	1	no	yes	producer-direct where quantization domains permit
90	-1	conv_dense	full_executor	/model.13/cv1/conv/Conv	dense_conv_outside_resident_region	stable-selected	50	2627.8686599999996	21.300899639533263	0.8105770263089658	2581.997	2631.498	2652.4105	2661.60685	2668.34084	2670.582884	2670.832	1.0959893797858844	90	model.13	1x384x40x40	1x128x40x40	NCHWc8_SPATIAL_INNER_V1	78643200	614400	204800	819200	full_executor:conv_dense	4	no	no	not-applicable
91	-1	split	full_executor	/model.13/Split	split_reshape_transpose	measured-reference	50	52.06908000000001	1.716325463165481	3.2962469534039793	48.96	51.939	53.596500000000006	54.3571	57.742249999999984	60.112625	60.376	0.02171613808706163	91	model.13	1x128x40x40	1x64x40x40	NCHWc8_SPATIAL_INNER_V1	0	204800	102400	307200	full_executor:split	1	yes-reference	yes	view/alias where lifetime and physical layout permit
92	-1	conv_dense	full_executor	/model.13/m.0/cv1/conv/Conv	dense_conv_outside_resident_region	stable-selected	50	442.52414	14.964409085082988	3.3816028850048694	421.173	438.5695	463.2111	469.25904999999995	473.25859	474.232759	474.341	0.18456088202630413	92	model.13	1x64x40x40	1x32x40x40	NCHWc8_SPATIAL_INNER_V1	3276800	102400	51200	153600	full_executor:conv_dense	4	no	no	not-applicable
93	-1	conv_dense	full_executor	/model.13/m.0/cv2/conv/Conv	dense_conv_outside_resident_region	stable-selected	50	417.83538	12.979647152353254	3.1064021319480544	403.548	413.1935	434.7105	447.61674999999997	459.21007999999995	467.23980800000004	468.132	0.17426408935475465	93	model.13	1x64x40x40	1x32x40x40	NCHWc8_SPATIAL_INNER_V1	3276800	102400	51200	153600	full_executor:conv_dense	4	no	no	not-applicable
94	-1	lut1	full_executor	/model.13/m.0/cv1/act/Mul_output_0_QuantizeLinear	lut1	measured-direct	50	26.8096	10.682302404119685	39.845064469890204	23.375	25.0625	26.796200000000002	27.320649999999997	69.64717999999988	96.29151800000002	99.252	0.011181318657039599	94	model.13	1x32x40x40	1x32x40x40	NCHWc8_SPATIAL_INNER_V1	0	51200	51200	102400	full_executor:lut1	1	no	yes	Conv-to-LUT eligible; complete-model fusion arm rejected
95	-1	conv_dense	full_executor	/model.13/m.0/m/m.0/cv1/conv/Conv	dense_conv_outside_resident_region	stable-selected	50	608.4383	22.901801854296732	3.7640302811799864	591.717	597.9884999999999	639.5683	643.99545	683.4199999999998	707.0135	709.635	0.25375770304098	95	model.13	1x32x40x40	1x32x40x40	NCHWc8_SPATIAL_INNER_V1	14745600	51200	51200	102400	full_executor:conv_dense	4	no	no	not-applicable
96	-1	lut1	full_executor	/model.13/m.0/m/m.0/cv1/act/Mul_output_0_QuantizeLinear	lut1	measured-direct	50	25.67208	1.0315430059193968	4.018151259731962	23.751	25.6045	26.8673	27.3003	27.86292	28.212192	28.251	0.01070690003092225	96	model.13	1x32x40x40	1x32x40x40	NCHWc8_SPATIAL_INNER_V1	0	51200	51200	102400	full_executor:lut1	1	no	yes	Conv-to-LUT eligible; complete-model fusion arm rejected
97	-1	conv_dense	full_executor	/model.13/m.0/m/m.0/cv2/conv/Conv	dense_conv_outside_resident_region	stable-selected	50	640.82964	22.709120035036893	3.543706254760141	624.134	631.093	668.635	670.4440000000001	712.3823399999999	747.148134	751.011	0.2672669644349774	97	model.13	1x32x40x40	1x32x40x40	NCHWc8_SPATIAL_INNER_V1	14745600	51200	51200	102400	full_executor:conv_dense	4	no	no	not-applicable
98	-1	lut2	full_executor	/model.13/m.0/m/m.0/Add_output_0_QuantizeLinear	lut2_add	stable-selected	50	232.106	13.12713388523239	5.655663311259679	222.92	227.67	256.1582	268.26215	272.89017	273.404817	273.462	0.09680305369012716	98	model.13	1x32x40x40,1x32x40x40	1x32x40x40	NCHWc8_SPATIAL_INNER_V1	0	102400	51200	153600	full_executor:lut2	4	no	yes	not-applicable
99	-1	conv_dense	full_executor	/model.13/m.0/m/m.1/cv1/conv/Conv	dense_conv_outside_resident_region	stable-selected	50	618.04256	17.404326051664654	2.8160400558279766	605.593	610.2175	651.4636	655.80955	657.33625	657.942625	658.01	0.25776329400559933	99	model.13	1x32x40x40	1x32x40x40	NCHWc8_SPATIAL_INNER_V1	14745600	51200	51200	102400	full_executor:conv_dense	4	no	no	not-applicable
