surface	repeat	run	wall_us	input_us	core_us	dense_us	depthwise_us	attention_us	lut_us	concat_us	transform_us	head_us	process_cpu_us	voluntary_cs	involuntary_cs	affinity_ok	cpu4_7_ime_count	hash
stage52_reproduced	0	64	500958	32809.1	19169	140923	102452	44362.5	65755.6	35548.4	19507.8	40363	1804000.0	1198	5	1	0	0xd43f5e018b415631
stage52_reproduced	0	65	502393	32987.1	19306.9	140789	102517	45299.8	65641.1	35743	19700.7	40344.3	1807060.0	1208	3	1	0	0xd43f5e018b415631
stage52_reproduced	0	66	504966	32775.6	19564.5	141896	102446	45096.5	67490.3	35696.8	19485.7	40447.2	1809580.0	1205	4	1	0	0xd43f5e018b415631
stage52_reproduced	0	67	502737	32893.4	19738	140641	102646	45120.8	65670.5	35707.9	19881.5	40371.5	1807490.0	1208	5	1	0	0xd43f5e018b415631
stage52_reproduced	0	68	502836	32814.5	19408.7	140810	102602	45588.9	65677.1	35611.7	19881.4	40380.6	1806950.0	1203	3	1	0	0xd43f5e018b415631
stage52_reproduced	0	69	502160	32808.4	19575	140821	102631	44314.4	66061.8	35608.1	19922.3	40350.8	1805370.0	1205	4	1	0	0xd43f5e018b415631
stage52_reproduced	0	70	505200	32784	19373.2	141429	102668	45359.8	67752.9	35733.3	19699.6	40339.3	1809820.0	1202	4	1	0	0xd43f5e018b415631
stage52_reproduced	0	71	501829	32890.7	19476.8	140964	102405	44659.2	65732.7	35539.8	19636.9	40460.2	1804690.0	1218	5	1	0	0xd43f5e018b415631
stage52_reproduced	0	72	502671	32876.7	19340.1	140866	102443	45313.1	66097.1	35588.4	19727.8	40351.1	1807300.0	1201	3	1	0	0xd43f5e018b415631
stage52_reproduced	0	73	501296	32826.9	19274	140960	102376	44376.4	65761.3	35629.7	19661.6	40369.6	1805170.0	1194	8	1	0	0xd43f5e018b415631
stage52_reproduced	0	74	505307	32878.8	19349.6	142569	102499	45311.7	66568.6	36107.6	19586.6	40369.2	1809390.0	1208	5	1	0	0xd43f5e018b415631
stage52_reproduced	0	75	501664	32818.8	19269.5	140996	102383	44893.3	65541.4	35567.9	19757.5	40372.2	1806280.0	1209	11	1	0	0xd43f5e018b415631
stage52_reproduced	0	76	502522	32806.5	19426.6	140470	102622	45502.7	66154.1	35558.7	19562	40358.6	1806540.0	1203	2	1	0	0xd43f5e018b415631
stage52_reproduced	0	77	501936	32829.7	19456.9	140823	102432	44517.8	66021.2	35642.5	19783	40367.1	1805860.0	1207	9	1	0	0xd43f5e018b415631
stage52_reproduced	0	78	505099	32797	19352	143409	102589	45370.6	65906.5	35586	19707.3	40318.1	1808280.0	1218	5	1	0	0xd43f5e018b415631
stage52_reproduced	0	79	501951	32798.7	19451.1	141120	102448	44686.7	65790	35528.3	19716.4	40345.5	1805050.0	1209	12	1	0	0xd43f5e018b415631
stage52_reproduced	0	80	502789	32817.3	19588.4	140775	102509	45187.7	65855.7	35655.9	19939.5	40396.3	1807690.0	1206	7	1	0	0xd43f5e018b415631
stage52_reproduced	0	81	502389	32768	19272.2	140319	102663	44944.2	65835.7	36342	19734	40447.5	1805820.0	1198	13	1	0	0xd43f5e018b415631
stage52_reproduced	0	82	505496	32869.3	19497.6	143804	103021	44791.8	65721.5	35498.9	19858.1	40368.6	1810360.0	1206	2	1	0	0xd43f5e018b415631
stage52_reproduced	0	83	503108	32789.2	19418.5	140816	102577	45562.7	65979.8	35895.6	19617.2	40388	1808520.0	1209	8	1	0	0xd43f5e018b415631
stage52_reproduced	0	84	501139	32794.3	19362.6	140591	102525	44457.4	65554.4	35670.4	19735.4	40383.6	1805300.0	1199	2	1	0	0xd43f5e018b415631
stage52_reproduced	0	85	502429	32786.3	19308.6	141137	102557	45406.8	65654.5	35516.1	19634	40366.1	1806830.0	1193	10	1	0	0xd43f5e018b415631
stage52_reproduced	0	86	504834	32809.4	19459.6	141375	104558	44642.6	65650.9	35731.2	20125.6	40417.5	1809140.0	1209	6	1	0	0xd43f5e018b415631
stage52_reproduced	0	87	502503	32784.5	19352.5	140959	102613	45470.9	65893.9	35383.5	19682.1	40300.1	1806120.0	1202	10	1	0	0xd43f5e018b415631
stage52_reproduced	0	88	501458	32796.9	19181.5	140728	102327	44542.1	65836.9	35539.7	20058.4	40381.6	1805830.0	1199	4	1	0	0xd43f5e018b415631
stage52_reproduced	0	89	502673	32879.7	19399.2	140944	102418	45366.7	65695.5	35670.6	19851	40383.1	1807480.0	1198	4	1	0	0xd43f5e018b415631
stage52_reproduced	0	90	504137	32781.8	19438.7	140404	105178	44814.8	65466.1	35651.2	19979.9	40361.9	1807260.0	1202	3	1	0	0xd43f5e018b415631
stage52_reproduced	0	91	502774	32786.4	19344.4	140718	102688	45639.8	65558.3	35749.2	19835.1	40389.3	1804680.0	1196	19	1	0	0xd43f5e018b415631
stage52_reproduced	0	92	502111	32882.5	19451.7	140741	102441	44498.6	65871.9	35770.8	19765.7	40627.9	1806560.0	1198	14	1	0	0xd43f5e018b415631
stage52_reproduced	0	93	502368	32970.6	19496.2	140840	102421	45129	65790.4	35588.6	19707.9	40362.7	1806810.0	1202	10	1	0	0xd43f5e018b415631
stage52_reproduced	0	94	503972	32810	19333.2	140364	105180	44642.5	65861.8	35648.7	19697.7	40367.9	1805480.0	1210	5	1	0	0xd43f5e018b415631
stage52_reproduced	0	95	502888	32781.1	19480.9	140628	102601	45533.1	66180.6	35551.7	19738.8	40324.8	1806630.0	1202	13	1	0	0xd43f5e018b415631
stage52_reproduced	0	96	501394	32799.5	19228	140745	102433	44755.2	65583.3	35559.4	19762.4	40460.9	1804790.0	1196	4	1	0	0xd43f5e018b415631
stage52_reproduced	0	97	502802	32957.1	19458.1	140784	102631	45229	66054.8	35708.2	19587.9	40325.6	1807610.0	1200	9	1	0	0xd43f5e018b415631
stage52_reproduced	0	98	504210	32778.5	19369	141042	104920	44693.1	65889.9	35539.6	19559.7	40352.7	1808380.0	1201	4	1	0	0xd43f5e018b415631
