resample	seed	metric	delta_k1x_minus_semantic
193	52001	per_image_iou_averaged_f1_delta	-0.0006387201956734312
194	52001	per_image_iou_averaged_f1_delta	-0.0002203323508752405
195	52001	per_image_iou_averaged_f1_delta	-0.0013174512003905304
196	52001	per_image_iou_averaged_f1_delta	0.0004077142580061066
197	52001	per_image_iou_averaged_f1_delta	-0.0016630917175852722
198	52001	per_image_iou_averaged_f1_delta	-0.0007378838117448115
199	52001	per_image_iou_averaged_f1_delta	-0.00022794609263449554
200	52001	per_image_iou_averaged_f1_delta	-0.00046768332143466316
201	52001	per_image_iou_averaged_f1_delta	-0.00014519047921032616
202	52001	per_image_iou_averaged_f1_delta	-0.0007107930572992467
203	52001	per_image_iou_averaged_f1_delta	-0.0006652262624758432
204	52001	per_image_iou_averaged_f1_delta	-0.0006170455295799302
205	52001	per_image_iou_averaged_f1_delta	-0.00023650234066277732
206	52001	per_image_iou_averaged_f1_delta	-0.0008916241390624308
207	52001	per_image_iou_averaged_f1_delta	-0.0005910331410729863
208	52001	per_image_iou_averaged_f1_delta	-0.0005524426857012183
209	52001	per_image_iou_averaged_f1_delta	-0.0011011090938514343
210	52001	per_image_iou_averaged_f1_delta	-0.00033363062860038807
211	52001	per_image_iou_averaged_f1_delta	-5.603933820923963e-05
212	52001	per_image_iou_averaged_f1_delta	-0.0014905417593441225
213	52001	per_image_iou_averaged_f1_delta	-0.0011534820751860093
214	52001	per_image_iou_averaged_f1_delta	7.968375587220344e-06
215	52001	per_image_iou_averaged_f1_delta	-0.0012961623060435007
216	52001	per_image_iou_averaged_f1_delta	-0.0009659397052119164
217	52001	per_image_iou_averaged_f1_delta	-0.0004993131179173802
218	52001	per_image_iou_averaged_f1_delta	-0.0012201674883756167
219	52001	per_image_iou_averaged_f1_delta	-0.0012765089946279028
220	52001	per_image_iou_averaged_f1_delta	-0.0009548882733161794
221	52001	per_image_iou_averaged_f1_delta	-0.00045236526835916793
222	52001	per_image_iou_averaged_f1_delta	-0.001063471745114352
223	52001	per_image_iou_averaged_f1_delta	0.0005891377110526693
224	52001	per_image_iou_averaged_f1_delta	-0.000754111443635794
225	52001	per_image_iou_averaged_f1_delta	-0.0005657031583985541
226	52001	per_image_iou_averaged_f1_delta	-0.0007660716009867579
227	52001	per_image_iou_averaged_f1_delta	-0.0002769880778685938
228	52001	per_image_iou_averaged_f1_delta	0.00041716200766176364
229	52001	per_image_iou_averaged_f1_delta	-0.0017479088748799181
230	52001	per_image_iou_averaged_f1_delta	4.6932233568946916e-05
231	52001	per_image_iou_averaged_f1_delta	-0.00043504594397577315
232	52001	per_image_iou_averaged_f1_delta	-0.0012573198966970127
233	52001	per_image_iou_averaged_f1_delta	-0.0013298793577561218
234	52001	per_image_iou_averaged_f1_delta	-0.0010958937325087589
235	52001	per_image_iou_averaged_f1_delta	4.531636598973902e-05
236	52001	per_image_iou_averaged_f1_delta	-0.0002935415606759403
237	52001	per_image_iou_averaged_f1_delta	-8.116824532008087e-05
238	52001	per_image_iou_averaged_f1_delta	-0.0007129044633185135
239	52001	per_image_iou_averaged_f1_delta	-0.0012210324234822713
240	52001	per_image_iou_averaged_f1_delta	-0.0011512967207210397
241	52001	per_image_iou_averaged_f1_delta	-0.0014019691439780303
242	52001	per_image_iou_averaged_f1_delta	-0.0004136847917574048
243	52001	per_image_iou_averaged_f1_delta	-0.0007840639445699373
244	52001	per_image_iou_averaged_f1_delta	-0.0003681720961655163
245	52001	per_image_iou_averaged_f1_delta	-0.0002945705700565256
246	52001	per_image_iou_averaged_f1_delta	-0.0013367521679056005
247	52001	per_image_iou_averaged_f1_delta	-0.00011621511731796139
248	52001	per_image_iou_averaged_f1_delta	-0.001576249083326524
249	52001	per_image_iou_averaged_f1_delta	-0.0009136332833797719
250	52001	per_image_iou_averaged_f1_delta	-0.0005921145741907104
251	52001	per_image_iou_averaged_f1_delta	-0.0014840404516218726
252	52001	per_image_iou_averaged_f1_delta	-0.0008528948939109004
253	52001	per_image_iou_averaged_f1_delta	-0.0002781745789733594
254	52001	per_image_iou_averaged_f1_delta	-0.0018027458406203792
255	52001	per_image_iou_averaged_f1_delta	0.00010529067678064172
256	52001	per_image_iou_averaged_f1_delta	0.00021542992725287404
257	52001	per_image_iou_averaged_f1_delta	-0.0012859119266126046
258	52001	per_image_iou_averaged_f1_delta	0.0007397252631828773
259	52001	per_image_iou_averaged_f1_delta	-0.000579909576909757
260	52001	per_image_iou_averaged_f1_delta	-0.0016713692362070078
261	52001	per_image_iou_averaged_f1_delta	-7.456754780124886e-06
262	52001	per_image_iou_averaged_f1_delta	-0.00036511328088144964
263	52001	per_image_iou_averaged_f1_delta	-0.0012263080512261932
264	52001	per_image_iou_averaged_f1_delta	-0.0007387223716172003
265	52001	per_image_iou_averaged_f1_delta	-9.85226251548396e-05
266	52001	per_image_iou_averaged_f1_delta	-8.938369043503016e-05
267	52001	per_image_iou_averaged_f1_delta	-0.0009779261135466012
268	52001	per_image_iou_averaged_f1_delta	-0.0007297323612350286
269	52001	per_image_iou_averaged_f1_delta	-0.0009563749294174197
270	52001	per_image_iou_averaged_f1_delta	-0.0002121982992485698
271	52001	per_image_iou_averaged_f1_delta	-0.001207231388353885
272	52001	per_image_iou_averaged_f1_delta	-1.8640943290651523e-05
273	52001	per_image_iou_averaged_f1_delta	-0.0011278138285479562
274	52001	per_image_iou_averaged_f1_delta	-0.0002728478501900978
275	52001	per_image_iou_averaged_f1_delta	-0.00033206365003446295
276	52001	per_image_iou_averaged_f1_delta	-0.001572850327746841
277	52001	per_image_iou_averaged_f1_delta	-0.00015480687720505678
278	52001	per_image_iou_averaged_f1_delta	-0.0006670001619461197
279	52001	per_image_iou_averaged_f1_delta	-0.0012933563580482393
280	52001	per_image_iou_averaged_f1_delta	-0.0009446276381539005
281	52001	per_image_iou_averaged_f1_delta	-0.0011047548921047261
282	52001	per_image_iou_averaged_f1_delta	-0.0011892650549488982
283	52001	per_image_iou_averaged_f1_delta	-0.0002189342303718908
284	52001	per_image_iou_averaged_f1_delta	-0.00016073615192811159
285	52001	per_image_iou_averaged_f1_delta	-0.0012534111122822573
286	52001	per_image_iou_averaged_f1_delta	-0.000577393648631964
287	52001	per_image_iou_averaged_f1_delta	-0.0011272907954923514
288	52001	per_image_iou_averaged_f1_delta	-0.0017975119303878199
289	52001	per_image_iou_averaged_f1_delta	0.00018773736989179734
290	52001	per_image_iou_averaged_f1_delta	-0.000856207529067912
291	52001	per_image_iou_averaged_f1_delta	-0.0004141394661743526
292	52001	per_image_iou_averaged_f1_delta	-0.0014354504539641057
293	52001	per_image_iou_averaged_f1_delta	-0.0010136656654112048
294	52001	per_image_iou_averaged_f1_delta	-0.0005847684161134153
295	52001	per_image_iou_averaged_f1_delta	-0.0008702776492250924
296	52001	per_image_iou_averaged_f1_delta	0.00015091259663770371
297	52001	per_image_iou_averaged_f1_delta	-0.0010354127712363188
298	52001	per_image_iou_averaged_f1_delta	-0.0008627802779231892
299	52001	per_image_iou_averaged_f1_delta	-0.0005807032080495524
300	52001	per_image_iou_averaged_f1_delta	-0.0006439880671916487
301	52001	per_image_iou_averaged_f1_delta	-0.0006419150335367442
302	52001	per_image_iou_averaged_f1_delta	-0.002006625391202974
303	52001	per_image_iou_averaged_f1_delta	-0.00047923095770085686
304	52001	per_image_iou_averaged_f1_delta	-0.0007941596431113732
305	52001	per_image_iou_averaged_f1_delta	-0.0010547692748930962
306	52001	per_image_iou_averaged_f1_delta	-0.0007433126368731456
307	52001	per_image_iou_averaged_f1_delta	-0.0001576447652289554
308	52001	per_image_iou_averaged_f1_delta	-0.00021234214196060331
309	52001	per_image_iou_averaged_f1_delta	-0.00022945046906036178
310	52001	per_image_iou_averaged_f1_delta	-0.0009535038379998358
311	52001	per_image_iou_averaged_f1_delta	0.0011176874250955632
312	52001	per_image_iou_averaged_f1_delta	-0.00013022965223911714
313	52001	per_image_iou_averaged_f1_delta	0.00014448823586160552
314	52001	per_image_iou_averaged_f1_delta	-0.0007765543060583776
315	52001	per_image_iou_averaged_f1_delta	-0.0016534882701844825
316	52001	per_image_iou_averaged_f1_delta	-0.001212961912722833
317	52001	per_image_iou_averaged_f1_delta	-0.0006638938387113554
318	52001	per_image_iou_averaged_f1_delta	-0.0004748298661472777
319	52001	per_image_iou_averaged_f1_delta	-0.000581320111626988
320	52001	per_image_iou_averaged_f1_delta	-0.0011611100688232955
321	52001	per_image_iou_averaged_f1_delta	-0.0007544014617449055
322	52001	per_image_iou_averaged_f1_delta	-0.0007074092764058302
323	52001	per_image_iou_averaged_f1_delta	-0.0009888312164088994
324	52001	per_image_iou_averaged_f1_delta	-0.000538982299220855
325	52001	per_image_iou_averaged_f1_delta	-0.0010365291650098194
326	52001	per_image_iou_averaged_f1_delta	0.00032675316680116315
327	52001	per_image_iou_averaged_f1_delta	-0.0010707707614135424
328	52001	per_image_iou_averaged_f1_delta	-0.0012423410915239571
329	52001	per_image_iou_averaged_f1_delta	-0.0002896373313568405
330	52001	per_image_iou_averaged_f1_delta	-3.9935205691472355e-05
331	52001	per_image_iou_averaged_f1_delta	6.098237514666094e-05
332	52001	per_image_iou_averaged_f1_delta	-0.0007105343091989249
333	52001	per_image_iou_averaged_f1_delta	-0.0005595676376735577
334	52001	per_image_iou_averaged_f1_delta	-0.0013742177386503423
335	52001	per_image_iou_averaged_f1_delta	-0.00016807187045831925
336	52001	per_image_iou_averaged_f1_delta	-0.00021741263985987542
337	52001	per_image_iou_averaged_f1_delta	-0.000996068542246172
338	52001	per_image_iou_averaged_f1_delta	-0.0007410949406950467
339	52001	per_image_iou_averaged_f1_delta	-0.0013742840919237001
340	52001	per_image_iou_averaged_f1_delta	-0.0010507182295823657
341	52001	per_image_iou_averaged_f1_delta	0.0002970783315110537
342	52001	per_image_iou_averaged_f1_delta	-0.0002661054986065866
343	52001	per_image_iou_averaged_f1_delta	-0.00019138938979073336
344	52001	per_image_iou_averaged_f1_delta	-0.0007017837184151509
345	52001	per_image_iou_averaged_f1_delta	-0.0010931551301516314
346	52001	per_image_iou_averaged_f1_delta	0.00010072352604297871
347	52001	per_image_iou_averaged_f1_delta	0.0001236134872346331
348	52001	per_image_iou_averaged_f1_delta	-0.00021751151327342182
349	52001	per_image_iou_averaged_f1_delta	0.0004513659603167322
350	52001	per_image_iou_averaged_f1_delta	-0.0005968212645951647
351	52001	per_image_iou_averaged_f1_delta	-0.0016344307220546835
352	52001	per_image_iou_averaged_f1_delta	-0.0005058955566311662
353	52001	per_image_iou_averaged_f1_delta	-0.0005840544785621527
354	52001	per_image_iou_averaged_f1_delta	-0.00015701665421710386
355	52001	per_image_iou_averaged_f1_delta	-0.0011937069514213338
356	52001	per_image_iou_averaged_f1_delta	-0.000988551236011219
357	52001	per_image_iou_averaged_f1_delta	-0.0009210017186972472
358	52001	per_image_iou_averaged_f1_delta	-0.0012774859625362953
359	52001	per_image_iou_averaged_f1_delta	-0.00033295433541711964
360	52001	per_image_iou_averaged_f1_delta	-0.0013563973594716604
