run	operation_index	resident_operation_index	kind	scope	wall_us	name
21	20	-1	conv_dense	full_executor	2024.448	/model.4/m.0/cv2/conv/Conv
21	21	-1	lut2	full_executor	920.388	/model.4/m.0/Add_output_0@/model.4/Concat_output_0_QuantizeLinear_Output
21	22	-1	concat	full_executor	331.421	/model.4/Concat
21	23	-1	conv_dense	full_executor	6837.686	/model.4/cv2/conv/Conv
21	-1	0	lut	resident_core	515.799	/model.4/cv2/final_silu
21	25	1	conv	resident_core	3506.802	/model.5/conv/Conv
21	27	2	conv	resident_core	1226.519	/model.6/cv1/conv/Conv
21	29	3	conv	resident_core	251.087	/model.6/m.0/cv1/conv/Conv
21	30	4	conv	resident_core	265.754	/model.6/m.0/cv2/conv/Conv
21	32	5	conv	resident_core	540.967	/model.6/m.0/m/m.0/cv1/conv/Conv
21	34	6	conv	resident_core	591.593	/model.6/m.0/m/m.0/cv2/conv/Conv
21	-1	7	add_silu	resident_core	192.044	/model.6/m.0/m/m.0/Add
21	36	8	conv	resident_core	538.966	/model.6/m.0/m/m.1/cv1/conv/Conv
21	38	9	conv	resident_core	539.383	/model.6/m.0/m/m.1/cv2/conv/Conv
21	-1	10	add_silu	resident_core	214.17	/model.6/m.0/m/m.1/Add
21	40	11	concat	resident_core	6.584	/model.6/m.0/Concat
21	41	12	conv	resident_core	504.882	/model.6/m.0/cv3/conv/Conv
21	42	13	concat	resident_core	55.001	/model.6/Concat
21	43	14	conv	resident_core	1349.729	/model.6/cv2/conv/Conv
21	45	15	conv	resident_core	1771.527	/model.7/conv/Conv
21	47	16	conv	resident_core	739.511	/model.8/cv1/conv/Conv
21	49	17	conv	resident_core	154.169	/model.8/m.0/cv1/conv/Conv
21	50	18	conv	resident_core	153.044	/model.8/m.0/cv2/conv/Conv
21	52	19	conv	resident_core	449.59	/model.8/m.0/m/m.0/cv1/conv/Conv
21	54	20	conv	resident_core	443.923	/model.8/m.0/m/m.0/cv2/conv/Conv
21	-1	21	add_silu	resident_core	86.793	/model.8/m.0/m/m.0/Add
21	56	22	conv	resident_core	471.382	/model.8/m.0/m/m.1/cv1/conv/Conv
21	58	23	conv	resident_core	435.631	/model.8/m.0/m/m.1/cv2/conv/Conv
21	-1	24	add_silu	resident_core	99.043	/model.8/m.0/m/m.1/Add
21	60	25	concat	resident_core	4.75	/model.8/m.0/Concat
21	61	26	conv	resident_core	299.755	/model.8/m.0/cv3/conv/Conv
21	62	27	concat	resident_core	28.875	/model.8/Concat
21	63	28	conv	resident_core	843.138	/model.8/cv2/conv/Conv
21	65	29	conv	resident_core	399.59	/model.9/cv1/conv/Conv
21	-1	30	maxpool	resident_core	476.924	/model.9/m/MaxPool
21	-1	31	maxpool	resident_core	468.382	/model.9/m_1/MaxPool
21	-1	32	maxpool	resident_core	467.632	/model.9/m_2/MaxPool
21	66	33	concat	resident_core	106.043	/model.9/Concat
21	67	34	conv	resident_core	1024.766	/model.9/cv2/conv/Conv
21	-1	35	add_silu	resident_core	332.921	/model.9/Add
21	-1	-1	bridge	resident_bridge	115.502	resident_core_bridge_overhead
21	69	-1	conv_dense	full_executor	1023.057	/model.10/cv1/conv/Conv
21	70	-1	split	full_executor	28.001	/model.10/Split
21	71	-1	conv_dense	full_executor	890.972	/model.10/m/m.0/attn/qkv/conv/Conv
21	72	-1	split	full_executor	347.714	/model.10/m/m.0/attn/Split
21	73	-1	split	full_executor	739.553	/model.10/m/m.0/attn/Split
21	74	-1	reshape_split_transpose	full_executor	354.88	/model.10/m/m.0/attn/Transpose
21	75	-1	reshape	full_executor	24.834	/model.10/m/m.0/attn/Reshape_2
21	76	-1	matmul	full_executor	3030.796	/model.10/m/m.0/attn/MatMul
21	77	-1	conv_grouped	full_executor	5681.794	/model.10/m/m.0/attn/pe/conv/Conv
21	78	-1	softmax_transpose	full_executor	4653.487	/model.10/m/m.0/attn/Transpose_1
21	79	-1	matmul	full_executor	3565.553	/model.10/m/m.0/attn/MatMul_1
21	80	-1	lut2	full_executor	1823.111	/model.10/m/m.0/attn/Add_output_0_QuantizeLinear
21	81	-1	conv_dense	full_executor	463.215	/model.10/m/m.0/attn/proj/conv/Conv
21	82	-1	lut2	full_executor	231.253	/model.10/m/m.0/Add_output_0_QuantizeLinear
21	83	-1	conv_dense	full_executor	913.931	/model.10/m/m.0/ffn/ffn.0/conv/Conv
21	84	-1	lut1	full_executor	44.459	/model.10/m/m.0/ffn/ffn.0/act/Mul_output_0_QuantizeLinear
21	85	-1	conv_dense	full_executor	546.009	/model.10/m/m.0/ffn/ffn.1/conv/Conv
