surface	category_id	name	instance_count	ap50_95
board_rt204_cpu_int8	58	hot dog	127	0.33957330510200545
board_rt204_cpu_int8	59	pizza	285	0.49316925287377955
board_rt204_cpu_int8	60	donut	338	0.45206528951691666
board_rt204_cpu_int8	61	cake	316	0.3362388222333631
board_rt204_cpu_int8	62	chair	1791	0.2552192791314485
board_rt204_cpu_int8	63	couch	261	0.44350972298291813
board_rt204_cpu_int8	64	potted plant	343	0.21229743056835199
board_rt204_cpu_int8	65	bed	163	0.45281790844417175
board_rt204_cpu_int8	67	dining table	697	0.3149577450807707
board_rt204_cpu_int8	70	toilet	179	0.6236648306425011
board_rt204_cpu_int8	72	tv	288	0.5365475928623261
board_rt204_cpu_int8	73	laptop	231	0.5645663643271053
board_rt204_cpu_int8	74	mouse	106	0.4908377043655556
board_rt204_cpu_int8	75	remote	283	0.1835962955881521
board_rt204_cpu_int8	76	keyboard	153	0.5040136545931929
board_rt204_cpu_int8	77	cell phone	262	0.28093141637835956
board_rt204_cpu_int8	78	microwave	55	0.5413099943127054
board_rt204_cpu_int8	79	oven	143	0.3296602357303611
board_rt204_cpu_int8	80	toaster	9	0.19684909150255683
board_rt204_cpu_int8	81	sink	225	0.3264783084479351
board_rt204_cpu_int8	82	refrigerator	126	0.5898293572554502
board_rt204_cpu_int8	84	book	1161	0.11814037151101028
board_rt204_cpu_int8	85	clock	267	0.45921945745842246
board_rt204_cpu_int8	86	vase	277	0.3294512722743203
board_rt204_cpu_int8	87	scissors	36	0.312766242487709
board_rt204_cpu_int8	88	teddy bear	191	0.43342598041081926
board_rt204_cpu_int8	89	hair drier	11	0.0023514851485148514
board_rt204_cpu_int8	90	toothbrush	57	0.16106918162526937
board_rt205_cpu_int8	1	person	11004	0.5041889179828719
board_rt205_cpu_int8	2	bicycle	316	0.2510392306191588
board_rt205_cpu_int8	3	car	1932	0.34421414203387374
board_rt205_cpu_int8	4	motorcycle	371	0.4036049047340431
board_rt205_cpu_int8	5	airplane	143	0.6727484353762003
board_rt205_cpu_int8	6	bus	285	0.6208092535782925
board_rt205_cpu_int8	7	train	190	0.6759776338768873
board_rt205_cpu_int8	8	truck	415	0.29742341197487443
board_rt205_cpu_int8	9	boat	430	0.20923890898640457
board_rt205_cpu_int8	10	traffic light	637	0.2081450988273277
board_rt205_cpu_int8	11	fire hydrant	101	0.6247356615624864
board_rt205_cpu_int8	13	stop sign	75	0.6011583545449961
board_rt205_cpu_int8	14	parking meter	60	0.4255842786784316
board_rt205_cpu_int8	15	bench	413	0.20287395899564187
board_rt205_cpu_int8	16	bird	440	0.2922254874130851
board_rt205_cpu_int8	17	cat	202	0.6708413317007256
board_rt205_cpu_int8	18	dog	218	0.6194390693658923
board_rt205_cpu_int8	19	horse	273	0.5554050173926106
board_rt205_cpu_int8	20	sheep	361	0.46924219892860325
board_rt205_cpu_int8	21	cow	380	0.5008571355084237
board_rt205_cpu_int8	22	elephant	255	0.625048815506441
board_rt205_cpu_int8	23	bear	71	0.7245960598432312
board_rt205_cpu_int8	24	zebra	268	0.636874996791013
board_rt205_cpu_int8	25	giraffe	232	0.6671413636208804
board_rt205_cpu_int8	27	backpack	371	0.09562919548242606
board_rt205_cpu_int8	28	umbrella	413	0.36229809886543984
board_rt205_cpu_int8	31	handbag	540	0.09053549085494232
board_rt205_cpu_int8	32	tie	254	0.2794267229401227
board_rt205_cpu_int8	33	suitcase	303	0.38273197314077734
board_rt205_cpu_int8	34	frisbee	115	0.5837928083292374
board_rt205_cpu_int8	35	skis	241	0.18010587310770337
board_rt205_cpu_int8	36	snowboard	69	0.24956928336104428
