path	status	before_kind	after_kind	before_size	after_size	before_sha256	after_sha256	before_link_target	after_link_target
include/spine_llm_argparser.h	unchanged	file	file	1866	1866	23e03d761c961fd20860795aae0e584cc20a0fc3758eeb4b2b70055a14e65a66	23e03d761c961fd20860795aae0e584cc20a0fc3758eeb4b2b70055a14e65a66	n/a	n/a
include/spine_llm_engine.h	unchanged	file	file	2435	2435	0fd55646a1b924ff0a908a44a9ad07de669ab962ce225003ed53c44368a43cfa	0fd55646a1b924ff0a908a44a9ad07de669ab962ce225003ed53c44368a43cfa	n/a	n/a
include/spine_vision_engine.h	unchanged	file	file	4637	4637	a09e0c78e7e9fb787269490af19a96b21f4e78cb84d929c7d404f9ab539dca77	a09e0c78e7e9fb787269490af19a96b21f4e78cb84d929c7d404f9ab539dca77	n/a	n/a
lib	unchanged	dir	dir	4096	4096	n/a	n/a	n/a	n/a
lib/libonnxruntime.so	unchanged	symlink	symlink	19	19	n/a	n/a	libonnxruntime.so.1	libonnxruntime.so.1
lib/libonnxruntime.so.1	unchanged	symlink	symlink	36	36	n/a	n/a	libonnxruntime.so.1.24.2+spacemit.a1	libonnxruntime.so.1.24.2+spacemit.a1
lib/libonnxruntime.so.1.24.2+spacemit.a1	content_changed	file	file	20383912	20383912	e887a538b6cce9597b1905034b48f89763dd625b04bcd708ceb4b494df6df1ac	93bb75601d9eceb5aca192fa70c0c3e18b94a70b9f57acdc9b34c2ff426e09e3	n/a	n/a
lib/libonnxruntime_providers_shared.so	unchanged	file	file	6048	6048	62a3d2d9916c20bbe08358e5797c3e8c7ff11c6235728ac396d1d1f315d598de	62a3d2d9916c20bbe08358e5797c3e8c7ff11c6235728ac396d1d1f315d598de	n/a	n/a
lib/libspacemit_ep.so	unchanged	symlink	symlink	19	19	n/a	n/a	libspacemit_ep.so.2	libspacemit_ep.so.2
lib/libspacemit_ep.so.2	content_changed	symlink	symlink	23	23	n/a	n/a	libspacemit_ep.so.2.0.4	libspacemit_ep.so.2.0.5
lib/libspacemit_ep.so.2.0.4	removed	file	n/a	5527360	n/a	a59e29d2ed4c08ab57ad3e72c75a0b9a72020cb0e8f278ef2ef483725d04b47a	n/a	n/a	n/a
lib/libspacemit_ep.so.2.0.5	added	n/a	file	n/a	5703872	n/a	3927b51f79f8d2142ff98708183aa9b24b47d6941533499035193a630042a41d	n/a	n/a
manifest.json	content_changed	file	file	274	274	8ffc48eefbac9f36166aec4ce459706b503700d51e42e86628435a5c5a419e00	67201431722eff8864e6ace8cbd1a5d7ce4da80b357ed2e57bbdf28c487664f4	n/a	n/a
python	unchanged	dir	dir	59	59	n/a	n/a	n/a	n/a
python/spacemit_ort-2.0.4-py3-none-linux_riscv64.whl	removed	file	n/a	2171273	n/a	07e70ae75610cc0f4c200ebc6d494c75fc4f85a9f9b4cdf218506b869509316c	n/a	n/a	n/a
python/spacemit_ort-2.0.5-py3-none-linux_riscv64.whl	added	n/a	file	n/a	2235172	n/a	868723f1a84b96942e8a41ea27036b90b97de6e186996c288fac62556747fe59	n/a	n/a
samples	unchanged	dir	dir	4096	4096	n/a	n/a	n/a	n/a
samples/concurrency_demo.cc	unchanged	file	file	11274	11274	b2f28bba7fc910b8595eaa1d6e5544ef5a10dad6b2c46b058e1255440c8ee4f3	b2f28bba7fc910b8595eaa1d6e5544ef5a10dad6b2c46b058e1255440c8ee4f3	n/a	n/a
samples/create_imagenet_test_list.py	unchanged	file	file	4931	4931	0d9aebd90e80d96e5a1550b3b23d69e5f61fe344b20a72862d7477a488fe52fd	0d9aebd90e80d96e5a1550b3b23d69e5f61fe344b20a72862d7477a488fe52fd	n/a	n/a
samples/create_onnx_test_runner_cases.py	unchanged	file	file	4030	4030	f2bd91b1af0e11752a3aea2f296c2ed721a1b6ddfc166801bca4736540cb5517	f2bd91b1af0e11752a3aea2f296c2ed721a1b6ddfc166801bca4736540cb5517	n/a	n/a
samples/demo.cc	unchanged	file	file	7860	7860	16fa36645c77b82ccfaca5579812d0315527a46a1b8950616b0fa81148e81be3	16fa36645c77b82ccfaca5579812d0315527a46a1b8950616b0fa81148e81be3	n/a	n/a
samples/demo.py	unchanged	file	file	3645	3645	c6bdc97dc86fad93479a84da41ff436a76a55a845e4e36f777d0e1b83006567b	c6bdc97dc86fad93479a84da41ff436a76a55a845e4e36f777d0e1b83006567b	n/a	n/a
samples/demo_custom_ort_op.cc	unchanged	file	file	8567	8567	b25d87ae506e528a9eee05db437884564b87e8977152c2e4d654a0a3716febda	b25d87ae506e528a9eee05db437884564b87e8977152c2e4d654a0a3716febda	n/a	n/a
samples/demo_custom_ort_op.h	unchanged	file	file	329	329	084c797f521fe6445e87738ab9ac7fa15b6614fc12732d51ddcbb89d923c3773	084c797f521fe6445e87738ab9ac7fa15b6614fc12732d51ddcbb89d923c3773	n/a	n/a
samples/imagenet_labels.h	unchanged	file	file	67533	67533	dd042483848507963f7a0a958f972107edf97b1eae90a8837fa7d18e97f54204	dd042483848507963f7a0a958f972107edf97b1eae90a8837fa7d18e97f54204	n/a	n/a
samples/imagenet_test.cc	unchanged	file	file	15565	15565	f8ac34ea137a613a29d257443da7b31198aa956ef483a892ab6c00806feeb6d8	f8ac34ea137a613a29d257443da7b31198aa956ef483a892ab6c00806feeb6d8	n/a	n/a
samples/multimodal_qa_demo.cc	unchanged	file	file	2151	2151	3798c41741b03ebe53c0c4cda085670db025e3839f1b1d19304606becb4a4511	3798c41741b03ebe53c0c4cda085670db025e3839f1b1d19304606becb4a4511	n/a	n/a
samples/plugin	added	n/a	dir	n/a	184	n/a	n/a	n/a	n/a
samples/plugin/CMakeLists.txt	added	n/a	file	n/a	3578	n/a	a2ad3e3d89487a3ceeade7a34ec343af31f4966fe896e8cb75a38b4c2bde2578	n/a	n/a
samples/plugin/PLUGIN.md	added	n/a	file	n/a	11634	n/a	401b599b021bbbc594ffcffdf8e9e235e0d285b4ca0c324db805f4f5533b0b78	n/a	n/a
samples/plugin/gelu_op.cc	added	n/a	file	n/a	6804	n/a	7343027c607345e52cb4721ab7ab24a9d44161394bfea1f1b7a0e36a12bec599	n/a	n/a
samples/plugin/gelu_op.h	added	n/a	file	n/a	706	n/a	d55636add92bb908de3bd8fcbe6648ee96b495e4e3246e18a6feded9a72927bc	n/a	n/a
samples/plugin/layernorm_op.cc	added	n/a	file	n/a	10077	n/a	c64693bf57f85c7186754c0bd83597422ae5cb9a27e57e0e761ff5b330fe9e9f	n/a	n/a
samples/plugin/layernorm_op.h	added	n/a	file	n/a	867	n/a	ac62c5622354bbce5d992d130f5ed6b8af39fee8ef73b943ba24c5b1442dc3ac	n/a	n/a
samples/plugin/plugin_main.cc	added	n/a	file	n/a	13627	n/a	413109c87e368d50684462bbac182c7b87514f038421d7484557fad53f2df31e	n/a	n/a
samples/plugin/qgelu_op.cc	added	n/a	file	n/a	11505	n/a	ee52df7345962764a1f3f41389c19ba66a6d7f70d45d23656467e21b3c1fdc62	n/a	n/a
samples/plugin/qgelu_op.h	added	n/a	file	n/a	1566	n/a	5a2d60a46287fea7ca2748dba0ad5f151616a4054704d3457a2b55f637a00887	n/a	n/a
samples/spine_llm_argparser.cc	unchanged	file	file	8705	8705	2968b2390830089603f1e21a2645f219011f0897aedd31b87c7defeeffbda64b	2968b2390830089603f1e21a2645f219011f0897aedd31b87c7defeeffbda64b	n/a	n/a
samples/spine_llm_engine.cc	unchanged	file	file	15181	15181	82d27672173aef280e1494060b6a309c967dd45c74e9a3cf14322217bd02cbfb	82d27672173aef280e1494060b6a309c967dd45c74e9a3cf14322217bd02cbfb	n/a	n/a
samples/spine_vision_engine.cc	unchanged	file	file	14192	14192	5684eab008a30651cd7fc3ba9aa880d222c192d41e1ad41bf2f3405e1a969051	5684eab008a30651cd7fc3ba9aa880d222c192d41e1ad41bf2f3405e1a969051	n/a	n/a
samples/utils.h	content_changed	file	file	12699	12741	4c93aaf4470c873bc048e6bcc4165a8885a4b560c048b4a6afb1a0b8c34a3ce6	dccfeb70a509fa7d7c7e4bd4a794b04377aa0d507c4c2b094de3077d285b3855	n/a	n/a
scripts	unchanged	dir	dir	105	105	n/a	n/a	n/a	n/a
scripts/build_samples_local.sh	unchanged	file	file	297	297	e5cba0db180b44a9b45b7d105a06f6ca0e74a1ef2f5da7e4d816b2cf8297c632	e5cba0db180b44a9b45b7d105a06f6ca0e74a1ef2f5da7e4d816b2cf8297c632	n/a	n/a
scripts/build_samples_riscv64.sh	unchanged	file	file	383	383	3809f9f193faaf4dbac028a427855697542f88a15d10f97137a36b85dc8d86b8	3809f9f193faaf4dbac028a427855697542f88a15d10f97137a36b85dc8d86b8	n/a	n/a
scripts/linux_riscv64.toolchain.cmake	unchanged	file	file	2204	2204	a7abe4d6fe7b771279cf7d1dd1971e266657d8f3305f0032c7a1d522cfd20756	a7abe4d6fe7b771279cf7d1dd1971e266657d8f3305f0032c7a1d522cfd20756	n/a	n/a
