resolution	category_id	class_name	instances	ap50_95	ap50	recall_iou50_conf001
512	74	mouse	106	0.48535829560461	0.6707785001536877	0.8773584905660378
512	75	remote	283	0.15855655999216142	0.2826679249648983	0.7102473498233216
512	76	keyboard	153	0.45860353857484376	0.6115742242319269	0.8562091503267973
512	77	cell phone	262	0.25315017636947373	0.3701072296762914	0.6870229007633588
512	78	microwave	55	0.4680651553280197	0.6084745268341882	0.9090909090909091
512	79	oven	143	0.3050977735301875	0.4680702941488759	0.8531468531468531
512	80	toaster	9	0.23951889076506366	0.43294505921180343	0.8888888888888888
512	81	sink	225	0.30923410812845153	0.4883432558782761	0.8266666666666667
512	82	refrigerator	126	0.5285898244303571	0.662693312758325	0.8253968253968254
512	84	book	1161	0.10216298569781919	0.22533609812870772	0.6520241171403962
512	85	clock	267	0.4192338374777065	0.6231576679856076	0.7677902621722846
512	86	vase	277	0.28690840639188825	0.41921112386511733	0.7725631768953068
512	87	scissors	36	0.3119592180685007	0.38312185922115577	0.5833333333333334
512	88	teddy bear	191	0.4069263248609953	0.578278142179485	0.837696335078534
512	89	hair drier	11	0.001981654047757717	0.008051834595224228	0.18181818181818182
512	90	toothbrush	57	0.13375425135851254	0.18610152503345478	0.543859649122807
448	1	person	11004	0.44516279773565015	0.6818016716007493	0.8493275172664486
448	2	bicycle	316	0.20663640866154886	0.3740861092058294	0.6582278481012658
448	3	car	1932	0.27566934770875157	0.4638864257928768	0.7546583850931677
448	4	motorcycle	371	0.38759409252907057	0.6112304085907421	0.8598382749326146
448	5	airplane	143	0.5860443985133328	0.7749682580240661	0.965034965034965
448	6	bus	285	0.5824615950114086	0.7173358425293028	0.8807017543859649
448	7	train	190	0.6683708632550739	0.8441535137729921	0.9473684210526315
448	8	truck	415	0.24281124639457927	0.3705201474493306	0.8457831325301205
448	9	boat	430	0.16057553628792506	0.3286770872725095	0.7
448	10	traffic light	637	0.15367631444408816	0.32465846511555446	0.640502354788069
448	11	fire hydrant	101	0.5638109238413928	0.7149545460767773	0.8514851485148515
448	13	stop sign	75	0.57925059412409	0.6462623414992651	0.72
448	14	parking meter	60	0.3930186008406093	0.5305470134467908	0.75
448	15	bench	413	0.1769690985123385	0.2674045848893416	0.5883777239709443
448	16	bird	440	0.23465816321555008	0.3806662147967545	0.5909090909090909
448	17	cat	202	0.6700763158976937	0.8344982549082035	0.9405940594059405
448	18	dog	218	0.5671769078083769	0.6901587532540957	0.8807339449541285
448	19	horse	273	0.49629713592194197	0.6908851291148618	0.8827838827838828
448	20	sheep	361	0.3996358016046516	0.6069150175611403	0.8808864265927978
448	21	cow	380	0.43407145742505804	0.6409155170748616	0.8710526315789474
448	22	elephant	255	0.6054404537036452	0.8124719306427715	0.9529411764705882
448	23	bear	71	0.6497797040607732	0.7932077539211698	0.9436619718309859
448	24	zebra	268	0.6019680358394615	0.8307411388540532	0.9738805970149254
448	25	giraffe	232	0.6340332552838183	0.834227823115652	0.9396551724137931
448	27	backpack	371	0.07337156508241421	0.14293478317607264	0.5471698113207547
448	28	umbrella	413	0.31354396805010015	0.48459365054481474	0.7046004842615012
448	31	handbag	540	0.05962513617534601	0.11933621990848671	0.5370370370370371
448	32	tie	254	0.2291833946895941	0.35830766492210503	0.5354330708661418
448	33	suitcase	303	0.3048079523621732	0.45944936883033505	0.7854785478547854
448	34	frisbee	115	0.49096595231517687	0.685566972609494	0.8782608695652174
448	35	skis	241	0.15262467344994576	0.279976259347704	0.6639004149377593
448	36	snowboard	69	0.2080076288502918	0.3246061439997002	0.7101449275362319
448	37	sports ball	263	0.27659727419257585	0.4267274869346762	0.5513307984790875
448	38	kite	336	0.31325057485966135	0.517639024173069	0.7767857142857143
448	39	baseball bat	146	0.16445548701027013	0.33031778515889965	0.5821917808219178
448	40	baseball glove	148	0.2540570346053267	0.45953986353599574	0.722972972972973
448	41	skateboard	179	0.3738504122221765	0.5604727797620842	0.770949720670391
448	42	surfboard	269	0.2884346711406878	0.47279345457084954	0.6988847583643123
448	43	tennis racket	225	0.33415903743152026	0.5741705900425664	0.7911111111111111
448	44	bottle	1025	0.23141521019061614	0.37298517034392265	0.7141463414634146
