resolution	id	name	rank	shape	dim0	dim1	dim2	dim3	logical_elements	storage_bytes	layout	scale	scale_bits	zero_point	dtype	first_op	last_op	arena_offset
768	156	/model.23/one2one_cv3.1/one2one_cv3.1.0/one2one_cv3.1.0.0/act/Mul_output_0_QuantizeLinear_Output	4	1x128x48x48	1	128	48	48	294912	294912	NCHWc8_SPATIAL_INNER_V1	0.10478691011667252	0x3dd69a85	3	uint8	164	167	3022848
768	157	/model.21/Concat_output_0_QuantizeLinear_Output	4	1x384x24x24	1	384	24	24	221184	221184	NCHWc8_SPATIAL_INNER_V1	0.035356689244508743	0x3d10d22d	8	uint8	165	168	589824
768	158	/model.23/one2one_cv2.1/one2one_cv2.1.1/conv/Conv_output_0_QuantizeLinear_Output	4	1x16x48x48	1	16	48	48	36864	36864	NCHWc8_SPATIAL_INNER_V1	0.075622953474521637	0x3d9ae035	135	uint8	166	169	958464
768	159	/model.23/one2one_cv3.1/one2one_cv3.1.0/one2one_cv3.1.0.1/conv/Conv_output_0_QuantizeLinear_Output	4	1x80x48x48	1	80	48	48	184320	184320	NCHWc8_SPATIAL_INNER_V1	0.15228866040706635	0x3e1bf18f	171	uint8	167	170	1843200
768	160	/model.22/cv1/conv/Conv_output_0_QuantizeLinear_Output	4	1x256x24x24	1	256	24	24	147456	147456	NCHWc8_SPATIAL_INNER_V1	0.094661056995391846	0x3dc1dda8	118	uint8	168	198	294912
768	161	/model.23/one2one_cv2.1/one2one_cv2.1.1/act/Mul_output_0_QuantizeLinear_Output	4	1x16x48x48	1	16	48	48	36864	36864	NCHWc8_SPATIAL_INNER_V1	0.036710139364004135	0x3d165d5f	8	uint8	169	172	995328
768	162	/model.23/one2one_cv3.1/one2one_cv3.1.0/one2one_cv3.1.0.1/act/Mul_output_0_QuantizeLinear_Output	4	1x80x48x48	1	80	48	48	184320	184320	NCHWc8_SPATIAL_INNER_V1	0.050976786762475967	0x3d50cd09	5	uint8	170	173	589824
768	163	/model.22/Split_output_1_QuantizeLinear_Output	4	1x128x24x24	1	128	24	24	73728	73728	NCHWc8_SPATIAL_INNER_V1	0.029373534023761749	0x3cf0a0c4	9	uint8	171	198	884736
768	164	/model.23/one2one_cv2.1/one2one_cv2.1.2/Conv_output_0_QuantizeLinear_Output	4	1x4x48x48	1	4	48	48	9216	18432	NCHWc8_SPATIAL_INNER_V1	0.054239228367805481	0x3d5e29f4	2	uint8	172	215	774144
768	165	/model.23/one2one_cv3.1/one2one_cv3.1.1/one2one_cv3.1.1.0/conv/Conv_output_0_QuantizeLinear_Output	4	1x80x48x48	1	80	48	48	184320	184320	NCHWc8_SPATIAL_INNER_V1	0.43062198162078857	0x3edc7a7c	145	uint8	173	175	1843200
