resolution	operation_index	name	batch_heads	M	N	K	left_tensor_id	right_tensor_id	output_tensor_id	left_zero_point	right_zero_point	output_zero_point	stage60_ime_eligible	stage60_route	stage61_route	right_sum_asset	packing_route	epilogue
416	187	/model.22/m.0/m.0.1/attn/MatMul	2	169	169	32	177	175	179	130	131	109	0	whole-MatMul-scalar-fallback	complete-N16-plus-live-N4/N8-tail	runtime-exact-column-sums	packed-right-panel	exact-Q62-C8
416	190	/model.22/m.0/m.0.1/attn/MatMul_1	2	64	169	169	176	181	182	111	0	118	0	whole-MatMul-scalar-fallback	complete-N16-plus-live-N4/N8-tail	runtime-exact-column-sums	direct-second-MatMul-pack	exact-Q62-C8
384	76	/model.10/m/m.0/attn/MatMul	2	144	144	32	70	68	72	128	126	122	1	IME-N16	complete-N16-plus-live-N4/N8-tail	runtime-exact-column-sums	packed-right-panel	exact-Q62-C8
384	79	/model.10/m/m.0/attn/MatMul_1	2	64	144	144	69	74	75	121	0	126	1	IME-N16	complete-N16-plus-live-N4/N8-tail	runtime-exact-column-sums	direct-second-MatMul-pack	exact-Q62-C8
384	187	/model.22/m.0/m.0.1/attn/MatMul	2	144	144	32	177	175	179	130	131	109	1	IME-N16	complete-N16-plus-live-N4/N8-tail	runtime-exact-column-sums	packed-right-panel	exact-Q62-C8
384	190	/model.22/m.0/m.0.1/attn/MatMul_1	2	64	144	144	176	181	182	111	0	118	1	IME-N16	complete-N16-plus-live-N4/N8-tail	runtime-exact-column-sums	direct-second-MatMul-pack	exact-Q62-C8
352	76	/model.10/m/m.0/attn/MatMul	2	121	121	32	70	68	72	128	126	122	0	whole-MatMul-scalar-fallback	complete-N16-plus-live-N4/N8-tail	runtime-exact-column-sums	packed-right-panel	exact-Q62-C8
352	79	/model.10/m/m.0/attn/MatMul_1	2	64	121	121	69	74	75	121	0	126	0	whole-MatMul-scalar-fallback	complete-N16-plus-live-N4/N8-tail	runtime-exact-column-sums	direct-second-MatMul-pack	exact-Q62-C8
352	187	/model.22/m.0/m.0.1/attn/MatMul	2	121	121	32	177	175	179	130	131	109	0	whole-MatMul-scalar-fallback	complete-N16-plus-live-N4/N8-tail	runtime-exact-column-sums	packed-right-panel	exact-Q62-C8
352	190	/model.22/m.0/m.0.1/attn/MatMul_1	2	64	121	121	176	181	182	111	0	118	0	whole-MatMul-scalar-fallback	complete-N16-plus-live-N4/N8-tail	runtime-exact-column-sums	direct-second-MatMul-pack	exact-Q62-C8
320	76	/model.10/m/m.0/attn/MatMul	2	100	100	32	70	68	72	128	126	122	0	whole-MatMul-scalar-fallback	complete-N16-plus-live-N4/N8-tail	runtime-exact-column-sums	packed-right-panel	exact-Q62-C8
320	79	/model.10/m/m.0/attn/MatMul_1	2	64	100	100	69	74	75	121	0	126	0	whole-MatMul-scalar-fallback	complete-N16-plus-live-N4/N8-tail	runtime-exact-column-sums	direct-second-MatMul-pack	exact-Q62-C8
320	187	/model.22/m.0/m.0.1/attn/MatMul	2	100	100	32	177	175	179	130	131	109	0	whole-MatMul-scalar-fallback	complete-N16-plus-live-N4/N8-tail	runtime-exact-column-sums	packed-right-panel	exact-Q62-C8
320	190	/model.22/m.0/m.0.1/attn/MatMul_1	2	64	100	100	176	181	182	111	0	118	0	whole-MatMul-scalar-fallback	complete-N16-plus-live-N4/N8-tail	runtime-exact-column-sums	direct-second-MatMul-pack	exact-Q62-C8
256	76	/model.10/m/m.0/attn/MatMul	2	64	64	32	70	68	72	128	126	122	1	IME-N16	complete-N16-plus-live-N4/N8-tail	runtime-exact-column-sums	packed-right-panel	exact-Q62-C8
256	79	/model.10/m/m.0/attn/MatMul_1	2	64	64	64	69	74	75	121	0	126	1	IME-N16	complete-N16-plus-live-N4/N8-tail	runtime-exact-column-sums	direct-second-MatMul-pack	exact-Q62-C8
256	187	/model.22/m.0/m.0.1/attn/MatMul	2	64	64	32	177	175	179	130	131	109	1	IME-N16	complete-N16-plus-live-N4/N8-tail	runtime-exact-column-sums	packed-right-panel	exact-Q62-C8
256	190	/model.22/m.0/m.0.1/attn/MatMul_1	2	64	64	64	176	181	182	111	0	118	1	IME-N16	complete-N16-plus-live-N4/N8-tail	runtime-exact-column-sums	direct-second-MatMul-pack	exact-Q62-C8
768	76	/model.10/m/m.0/attn/MatMul	2	576	576	32	70	68	72	128	126	122	1	IME-N16	complete-N16-plus-live-N4/N8-tail	runtime-exact-column-sums	packed-right-panel	exact-Q62-C8
768	79	/model.10/m/m.0/attn/MatMul_1	2	64	576	576	69	74	75	121	0	126	1	IME-N16	complete-N16-plus-live-N4/N8-tail	runtime-exact-column-sums	direct-second-MatMul-pack	exact-Q62-C8
768	187	/model.22/m.0/m.0.1/attn/MatMul	2	576	576	32	177	175	179	130	131	109	1	IME-N16	complete-N16-plus-live-N4/N8-tail	runtime-exact-column-sums	packed-right-panel	exact-Q62-C8
768	190	/model.22/m.0/m.0.1/attn/MatMul_1	2	64	576	576	176	181	182	111	0	118	1	IME-N16	complete-N16-plus-live-N4/N8-tail	runtime-exact-column-sums	direct-second-MatMul-pack	exact-Q62-C8
