n	k	m	mode	strategy	output_hash	kernel_calls	padded_k_lanes	padded_n_columns	status
25	64	1	0	n16	0xd2eb63c86c21ae30	3	0	3	pass
25	64	1	1	n8n8	0xf8b51a3bd2b6a184	3	0	3	pass
25	64	1	1	n16	0xf8b51a3bd2b6a184	3	0	3	pass
25	64	1	2	n8n8	0x5178fe0a5b9ccdd9	3	0	3	pass
25	64	1	2	n16	0x5178fe0a5b9ccdd9	3	0	3	pass
26	65	2	0	n8n8	0x5621ef5df7ff4632	3	7	2	pass
26	65	2	0	n16	0x5621ef5df7ff4632	3	7	2	pass
26	65	2	1	n8n8	0xef37250910e0fad1	3	7	2	pass
26	65	2	1	n16	0xef37250910e0fad1	3	7	2	pass
26	65	2	2	n8n8	0x28b8d6361d6dbf81	3	7	2	pass
26	65	2	2	n16	0x28b8d6361d6dbf81	3	7	2	pass
27	1	3	0	n8n8	0x0f8256f84c0c91d3	3	7	1	pass
27	1	3	0	n16	0x0f8256f84c0c91d3	3	7	1	pass
27	1	3	1	n8n8	0x80909fa9c7bf4550	3	7	1	pass
27	1	3	1	n16	0x80909fa9c7bf4550	3	7	1	pass
27	1	3	2	n8n8	0x239690170154d24e	3	7	1	pass
27	1	3	2	n16	0x239690170154d24e	3	7	1	pass
28	7	4	0	n8n8	0xc8044f55d9544db2	3	1	0	pass
28	7	4	0	n16	0xc8044f55d9544db2	3	1	0	pass
28	7	4	1	n8n8	0x59837cb77dec3b03	3	1	0	pass
28	7	4	1	n16	0x59837cb77dec3b03	3	1	0	pass
28	7	4	2	n8n8	0x647c6cd19cec4b87	3	1	0	pass
28	7	4	2	n16	0x647c6cd19cec4b87	3	1	0	pass
29	8	5	0	n8n8	0x2649c4b4e4d31ba6	3	0	3	pass
29	8	5	0	n16	0x2649c4b4e4d31ba6	2	0	3	pass
29	8	5	1	n8n8	0xb3e64909773a9a94	3	0	3	pass
29	8	5	1	n16	0xb3e64909773a9a94	2	0	3	pass
29	8	5	2	n8n8	0x9b5abae832cd5bd3	3	0	3	pass
29	8	5	2	n16	0x9b5abae832cd5bd3	2	0	3	pass
30	9	6	0	n8n8	0x4c370bf9088d2550	3	7	2	pass
30	9	6	0	n16	0x4c370bf9088d2550	2	7	2	pass
30	9	6	1	n8n8	0xa2bb5bc6f85a39ad	3	7	2	pass
30	9	6	1	n16	0xa2bb5bc6f85a39ad	2	7	2	pass
30	9	6	2	n8n8	0x84f6d86471eddba3	3	7	2	pass
30	9	6	2	n16	0x84f6d86471eddba3	2	7	2	pass
31	15	7	0	n8n8	0x56afd71afa1f4315	3	1	1	pass
31	15	7	0	n16	0x56afd71afa1f4315	2	1	1	pass
31	15	7	1	n8n8	0x518822b15b725c04	3	1	1	pass
31	15	7	1	n16	0x518822b15b725c04	2	1	1	pass
31	15	7	2	n8n8	0x1429bbe9f6033ec1	3	1	1	pass
31	15	7	2	n16	0x1429bbe9f6033ec1	2	1	1	pass
63	16	8	0	n8n8	0x9475f028f672d923	5	0	1	pass
63	16	8	0	n16	0x9475f028f672d923	4	0	1	pass
63	16	8	1	n8n8	0x36a3f6a9a20a55d3	5	0	1	pass
63	16	8	1	n16	0x36a3f6a9a20a55d3	4	0	1	pass
63	16	8	2	n8n8	0x9475f028f672d923	5	0	1	pass
63	16	8	2	n16	0x9475f028f672d923	4	0	1	pass
64	17	9	0	n8n8	0xf2d63965a0095787	4	7	0	pass
64	17	9	0	n16	0xf2d63965a0095787	4	7	0	pass
64	17	9	1	n8n8	0x0944c40b9066b703	4	7	0	pass
64	17	9	1	n16	0x0944c40b9066b703	4	7	0	pass
64	17	9	2	n8n8	0x51fb99b48f099a75	4	7	0	pass
64	17	9	2	n16	0x51fb99b48f099a75	4	7	0	pass
65	31	10	0	n8n8	0x68f0154b8234c5e5	5	1	3	pass
65	31	10	0	n16	0x68f0154b8234c5e5	5	1	3	pass
65	31	10	1	n8n8	0x7e9b28897da470ac	5	1	3	pass
65	31	10	1	n16	0x7e9b28897da470ac	5	1	3	pass
65	31	10	2	n8n8	0x28d06eccb65c19ed	5	1	3	pass
65	31	10	2	n16	0x28d06eccb65c19ed	5	1	3	pass
99	32	11	0	n8n8	0x31ce2ea0c9f0513c	7	0	1	pass
99	32	11	0	n16	0x31ce2ea0c9f0513c	7	0	1	pass
99	32	11	1	n8n8	0x37199d3ffec77134	7	0	1	pass
99	32	11	1	n16	0x37199d3ffec77134	7	0	1	pass
99	32	11	2	n8n8	0x5f8138c4872ea50d	7	0	1	pass
99	32	11	2	n16	0x5f8138c4872ea50d	7	0	1	pass
100	33	12	0	n8n8	0x584de6960c8b2b13	7	7	0	pass
100	33	12	0	n16	0x584de6960c8b2b13	7	7	0	pass
100	33	12	1	n8n8	0x0297391fcb97b503	7	7	0	pass
100	33	12	1	n16	0x0297391fcb97b503	7	7	0	pass
100	33	12	2	n8n8	0xa8f671fd8c3212db	7	7	0	pass
100	33	12	2	n16	0xa8f671fd8c3212db	7	7	0	pass
101	63	1	0	n8n8	0xc80a9537ce91edf0	7	1	3	pass
101	63	1	0	n16	0xc80a9537ce91edf0	7	1	3	pass
101	63	1	1	n8n8	0x744616c3694a892c	7	1	3	pass
101	63	1	1	n16	0x744616c3694a892c	7	1	3	pass
101	63	1	2	n8n8	0x475490f7e78f9729	7	1	3	pass
101	63	1	2	n16	0x475490f7e78f9729	7	1	3	pass
120	64	2	0	n8n8	0xb9cb6fd69384d5d3	8	0	0	pass
120	64	2	0	n16	0xb9cb6fd69384d5d3	8	0	0	pass
120	64	2	1	n8n8	0x00d9b2469ca02403	8	0	0	pass
120	64	2	1	n16	0x00d9b2469ca02403	8	0	0	pass
120	64	2	2	n8n8	0x5c6459971c4d900b	8	0	0	pass
120	64	2	2	n16	0x5c6459971c4d900b	8	0	0	pass
121	65	3	0	n8n8	0x2323a60f1d199755	9	7	3	pass
121	65	3	0	n16	0x2323a60f1d199755	9	7	3	pass
121	65	3	1	n8n8	0x8dc7eb35ed0f36c9	9	7	3	pass
121	65	3	1	n16	0x8dc7eb35ed0f36c9	9	7	3	pass
121	65	3	2	n8n8	0x2ef1c9e75393df81	9	7	3	pass
121	65	3	2	n16	0x2ef1c9e75393df81	9	7	3	pass
122	1	4	0	n8n8	0x5aae1eba47c13692	9	7	2	pass
122	1	4	0	n16	0x5aae1eba47c13692	9	7	2	pass
122	1	4	1	n8n8	0x997ea9c03f06d7a3	9	7	2	pass
122	1	4	1	n16	0x997ea9c03f06d7a3	9	7	2	pass
122	1	4	2	n8n8	0xb5fdc4a0fedb782f	9	7	2	pass
122	1	4	2	n16	0xb5fdc4a0fedb782f	9	7	2	pass
143	7	5	0	n8n8	0x5b024fda5d601932	10	1	1	pass
143	7	5	0	n16	0x5b024fda5d601932	9	1	1	pass
