candidate	image_index	image	fp32_split_vs_unsplit_mae	fp32_split_vs_unsplit_max_abs	fp32_split_vs_unsplit_cosine	s8_vs_fp32_mae	s8_vs_fp32_max_abs	s8_vs_fp32_cosine	candidate_tail_vs_source_mae	candidate_tail_vs_source_max_abs	candidate_tail_vs_source_cosine	confidence_branch_collapsed	status
R211_PROJECT_EXACT_SPLIT_run1	81	000000013597.jpg	0.0	0.0	0.9999999999999999	77.23618205847012	607.2930183410645	0.897537996872019	0.0	0.0	0.9999999999999999	0	pass
R211_PROJECT_EXACT_SPLIT_run1	82	000000013659.jpg	0.0	0.0	1.0000000000000002	106.38386392782132	617.4353218078613	0.8131316985201924	0.0	0.0	1.0000000000000002	0	pass
R211_PROJECT_EXACT_SPLIT_run1	83	000000013729.jpg	0.0	0.0	0.9999999999999999	103.1359131764041	630.1068058013916	0.8798286868865128	0.0	0.0	0.9999999999999999	0	pass
R211_PROJECT_EXACT_SPLIT_run1	84	000000013774.jpg	0.0	0.0	1.0	37.780047238187656	511.1001434326172	0.968203589195745	0.0	0.0	1.0	0	pass
R211_PROJECT_EXACT_SPLIT_run1	85	000000013923.jpg	0.0	0.0	1.0	73.63105378167496	523.8499755859375	0.9157294568046758	0.0	0.0	1.0	0	pass
R211_PROJECT_EXACT_SPLIT_run1	86	000000014007.jpg	0.0	0.0	1.0000000000000002	116.9744302565025	618.7789030075073	0.8422680631162021	0.0	0.0	1.0000000000000002	0	pass
R211_PROJECT_EXACT_SPLIT_run1	87	000000014038.jpg	0.0	0.0	0.9999999999999999	74.80548643468155	602.0085697174072	0.926429927383749	0.0	0.0	0.9999999999999999	0	pass
R211_PROJECT_EXACT_SPLIT_run1	88	000000014226.jpg	0.0	0.0	1.0	115.16759329423309	606.1413421630859	0.8542514529616072	0.0	0.0	1.0	0	pass
R211_PROJECT_EXACT_SPLIT_run1	89	000000014380.jpg	0.0	0.0	1.0000000000000002	81.06248210183448	613.3790493011475	0.8102665473595616	0.0	0.0	1.0000000000000002	0	pass
R211_PROJECT_EXACT_SPLIT_run1	90	000000014439.jpg	0.0	0.0	1.0	105.34099281859066	635.1783390045166	0.7142465371091767	0.0	0.0	1.0	0	pass
R211_PROJECT_EXACT_SPLIT_run1	91	000000014473.jpg	0.0	0.0	1.0000000000000002	53.43928850736883	590.1790313720703	0.924470845425169	0.0	0.0	1.0000000000000002	0	pass
R211_PROJECT_EXACT_SPLIT_run1	92	000000014831.jpg	0.0	0.0	1.0	59.0142998748521	586.8962287902832	0.9305835248689971	0.0	0.0	1.0	0	pass
R211_PROJECT_EXACT_SPLIT_run1	93	000000014888.jpg	0.0	0.0	1.0	102.83335369161433	627.2708711624146	0.8254791748261201	0.0	0.0	1.0	0	pass
R211_PROJECT_EXACT_SPLIT_run1	94	000000015079.jpg	0.0	0.0	1.0	101.52366394637359	605.3983001708984	0.8489210985947739	0.0	0.0	1.0	0	pass
R211_PROJECT_EXACT_SPLIT_run1	95	000000015254.jpg	0.0	0.0	1.0000000000000002	97.65479753663142	559.5101737976074	0.8299688651504578	0.0	0.0	1.0000000000000002	0	pass
R211_PROJECT_EXACT_SPLIT_run1	96	000000015272.jpg	0.0	0.0	1.0	121.87705492668681	629.7979564666748	0.8035353077248526	0.0	0.0	1.0	0	pass
R211_PROJECT_EXACT_SPLIT_run1	97	000000015278.jpg	0.0	0.0	0.9999999999999998	111.30110324852997	624.2334442138672	0.8140883437689831	0.0	0.0	0.9999999999999998	0	pass
R211_PROJECT_EXACT_SPLIT_run1	98	000000015335.jpg	0.0	0.0	1.0	147.52305457520816	630.4907627105713	0.7435384257853126	0.0	0.0	1.0	0	pass
R211_PROJECT_EXACT_SPLIT_run1	99	000000015338.jpg	0.0	0.0	1.0	88.21134293244944	622.069091796875	0.8797985157525646	0.0	0.0	1.0	0	pass
R211_VENDOR_LITERAL_SPLIT	0	000000000139.jpg	0.0	0.0	1.0	58.698364424390924	509.1560974121094	0.9514636566231097	NA	NA	NA	0	pass
R211_VENDOR_LITERAL_SPLIT	1	000000000632.jpg	0.0	0.0	1.0000000000000002	48.677882637364995	458.0951099395752	0.9676858600163304	NA	NA	NA	0	pass
R211_VENDOR_LITERAL_SPLIT	2	000000000724.jpg	0.0	0.0	1.0	65.95520237704118	458.9286193847656	0.9145963179440509	NA	NA	NA	0	pass
R211_VENDOR_LITERAL_SPLIT	3	000000000802.jpg	0.0	0.0	1.0000000000000002	79.34176668564479	628.8291931152344	0.87021453773271	NA	NA	NA	0	pass
R211_VENDOR_LITERAL_SPLIT	4	000000000885.jpg	0.0	0.0	1.0	86.28364657761323	604.749340057373	0.8042922263116307	NA	NA	NA	0	pass
R211_VENDOR_LITERAL_SPLIT	5	000000001268.jpg	0.0	0.0	1.0	106.6697468638089	622.8931941986084	0.7902145063263188	NA	NA	NA	0	pass
R211_VENDOR_LITERAL_SPLIT	6	000000001353.jpg	0.0	0.0	0.9999999999999998	85.14286070336898	582.8821182250977	0.8957709113931247	NA	NA	NA	0	pass
R211_VENDOR_LITERAL_SPLIT	7	000000001425.jpg	0.0	0.0	1.0000000000000002	121.35512550822563	597.5158586502075	0.7955192939796721	NA	NA	NA	0	pass
R211_VENDOR_LITERAL_SPLIT	8	000000001503.jpg	0.0	0.0	1.0000000000000002	96.4298830428885	634.1640319824219	0.8942552992551706	NA	NA	NA	0	pass
R211_VENDOR_LITERAL_SPLIT	9	000000001532.jpg	0.0	0.0	1.0	90.1959694213503	628.9828453063965	0.8910682159435792	NA	NA	NA	0	pass
R211_VENDOR_LITERAL_SPLIT	10	000000001584.jpg	0.0	0.0	1.0	104.05396442054047	618.3986759185791	0.821647061849363	NA	NA	NA	0	pass
