case_id	test_id	provider	cpus	output_sha256	oracle_sha256	exact	classification
c5_s8_conv_pt_explicit__spacemit__primary	c5_s8_conv_pt_explicit	spacemit	0-3	95bfc33d1954f88b97b5b14d55238e2e234e689863a09ec13f28c58b4eeb8c76	95bfc33d1954f88b97b5b14d55238e2e234e689863a09ec13f28c58b4eeb8c76	1	exact-spacemit-assigned
m1_s8_matmul__spacemit__primary	m1_s8_matmul	spacemit	0-3	655c87db81176bde980778d65169ec47426f17122215e35f1c6e36be7f42bda2	655c87db81176bde980778d65169ec47426f17122215e35f1c6e36be7f42bda2	1	exact-spacemit-assigned
m2_s8_matmul_nonzero_zp__spacemit__primary	m2_s8_matmul_nonzero_zp	spacemit	0-3	655c87db81176bde980778d65169ec47426f17122215e35f1c6e36be7f42bda2	655c87db81176bde980778d65169ec47426f17122215e35f1c6e36be7f42bda2	1	exact-spacemit-assigned
c4_u8_conv_pc_explicit__spacemit__negative-once	c4_u8_conv_pc_explicit	spacemit	0		98de7d805b372f0d06c219cdb46edc6b99c7c99e9283fb6c213bfc1762ef5f2a	0	unsupported-abort
m3_u8_matmul__spacemit__negative-once	m3_u8_matmul	spacemit	0		655c87db81176bde980778d65169ec47426f17122215e35f1c6e36be7f42bda2	0	unsupported-abort
c1_s8_conv_pc_explicit__spacemit__affinity-0	c1_s8_conv_pc_explicit	spacemit	0	98de7d805b372f0d06c219cdb46edc6b99c7c99e9283fb6c213bfc1762ef5f2a	98de7d805b372f0d06c219cdb46edc6b99c7c99e9283fb6c213bfc1762ef5f2a	1	exact-spacemit-assigned
c1_s8_conv_pc_explicit__spacemit__affinity-0_3	c1_s8_conv_pc_explicit	spacemit	0-3	98de7d805b372f0d06c219cdb46edc6b99c7c99e9283fb6c213bfc1762ef5f2a	98de7d805b372f0d06c219cdb46edc6b99c7c99e9283fb6c213bfc1762ef5f2a	1	exact-spacemit-assigned
c1_s8_conv_pc_explicit__spacemit__affinity-4	c1_s8_conv_pc_explicit	spacemit	4	98de7d805b372f0d06c219cdb46edc6b99c7c99e9283fb6c213bfc1762ef5f2a	98de7d805b372f0d06c219cdb46edc6b99c7c99e9283fb6c213bfc1762ef5f2a	1	exact-spacemit-assigned
c1_s8_conv_pc_explicit__spacemit__affinity-4_7	c1_s8_conv_pc_explicit	spacemit	4-7	98de7d805b372f0d06c219cdb46edc6b99c7c99e9283fb6c213bfc1762ef5f2a	98de7d805b372f0d06c219cdb46edc6b99c7c99e9283fb6c213bfc1762ef5f2a	1	exact-spacemit-assigned
c1_s8_conv_pc_explicit__spacemit__affinity-0_7	c1_s8_conv_pc_explicit	spacemit	0-7	98de7d805b372f0d06c219cdb46edc6b99c7c99e9283fb6c213bfc1762ef5f2a	98de7d805b372f0d06c219cdb46edc6b99c7c99e9283fb6c213bfc1762ef5f2a	1	exact-spacemit-assigned
m1_s8_matmul__spacemit__affinity-0	m1_s8_matmul	spacemit	0	655c87db81176bde980778d65169ec47426f17122215e35f1c6e36be7f42bda2	655c87db81176bde980778d65169ec47426f17122215e35f1c6e36be7f42bda2	1	exact-spacemit-assigned
m1_s8_matmul__spacemit__affinity-0_3	m1_s8_matmul	spacemit	0-3	655c87db81176bde980778d65169ec47426f17122215e35f1c6e36be7f42bda2	655c87db81176bde980778d65169ec47426f17122215e35f1c6e36be7f42bda2	1	exact-spacemit-assigned
m1_s8_matmul__spacemit__affinity-4	m1_s8_matmul	spacemit	4	655c87db81176bde980778d65169ec47426f17122215e35f1c6e36be7f42bda2	655c87db81176bde980778d65169ec47426f17122215e35f1c6e36be7f42bda2	1	exact-spacemit-assigned
m1_s8_matmul__spacemit__affinity-4_7	m1_s8_matmul	spacemit	4-7	655c87db81176bde980778d65169ec47426f17122215e35f1c6e36be7f42bda2	655c87db81176bde980778d65169ec47426f17122215e35f1c6e36be7f42bda2	1	exact-spacemit-assigned
m1_s8_matmul__spacemit__affinity-0_7	m1_s8_matmul	spacemit	0-7	655c87db81176bde980778d65169ec47426f17122215e35f1c6e36be7f42bda2	655c87db81176bde980778d65169ec47426f17122215e35f1c6e36be7f42bda2	1	exact-spacemit-assigned
