relative_path	sha256	bytes	ir_version	opsets	inputs	outputs	node_count	initializer_count	initializer_payload_sha256	initializer_dtypes	qdq_count	qlinear_count	vendor_split_tensor_count	status	provenance_status
export_matrix_forensics/ultralytics_8_3_233/base320_opset18/yolo26n.onnx	59e3f9e67207fc95455917308f20644d8ce8517fdbef98ae374ddd10a0c8f273	9757728	8	ai.onnx:18	images:FLOAT:1x3x320x320	output0:FLOAT:1x84x2100	402	204	5f0e5bbfbaeea2f2394ec8e89e5d8634afa84ff6546f687f6c64e749edb2d6c5	FLOAT:204	0	0	0	split-tensor-contract-missing	existing-read-only-project-evidence;external-publication-not-authorized
export_matrix_forensics/ultralytics_8_3_233/base640_opset18/yolo26n.onnx	aaeaf2eb82c9e60c2107ee67d2fa59983d627094dd15720b4d6d6364f9b93bc6	9883732	8	ai.onnx:18	images:FLOAT:1x3x640x640	output0:FLOAT:1x84x8400	402	204	5f0e5bbfbaeea2f2394ec8e89e5d8634afa84ff6546f687f6c64e749edb2d6c5	FLOAT:204	0	0	0	split-tensor-contract-missing	existing-read-only-project-evidence;external-publication-not-authorized
export_matrix_forensics/ultralytics_8_3_233/base640_opset19/yolo26n.onnx	f88d71fbadf9b1d160a4aefa71c1941a9afa4b7755cc937a106664e3f0e81157	9883732	9	ai.onnx:19	images:FLOAT:1x3x640x640	output0:FLOAT:1x84x8400	402	204	5f0e5bbfbaeea2f2394ec8e89e5d8634afa84ff6546f687f6c64e749edb2d6c5	FLOAT:204	0	0	0	split-tensor-contract-missing	existing-read-only-project-evidence;external-publication-not-authorized
export_matrix_forensics/ultralytics_8_3_233/nms_false640/yolo26n.onnx	113a9b675c3bffa4c9349d5295071eeb87d9f53f85dc297122d327b65c8cb026	9883732	8	ai.onnx:18	images:FLOAT:1x3x640x640	output0:FLOAT:1x84x8400	402	204	5f0e5bbfbaeea2f2394ec8e89e5d8634afa84ff6546f687f6c64e749edb2d6c5	FLOAT:204	0	0	0	split-tensor-contract-missing	existing-read-only-project-evidence;external-publication-not-authorized
export_matrix_forensics/ultralytics_8_3_233/nms_true640/yolo26n.onnx	06a99c7d4567c7287183e21e61c12492ef5e3347ba2b23f3cda3ab8742b9bb0c	9914194	8	ai.onnx:18	images:FLOAT:1x3x640x640	output0:FLOAT:1x300x6	548	204	728a29a6cd1f7228bc5adb1158cc3cb8ac9d709c2a0f6dd88dc6aeb571451cb9	FLOAT:204	0	0	0	split-tensor-contract-missing	existing-read-only-project-evidence;external-publication-not-authorized
export_matrix_forensics/ultralytics_8_3_233/simplify_true640/yolo26n.onnx	8c64e9450ff65fc11995e974386775aa56a9ec0a17726e376626d0a5d3341f62	9883731	8	ai.onnx:18	images:FLOAT:1x3x640x640	output0:FLOAT:1x84x8400	402	204	5f0e5bbfbaeea2f2394ec8e89e5d8634afa84ff6546f687f6c64e749edb2d6c5	FLOAT:204	0	0	0	split-tensor-contract-missing	existing-read-only-project-evidence;external-publication-not-authorized
export_matrix_forensics/ultralytics_8_4_0/base320_opset18/yolo26n.onnx	ba2c5521b6f0698a5a8fac7f582b673e793db8c26575d5a2de3ca3787c259b9e	9768677	8	ai.onnx:18	images:FLOAT:1x3x320x320	output0:FLOAT:1x300x6	453	204	a462fc47eb59db6efa4656d5c893c9d39db45954fb6fdd5aeedcfb03565d30da	FLOAT:204	0	0	6	not-fixed-640-input	existing-read-only-project-evidence;external-publication-not-authorized
export_matrix_forensics/ultralytics_8_4_0/base640_opset18/yolo26n.onnx	40872aac541f5a695257a4cdff6895ccb28053e05142322906000e9996fbc109	9894681	8	ai.onnx:18	images:FLOAT:1x3x640x640	output0:FLOAT:1x300x6	453	204	a462fc47eb59db6efa4656d5c893c9d39db45954fb6fdd5aeedcfb03565d30da	FLOAT:204	0	0	6	eligible-fp32-candidate-not-selected	existing-read-only-project-evidence;external-publication-not-authorized
export_matrix_forensics/ultralytics_8_4_0/base640_opset19/yolo26n.onnx	d260ec0a4696b31fce14898e7d63f4e8a8360a7b082aa60300b79225d57d9a60	9894681	9	ai.onnx:19	images:FLOAT:1x3x640x640	output0:FLOAT:1x300x6	453	204	a462fc47eb59db6efa4656d5c893c9d39db45954fb6fdd5aeedcfb03565d30da	FLOAT:204	0	0	6	eligible-fp32-candidate-not-selected	existing-read-only-project-evidence;external-publication-not-authorized
export_matrix_forensics/ultralytics_8_4_0/nms_false640/yolo26n.onnx	e2c3cb69190afae72f62b7bb9c541ce336309a863f800d062df756e9733b88e2	9894681	8	ai.onnx:18	images:FLOAT:1x3x640x640	output0:FLOAT:1x300x6	453	204	a462fc47eb59db6efa4656d5c893c9d39db45954fb6fdd5aeedcfb03565d30da	FLOAT:204	0	0	6	eligible-fp32-candidate-not-selected	existing-read-only-project-evidence;external-publication-not-authorized
