candidate	image_index	image	surface	score_min	score_max	score_mean	positive_score_count	score_over_0_25_count	unique_class_count	collapsed
R211_PROJECT_EXACT_SPLIT_run1	16	000000002149.jpg	candidate-tail-on-fp32-boundaries	0.00017645955085754395	0.6641854047775269	0.014124398119747639	300	5	24	0
R211_PROJECT_EXACT_SPLIT_run1	16	000000002149.jpg	split-s8	0.0002924203872680664	0.6054585576057434	0.013670084066689014	300	5	25	0
R211_PROJECT_EXACT_SPLIT_run1	17	000000002153.jpg	source-fp32	0.00012701749801635742	0.9099692106246948	0.01595328561961651	300	6	13	0
R211_PROJECT_EXACT_SPLIT_run1	17	000000002153.jpg	split-fp32	0.00012701749801635742	0.9099692106246948	0.01595328561961651	300	6	13	0
R211_PROJECT_EXACT_SPLIT_run1	17	000000002153.jpg	candidate-tail-on-fp32-boundaries	0.00012701749801635742	0.9099692106246948	0.01595328561961651	300	6	13	0
R211_PROJECT_EXACT_SPLIT_run1	17	000000002153.jpg	split-s8	0.0001526474952697754	0.6054585576057434	0.011861967854201794	300	5	13	0
R211_PROJECT_EXACT_SPLIT_run1	18	000000002261.jpg	source-fp32	3.999471664428711e-05	0.5759124755859375	0.0036949587520211935	300	2	17	0
R211_PROJECT_EXACT_SPLIT_run1	18	000000002261.jpg	split-fp32	3.999471664428711e-05	0.5759124755859375	0.0036949587520211935	300	2	17	0
R211_PROJECT_EXACT_SPLIT_run1	18	000000002261.jpg	candidate-tail-on-fp32-boundaries	3.999471664428711e-05	0.5759124755859375	0.0036949587520211935	300	2	17	0
R211_PROJECT_EXACT_SPLIT_run1	18	000000002261.jpg	split-s8	5.269050598144531e-05	0.5	0.0059351250529289246	300	3	27	0
R211_PROJECT_EXACT_SPLIT_run1	19	000000002532.jpg	source-fp32	0.0001983940601348877	0.7809064984321594	0.007060742471367121	300	3	13	0
R211_PROJECT_EXACT_SPLIT_run1	19	000000002532.jpg	split-fp32	0.0001983940601348877	0.7809064984321594	0.007060742471367121	300	3	13	0
R211_PROJECT_EXACT_SPLIT_run1	19	000000002532.jpg	candidate-tail-on-fp32-boundaries	0.0001983940601348877	0.7809064984321594	0.007060742471367121	300	3	13	0
R211_PROJECT_EXACT_SPLIT_run1	19	000000002532.jpg	split-s8	0.0001716315746307373	0.6054585576057434	0.004934378899633884	300	2	14	0
R211_PROJECT_EXACT_SPLIT_run1	20	000000002587.jpg	source-fp32	0.00011438131332397461	0.9242622256278992	0.005022317636758089	300	2	60	0
R211_PROJECT_EXACT_SPLIT_run1	20	000000002587.jpg	split-fp32	0.00011438131332397461	0.9242622256278992	0.005022317636758089	300	2	60	0
R211_PROJECT_EXACT_SPLIT_run1	20	000000002587.jpg	candidate-tail-on-fp32-boundaries	0.00011438131332397461	0.9242622256278992	0.005022317636758089	300	2	60	0
R211_PROJECT_EXACT_SPLIT_run1	20	000000002587.jpg	split-s8	0.0004487037658691406	0.6054585576057434	0.006441903300583363	300	2	69	0
R211_PROJECT_EXACT_SPLIT_run1	21	000000002592.jpg	source-fp32	2.1964311599731445e-05	0.9605072736740112	0.007336742710322142	300	2	57	0
R211_PROJECT_EXACT_SPLIT_run1	21	000000002592.jpg	split-fp32	2.1964311599731445e-05	0.9605072736740112	0.007336742710322142	300	2	57	0
R211_PROJECT_EXACT_SPLIT_run1	21	000000002592.jpg	candidate-tail-on-fp32-boundaries	2.1964311599731445e-05	0.9605072736740112	0.007336742710322142	300	2	57	0
R211_PROJECT_EXACT_SPLIT_run1	21	000000002592.jpg	split-s8	3.4362077713012695e-05	0.6054585576057434	0.006138795055449009	300	2	55	0
R211_PROJECT_EXACT_SPLIT_run1	22	000000003156.jpg	source-fp32	0.00038498640060424805	0.9045009613037109	0.0070433951914310455	300	1	29	0
R211_PROJECT_EXACT_SPLIT_run1	22	000000003156.jpg	split-fp32	0.00038498640060424805	0.9045009613037109	0.0070433951914310455	300	1	29	0
R211_PROJECT_EXACT_SPLIT_run1	22	000000003156.jpg	candidate-tail-on-fp32-boundaries	0.00038498640060424805	0.9045009613037109	0.0070433951914310455	300	1	29	0
R211_PROJECT_EXACT_SPLIT_run1	22	000000003156.jpg	split-s8	0.0004487037658691406	0.6054585576057434	0.008336695842444897	300	2	26	0
R211_PROJECT_EXACT_SPLIT_run1	23	000000003255.jpg	source-fp32	8.812546730041504e-05	0.775739312171936	0.011328163556754589	300	4	11	0
R211_PROJECT_EXACT_SPLIT_run1	23	000000003255.jpg	split-fp32	8.812546730041504e-05	0.775739312171936	0.011328163556754589	300	4	11	0
R211_PROJECT_EXACT_SPLIT_run1	23	000000003255.jpg	candidate-tail-on-fp32-boundaries	8.812546730041504e-05	0.775739312171936	0.011328163556754589	300	4	11	0
R211_PROJECT_EXACT_SPLIT_run1	23	000000003255.jpg	split-s8	0.0001074075698852539	0.5	0.009924571961164474	300	4	12	0
R211_PROJECT_EXACT_SPLIT_run1	24	000000003501.jpg	source-fp32	0.00011202692985534668	0.5135862827301025	0.009982611984014511	300	4	17	0
R211_PROJECT_EXACT_SPLIT_run1	24	000000003501.jpg	split-fp32	0.00011202692985534668	0.5135862827301025	0.009982611984014511	300	4	17	0
R211_PROJECT_EXACT_SPLIT_run1	24	000000003501.jpg	candidate-tail-on-fp32-boundaries	0.00011202692985534668	0.5135862827301025	0.009982611984014511	300	4	17	0
R211_PROJECT_EXACT_SPLIT_run1	24	000000003501.jpg	split-s8	0.00024384260177612305	0.5	0.00857605505734682	300	3	17	0
R211_PROJECT_EXACT_SPLIT_run1	25	000000003661.jpg	source-fp32	0.0002696216106414795	0.8074312806129456	0.013322534039616585	300	5	37	0
R211_PROJECT_EXACT_SPLIT_run1	25	000000003661.jpg	split-fp32	0.0002696216106414795	0.8074312806129456	0.013322534039616585	300	5	37	0
R211_PROJECT_EXACT_SPLIT_run1	25	000000003661.jpg	candidate-tail-on-fp32-boundaries	0.0002696216106414795	0.8074312806129456	0.013322534039616585	300	5	37	0
R211_PROJECT_EXACT_SPLIT_run1	25	000000003661.jpg	split-s8	0.0002924203872680664	0.6054585576057434	0.013197463005781174	300	5	54	0
R211_PROJECT_EXACT_SPLIT_run1	26	000000004134.jpg	source-fp32	0.006761491298675537	0.9470182657241821	0.05184714496135712	300	12	19	0
R211_PROJECT_EXACT_SPLIT_run1	26	000000004134.jpg	split-fp32	0.006761491298675537	0.9470182657241821	0.05184714496135712	300	12	19	0
R211_PROJECT_EXACT_SPLIT_run1	26	000000004134.jpg	candidate-tail-on-fp32-boundaries	0.006761491298675537	0.9470182657241821	0.05184714496135712	300	12	19	0
R211_PROJECT_EXACT_SPLIT_run1	26	000000004134.jpg	split-s8	0.005105257034301758	0.6054585576057434	0.038714420050382614	300	12	20	0
R211_PROJECT_EXACT_SPLIT_run1	27	000000004395.jpg	source-fp32	6.073713302612305e-05	0.9518100023269653	0.007009035907685757	300	2	39	0
R211_PROJECT_EXACT_SPLIT_run1	27	000000004395.jpg	split-fp32	6.073713302612305e-05	0.9518100023269653	0.007009035907685757	300	2	39	0
R211_PROJECT_EXACT_SPLIT_run1	27	000000004395.jpg	candidate-tail-on-fp32-boundaries	6.073713302612305e-05	0.9518100023269653	0.007009035907685757	300	2	39	0
R211_PROJECT_EXACT_SPLIT_run1	27	000000004395.jpg	split-s8	8.091330528259277e-05	0.6054585576057434	0.005033684894442558	300	2	34	0
R211_PROJECT_EXACT_SPLIT_run1	28	000000005001.jpg	source-fp32	0.0025718510150909424	0.8148142099380493	0.04556708037853241	300	17	20	0
R211_PROJECT_EXACT_SPLIT_run1	28	000000005001.jpg	split-fp32	0.0025718510150909424	0.8148142099380493	0.04556708037853241	300	17	20	0
R211_PROJECT_EXACT_SPLIT_run1	28	000000005001.jpg	candidate-tail-on-fp32-boundaries	0.0025718510150909424	0.8148142099380493	0.04556708037853241	300	17	20	0
R211_PROJECT_EXACT_SPLIT_run1	28	000000005001.jpg	split-s8	0.0023257434368133545	0.6054585576057434	0.04340621829032898	300	13	23	0
R211_PROJECT_EXACT_SPLIT_run1	29	000000005037.jpg	source-fp32	0.0012404322624206543	0.9569529891014099	0.020483002066612244	300	4	16	0
R211_PROJECT_EXACT_SPLIT_run1	29	000000005037.jpg	split-fp32	0.0012404322624206543	0.9569529891014099	0.020483002066612244	300	4	16	0
R211_PROJECT_EXACT_SPLIT_run1	29	000000005037.jpg	candidate-tail-on-fp32-boundaries	0.0012404322624206543	0.9569529891014099	0.020483002066612244	300	4	16	0
R211_PROJECT_EXACT_SPLIT_run1	29	000000005037.jpg	split-s8	0.00141221284866333	0.6054585576057434	0.0171520859003067	300	3	16	0
R211_PROJECT_EXACT_SPLIT_run1	30	000000005193.jpg	source-fp32	0.00099259614944458	0.915048360824585	0.02800045907497406	300	9	33	0
R211_PROJECT_EXACT_SPLIT_run1	30	000000005193.jpg	split-fp32	0.00099259614944458	0.915048360824585	0.02800045907497406	300	9	33	0
R211_PROJECT_EXACT_SPLIT_run1	30	000000005193.jpg	candidate-tail-on-fp32-boundaries	0.00099259614944458	0.915048360824585	0.02800045907497406	300	9	33	0
R211_PROJECT_EXACT_SPLIT_run1	30	000000005193.jpg	split-s8	0.001269906759262085	0.6054585576057434	0.02374846674501896	300	9	30	0
R211_PROJECT_EXACT_SPLIT_run1	31	000000005477.jpg	source-fp32	0.0001691877841949463	0.9227269887924194	0.005105442833155394	300	1	14	0
R211_PROJECT_EXACT_SPLIT_run1	31	000000005477.jpg	split-fp32	0.0001691877841949463	0.9227269887924194	0.005105442833155394	300	1	14	0
R211_PROJECT_EXACT_SPLIT_run1	31	000000005477.jpg	candidate-tail-on-fp32-boundaries	0.0001691877841949463	0.9227269887924194	0.005105442833155394	300	1	14	0
R211_PROJECT_EXACT_SPLIT_run1	31	000000005477.jpg	split-s8	0.00021693110466003418	0.6054585576057434	0.003950315527617931	300	1	14	0
R211_PROJECT_EXACT_SPLIT_run1	32	000000005586.jpg	source-fp32	0.002647697925567627	0.8805252313613892	0.022075658664107323	300	4	10	0
R211_PROJECT_EXACT_SPLIT_run1	32	000000005586.jpg	split-fp32	0.002647697925567627	0.8805252313613892	0.022075658664107323	300	4	10	0
R211_PROJECT_EXACT_SPLIT_run1	32	000000005586.jpg	candidate-tail-on-fp32-boundaries	0.002647697925567627	0.8805252313613892	0.022075658664107323	300	4	10	0
R211_PROJECT_EXACT_SPLIT_run1	32	000000005586.jpg	split-s8	0.0022546350955963135	0.6054585576057434	0.015448007732629776	300	4	11	0
R211_PROJECT_EXACT_SPLIT_run1	33	000000005992.jpg	source-fp32	0.0001634061336517334	0.9295677542686462	0.01608772948384285	300	5	36	0
R211_PROJECT_EXACT_SPLIT_run1	33	000000005992.jpg	split-fp32	0.0001634061336517334	0.9295677542686462	0.01608772948384285	300	5	36	0
R211_PROJECT_EXACT_SPLIT_run1	33	000000005992.jpg	candidate-tail-on-fp32-boundaries	0.0001634061336517334	0.9295677542686462	0.01608772948384285	300	5	36	0
R211_PROJECT_EXACT_SPLIT_run1	33	000000005992.jpg	split-s8	0.00020635128021240234	0.6054585576057434	0.012546597979962826	300	6	33	0
R211_PROJECT_EXACT_SPLIT_run1	34	000000006012.jpg	source-fp32	2.682209014892578e-05	0.5127950310707092	0.006472592242062092	300	3	38	0
R211_PROJECT_EXACT_SPLIT_run1	34	000000006012.jpg	split-fp32	2.682209014892578e-05	0.5127950310707092	0.006472592242062092	300	3	38	0
R211_PROJECT_EXACT_SPLIT_run1	34	000000006012.jpg	candidate-tail-on-fp32-boundaries	2.682209014892578e-05	0.5127950310707092	0.006472592242062092	300	3	38	0
R211_PROJECT_EXACT_SPLIT_run1	34	000000006012.jpg	split-s8	5.269050598144531e-05	0.5	0.008199202828109264	300	4	44	0
R211_PROJECT_EXACT_SPLIT_run1	35	000000006040.jpg	source-fp32	0.0006107091903686523	0.9436836242675781	0.014419962652027607	300	3	17	0
R211_PROJECT_EXACT_SPLIT_run1	35	000000006040.jpg	split-fp32	0.0006107091903686523	0.9436836242675781	0.014419962652027607	300	3	17	0
R211_PROJECT_EXACT_SPLIT_run1	35	000000006040.jpg	candidate-tail-on-fp32-boundaries	0.0006107091903686523	0.9436836242675781	0.014419962652027607	300	3	17	0
R211_PROJECT_EXACT_SPLIT_run1	35	000000006040.jpg	split-s8	0.0005535483360290527	0.6054585576057434	0.01018347404897213	300	2	18	0
R211_PROJECT_EXACT_SPLIT_run1	36	000000006614.jpg	source-fp32	0.0004718005657196045	0.4494367837905884	0.009210258722305298	300	1	14	0
R211_PROJECT_EXACT_SPLIT_run1	36	000000006614.jpg	split-fp32	0.0004718005657196045	0.4494367837905884	0.009210258722305298	300	1	14	0
R211_PROJECT_EXACT_SPLIT_run1	36	000000006614.jpg	candidate-tail-on-fp32-boundaries	0.0004718005657196045	0.4494367837905884	0.009210258722305298	300	1	14	0
R211_PROJECT_EXACT_SPLIT_run1	36	000000006614.jpg	split-s8	0.0004487037658691406	0.6054585576057434	0.011199905537068844	300	2	19	0
R211_PROJECT_EXACT_SPLIT_run1	37	000000006818.jpg	source-fp32	0.00011271238327026367	0.5162665843963623	0.002789295045658946	300	1	31	0
R211_PROJECT_EXACT_SPLIT_run1	37	000000006818.jpg	split-fp32	0.00011271238327026367	0.5162665843963623	0.002789295045658946	300	1	31	0
R211_PROJECT_EXACT_SPLIT_run1	37	000000006818.jpg	candidate-tail-on-fp32-boundaries	0.00011271238327026367	0.5162665843963623	0.002789295045658946	300	1	31	0
R211_PROJECT_EXACT_SPLIT_run1	37	000000006818.jpg	split-s8	0.0001125633716583252	0.22929787635803223	0.0019244514405727386	300	0	31	0
R211_PROJECT_EXACT_SPLIT_run1	38	000000007108.jpg	source-fp32	4.1365623474121094e-05	0.9523028135299683	0.0127598587423563	300	4	30	0
R211_PROJECT_EXACT_SPLIT_run1	38	000000007108.jpg	split-fp32	4.1365623474121094e-05	0.9523028135299683	0.0127598587423563	300	4	30	0
R211_PROJECT_EXACT_SPLIT_run1	38	000000007108.jpg	candidate-tail-on-fp32-boundaries	4.1365623474121094e-05	0.9523028135299683	0.0127598587423563	300	4	30	0
R211_PROJECT_EXACT_SPLIT_run1	38	000000007108.jpg	split-s8	6.142258644104004e-05	0.6054585576057434	0.00949271023273468	300	4	24	0
R211_PROJECT_EXACT_SPLIT_run1	39	000000007278.jpg	source-fp32	6.747245788574219e-05	0.9111942052841187	0.004970005713403225	300	2	19	0
R211_PROJECT_EXACT_SPLIT_run1	39	000000007278.jpg	split-fp32	6.747245788574219e-05	0.9111942052841187	0.004970005713403225	300	2	19	0
R211_PROJECT_EXACT_SPLIT_run1	39	000000007278.jpg	candidate-tail-on-fp32-boundaries	6.747245788574219e-05	0.9111942052841187	0.004970005713403225	300	2	19	0
R211_PROJECT_EXACT_SPLIT_run1	39	000000007278.jpg	split-s8	8.091330528259277e-05	0.5	0.002760150469839573	300	1	17	0
