surface	metric	profiling	samples	mean_us	stddev_us	cv_pct	median_us	p95_us	p99_us	p999_us	min_us	max_us	unique_output_hashes	output_hashes
R211_PROJECT_EXACT_SPLIT_run1/performance/wrapper-profile-optin-spacemit	inference	enabled	10	106381.823200	779.818677	0.733038	106301.498500	107538.624850	107935.916170	108025.306717	105066.029000	108035.239000	1	0x198e555969cee70e
R211_PROJECT_EXACT_SPLIT_run1/performance/wrapper-profile-optin-spacemit	tail	enabled	10	14606.824700	72.674166	0.497536	14604.616000	14725.013400	14766.085080	14775.326208	14516.134000	14776.353000	1	0x198e555969cee70e
R211_PROJECT_EXACT_SPLIT_run1/performance/wrapper-profile-optin-spacemit	two_stage_total	enabled	10	120988.647900	805.954346	0.666140	120860.404500	122228.211500	122568.710300	122645.322530	119602.370000	122653.835000	1	0x198e555969cee70e
R211_VENDOR_LITERAL_SPLIT_run1b/bus-cpu	inference	enabled	1	3231698.498000	0.000000	0.000000	3231698.498000	3231698.498000	3231698.498000	3231698.498000	3231698.498000	3231698.498000	1	NA
R211_VENDOR_LITERAL_SPLIT_run1b/bus-cpu	tail	enabled	1	18923.937000	0.000000	0.000000	18923.937000	18923.937000	18923.937000	18923.937000	18923.937000	18923.937000	1	NA
R211_VENDOR_LITERAL_SPLIT_run1b/bus-cpu	two_stage_total	enabled	1	3250622.435000	0.000000	0.000000	3250622.435000	3250622.435000	3250622.435000	3250622.435000	3250622.435000	3250622.435000	1	NA
R211_VENDOR_LITERAL_SPLIT_run1b/bus-spacemit	inference	enabled	1	108156.807000	0.000000	0.000000	108156.807000	108156.807000	108156.807000	108156.807000	108156.807000	108156.807000	1	NA
R211_VENDOR_LITERAL_SPLIT_run1b/bus-spacemit	tail	enabled	1	18458.028000	0.000000	0.000000	18458.028000	18458.028000	18458.028000	18458.028000	18458.028000	18458.028000	1	NA
R211_VENDOR_LITERAL_SPLIT_run1b/bus-spacemit	two_stage_total	enabled	1	126614.835000	0.000000	0.000000	126614.835000	126614.835000	126614.835000	126614.835000	126614.835000	126614.835000	1	NA
R211_VENDOR_LITERAL_SPLIT_run1b/cpu-session-smoke	inference	enabled	1	3244447.210000	0.000000	0.000000	3244447.210000	3244447.210000	3244447.210000	3244447.210000	3244447.210000	3244447.210000	1	NA
R211_VENDOR_LITERAL_SPLIT_run1b/cpu-session-smoke	tail	enabled	1	18642.454000	0.000000	0.000000	18642.454000	18642.454000	18642.454000	18642.454000	18642.454000	18642.454000	1	NA
R211_VENDOR_LITERAL_SPLIT_run1b/cpu-session-smoke	two_stage_total	enabled	1	3263089.664000	0.000000	0.000000	3263089.664000	3263089.664000	3263089.664000	3263089.664000	3263089.664000	3263089.664000	1	NA
R211_VENDOR_LITERAL_SPLIT_run1b/spacemit-session-smoke	inference	enabled	1	107519.467000	0.000000	0.000000	107519.467000	107519.467000	107519.467000	107519.467000	107519.467000	107519.467000	1	NA
R211_VENDOR_LITERAL_SPLIT_run1b/spacemit-session-smoke	tail	enabled	1	18080.043000	0.000000	0.000000	18080.043000	18080.043000	18080.043000	18080.043000	18080.043000	18080.043000	1	NA
R211_VENDOR_LITERAL_SPLIT_run1b/spacemit-session-smoke	two_stage_total	enabled	1	125599.510000	0.000000	0.000000	125599.510000	125599.510000	125599.510000	125599.510000	125599.510000	125599.510000	1	NA
R211_VENDOR_LITERAL_SPLIT_run1b/spacemit-soak10000	inference	disabled	10000	107547.423059	1777.101780	1.652389	107052.688500	110995.977050	116339.981470	120436.429038	105829.471000	128918.943000	1	0x8cacaa525eda05d
R211_VENDOR_LITERAL_SPLIT_run1b/spacemit-soak10000	tail	disabled	10000	15019.390097	343.941290	2.289982	14944.711500	15428.837800	16850.348830	17543.301636	14662.321000	21321.492000	1	0x8cacaa525eda05d
