candidate	model	index	node_name	op_type	classification	axis	scale_name	scale_shape	scale_min	scale_max
R211_PROJECT_EXACT_SPLIT_run1	r211_project_exact_split	713	PPQ_Operation_1163	DequantizeLinear	activation	NA	PPQ_Variable_2005	scalar	0.0378098227083683	0.0378098227083683
R211_PROJECT_EXACT_SPLIT_run1	r211_project_exact_split	715	PPQ_Operation_1164	QuantizeLinear	activation	NA	PPQ_Variable_2008	scalar	0.0037943224888294935	0.0037943224888294935
R211_PROJECT_EXACT_SPLIT_run1	r211_project_exact_split	716	PPQ_Operation_1165	DequantizeLinear	activation	NA	PPQ_Variable_2011	scalar	0.0037943224888294935	0.0037943224888294935
R211_PROJECT_EXACT_SPLIT_run1	r211_project_exact_split	718	PPQ_Operation_1166	QuantizeLinear	activation	NA	PPQ_Variable_2014	scalar	0.014750865288078785	0.014750865288078785
R211_PROJECT_EXACT_SPLIT_run1	r211_project_exact_split	719	PPQ_Operation_1167	DequantizeLinear	activation	NA	PPQ_Variable_2017	scalar	0.014750865288078785	0.014750865288078785
R211_PROJECT_EXACT_SPLIT_run1	r211_project_exact_split	721	PPQ_Operation_1169	QuantizeLinear	activation	NA	PPQ_Variable_2023	scalar	0.09854857623577118	0.09854857623577118
R211_PROJECT_EXACT_SPLIT_run1	r211_project_exact_split	722	PPQ_Operation_1170	DequantizeLinear	activation	NA	PPQ_Variable_2026	scalar	0.09854857623577118	0.09854857623577118
R211_PROJECT_EXACT_SPLIT_run1	r211_project_exact_split	724	PPQ_Operation_1171	QuantizeLinear	activation	NA	PPQ_Variable_2029	scalar	0.003921568859368563	0.003921568859368563
R211_PROJECT_EXACT_SPLIT_run1	r211_project_exact_split	725	PPQ_Operation_1172	DequantizeLinear	activation	NA	PPQ_Variable_2032	scalar	0.003921568859368563	0.003921568859368563
R211_PROJECT_EXACT_SPLIT_run1	r211_project_exact_split	727	PPQ_Operation_1173	QuantizeLinear	activation	NA	PPQ_Variable_2035	scalar	0.05392582342028618	0.05392582342028618
R211_PROJECT_EXACT_SPLIT_run1	r211_project_exact_split	728	PPQ_Operation_1174	DequantizeLinear	activation	NA	PPQ_Variable_2038	scalar	0.05392582342028618	0.05392582342028618
R211_PROJECT_EXACT_SPLIT_run1	r211_project_exact_split	730	PPQ_Operation_1175	QuantizeLinear	activation	NA	PPQ_Variable_2041	scalar	0.061761438846588135	0.061761438846588135
R211_PROJECT_EXACT_SPLIT_run1	r211_project_exact_split	731	PPQ_Operation_1176	DequantizeLinear	activation	NA	PPQ_Variable_2044	scalar	0.061761438846588135	0.061761438846588135
R211_PROJECT_EXACT_SPLIT_run1	r211_project_exact_split	733	PPQ_Operation_1177	QuantizeLinear	activation	NA	PPQ_Variable_2047	scalar	0.057438138872385025	0.057438138872385025
R211_PROJECT_EXACT_SPLIT_run1	r211_project_exact_split	734	PPQ_Operation_1178	DequantizeLinear	activation	NA	PPQ_Variable_2050	scalar	0.057438138872385025	0.057438138872385025
R211_PROJECT_EXACT_SPLIT_run1	r211_project_exact_split	736	PPQ_Operation_1180	QuantizeLinear	activation	NA	PPQ_Variable_2056	scalar	0.07676629722118378	0.07676629722118378
R211_PROJECT_EXACT_SPLIT_run1	r211_project_exact_split	737	PPQ_Operation_1181	DequantizeLinear	activation	NA	PPQ_Variable_2059	scalar	0.07676629722118378	0.07676629722118378
R211_PROJECT_EXACT_SPLIT_run1	r211_project_exact_split	739	PPQ_Operation_1182	QuantizeLinear	activation	NA	PPQ_Variable_2062	scalar	0.003921561874449253	0.003921561874449253
R211_PROJECT_EXACT_SPLIT_run1	r211_project_exact_split	740	PPQ_Operation_1183	DequantizeLinear	activation	NA	PPQ_Variable_2065	scalar	0.003921561874449253	0.003921561874449253
R211_PROJECT_EXACT_SPLIT_run1	r211_project_exact_split	742	PPQ_Operation_1184	QuantizeLinear	activation	NA	PPQ_Variable_2068	scalar	0.03618738427758217	0.03618738427758217
R211_PROJECT_EXACT_SPLIT_run1	r211_project_exact_split	743	PPQ_Operation_1185	DequantizeLinear	activation	NA	PPQ_Variable_2071	scalar	0.03618738427758217	0.03618738427758217
R211_PROJECT_EXACT_SPLIT_run1	r211_project_exact_split	745	PPQ_Operation_1186	QuantizeLinear	activation	NA	PPQ_Variable_2074	scalar	0.033275753259658813	0.033275753259658813
R211_PROJECT_EXACT_SPLIT_run1	r211_project_exact_split	746	PPQ_Operation_1187	DequantizeLinear	activation	NA	PPQ_Variable_2077	scalar	0.033275753259658813	0.033275753259658813
R211_PROJECT_EXACT_SPLIT_run1	r211_project_exact_split	748	PPQ_Operation_1189	QuantizeLinear	activation	NA	PPQ_Variable_2083	scalar	0.1472877860069275	0.1472877860069275
R211_PROJECT_EXACT_SPLIT_run1	r211_project_exact_split	749	PPQ_Operation_1190	DequantizeLinear	activation	NA	PPQ_Variable_2086	scalar	0.1472877860069275	0.1472877860069275
R211_PROJECT_EXACT_SPLIT_run1	r211_project_exact_split	751	PPQ_Operation_1191	QuantizeLinear	activation	NA	PPQ_Variable_2089	scalar	0.0038707517087459564	0.0038707517087459564
R211_PROJECT_EXACT_SPLIT_run1	r211_project_exact_split	752	PPQ_Operation_1192	DequantizeLinear	activation	NA	PPQ_Variable_2092	scalar	0.0038707517087459564	0.0038707517087459564
R211_PROJECT_EXACT_SPLIT_run1	r211_project_exact_split	754	PPQ_Operation_1193	QuantizeLinear	activation	NA	PPQ_Variable_2095	scalar	0.01940532587468624	0.01940532587468624
R211_PROJECT_EXACT_SPLIT_run1	r211_project_exact_split	755	PPQ_Operation_1194	DequantizeLinear	activation	NA	PPQ_Variable_2098	scalar	0.01940532587468624	0.01940532587468624
R211_PROJECT_EXACT_SPLIT_run1	r211_project_exact_split	759	PPQ_Operation_1196	QuantizeLinear	activation	NA	PPQ_Variable_2104	scalar	0.041243258863687515	0.041243258863687515
R211_PROJECT_EXACT_SPLIT_run1	r211_project_exact_split	760	PPQ_Operation_1199	QuantizeLinear	activation	NA	PPQ_Variable_2113	scalar	0.15144473314285278	0.15144473314285278
R211_PROJECT_EXACT_SPLIT_run1	r211_project_exact_split	761	PPQ_Operation_1202	QuantizeLinear	activation	NA	PPQ_Variable_2122	scalar	0.06003545969724655	0.06003545969724655
R211_PROJECT_EXACT_SPLIT_run1	r211_project_exact_split	762	PPQ_Operation_1197	DequantizeLinear	activation	NA	PPQ_Variable_2107	scalar	0.041243258863687515	0.041243258863687515
R211_PROJECT_EXACT_SPLIT_run1	r211_project_exact_split	763	PPQ_Operation_1200	DequantizeLinear	activation	NA	PPQ_Variable_2116	scalar	0.15144473314285278	0.15144473314285278
R211_PROJECT_EXACT_SPLIT_run1	r211_project_exact_split	764	PPQ_Operation_1203	DequantizeLinear	activation	NA	PPQ_Variable_2125	scalar	0.06003545969724655	0.06003545969724655
R211_PROJECT_EXACT_SPLIT_run1	r211_project_exact_split	768	PPQ_Operation_1204	QuantizeLinear	activation	NA	PPQ_Variable_2128	scalar	0.003836283925920725	0.003836283925920725
R211_PROJECT_EXACT_SPLIT_run1	r211_project_exact_split	769	PPQ_Operation_1206	QuantizeLinear	activation	NA	PPQ_Variable_2134	scalar	0.003921553958207369	0.003921553958207369
R211_PROJECT_EXACT_SPLIT_run1	r211_project_exact_split	770	PPQ_Operation_1208	QuantizeLinear	activation	NA	PPQ_Variable_2140	scalar	0.003920756746083498	0.003920756746083498
R211_PROJECT_EXACT_SPLIT_run1	r211_project_exact_split	771	PPQ_Operation_1205	DequantizeLinear	activation	NA	PPQ_Variable_2131	scalar	0.003836283925920725	0.003836283925920725
R211_PROJECT_EXACT_SPLIT_run1	r211_project_exact_split	772	PPQ_Operation_1207	DequantizeLinear	activation	NA	PPQ_Variable_2137	scalar	0.003921553958207369	0.003921553958207369
R211_PROJECT_EXACT_SPLIT_run1	r211_project_exact_split	773	PPQ_Operation_1209	DequantizeLinear	activation	NA	PPQ_Variable_2143	scalar	0.003920756746083498	0.003920756746083498
R211_PROJECT_EXACT_SPLIT_run1	r211_project_exact_split	777	PPQ_Operation_1210	QuantizeLinear	activation	NA	PPQ_Variable_2146	scalar	0.017464440315961838	0.017464440315961838
R211_PROJECT_EXACT_SPLIT_run1	r211_project_exact_split	778	PPQ_Operation_1212	QuantizeLinear	activation	NA	PPQ_Variable_2152	scalar	0.05897292494773865	0.05897292494773865
R211_PROJECT_EXACT_SPLIT_run1	r211_project_exact_split	779	PPQ_Operation_1214	QuantizeLinear	activation	NA	PPQ_Variable_2158	scalar	0.0444926954805851	0.0444926954805851
R211_PROJECT_EXACT_SPLIT_run1	r211_project_exact_split	780	PPQ_Operation_1211	DequantizeLinear	activation	NA	PPQ_Variable_2149	scalar	0.017464440315961838	0.017464440315961838
R211_PROJECT_EXACT_SPLIT_run1	r211_project_exact_split	781	PPQ_Operation_1213	DequantizeLinear	activation	NA	PPQ_Variable_2155	scalar	0.05897292494773865	0.05897292494773865
R211_PROJECT_EXACT_SPLIT_run1	r211_project_exact_split	782	PPQ_Operation_1215	DequantizeLinear	activation	NA	PPQ_Variable_2161	scalar	0.0444926954805851	0.0444926954805851
R211_PROJECT_EXACT_SPLIT_run1	r211_project_exact_split	786	PPQ_Operation_1216	QuantizeLinear	activation	NA	PPQ_Variable_2164	scalar	0.01760527305305004	0.01760527305305004
R211_PROJECT_EXACT_SPLIT_run1	r211_project_exact_split	787	PPQ_Operation_1219	QuantizeLinear	activation	NA	PPQ_Variable_2173	scalar	0.053049225360155106	0.053049225360155106
R211_PROJECT_EXACT_SPLIT_run1	r211_project_exact_split	788	PPQ_Operation_1222	QuantizeLinear	activation	NA	PPQ_Variable_2182	scalar	0.0581766776740551	0.0581766776740551
R211_PROJECT_EXACT_SPLIT_run1	r211_project_exact_split	789	PPQ_Operation_1217	DequantizeLinear	activation	NA	PPQ_Variable_2167	scalar	0.01760527305305004	0.01760527305305004
R211_PROJECT_EXACT_SPLIT_run1	r211_project_exact_split	790	PPQ_Operation_1220	DequantizeLinear	activation	NA	PPQ_Variable_2176	scalar	0.053049225360155106	0.053049225360155106
R211_PROJECT_EXACT_SPLIT_run1	r211_project_exact_split	791	PPQ_Operation_1223	DequantizeLinear	activation	NA	PPQ_Variable_2185	scalar	0.0581766776740551	0.0581766776740551
R211_PROJECT_EXACT_SPLIT_run1	r211_project_exact_split	795	PPQ_Operation_1225	QuantizeLinear	activation	NA	PPQ_Variable_2191	scalar	0.05414101108908653	0.05414101108908653
R211_PROJECT_EXACT_SPLIT_run1	r211_project_exact_split	796	PPQ_Operation_1227	QuantizeLinear	activation	NA	PPQ_Variable_2197	scalar	0.003804013831540942	0.003804013831540942
R211_PROJECT_EXACT_SPLIT_run1	r211_project_exact_split	797	PPQ_Operation_1229	QuantizeLinear	activation	NA	PPQ_Variable_2203	scalar	0.0038897539488971233	0.0038897539488971233
R211_PROJECT_EXACT_SPLIT_run1	r211_project_exact_split	798	PPQ_Operation_1226	DequantizeLinear	activation	NA	PPQ_Variable_2194	scalar	0.05414101108908653	0.05414101108908653
R211_PROJECT_EXACT_SPLIT_run1	r211_project_exact_split	799	PPQ_Operation_1228	DequantizeLinear	activation	NA	PPQ_Variable_2200	scalar	0.003804013831540942	0.003804013831540942
R211_PROJECT_EXACT_SPLIT_run1	r211_project_exact_split	800	PPQ_Operation_1230	DequantizeLinear	activation	NA	PPQ_Variable_2206	scalar	0.0038897539488971233	0.0038897539488971233
R211_PROJECT_EXACT_SPLIT_run1	r211_project_exact_split	804	PPQ_Operation_1231	QuantizeLinear	activation	NA	PPQ_Variable_2209	scalar	0.0038951588794589043	0.0038951588794589043
R211_PROJECT_EXACT_SPLIT_run1	r211_project_exact_split	805	PPQ_Operation_1233	QuantizeLinear	activation	NA	PPQ_Variable_2215	scalar	0.016225462779402733	0.016225462779402733
R211_PROJECT_EXACT_SPLIT_run1	r211_project_exact_split	806	PPQ_Operation_1235	QuantizeLinear	activation	NA	PPQ_Variable_2221	scalar	0.026102712377905846	0.026102712377905846
R211_PROJECT_EXACT_SPLIT_run1	r211_project_exact_split	807	PPQ_Operation_1232	DequantizeLinear	activation	NA	PPQ_Variable_2212	scalar	0.0038951588794589043	0.0038951588794589043
R211_PROJECT_EXACT_SPLIT_run1	r211_project_exact_split	808	PPQ_Operation_1234	DequantizeLinear	activation	NA	PPQ_Variable_2218	scalar	0.016225462779402733	0.016225462779402733
R211_PROJECT_EXACT_SPLIT_run1	r211_project_exact_split	809	PPQ_Operation_1236	DequantizeLinear	activation	NA	PPQ_Variable_2224	scalar	0.026102712377905846	0.026102712377905846
R211_PROJECT_EXACT_SPLIT_run1	r211_project_exact_split	813	PPQ_Operation_1237	QuantizeLinear	activation	NA	PPQ_Variable_2227	scalar	0.023742370307445526	0.023742370307445526
R211_PROJECT_EXACT_SPLIT_run1	r211_project_exact_split	814	PPQ_Operation_1240	QuantizeLinear	activation	NA	PPQ_Variable_2236	scalar	0.03299403190612793	0.03299403190612793
R211_PROJECT_EXACT_SPLIT_run1	r211_project_exact_split	815	PPQ_Operation_1243	QuantizeLinear	activation	NA	PPQ_Variable_2245	scalar	0.15295156836509705	0.15295156836509705
R211_PROJECT_EXACT_SPLIT_run1	r211_project_exact_split	816	PPQ_Operation_1238	DequantizeLinear	activation	NA	PPQ_Variable_2230	scalar	0.023742370307445526	0.023742370307445526
R211_PROJECT_EXACT_SPLIT_run1	r211_project_exact_split	817	PPQ_Operation_1241	DequantizeLinear	activation	NA	PPQ_Variable_2239	scalar	0.03299403190612793	0.03299403190612793
R211_PROJECT_EXACT_SPLIT_run1	r211_project_exact_split	818	PPQ_Operation_1244	DequantizeLinear	activation	NA	PPQ_Variable_2248	scalar	0.15295156836509705	0.15295156836509705
R211_PROJECT_EXACT_SPLIT_run1	r211_project_exact_split	821	PPQ_Operation_1245	QuantizeLinear	activation	NA	PPQ_Variable_2251	scalar	0.023742370307445526	0.023742370307445526
R211_PROJECT_EXACT_SPLIT_run1	r211_project_exact_split	822	PPQ_Operation_1247	QuantizeLinear	activation	NA	PPQ_Variable_2257	scalar	0.023742370307445526	0.023742370307445526
R211_PROJECT_EXACT_SPLIT_run1	r211_project_exact_split	823	PPQ_Operation_1249	QuantizeLinear	activation	NA	PPQ_Variable_2263	scalar	0.003908134996891022	0.003908134996891022
