candidate	model	index	node_name	op_type	classification	zero_point_name	zero_point_dtype	zero_point_shape	zero_point_min	zero_point_max	zero_point_unique_count	zero_point_values
R211_PROJECT_EXACT_SPLIT_run1	r211_project_exact_split	54	PPQ_Operation_1145	DequantizeLinear	weight	PPQ_Variable_1952	int8	16	0	0	1	0
R211_PROJECT_EXACT_SPLIT_run1	r211_project_exact_split	55	PPQ_Operation_1152	DequantizeLinear	weight	PPQ_Variable_1973	int8	16	0	0	1	0
R211_PROJECT_EXACT_SPLIT_run1	r211_project_exact_split	56	PPQ_Operation_1161	DequantizeLinear	weight	PPQ_Variable_2000	int8	16	0	0	1	0
R211_PROJECT_EXACT_SPLIT_run1	r211_project_exact_split	57	PPQ_Operation_1168	DequantizeLinear	weight	PPQ_Variable_2021	int8	16	0	0	1	0
R211_PROJECT_EXACT_SPLIT_run1	r211_project_exact_split	58	PPQ_Operation_1179	DequantizeLinear	weight	PPQ_Variable_2054	int8	32	0	0	1	0
R211_PROJECT_EXACT_SPLIT_run1	r211_project_exact_split	59	PPQ_Operation_1188	DequantizeLinear	weight	PPQ_Variable_2081	int8	64	0	0	1	0
R211_PROJECT_EXACT_SPLIT_run1	r211_project_exact_split	60	PPQ_Operation_1195	DequantizeLinear	weight	PPQ_Variable_2102	int8	64	0	0	1	0
R211_PROJECT_EXACT_SPLIT_run1	r211_project_exact_split	61	PPQ_Operation_1198	DequantizeLinear	weight	PPQ_Variable_2111	int8	16	0	0	1	0
R211_PROJECT_EXACT_SPLIT_run1	r211_project_exact_split	62	PPQ_Operation_1201	DequantizeLinear	weight	PPQ_Variable_2120	int8	64	0	0	1	0
R211_PROJECT_EXACT_SPLIT_run1	r211_project_exact_split	63	PPQ_Operation_1218	DequantizeLinear	weight	PPQ_Variable_2171	int8	16	0	0	1	0
R211_PROJECT_EXACT_SPLIT_run1	r211_project_exact_split	64	PPQ_Operation_1221	DequantizeLinear	weight	PPQ_Variable_2180	int8	80	0	0	1	0
R211_PROJECT_EXACT_SPLIT_run1	r211_project_exact_split	65	PPQ_Operation_1224	DequantizeLinear	weight	PPQ_Variable_2189	int8	128	0	0	1	0
R211_PROJECT_EXACT_SPLIT_run1	r211_project_exact_split	66	PPQ_Operation_1239	DequantizeLinear	weight	PPQ_Variable_2234	int8	4	0	0	1	0
