source	surface	tensor	shape	dtype	sha256	nonfinite_count	minimum	maximum	mean	stddev	score_ge_0_25
R211_VENDOR_LITERAL_SPLIT_run1b_zidane_results	cpu	boundary-3	1x80x40x40	float32	183a993094b18ba3c74ee12d77c211bff31a5260592dac35976b10f0b84c1e38	0	-54.9484177	-1.1329571	-19.6748238	3.40483737	NA
R211_VENDOR_LITERAL_SPLIT_run1b_zidane_results	cpu	boundary-4	1x4x20x20	float32	5ee5a9b68d064aa70b83ba220049c85894a82ac10971de89b81dc3d06a5c54a2	0	0.209869757	12.7320986	4.3316679	2.60360289	NA
R211_VENDOR_LITERAL_SPLIT_run1b_zidane_results	cpu	boundary-5	1x80x20x20	float32	c767a03d088b6d1415db718dc6c6b9e96716520cf285471224c104dec6e0c241	0	-82.0227814	0	-17.905508	4.11675453	NA
R211_VENDOR_LITERAL_SPLIT_run1b_zidane_results	spacemit	output0	1x300x6	float32	69bfd64a00e1ea96d4b2cb873f7ab54d54442edad399dfe077088b8a14102147	0	-0.904993057	640.286377	258.091278	199.419189	3
R211_VENDOR_LITERAL_SPLIT_run1b_zidane_results	spacemit	boundary-0	1x4x80x80	float32	3dc045599f06cf447e9ac88f040136af67b5647dbcb9e8401f1a56a5e7a4a1f9	0	-0.334332615	7.05441856	2.51906943	1.13880694	NA
R211_VENDOR_LITERAL_SPLIT_run1b_zidane_results	spacemit	boundary-1	1x80x80x80	float32	9cc6cb6fc1782490569cf9c87a34089042b402db92deb37ae3eebf36e2689e3c	0	-28.5895195	-1.96322882	-19.6144829	2.07945442	NA
R211_VENDOR_LITERAL_SPLIT_run1b_zidane_results	spacemit	boundary-2	1x4x40x40	float32	4cb3b05f6e34d934e147de498a2d98578b75169be193c2396f639640f6fba96d	0	0.151789665	11.3842249	3.34999776	1.56970429	NA
R211_VENDOR_LITERAL_SPLIT_run1b_zidane_results	spacemit	boundary-3	1x80x40x40	float32	e8813a40c3003b77bc5e7774e1dcd70969eac811dde8425bbacd8878443e0166	0	-59.4802475	-0.56647855	-19.6337585	3.47740841	NA
R211_VENDOR_LITERAL_SPLIT_run1b_zidane_results	spacemit	boundary-4	1x4x20x20	float32	06588f9701aa8284c26edc07799f5356e06bbefd6a12669138bb47e721d6d059	0	0.209869757	12.8720121	4.33529711	2.60247827	NA
R211_VENDOR_LITERAL_SPLIT_run1b_zidane_results	spacemit	boundary-5	1x80x20x20	float32	d51c3072bad42cae624f0b2512122004b0b881332e5c75fabd23308dbacce545	0	-83.4788055	0	-17.9435596	4.00613689	NA
bus_r640_nchw_f32_results	cpu	output0	1x300x6	float32	aa478c51923dd12eac04b16f0c5058fad85d626e136375cbbbb3e5a0a5eb1647	0	-0.500255585	561.483948	188.095749	169.954041	5
bus_r640_nchw_f32_results	cpu	boundary-0	1x4x80x80	float32	1ecf8328cff796367a15c1964cd782b4eebc6784eb6809866af8b57146f6e53c	0	-0.725868702	7.02772903	1.9968245	1.14632726	NA
bus_r640_nchw_f32_results	cpu	boundary-1	1x80x80x80	float32	cee10fadf796c3f91c0cfc1451e1d3bf0639ed65fc23db2c4d4333db5d04c6f0	0	-27.8850002	-2.34327745	-18.5921612	2.30064249	NA
bus_r640_nchw_f32_results	cpu	boundary-2	1x4x40x40	float32	7322d32bc6bb202bc8bc5199218b4e7248f17bcab449cf17c68be8658f65ac3e	0	0.148187026	10.7682571	3.04492712	1.78329301	NA
bus_r640_nchw_f32_results	cpu	boundary-3	1x80x40x40	float32	da8d5a713d0e7231d98e57c16864fb7e4a9c71df73cd3c7e1a8d10f7a566bc70	0	-61.2201462	-0.606140077	-19.0604782	3.64055538	NA
bus_r640_nchw_f32_results	cpu	boundary-4	1x4x20x20	float32	08c0052046a86a21379f530727478f943e719a0b8af2088d204571558b1b6dd8	0	-0.0668463036	12.5002584	3.93941975	2.46663904	NA
bus_r640_nchw_f32_results	cpu	boundary-5	1x80x20x20	float32	87148a20d379b8a3679fafc6416d99926a8c6eb1fcbb1472325f4206912f0abd	0	-80.0849838	0.428261966	-17.7562218	5.49048185	NA
bus_r640_nchw_f32_results	spacemit	output0	1x300x6	float32	d316d7717a7a707130312522d8dd9a5f93f6a5944deb6500ac5965f53b05c9fe	0	-1.0972023	561.483948	186.802292	168.513657	5
bus_r640_nchw_f32_results	spacemit	boundary-0	1x4x80x80	float32	8cdc25c86dfa0b281cb511a83308a1ba6f04fc61af996da4b93ade9e1abf76fa	0	-0.725868702	6.99473476	1.9736824	1.13929081	NA
bus_r640_nchw_f32_results	spacemit	boundary-1	1x80x80x80	float32	e8fa34738b1ef1d32e5a8a2ece5eccb082a8a5615578a39c5cb8d7215d9013d3	0	-28.1193275	-2.34327745	-18.6071548	2.31548882	NA
bus_r640_nchw_f32_results	spacemit	boundary-2	1x4x40x40	float32	ce1236fc6c7e07cb4bc014aa5835e246ca2953a0befa422006d471ecb90213ca	0	0.0987913534	10.669466	3.03813529	1.77915311	NA
bus_r640_nchw_f32_results	spacemit	boundary-3	1x80x40x40	float32	adfa77f95fa493228389f9533e79a18174616abeee428b303d15c1312a8f832a	0	-63.0385666	-0.606140077	-19.0933323	3.6878469	NA
bus_r640_nchw_f32_results	spacemit	boundary-4	1x4x20x20	float32	04a793b624f78077d07493c9705924d36d06350cae3e61f61ca9f768e4eb524f	0	-0.0668463036	12.0323343	3.92559075	2.45436716	NA
bus_r640_nchw_f32_results	spacemit	boundary-5	1x80x20x20	float32	31c1fd0956492d23c4ac5e7602178514eb61331ee336ce6229cc5120ee5117b3	0	-81.3697739	0.428261966	-17.8521652	5.67842245	NA
images_F0_f32_results	cpu	output0	1x300x6	float32	044cae1b4300d6c4ba08287145872df14dd8cc874b6e55bd0c6987dfd532dfec	0	-4.20022583	662.589722	213.243652	266.292206	1
images_F0_f32_results	cpu	boundary-0	1x4x80x80	float32	bf62e6db1db95a27d041dfda73fb02343d27b751d1bff00bb7549ce78d1216f0	0	-0.0329940319	5.97192001	3.11395717	0.973178267	NA
images_F0_f32_results	cpu	boundary-1	1x80x80x80	float32	abc06c8e70e3191be15f4d030bb54263dfa683bef642c8f6c7d49a6b74875e20	0	-23.6671009	-7.38132381	-18.8331928	1.50659013	NA
images_F0_f32_results	cpu	boundary-2	1x4x40x40	float32	53c1c86f284a910dc8256e0f4cd62a5b7837f521104d7997b19bbc3144c9526e	0	0.197582707	9.63215733	4.40191078	1.52345884	NA
images_F0_f32_results	cpu	boundary-3	1x80x40x40	float32	7d00b194695dea3215502040fe49ba12507de6f4fb4422ff5009284402081719	0	-34.549984	-7.27368069	-19.2987614	2.21490955	NA
images_F0_f32_results	cpu	boundary-4	1x4x20x20	float32	4b41ad8b9fdff855a9d05b3d76179f5a97c2f159ecaef1d2066dcf95048560b4	0	0.467924118	14.839879	5.79745483	3.0403831	NA
images_F0_f32_results	cpu	boundary-5	1x80x20x20	float32	1e844205482c9ad172611f20265290db4cbf89c83cb77e55d97c5a77312b1c3b	0	-49.6783867	-0.856523931	-17.297781	3.12176728	NA
images_F0_f32_results	spacemit	output0	1x300x6	float32	ff5ccadf84b7e6625b794f0a94b180d5e12f8032bdcad87bce898bdc47f92e7c	0	-8.04725647	644.458862	209.523438	266.659119	1
images_F0_f32_results	spacemit	boundary-0	1x4x80x80	float32	dd029fb1c5706047e4ea5dff87dfb3fece5b1437861e2310dff183475114ff53	0	-0.0329940319	6.202878	3.11539555	0.979482472	NA
images_F0_f32_results	spacemit	boundary-1	1x80x80x80	float32	78260404ab99a7758d164bba1dcd8372063ee167da1d019f4a91382a08853e4f	0	-24.1357574	-7.26415968	-18.9697647	1.49919415	NA
images_F0_f32_results	spacemit	boundary-2	1x4x40x40	float32	e462aad4116803d5680e7c5678890527122ef1f21c3783edc49ffee382d8aa28	0	0.197582707	9.43457413	4.41480064	1.52586222	NA
images_F0_f32_results	spacemit	boundary-3	1x80x40x40	float32	a2d3740cb2686ace351628d2f9278a69fc89a5f1770ed7ece17bff6702e67af2	0	-35.1561241	-7.27368069	-19.3999557	2.1605866	NA
images_F0_f32_results	spacemit	boundary-4	1x4x20x20	float32	319c6e743317e42fe24859bd78b080a8b7f5cd649802eb1d7dad25b602dbf8df	0	0.401077807	14.7061872	5.81287098	3.05663419	NA
images_F0_f32_results	spacemit	boundary-5	1x80x20x20	float32	23c3cfddb5ba92f060776f9228651aee0385fb3c851832439645221ebc96f3a3	0	-45.8240318	-0.856523931	-17.5238781	3.07050967	NA
zidane_r640_nchw_f32_results	cpu	output0	1x300x6	float32	f28ad7c78ffe046ef972ba386a2b0a420d81b046225b63b3dddb933781cc945e	0	-0.500255585	640.306885	259.072662	201.793152	2
zidane_r640_nchw_f32_results	cpu	boundary-0	1x4x80x80	float32	cf4661c11263f1cb38f6485704b1983d285e19d25b274c9bb2c6ff8ac51c823e	0	-0.428922415	7.06072283	2.57945156	1.20150054	NA
zidane_r640_nchw_f32_results	cpu	boundary-1	1x80x80x80	float32	0dcd7ad1b0fb82c6ca56eb3b0eff9349c4abfa5a61bf9f4d7c3298399a80a779	0	-28.7051468	-2.69476891	-19.3719921	2.06262374	NA
zidane_r640_nchw_f32_results	cpu	boundary-2	1x4x40x40	float32	cbdf5227726b8e5a957659df91d94891b14673a300c9bf1f4499a8ade2559f05	0	0	11.0152359	3.45913267	1.80084085	NA
zidane_r640_nchw_f32_results	cpu	boundary-3	1x80x40x40	float32	a4613731ccb014bd572d688575f1a492c813bfc728cdc7f31d572636972c03b1	0	-58.7955856	-1.21228015	-19.4247704	3.48153353	NA
zidane_r640_nchw_f32_results	cpu	boundary-4	1x4x20x20	float32	0a0c824d65f88dc965c2cdcaf14ba11dd7f63d60ddf1e984be70773a7fbe02af	0	0.133692607	13.3024149	4.41912556	2.71642399	NA
zidane_r640_nchw_f32_results	cpu	boundary-5	1x80x20x20	float32	7b22da1a678ffcfcca3327c2cbde384b661f02efbf0c2fe7ea8a8dbe4f9589b2	0	-92.0763245	0.428261966	-17.7254143	4.28409338	NA
zidane_r640_nchw_f32_results	spacemit	output0	1x300x6	float32	a89c5a37d691635177f4cdb2bfacff75c72da761c821a011443025252deb0232	0	-0.693638802	639.90332	256.942322	203.92601	2
zidane_r640_nchw_f32_results	spacemit	boundary-0	1x4x80x80	float32	30a296aa4feaf402b435af097d92ade2635964da11efeb183099e8c6af9dfbdf	0	-0.362934351	7.06072283	2.57123899	1.20359635	NA
zidane_r640_nchw_f32_results	spacemit	boundary-1	1x80x80x80	float32	c3ade476fa4e14ff9513e4fa3fcffaf96b94e0d7977c39218d3aa5647d10186f	0	-27.7678356	-2.10894966	-19.4780598	2.09214449	NA
zidane_r640_nchw_f32_results	spacemit	boundary-2	1x4x40x40	float32	3dd7f856dfa1d37fc70032ce7ed4b6ec130f104e7082d6561c25fdaeea876a28	0	0	11.1634226	3.4405942	1.79972732	NA
zidane_r640_nchw_f32_results	spacemit	boundary-3	1x80x40x40	float32	979fd78df9e2d662e2f49e5bb6c4afa69a72ee560effd66aa7675f6fef627242	0	-58.1894455	-1.21228015	-19.4669361	3.55530095	NA
zidane_r640_nchw_f32_results	spacemit	boundary-4	1x4x20x20	float32	b6facc50d0b102eee0a100b805f8852a1a507ed1014372858e6572320282071c	0	0.200538903	13.235568	4.43905401	2.70135593	NA
zidane_r640_nchw_f32_results	spacemit	boundary-5	1x80x20x20	float32	aac6b89b4d56dcdec106eb954d0ce575e6a1789b8aa8e2082fdaddce38e1abfc	0	-91.6480637	0.428261966	-17.8925152	4.38062382	NA
