arm	block	cycle	position	sample	total_us	pure_executor_us	process_cpu_us	voluntary_cs	involuntary_cs	output_hash	affinity_ok	cpu4_7_ime_count
stage57	0	24	3	50	132650	130419	662439	3	0	0xd43f5e018b415631	1	0
stage58	0	25	0	51	133748	131525	660077	3	0	0xd43f5e018b415631	1	0
stage57	0	25	1	51	133782	131350	668234	0	2	0xd43f5e018b415631	1	0
stage57	0	25	2	52	132679	130519	659235	0	0	0xd43f5e018b415631	1	0
stage58	0	25	3	52	133741	131567	656765	1	0	0xd43f5e018b415631	1	0
stage57	0	26	0	53	133540	130967	664670	1	1	0xd43f5e018b415631	1	0
stage58	0	26	1	53	134996	131092	675204	1	0	0xd43f5e018b415631	1	0
stage58	0	26	2	54	134199	131735	661509	0	0	0xd43f5e018b415631	1	0
stage57	0	26	3	54	133442	130737	667013	1	1	0xd43f5e018b415631	1	0
stage58	0	27	0	55	135315	131041	662295	1	1	0xd43f5e018b415631	1	0
stage57	0	27	1	55	133442	131147	662350	0	0	0xd43f5e018b415631	1	0
stage57	0	27	2	56	132870	130697	655277	0	0	0xd43f5e018b415631	1	0
stage58	0	27	3	56	134557	131530	668473	1	2	0xd43f5e018b415631	1	0
stage57	0	28	0	57	132893	130697	655753	3	0	0xd43f5e018b415631	1	0
stage58	0	28	1	57	133541	131310	651967	2	0	0xd43f5e018b415631	1	0
stage58	0	28	2	58	133354	131155	660763	0	0	0xd43f5e018b415631	1	0
stage57	0	28	3	58	133806	131328	654899	0	0	0xd43f5e018b415631	1	0
stage58	0	29	0	59	133667	131454	662549	2	2	0xd43f5e018b415631	1	0
stage57	0	29	1	59	134368	130860	671841	0	0	0xd43f5e018b415631	1	0
stage57	0	29	2	60	132777	130624	659998	0	1	0xd43f5e018b415631	1	0
stage58	0	29	3	60	134141	131557	657453	1	0	0xd43f5e018b415631	1	0
stage57	0	30	0	61	133356	131123	663248	0	0	0xd43f5e018b415631	1	0
stage58	0	30	1	61	133573	131397	657193	0	0	0xd43f5e018b415631	1	0
stage58	0	30	2	62	133905	131682	666438	0	0	0xd43f5e018b415631	1	0
stage57	0	30	3	62	134786	130672	658525	1	2	0xd43f5e018b415631	1	0
stage58	0	31	0	63	133457	131289	661136	1	0	0xd43f5e018b415631	1	0
stage57	0	31	1	63	134406	130966	671343	0	1	0xd43f5e018b415631	1	0
stage57	0	31	2	64	133398	130928	659991	0	1	0xd43f5e018b415631	1	0
stage58	0	31	3	64	133818	131584	653849	2	2	0xd43f5e018b415631	1	0
stage57	0	32	0	65	134085	130569	662000	0	0	0xd43f5e018b415631	1	0
stage58	0	32	1	65	134324	131200	669032	0	0	0xd43f5e018b415631	1	0
stage58	0	32	2	66	133507	131314	658188	0	0	0xd43f5e018b415631	1	0
stage57	0	32	3	66	134069	130993	667709	0	2	0xd43f5e018b415631	1	0
stage58	0	33	0	67	135525	131541	676198	0	0	0xd43f5e018b415631	1	0
stage57	0	33	1	67	133556	131387	659263	2	1	0xd43f5e018b415631	1	0
stage57	0	33	2	68	132640	130197	651281	0	0	0xd43f5e018b415631	1	0
stage58	0	33	3	68	133470	130882	664705	0	0	0xd43f5e018b415631	1	0
stage57	0	34	0	69	132900	130416	657387	2	0	0xd43f5e018b415631	1	0
stage58	0	34	1	69	134793	131468	670847	0	0	0xd43f5e018b415631	1	0
stage58	0	34	2	70	133176	131001	657200	0	1	0xd43f5e018b415631	1	0
stage57	0	34	3	70	133566	130468	652089	0	0	0xd43f5e018b415631	1	0
stage58	0	35	0	71	133595	131368	660780	0	2	0xd43f5e018b415631	1	0
stage57	0	35	1	71	133466	130469	653498	0	0	0xd43f5e018b415631	1	0
stage57	0	35	2	72	132789	130565	662162	0	0	0xd43f5e018b415631	1	0
stage58	0	35	3	72	133628	131220	659031	0	0	0xd43f5e018b415631	1	0
stage57	0	36	0	73	133429	130436	651439	0	0	0xd43f5e018b415631	1	0
stage58	0	36	1	73	133399	131199	660634	1	0	0xd43f5e018b415631	1	0
stage58	0	36	2	74	133347	131106	654082	0	2	0xd43f5e018b415631	1	0
stage57	0	36	3	74	133002	130495	663573	0	0	0xd43f5e018b415631	1	0
stage58	0	37	0	75	134551	130994	660273	1	0	0xd43f5e018b415631	1	0
stage57	0	37	1	75	132534	130220	647098	0	1	0xd43f5e018b415631	1	0
stage57	0	37	2	76	132757	130607	660302	0	0	0xd43f5e018b415631	1	0
stage58	0	37	3	76	134012	131829	657705	0	0	0xd43f5e018b415631	1	0
stage57	0	38	0	77	133686	131179	664458	0	0	0xd43f5e018b415631	1	0
stage58	0	38	1	77	136952	133626	675803	0	5	0xd43f5e018b415631	1	0
stage58	0	38	2	78	134304	131907	668747	0	0	0xd43f5e018b415631	1	0
stage57	0	38	3	78	133652	131493	658000	1	2	0xd43f5e018b415631	1	0
stage58	0	39	0	79	133319	131094	666234	1	0	0xd43f5e018b415631	1	0
stage57	0	39	1	79	135100	130873	661930	0	0	0xd43f5e018b415631	1	0
stage57	0	39	2	80	133192	130976	662690	1	0	0xd43f5e018b415631	1	0
stage58	0	39	3	80	133381	131185	657311	1	0	0xd43f5e018b415631	1	0
stage57	0	40	0	81	133727	131519	667263	0	1	0xd43f5e018b415631	1	0
stage58	0	40	1	81	134621	131062	660363	0	1	0xd43f5e018b415631	1	0
stage58	0	40	2	82	133577	131369	664112	0	0	0xd43f5e018b415631	1	0
stage57	0	40	3	82	133252	130775	656559	1	1	0xd43f5e018b415631	1	0
stage58	0	41	0	83	134410	131472	667905	1	0	0xd43f5e018b415631	1	0
stage57	0	41	1	83	133981	130260	656908	0	2	0xd43f5e018b415631	1	0
stage57	0	41	2	84	132880	130673	663180	0	0	0xd43f5e018b415631	1	0
stage58	0	41	3	84	133361	131183	659274	1	0	0xd43f5e018b415631	1	0
stage57	0	42	0	85	132986	130745	652503	1	1	0xd43f5e018b415631	1	0
stage58	0	42	1	85	133523	131272	664252	3	0	0xd43f5e018b415631	1	0
stage58	0	42	2	86	133447	131276	657332	0	1	0xd43f5e018b415631	1	0
stage57	0	42	3	86	133154	130948	650352	0	1	0xd43f5e018b415631	1	0
stage58	0	43	0	87	134924	130574	662462	1	1	0xd43f5e018b415631	1	0
stage57	0	43	1	87	132958	130757	663943	0	0	0xd43f5e018b415631	1	0
stage57	0	43	2	88	132442	130289	658775	0	0	0xd43f5e018b415631	1	0
stage58	0	43	3	88	133187	130994	656891	2	0	0xd43f5e018b415631	1	0
stage57	0	44	0	89	133270	131051	651233	1	2	0xd43f5e018b415631	1	0
stage58	0	44	1	89	133473	131301	661533	0	0	0xd43f5e018b415631	1	0
stage58	0	44	2	90	133139	130968	654364	0	1	0xd43f5e018b415631	1	0
stage57	0	44	3	90	132625	130373	648413	3	0	0xd43f5e018b415631	1	0
stage58	0	45	0	91	132959	130733	661433	1	0	0xd43f5e018b415631	1	0
stage57	0	45	1	91	132271	130112	656070	0	0	0xd43f5e018b415631	1	0
stage57	0	45	2	92	132789	130638	654644	0	0	0xd43f5e018b415631	1	0
stage58	0	45	3	92	133989	131752	667749	1	1	0xd43f5e018b415631	1	0
stage57	0	46	0	93	132955	130482	658020	0	0	0xd43f5e018b415631	1	0
stage58	0	46	1	93	134514	131118	670600	0	2	0xd43f5e018b415631	1	0
stage58	0	46	2	94	133712	131235	658991	0	0	0xd43f5e018b415631	1	0
stage57	0	46	3	94	133502	131272	667032	2	0	0xd43f5e018b415631	1	0
stage58	0	47	0	95	135485	131254	662197	0	0	0xd43f5e018b415631	1	0
stage57	0	47	1	95	134791	130442	662539	1	0	0xd43f5e018b415631	1	0
stage57	0	47	2	96	133131	130943	664887	0	1	0xd43f5e018b415631	1	0
stage58	0	47	3	96	136222	132033	678572	0	1	0xd43f5e018b415631	1	0
stage57	0	48	0	97	132982	130818	657653	0	0	0xd43f5e018b415631	1	0
stage58	0	48	1	97	134511	131203	670408	1	1	0xd43f5e018b415631	1	0
stage58	0	48	2	98	133191	130726	658202	0	0	0xd43f5e018b415631	1	0
stage57	0	48	3	98	133021	130646	652405	0	0	0xd43f5e018b415631	1	0
stage58	0	49	0	99	133182	130934	663559	2	0	0xd43f5e018b415631	1	0
stage57	0	49	1	99	132443	130284	657268	0	0	0xd43f5e018b415631	1	0
stage57	0	49	2	100	133477	131325	655695	0	1	0xd43f5e018b415631	1	0
stage58	0	49	3	100	133510	131298	664990	0	0	0xd43f5e018b415631	1	0
stage57	0	50	0	101	132967	130795	657463	1	2	0xd43f5e018b415631	1	0
stage58	0	50	1	101	132970	130744	652873	0	0	0xd43f5e018b415631	1	0
stage58	0	50	2	102	133852	131269	665075	0	0	0xd43f5e018b415631	1	0
stage57	0	50	3	102	132740	130569	655591	0	2	0xd43f5e018b415631	1	0
stage58	0	51	0	103	134314	130988	669402	1	0	0xd43f5e018b415631	1	0
stage57	0	51	1	103	134669	130670	659686	0	1	0xd43f5e018b415631	1	0
stage57	0	51	2	104	133738	131546	663125	0	1	0xd43f5e018b415631	1	0
stage58	0	51	3	104	133179	130989	654834	1	0	0xd43f5e018b415631	1	0
stage57	0	52	0	105	132417	130181	648357	3	1	0xd43f5e018b415631	1	0
stage58	0	52	1	105	133453	131183	662857	2	0	0xd43f5e018b415631	1	0
stage58	0	52	2	106	133145	130971	656077	0	0	0xd43f5e018b415631	1	0
stage57	0	52	3	106	133056	130666	650485	0	0	0xd43f5e018b415631	1	0
stage58	0	53	0	107	133135	130936	661454	0	0	0xd43f5e018b415631	1	0
stage57	0	53	1	107	132904	130430	655799	0	1	0xd43f5e018b415631	1	0
stage57	0	53	2	108	133754	131328	668284	0	0	0xd43f5e018b415631	1	0
stage58	0	53	3	108	133415	131242	660027	0	1	0xd43f5e018b415631	1	0
stage57	0	54	0	109	133106	130870	653166	3	1	0xd43f5e018b415631	1	0
stage58	0	54	1	109	133729	131496	664540	2	0	0xd43f5e018b415631	1	0
stage58	0	54	2	110	133296	131124	656378	0	1	0xd43f5e018b415631	1	0
stage57	0	54	3	110	133468	130642	666541	0	0	0xd43f5e018b415631	1	0
stage58	0	55	0	111	133656	131457	659861	3	2	0xd43f5e018b415631	1	0
stage57	0	55	1	111	134083	130823	668875	0	1	0xd43f5e018b415631	1	0
stage57	0	55	2	112	133157	130744	658954	0	0	0xd43f5e018b415631	1	0
stage58	0	55	3	112	133531	131306	653747	0	1	0xd43f5e018b415631	1	0
stage57	0	56	0	113	133002	130797	662269	0	0	0xd43f5e018b415631	1	0
stage58	0	56	1	113	133712	131524	658122	1	0	0xd43f5e018b415631	1	0
stage58	0	56	2	114	134059	131217	666852	0	0	0xd43f5e018b415631	1	0
stage57	0	56	3	114	132745	130582	656419	0	0	0xd43f5e018b415631	1	0
stage58	0	57	0	115	133737	131490	653483	0	1	0xd43f5e018b415631	1	0
stage57	0	57	1	115	133591	131122	661438	1	0	0xd43f5e018b415631	1	0
stage57	0	57	2	116	132820	130607	653434	0	2	0xd43f5e018b415631	1	0
stage58	0	57	3	116	134234	131348	666762	1	0	0xd43f5e018b415631	1	0
stage57	0	58	0	117	134608	130941	657379	0	0	0xd43f5e018b415631	1	0
stage58	0	58	1	117	133327	131153	660695	0	0	0xd43f5e018b415631	1	0
stage58	0	58	2	118	133652	131481	654917	1	0	0xd43f5e018b415631	1	0
stage57	0	58	3	118	133465	131252	663139	1	1	0xd43f5e018b415631	1	0
stage58	0	59	0	119	133141	130927	656056	2	2	0xd43f5e018b415631	1	0
stage57	0	59	1	119	132917	130179	650526	0	0	0xd43f5e018b415631	1	0
stage57	0	59	2	120	133316	131104	662397	0	1	0xd43f5e018b415631	1	0
stage58	0	59	3	120	135332	131558	674361	0	0	0xd43f5e018b415631	1	0
stage57	0	60	0	121	133275	131097	658143	0	0	0xd43f5e018b415631	1	0
stage58	0	60	1	121	134774	131627	669588	0	2	0xd43f5e018b415631	1	0
stage58	0	60	2	122	133085	130918	656098	0	0	0xd43f5e018b415631	1	0
stage57	0	60	3	122	133639	130879	667390	0	1	0xd43f5e018b415631	1	0
stage58	0	61	0	123	133516	131333	659941	1	0	0xd43f5e018b415631	1	0
stage57	0	61	1	123	133253	130799	652633	0	2	0xd43f5e018b415631	1	0
stage57	0	61	2	124	133147	130909	662829	0	0	0xd43f5e018b415631	1	0
stage58	0	61	3	124	134782	130888	658807	0	0	0xd43f5e018b415631	1	0
stage57	0	62	0	125	132505	130352	660393	0	0	0xd43f5e018b415631	1	0
stage58	0	62	1	125	135589	131577	676572	1	0	0xd43f5e018b415631	1	0
stage58	0	62	2	126	133284	131091	659109	0	1	0xd43f5e018b415631	1	0
stage57	0	62	3	126	133747	131287	653544	1	1	0xd43f5e018b415631	1	0
stage58	0	63	0	127	133210	131016	661121	0	0	0xd43f5e018b415631	1	0
stage57	0	63	1	127	132848	130677	654992	1	1	0xd43f5e018b415631	1	0
stage57	0	63	2	128	133419	131211	651425	0	0	0xd43f5e018b415631	1	0
stage58	0	63	3	128	135405	131093	662728	0	0	0xd43f5e018b415631	1	0
stage57	0	64	0	129	133385	131122	662199	1	0	0xd43f5e018b415631	1	0
stage58	0	64	1	129	133381	131200	655823	0	0	0xd43f5e018b415631	1	0
stage58	0	64	2	130	133108	130888	665200	0	1	0xd43f5e018b415631	1	0
stage57	0	64	3	130	133082	130919	659916	0	0	0xd43f5e018b415631	1	0
stage58	0	65	0	131	133478	131293	655011	1	2	0xd43f5e018b415631	1	0
stage57	0	65	1	131	133239	130996	664029	3	0	0xd43f5e018b415631	1	0
stage57	0	65	2	132	133201	131049	658345	0	0	0xd43f5e018b415631	1	0
stage58	0	65	3	132	133927	131700	669356	0	0	0xd43f5e018b415631	1	0
stage57	0	66	0	133	134860	130626	661732	0	0	0xd43f5e018b415631	1	0
stage58	0	66	1	133	133027	130796	663517	0	1	0xd43f5e018b415631	1	0
stage58	0	66	2	134	134066	131862	659581	0	1	0xd43f5e018b415631	1	0
stage57	0	66	3	134	133148	130918	665578	2	0	0xd43f5e018b415631	1	0
stage58	0	67	0	135	135369	131078	662365	0	1	0xd43f5e018b415631	1	0
stage57	0	67	1	135	133313	131120	661993	2	0	0xd43f5e018b415631	1	0
stage57	0	67	2	136	132909	130754	655504	0	0	0xd43f5e018b415631	1	0
stage58	0	67	3	136	133190	130976	651301	0	0	0xd43f5e018b415631	1	0
stage57	0	68	0	137	132879	130681	661324	2	0	0xd43f5e018b415631	1	0
stage58	0	68	1	137	133201	130971	657213	3	1	0xd43f5e018b415631	1	0
stage58	0	68	2	138	133318	131096	651851	0	0	0xd43f5e018b415631	1	0
stage57	0	68	3	138	132673	130489	660889	0	2	0xd43f5e018b415631	1	0
stage58	0	69	0	139	134300	130829	659123	0	0	0xd43f5e018b415631	1	0
stage57	0	69	1	139	133533	130966	664254	0	0	0xd43f5e018b415631	1	0
stage57	0	69	2	140	133268	130792	657046	0	0	0xd43f5e018b415631	1	0
stage58	0	69	3	140	133763	131537	667597	1	0	0xd43f5e018b415631	1	0
stage57	0	70	0	141	134867	130736	660657	1	3	0xd43f5e018b415631	1	0
stage58	0	70	1	141	133422	131059	663012	0	1	0xd43f5e018b415631	1	0
stage58	0	70	2	142	133781	131296	656888	0	0	0xd43f5e018b415631	1	0
stage57	0	70	3	142	133059	130850	664121	0	1	0xd43f5e018b415631	1	0
stage58	0	71	0	143	135680	131215	677713	0	0	0xd43f5e018b415631	1	0
stage57	0	71	1	143	133423	131234	659878	1	0	0xd43f5e018b415631	1	0
stage57	0	71	2	144	132865	130660	652842	1	0	0xd43f5e018b415631	1	0
stage58	0	71	3	144	133241	131019	664879	0	0	0xd43f5e018b415631	1	0
stage57	0	72	0	145	135319	131218	661125	0	1	0xd43f5e018b415631	1	0
stage58	0	72	1	145	133742	131529	661246	3	0	0xd43f5e018b415631	1	0
stage58	0	72	2	146	133331	130843	653034	0	2	0xd43f5e018b415631	1	0
stage57	0	72	3	146	133053	130708	662621	0	0	0xd43f5e018b415631	1	0
stage58	0	73	0	147	134907	130956	659406	0	0	0xd43f5e018b415631	1	0
stage57	0	73	1	147	133084	130910	660954	1	0	0xd43f5e018b415631	1	0
stage57	0	73	2	148	133043	130886	655728	0	0	0xd43f5e018b415631	1	0
stage58	0	73	3	148	134194	131444	667794	1	1	0xd43f5e018b415631	1	0
stage57	0	74	0	149	134734	130865	658707	0	1	0xd43f5e018b415631	1	0
stage58	0	74	1	149	133619	131428	661835	0	0	0xd43f5e018b415631	1	0
stage58	0	74	2	150	133352	131200	654289	0	1	0xd43f5e018b415631	1	0
stage57	0	74	3	150	133113	130918	663759	1	0	0xd43f5e018b415631	1	0
stage58	0	75	0	151	135223	131145	660594	1	0	0xd43f5e018b415631	1	0
stage57	0	75	1	151	132833	130665	660295	2	0	0xd43f5e018b415631	1	0
stage57	0	75	2	152	132896	130712	656265	0	0	0xd43f5e018b415631	1	0
stage58	0	75	3	152	134324	131179	669173	0	1	0xd43f5e018b415631	1	0
stage57	0	76	0	153	134390	130423	659165	0	0	0xd43f5e018b415631	1	0
stage58	0	76	1	153	133495	131192	663705	0	2	0xd43f5e018b415631	1	0
