surface	repeat	run	wall_us	input_us	core_us	dense_us	depthwise_us	attention_us	lut_us	concat_us	transform_us	head_us	process_cpu_us	voluntary_cs	involuntary_cs	affinity_ok	cpu4_7_ime_count	hash
stage56_compatibility_500	0	49	155722	2701.49	21549.2	75597.5	16147.1	17481.1	9907.31	5946.7	3353.34	2901.33	578538	1210	2	1	0	0xd43f5e018b415631
stage56_compatibility_500	0	50	159544	2674.78	21641	79353.8	16169.6	17510.8	9959.93	5860.87	3335.63	2906.79	582219	1224	1	1	0	0xd43f5e018b415631
stage56_compatibility_500	0	51	156158	2614.53	21625.2	76009.4	16198	17433	9923.22	5984.83	3326.71	2908.54	579316	1213	0	1	0	0xd43f5e018b415631
stage56_compatibility_500	0	52	155913	2526.94	21545	76109.9	16253.9	17495.6	9616.93	5888.66	3418.93	2926.29	578393	1231	1	1	0	0xd43f5e018b415631
stage56_compatibility_500	0	53	156462	2653.57	21795.3	76234.2	16200.4	17407.1	10082.4	5897.95	3359.21	2695.45	580044	1233	1	1	0	0xd43f5e018b415631
stage56_compatibility_500	0	54	155554	2720.82	21559.9	75224.2	16379.4	17466.9	9892.68	5958.66	3331.3	2887.7	578663	1213	1	1	0	0xd43f5e018b415631
stage56_compatibility_500	0	55	155840	2704.74	21655.8	75285.7	16191.1	17446.9	10073.4	6073.25	3451.22	2836.78	579204	1218	1	1	0	0xd43f5e018b415631
stage56_compatibility_500	0	56	155993	2573.61	21705.1	75888.7	16289.5	17457.8	9980.56	5917.62	3338.29	2709.2	579569	1234	0	1	0	0xd43f5e018b415631
stage56_compatibility_500	0	57	156293	2776.53	21594	75865	16190.9	17327.2	10106.2	6083.71	3367.55	2850.24	580779	1217	2	1	0	0xd43f5e018b415631
stage56_compatibility_500	0	58	156080	2542.74	21534.4	75949.2	16458.5	17308.2	9831.35	6028.5	3436.17	2857.99	579174	1217	0	1	0	0xd43f5e018b415631
stage56_compatibility_500	0	59	156843	2524.94	21720.9	76252.5	16286.1	17440.2	10054.8	6044.75	3456.55	2924.99	581005	1249	2	1	0	0xd43f5e018b415631
stage56_compatibility_500	0	60	156026	2612.24	21427	76455.8	16169	17379.8	9758.97	5814.74	3336.72	2938.79	579164	1230	0	1	0	0xd43f5e018b415631
stage56_compatibility_500	0	61	156097	2529.48	21696.6	75667.5	16235.1	17407.4	10122.3	6004.91	3336.05	2928.91	579614	1233	0	1	0	0xd43f5e018b415631
stage56_compatibility_500	0	62	158608	2512.15	21731.5	76293.3	16195.3	19196.7	10411.3	5970.62	3301.17	2861.66	582527	1240	1	1	0	0xd43f5e018b415631
stage56_compatibility_500	0	63	155823	2619.36	21595.4	75398.3	16324.1	17394.5	9941.52	6182.12	3388.13	2850.37	578095	1230	1	1	0	0xd43f5e018b415631
stage56_compatibility_500	0	64	156463	2656.16	21565.5	75982.5	16229.1	17604.1	9954.35	6016.54	3410.88	2914.87	580393	1228	1	1	0	0xd43f5e018b415631
stage56_compatibility_500	0	65	156413	2489.86	21651.3	75940.2	16298.6	17452.5	9997.52	6189	3343.59	2922.79	580386	1232	1	1	0	0xd43f5e018b415631
stage56_compatibility_500	0	66	156760	2415.32	21557.4	77126.9	16181.1	17423.5	9904.22	5774.82	3325.84	2918.54	577523	1235	1	1	0	0xd43f5e018b415631
stage56_compatibility_500	0	67	156092	2567.65	21595.3	75838.6	16258.1	17452.8	10121.1	5871.57	3338.38	2923.62	579878	1217	1	1	0	0xd43f5e018b415631
stage56_compatibility_500	0	68	155875	2566.53	21521.9	75999.8	16286.7	17494.4	9754.81	5916.2	3318.34	2891.74	578239	1220	2	1	0	0xd43f5e018b415631
stage56_compatibility_500	0	69	155353	2564.07	21487.7	75599.7	16285.7	17492.5	9620.18	5954.91	3308.88	2910.29	576693	1227	1	1	0	0xd43f5e018b415631
stage56_compatibility_500	0	70	155628	2504.23	21607.5	75234.4	16326.2	17514.3	10116.6	5907.41	3358.18	2929.66	578579	1222	0	1	0	0xd43f5e018b415631
stage56_compatibility_500	0	71	156342	2643.03	21811.5	75887.4	16308.8	17462.8	9861.43	6026.41	3309.71	2900.58	580183	1223	1	1	0	0xd43f5e018b415631
stage56_compatibility_500	0	72	155833	2587.65	21624.2	75801.1	16223	17381.4	9865.93	6008.33	3313.5	2887.49	579915	1224	0	1	0	0xd43f5e018b415631
stage56_compatibility_500	0	73	157141	2545.86	21758.2	76258.1	16354.3	17370.6	10193	6228.71	3468.18	2837.08	582422	1241	0	1	0	0xd43f5e018b415631
stage56_compatibility_500	0	74	156985	2540.61	21613.4	77041.9	16270.3	17386.6	9728.22	5992.12	3351.46	2925.58	580496	1221	0	1	0	0xd43f5e018b415631
stage56_compatibility_500	0	75	159190	2521.03	21763.7	77434.3	17006.8	17489.9	10408.8	6152.25	3434.67	2847.99	583817	1259	0	1	0	0xd43f5e018b415631
stage56_compatibility_500	0	76	155586	2516.48	21638.3	75796.1	16235.4	17370.3	9696.88	5878.61	3457.67	2869.87	577462	1230	1	1	0	0xd43f5e018b415631
stage56_compatibility_500	0	77	156664	2659.11	21709.8	76115.4	16238.4	17462.6	10150.4	5922.83	3341.51	2929.54	581586	1243	1	1	0	0xd43f5e018b415631
stage56_compatibility_500	0	78	156342	2555.07	21719.9	75754.2	16182.2	17478	10082.7	6179.5	3351.84	2909.95	580755	1234	1	1	0	0xd43f5e018b415631
