arm	group_event	operation_index	M	N	K	worker	worker_cpu	event	status	errno	event_id	iteration_count	raw_u64	time_enabled	time_running
control	l1d_read_miss	206	400	80	256	3	3	l1d_read_miss	available	0	488	10	11573	1641208	1641208
control	l1d_read_miss	161	1600	16	1152	0	0	cycles	available	0	485	10	20197443	12630997	12630997
control	l1d_read_miss	161	1600	16	1152	0	0	l1d_read_miss	available	0	486	10	72920	12630997	12630997
control	l1d_read_miss	161	1600	16	1152	1	1	cycles	available	0	481	10	20863933	13058751	13058751
control	l1d_read_miss	161	1600	16	1152	1	1	l1d_read_miss	available	0	483	10	73508	13058751	13058751
control	l1d_read_miss	161	1600	16	1152	2	2	cycles	available	0	482	10	20284538	12693167	12693167
control	l1d_read_miss	161	1600	16	1152	2	2	l1d_read_miss	available	0	484	10	72527	12693167	12693167
control	l1d_read_miss	161	1600	16	1152	3	3	cycles	available	0	487	10	20564229	12881540	12881540
control	l1d_read_miss	161	1600	16	1152	3	3	l1d_read_miss	available	0	488	10	71357	12881540	12881540
control	l1d_read_miss	201	400	16	2304	0	0	cycles	available	0	485	10	8938194	5591834	5591834
control	l1d_read_miss	201	400	16	2304	0	0	l1d_read_miss	available	0	486	10	15007	5591834	5591834
control	l1d_read_miss	201	400	16	2304	1	1	cycles	available	0	481	10	10109012	6341710	6341710
control	l1d_read_miss	201	400	16	2304	1	1	l1d_read_miss	available	0	483	10	15845	6341710	6341710
control	l1d_read_miss	201	400	16	2304	2	2	cycles	available	0	482	10	8936238	5599125	5599125
control	l1d_read_miss	201	400	16	2304	2	2	l1d_read_miss	available	0	484	10	14107	5599125	5599125
control	l1d_read_miss	201	400	16	2304	3	3	cycles	available	0	487	10	9780601	6143000	6143000
control	l1d_read_miss	201	400	16	2304	3	3	l1d_read_miss	available	0	488	10	16841	6143000	6143000
e2c5	backend_stalls	5	25600	32	32	0	0	cycles	available	0	501	10	27152017	16973543	16973543
e2c5	backend_stalls	5	25600	32	32	0	0	backend_stalls	available	0	502	10	11063670	16973543	16973543
e2c5	backend_stalls	5	25600	32	32	1	1	cycles	available	0	497	10	27003367	16860541	16860541
e2c5	backend_stalls	5	25600	32	32	1	1	backend_stalls	available	0	499	10	10919891	16860541	16860541
e2c5	backend_stalls	5	25600	32	32	2	2	cycles	available	0	498	10	26945449	16840873	16840873
e2c5	backend_stalls	5	25600	32	32	2	2	backend_stalls	available	0	500	10	10918875	16840873	16840873
e2c5	backend_stalls	5	25600	32	32	3	3	cycles	available	0	503	10	27014868	16878460	16878460
e2c5	backend_stalls	5	25600	32	32	3	3	backend_stalls	available	0	504	10	10896781	16878460	16878460
e2c5	backend_stalls	12	25600	64	48	0	0	cycles	available	0	501	10	70908390	44322459	44322459
e2c5	backend_stalls	12	25600	64	48	0	0	backend_stalls	available	0	502	10	37750500	44322459	44322459
e2c5	backend_stalls	12	25600	64	48	1	1	cycles	available	0	497	10	70305283	43945377	43945377
e2c5	backend_stalls	12	25600	64	48	1	1	backend_stalls	available	0	499	10	37418924	43945377	43945377
e2c5	backend_stalls	12	25600	64	48	2	2	cycles	available	0	498	10	70273917	43883003	43883003
e2c5	backend_stalls	12	25600	64	48	2	2	backend_stalls	available	0	500	10	37361438	43883003	43883003
e2c5	backend_stalls	12	25600	64	48	3	3	cycles	available	0	503	10	70400761	44008252	44008252
e2c5	backend_stalls	12	25600	64	48	3	3	backend_stalls	available	0	504	10	37406178	44008252	44008252
e2c5	backend_stalls	124	6400	64	96	0	0	cycles	available	0	501	10	18797065	11746995	11746995
e2c5	backend_stalls	124	6400	64	96	0	0	backend_stalls	available	0	502	10	9484351	11746995	11746995
e2c5	backend_stalls	124	6400	64	96	1	1	cycles	available	0	497	10	20081377	12580083	12580083
e2c5	backend_stalls	124	6400	64	96	1	1	backend_stalls	available	0	499	10	10830461	12580083	12580083
e2c5	backend_stalls	124	6400	64	96	2	2	cycles	available	0	498	10	19145693	11956709	11956709
e2c5	backend_stalls	124	6400	64	96	2	2	backend_stalls	available	0	500	10	9964624	11956709	11956709
e2c5	backend_stalls	124	6400	64	96	3	3	cycles	available	0	503	10	21610644	13516671	13516671
e2c5	backend_stalls	124	6400	64	96	3	3	backend_stalls	available	0	504	10	12353820	13516671	13516671
e2c5	backend_stalls	133	6400	80	64	0	0	cycles	available	0	501	10	18329295	11468709	11468709
e2c5	backend_stalls	133	6400	80	64	0	0	backend_stalls	available	0	502	10	7553178	11468709	11468709
e2c5	backend_stalls	133	6400	80	64	1	1	cycles	available	0	497	10	18114049	11346460	11346460
e2c5	backend_stalls	133	6400	80	64	1	1	backend_stalls	available	0	499	10	7219826	11346460	11346460
e2c5	backend_stalls	133	6400	80	64	2	2	cycles	available	0	498	10	17849054	11138379	11138379
e2c5	backend_stalls	133	6400	80	64	2	2	backend_stalls	available	0	500	10	6990896	11138379	11138379
e2c5	backend_stalls	133	6400	80	64	3	3	cycles	available	0	503	10	18210453	11400792	11400792
e2c5	backend_stalls	133	6400	80	64	3	3	backend_stalls	available	0	504	10	7293998	11400792	11400792
e2c5	backend_stalls	144	6400	80	80	0	0	cycles	available	0	501	10	20863007	13051663	13051663
e2c5	backend_stalls	144	6400	80	80	0	0	backend_stalls	available	0	502	10	9843123	13051663	13051663
e2c5	backend_stalls	144	6400	80	80	1	1	cycles	available	0	497	10	20722016	12943209	12943209
e2c5	backend_stalls	144	6400	80	80	1	1	backend_stalls	available	0	499	10	9610367	12943209	12943209
e2c5	backend_stalls	144	6400	80	80	2	2	cycles	available	0	498	10	21062497	13188165	13188165
e2c5	backend_stalls	144	6400	80	80	2	2	backend_stalls	available	0	500	10	10089937	13188165	13188165
e2c5	backend_stalls	144	6400	80	80	3	3	cycles	available	0	503	10	20848279	13021205	13021205
e2c5	backend_stalls	144	6400	80	80	3	3	backend_stalls	available	0	504	10	9664493	13021205	13021205
e2c5	backend_stalls	206	400	80	256	0	0	cycles	available	0	501	10	2386102	1501169	1501169
e2c5	backend_stalls	206	400	80	256	0	0	backend_stalls	available	0	502	10	1353085	1501169	1501169
e2c5	backend_stalls	206	400	80	256	1	1	cycles	available	0	497	10	2533816	1599709	1599709
e2c5	backend_stalls	206	400	80	256	1	1	backend_stalls	available	0	499	10	1434412	1599709	1599709
e2c5	backend_stalls	206	400	80	256	2	2	cycles	available	0	498	10	2366492	1476039	1476039
e2c5	backend_stalls	206	400	80	256	2	2	backend_stalls	available	0	500	10	1303298	1476039	1476039
e2c5	backend_stalls	206	400	80	256	3	3	cycles	available	0	503	10	2501926	1582250	1582250
e2c5	backend_stalls	206	400	80	256	3	3	backend_stalls	available	0	504	10	1389038	1582250	1582250
e2c5	backend_stalls	161	1600	16	1152	0	0	cycles	available	0	501	10	20167477	12612083	12612083
e2c5	backend_stalls	161	1600	16	1152	0	0	backend_stalls	available	0	502	10	11189990	12612083	12612083
e2c5	backend_stalls	161	1600	16	1152	1	1	cycles	available	0	497	10	20817012	13027251	13027251
e2c5	backend_stalls	161	1600	16	1152	1	1	backend_stalls	available	0	499	10	11590795	13027251	13027251
e2c5	backend_stalls	161	1600	16	1152	2	2	cycles	available	0	498	10	20241283	12677878	12677878
e2c5	backend_stalls	161	1600	16	1152	2	2	backend_stalls	available	0	500	10	11372386	12677878	12677878
e2c5	backend_stalls	161	1600	16	1152	3	3	cycles	available	0	503	10	20568290	12875625	12875625
e2c5	backend_stalls	161	1600	16	1152	3	3	backend_stalls	available	0	504	10	11401841	12875625	12875625
e2c5	backend_stalls	201	400	16	2304	0	0	cycles	available	0	501	10	8770283	5491708	5491708
e2c5	backend_stalls	201	400	16	2304	0	0	backend_stalls	available	0	502	10	4209490	5491708	5491708
e2c5	backend_stalls	201	400	16	2304	1	1	cycles	available	0	497	10	10175193	6383333	6383333
e2c5	backend_stalls	201	400	16	2304	1	1	backend_stalls	available	0	499	10	4967896	6383333	6383333
e2c5	backend_stalls	201	400	16	2304	2	2	cycles	available	0	498	10	8899172	5585084	5585084
e2c5	backend_stalls	201	400	16	2304	2	2	backend_stalls	available	0	500	10	4362762	5585084	5585084
e2c5	backend_stalls	201	400	16	2304	3	3	cycles	available	0	503	10	9912691	6219292	6219292
e2c5	backend_stalls	201	400	16	2304	3	3	backend_stalls	available	0	504	10	4877019	6219292	6219292
e2c5	instructions	5	25600	32	32	0	0	cycles	available	0	493	10	26966972	16848246	16848246
e2c5	instructions	5	25600	32	32	0	0	instructions	available	0	494	10	21995745	16848246	16848246
e2c5	instructions	5	25600	32	32	1	1	cycles	available	0	489	10	26997858	16867167	16867167
e2c5	instructions	5	25600	32	32	1	1	instructions	available	0	490	10	22040646	16867167	16867167
e2c5	instructions	5	25600	32	32	2	2	cycles	available	0	491	10	26897156	16791790	16791790
e2c5	instructions	5	25600	32	32	2	2	instructions	available	0	492	10	21992283	16791790	16791790
e2c5	instructions	5	25600	32	32	3	3	cycles	available	0	495	10	27038642	16910539	16910539
e2c5	instructions	5	25600	32	32	3	3	instructions	available	0	496	10	22027403	16910539	16910539
e2c5	instructions	12	25600	64	48	0	0	cycles	available	0	493	10	70757968	44220292	44220292
e2c5	instructions	12	25600	64	48	0	0	instructions	available	0	494	10	45098252	44220292	44220292
e2c5	instructions	12	25600	64	48	1	1	cycles	available	0	489	10	70379332	43971750	43971750
e2c5	instructions	12	25600	64	48	1	1	instructions	available	0	490	10	45183620	43971750	43971750
e2c5	instructions	12	25600	64	48	2	2	cycles	available	0	491	10	70243426	43880416	43880416
e2c5	instructions	12	25600	64	48	2	2	instructions	available	0	492	10	45081644	43880416	43880416
e2c5	instructions	12	25600	64	48	3	3	cycles	available	0	495	10	70888635	44324711	44324711
e2c5	instructions	12	25600	64	48	3	3	instructions	available	0	496	10	45173688	44324711	44324711
e2c5	instructions	124	6400	64	96	0	0	cycles	available	0	493	10	19790167	12382000	12382000
e2c5	instructions	124	6400	64	96	0	0	instructions	available	0	494	10	12195438	12382000	12382000
e2c5	instructions	124	6400	64	96	1	1	cycles	available	0	489	10	18615991	11621915	11621915
e2c5	instructions	124	6400	64	96	1	1	instructions	available	0	490	10	12290699	11621915	11621915
e2c5	instructions	124	6400	64	96	2	2	cycles	available	0	491	10	20398205	12765416	12765416
e2c5	instructions	124	6400	64	96	2	2	instructions	available	0	492	10	12202780	12765416	12765416
e2c5	instructions	124	6400	64	96	3	3	cycles	available	0	495	10	19923806	12455166	12455166
e2c5	instructions	124	6400	64	96	3	3	instructions	available	0	496	10	12317559	12455166	12455166
e2c5	instructions	133	6400	80	64	0	0	cycles	available	0	493	10	18140452	11327498	11327498
e2c5	instructions	133	6400	80	64	0	0	instructions	available	0	494	10	14484410	11327498	11327498
e2c5	instructions	133	6400	80	64	1	1	cycles	available	0	489	10	17900418	11194127	11194127
e2c5	instructions	133	6400	80	64	1	1	instructions	available	0	490	10	14590950	11194127	11194127
e2c5	instructions	133	6400	80	64	2	2	cycles	available	0	491	10	17740724	11071790	11071790
e2c5	instructions	133	6400	80	64	2	2	instructions	available	0	492	10	14479553	11071790	11071790
e2c5	instructions	133	6400	80	64	3	3	cycles	available	0	495	10	18145988	11363958	11363958
e2c5	instructions	133	6400	80	64	3	3	instructions	available	0	496	10	14597980	11363958	11363958
e2c5	instructions	144	6400	80	80	0	0	cycles	available	0	493	10	21097035	13184748	13184748
e2c5	instructions	144	6400	80	80	0	0	instructions	available	0	494	10	14861618	13184748	13184748
e2c5	instructions	144	6400	80	80	1	1	cycles	available	0	489	10	20920730	13091042	13091042
