source_tensor	source_producer	source_op	source_output_index	shape	dtype	candidate_producer	candidate_raw_tensor	quantize_node	dequantize_node	candidate_float_tensor	scale_initializer	scale_dtype	scale_shape	scale_min_max	zero_point_initializer	zero_point_dtype	zero_point_shape	zero_point_min_max	axis	q_output_consumer_count	mapping_status
/model.23/one2one_cv2.1/one2one_cv2.1.0/act/Mul_output_0	/model.23/one2one_cv2.1/one2one_cv2.1.0/act/Mul	Mul	0	1x16x40x40	FLOAT	/model.23/one2one_cv2.1/one2one_cv2.1.0/act/Mul	PPQ_Variable_2547	PPQ_Operation_1344	PPQ_Operation_1345	/model.23/one2one_cv2.1/one2one_cv2.1.0/act/Mul_output_0	PPQ_Variable_2548	FLOAT	scalar	0.046479105949401855:0.046479105949401855	PPQ_Variable_2549	INT8	scalar	-122.0:-122.0		1	pass
/model.23/one2one_cv2.2/one2one_cv2.2.0/act/Mul_output_0	/model.23/one2one_cv2.2/one2one_cv2.2.0/act/Mul	Mul	0	1x16x20x20	FLOAT	/model.23/one2one_cv2.2/one2one_cv2.2.0/act/Mul	PPQ_Variable_2931	PPQ_Operation_1472	PPQ_Operation_1473	/model.23/one2one_cv2.2/one2one_cv2.2.0/act/Mul_output_0	PPQ_Variable_2932	FLOAT	scalar	0.030872777104377747:0.030872777104377747	PPQ_Variable_2933	INT8	scalar	-119.0:-119.0		1	pass
/model.23/one2one_cv3.0/one2one_cv3.0.0/one2one_cv3.0.0.0/act/Mul_output_0	/model.23/one2one_cv3.0/one2one_cv3.0.0/one2one_cv3.0.0.0/act/Mul	Mul	0	1x64x80x80	FLOAT	/model.23/one2one_cv3.0/one2one_cv3.0.0/one2one_cv3.0.0.0/act/Mul	PPQ_Variable_2157	PPQ_Operation_1214	PPQ_Operation_1215	/model.23/one2one_cv3.0/one2one_cv3.0.0/one2one_cv3.0.0.0/act/Mul_output_0	PPQ_Variable_2158	FLOAT	scalar	0.04468623176217079:0.04468623176217079	PPQ_Variable_2159	INT8	scalar	-122.0:-122.0		1	pass
/model.23/one2one_cv3.1/one2one_cv3.1.0/one2one_cv3.1.0.0/act/Mul_output_0	/model.23/one2one_cv3.1/one2one_cv3.1.0/one2one_cv3.1.0.0/act/Mul	Mul	0	1x128x40x40	FLOAT	/model.23/one2one_cv3.1/one2one_cv3.1.0/one2one_cv3.1.0.0/act/Mul	PPQ_Variable_2553	PPQ_Operation_1346	PPQ_Operation_1347	/model.23/one2one_cv3.1/one2one_cv3.1.0/one2one_cv3.1.0.0/act/Mul_output_0	PPQ_Variable_2554	FLOAT	scalar	0.06380683928728104:0.06380683928728104	PPQ_Variable_2555	INT8	scalar	-124.0:-124.0		1	pass
/model.23/one2one_cv3.2/one2one_cv3.2.0/one2one_cv3.2.0.0/act/Mul_output_0	/model.23/one2one_cv3.2/one2one_cv3.2.0/one2one_cv3.2.0.0/act/Mul	Mul	0	1x256x20x20	FLOAT	/model.23/one2one_cv3.2/one2one_cv3.2.0/one2one_cv3.2.0.0/act/Mul	PPQ_Variable_2937	PPQ_Operation_1474	PPQ_Operation_1475	/model.23/one2one_cv3.2/one2one_cv3.2.0/one2one_cv3.2.0.0/act/Mul_output_0	PPQ_Variable_2938	FLOAT	scalar	0.05467750504612923:0.05467750504612923	PPQ_Variable_2939	INT8	scalar	-123.0:-123.0		1	pass
/model.23/one2one_cv3.0/one2one_cv3.0.0/one2one_cv3.0.0.1/act/Mul_output_0	/model.23/one2one_cv3.0/one2one_cv3.0.0/one2one_cv3.0.0.1/act/Mul	Mul	0	1x80x80x80	FLOAT	/model.23/one2one_cv3.0/one2one_cv3.0.0/one2one_cv3.0.0.1/act/Mul	PPQ_Variable_2220	PPQ_Operation_1235	PPQ_Operation_1236	/model.23/one2one_cv3.0/one2one_cv3.0.0/one2one_cv3.0.0.1/act/Mul_output_0	PPQ_Variable_2221	FLOAT	scalar	0.027573004364967346:0.027573004364967346	PPQ_Variable_2222	INT8	scalar	-118.0:-118.0		1	pass
/model.23/one2one_cv3.1/one2one_cv3.1.0/one2one_cv3.1.0.1/act/Mul_output_0	/model.23/one2one_cv3.1/one2one_cv3.1.0/one2one_cv3.1.0.1/act/Mul	Mul	0	1x80x40x40	FLOAT	/model.23/one2one_cv3.1/one2one_cv3.1.0/one2one_cv3.1.0.1/act/Mul	PPQ_Variable_2616	PPQ_Operation_1367	PPQ_Operation_1368	/model.23/one2one_cv3.1/one2one_cv3.1.0/one2one_cv3.1.0.1/act/Mul_output_0	PPQ_Variable_2617	FLOAT	scalar	0.033334020525217056:0.033334020525217056	PPQ_Variable_2618	INT8	scalar	-120.0:-120.0		1	pass
/model.23/one2one_cv3.2/one2one_cv3.2.0/one2one_cv3.2.0.1/act/Mul_output_0	/model.23/one2one_cv3.2/one2one_cv3.2.0/one2one_cv3.2.0.1/act/Mul	Mul	0	1x80x20x20	FLOAT	/model.23/one2one_cv3.2/one2one_cv3.2.0/one2one_cv3.2.0.1/act/Mul	PPQ_Variable_2979	PPQ_Operation_1488	PPQ_Operation_1489	/model.23/one2one_cv3.2/one2one_cv3.2.0/one2one_cv3.2.0.1/act/Mul_output_0	PPQ_Variable_2980	FLOAT	scalar	0.0520881749689579:0.0520881749689579	PPQ_Variable_2981	INT8	scalar	-123.0:-123.0		1	pass
/model.23/one2one_cv3.0/one2one_cv3.0.1/one2one_cv3.0.1.0/act/Mul_output_0	/model.23/one2one_cv3.0/one2one_cv3.0.1/one2one_cv3.0.1.0/act/Mul	Mul	0	1x80x80x80	FLOAT	/model.23/one2one_cv3.0/one2one_cv3.0.1/one2one_cv3.0.1.0/act/Mul	PPQ_Variable_2286	PPQ_Operation_1257	PPQ_Operation_1258	/model.23/one2one_cv3.0/one2one_cv3.0.1/one2one_cv3.0.1.0/act/Mul_output_0	PPQ_Variable_2287	FLOAT	scalar	0.05431827902793884:0.05431827902793884	PPQ_Variable_2288	INT8	scalar	-123.0:-123.0		1	pass
/model.23/one2one_cv3.1/one2one_cv3.1.1/one2one_cv3.1.1.0/act/Mul_output_0	/model.23/one2one_cv3.1/one2one_cv3.1.1/one2one_cv3.1.1.0/act/Mul	Mul	0	1x80x40x40	FLOAT	/model.23/one2one_cv3.1/one2one_cv3.1.1/one2one_cv3.1.1.0/act/Mul	PPQ_Variable_2673	PPQ_Operation_1386	PPQ_Operation_1387	/model.23/one2one_cv3.1/one2one_cv3.1.1/one2one_cv3.1.1.0/act/Mul_output_0	PPQ_Variable_2674	FLOAT	scalar	0.11331362277269363:0.11331362277269363	PPQ_Variable_2675	INT8	scalar	-125.0:-125.0		1	pass
/model.23/one2one_cv3.2/one2one_cv3.2.1/one2one_cv3.2.1.0/act/Mul_output_0	/model.23/one2one_cv3.2/one2one_cv3.2.1/one2one_cv3.2.1.0/act/Mul	Mul	0	1x80x20x20	FLOAT	/model.23/one2one_cv3.2/one2one_cv3.2.1/one2one_cv3.2.1.0/act/Mul	PPQ_Variable_3009	PPQ_Operation_1498	PPQ_Operation_1499	/model.23/one2one_cv3.2/one2one_cv3.2.1/one2one_cv3.2.1.0/act/Mul_output_0	PPQ_Variable_3010	FLOAT	scalar	0.25907203555107117:0.25907203555107117	PPQ_Variable_3011	INT8	scalar	-127.0:-127.0		1	pass
