pair	left_prediction_sha256	right_prediction_sha256	metric	replicates	seed	point_delta	bootstrap_mean	bootstrap_median	percentile_2_5	percentile_97_5	probability_delta_gt_zero
C4-C3	781f001f125a3913a28de0061663010aa05e03d683fbc92b097f1b65ec569ba0	b5cf3b047f08c526bd3b932e98ab666b3de4472d7e49e558aff28ead85f6fbf2	ap_large	1000	65003	0.001023883629326372	0.0007040642556905808	0.0006973219760684768	-0.006825440461294028	0.007869103433816917	0.579
C5-C4	5bcd4bf24bd387bcf7ed553923f4c285be060bd400387ab83b18e07276d610ca	781f001f125a3913a28de0061663010aa05e03d683fbc92b097f1b65ec569ba0	map50_95	1000	65003	0.0006243130988503598	0.001384017007766905	0.0015439373757474562	-0.0030689875985105376	0.0053379995390331215	0.755
C5-C4	5bcd4bf24bd387bcf7ed553923f4c285be060bd400387ab83b18e07276d610ca	781f001f125a3913a28de0061663010aa05e03d683fbc92b097f1b65ec569ba0	map50	1000	65003	-0.002142641446318594	-0.0013682746907966515	-0.0012476660947742801	-0.007141289720210051	0.003572512244012036	0.306
C5-C4	5bcd4bf24bd387bcf7ed553923f4c285be060bd400387ab83b18e07276d610ca	781f001f125a3913a28de0061663010aa05e03d683fbc92b097f1b65ec569ba0	ap_small	1000	65003	0.0024642292596905035	0.0008088433144725547	0.0012100666967879425	-0.006464041729887874	0.006191265510127663	0.652
C5-C4	5bcd4bf24bd387bcf7ed553923f4c285be060bd400387ab83b18e07276d610ca	781f001f125a3913a28de0061663010aa05e03d683fbc92b097f1b65ec569ba0	ap_medium	1000	65003	0.0048269208783864315	0.002970573211815257	0.0030013336422189396	-0.003879617723793824	0.009971470988729933	0.802
C5-C4	5bcd4bf24bd387bcf7ed553923f4c285be060bd400387ab83b18e07276d610ca	781f001f125a3913a28de0061663010aa05e03d683fbc92b097f1b65ec569ba0	ap_large	1000	65003	-0.00644207276552522	-0.004308770058133305	-0.004128677191291619	-0.013852145313584613	0.004486660842574807	0.181
C6-C5	f64b180a354a854235321ed71f8f1593775f97d2b99b35cda4be35a71e0b5e89	5bcd4bf24bd387bcf7ed553923f4c285be060bd400387ab83b18e07276d610ca	map50_95	1000	65003	0.0018163709050856292	0.0009963848798928401	0.0008509847515582314	-0.002230255339265644	0.005359750489066139	0.682
C6-C5	f64b180a354a854235321ed71f8f1593775f97d2b99b35cda4be35a71e0b5e89	5bcd4bf24bd387bcf7ed553923f4c285be060bd400387ab83b18e07276d610ca	map50	1000	65003	0.002436535703633891	0.0014135967148726839	0.0011774199123081863	-0.0028403491602464943	0.006827216676805203	0.74
C6-C5	f64b180a354a854235321ed71f8f1593775f97d2b99b35cda4be35a71e0b5e89	5bcd4bf24bd387bcf7ed553923f4c285be060bd400387ab83b18e07276d610ca	ap_small	1000	65003	2.2716864075511545e-05	2.7179692894817032e-05	2.7719710653087426e-05	-5.207659359184741e-05	0.00011550834560155876	0.655
C6-C5	f64b180a354a854235321ed71f8f1593775f97d2b99b35cda4be35a71e0b5e89	5bcd4bf24bd387bcf7ed553923f4c285be060bd400387ab83b18e07276d610ca	ap_medium	1000	65003	-5.823436276219951e-05	-0.0006607002400090343	-0.0007136452188259423	-0.005420188576885773	0.004311983708478289	0.353
C6-C5	f64b180a354a854235321ed71f8f1593775f97d2b99b35cda4be35a71e0b5e89	5bcd4bf24bd387bcf7ed553923f4c285be060bd400387ab83b18e07276d610ca	ap_large	1000	65003	0.008551624912546019	0.005555886926449022	0.0050499654298446495	-0.003094811550656912	0.01577561162713976	0.898
C7-C6	999041a97b74c4e16f5b9ce5174832ecceda4f7180de034d0d80817b7057ad7c	f64b180a354a854235321ed71f8f1593775f97d2b99b35cda4be35a71e0b5e89	map50_95	1000	65003	0.009207010498303192	0.008485663783481052	0.008603875420397561	0.004455861346348828	0.01216870191367981	1.0
C7-C6	999041a97b74c4e16f5b9ce5174832ecceda4f7180de034d0d80817b7057ad7c	f64b180a354a854235321ed71f8f1593775f97d2b99b35cda4be35a71e0b5e89	map50	1000	65003	0.009340282738340755	0.008748975874440066	0.008737424894554924	0.003831174282458344	0.013219506393815835	1.0
C7-C6	999041a97b74c4e16f5b9ce5174832ecceda4f7180de034d0d80817b7057ad7c	f64b180a354a854235321ed71f8f1593775f97d2b99b35cda4be35a71e0b5e89	ap_small	1000	65003	0.005847375119860249	0.007632953514992925	0.007814852939118808	-0.002945689364206431	0.01782229419835493	0.914
C7-C6	999041a97b74c4e16f5b9ce5174832ecceda4f7180de034d0d80817b7057ad7c	f64b180a354a854235321ed71f8f1593775f97d2b99b35cda4be35a71e0b5e89	ap_medium	1000	65003	0.005845318914204034	0.006264324788122644	0.0060277640412848554	-0.0018267217128101725	0.01542112853889805	0.938
C7-C6	999041a97b74c4e16f5b9ce5174832ecceda4f7180de034d0d80817b7057ad7c	f64b180a354a854235321ed71f8f1593775f97d2b99b35cda4be35a71e0b5e89	ap_large	1000	65003	0.007141598787931636	0.00611230074236137	0.006046135476757641	-0.0018090197323069352	0.015254387756504806	0.926
