topological_index	node_name	op_type	domain	producer_output_index	output_tensor	shape	dtype	consumer_count	consumer_nodes	architecture_region	residual_concat_attention_membership
44	/model.6/cv1/conv/Conv	Conv	ai.onnx	0	/model.6/cv1/conv/Conv_output_0	1x128x40x40	FLOAT	2	/model.6/cv1/act/Sigmoid;/model.6/cv1/act/Mul	R1	none
45	/model.6/cv1/act/Sigmoid	Sigmoid	ai.onnx	0	/model.6/cv1/act/Sigmoid_output_0	1x128x40x40	FLOAT	1	/model.6/cv1/act/Mul	R1	none
46	/model.6/cv1/act/Mul	Mul	ai.onnx	0	/model.6/cv1/act/Mul_output_0	1x128x40x40	FLOAT	1	/model.6/Split	R1	none
47	Constant_94	Constant	ai.onnx	0	onnx::Split_255	2	INT64	3	/model.6/Split;/model.13/Split;/model.19/Split	non-module-constant-or-helper	none
48	/model.6/Split	Split	ai.onnx	0	/model.6/Split_output_0	1x64x40x40	FLOAT	1	/model.6/Concat	R1	none
48	/model.6/Split	Split	ai.onnx	1	/model.6/Split_output_1	1x64x40x40	FLOAT	3	/model.6/m.0/cv1/conv/Conv;/model.6/m.0/cv2/conv/Conv;/model.6/Concat	R1	none
49	/model.6/m.0/cv1/conv/Conv	Conv	ai.onnx	0	/model.6/m.0/cv1/conv/Conv_output_0	1x32x40x40	FLOAT	2	/model.6/m.0/cv1/act/Sigmoid;/model.6/m.0/cv1/act/Mul	R1	none
50	/model.6/m.0/cv1/act/Sigmoid	Sigmoid	ai.onnx	0	/model.6/m.0/cv1/act/Sigmoid_output_0	1x32x40x40	FLOAT	1	/model.6/m.0/cv1/act/Mul	R1	none
51	/model.6/m.0/cv1/act/Mul	Mul	ai.onnx	0	/model.6/m.0/cv1/act/Mul_output_0	1x32x40x40	FLOAT	2	/model.6/m.0/m/m.0/cv1/conv/Conv;/model.6/m.0/m/m.0/Add	R1	none
52	/model.6/m.0/m/m.0/cv1/conv/Conv	Conv	ai.onnx	0	/model.6/m.0/m/m.0/cv1/conv/Conv_output_0	1x32x40x40	FLOAT	2	/model.6/m.0/m/m.0/cv1/act/Sigmoid;/model.6/m.0/m/m.0/cv1/act/Mul	R1	none
53	/model.6/m.0/m/m.0/cv1/act/Sigmoid	Sigmoid	ai.onnx	0	/model.6/m.0/m/m.0/cv1/act/Sigmoid_output_0	1x32x40x40	FLOAT	1	/model.6/m.0/m/m.0/cv1/act/Mul	R1	none
54	/model.6/m.0/m/m.0/cv1/act/Mul	Mul	ai.onnx	0	/model.6/m.0/m/m.0/cv1/act/Mul_output_0	1x32x40x40	FLOAT	1	/model.6/m.0/m/m.0/cv2/conv/Conv	R1	none
55	/model.6/m.0/m/m.0/cv2/conv/Conv	Conv	ai.onnx	0	/model.6/m.0/m/m.0/cv2/conv/Conv_output_0	1x32x40x40	FLOAT	2	/model.6/m.0/m/m.0/cv2/act/Sigmoid;/model.6/m.0/m/m.0/cv2/act/Mul	R1	none
56	/model.6/m.0/m/m.0/cv2/act/Sigmoid	Sigmoid	ai.onnx	0	/model.6/m.0/m/m.0/cv2/act/Sigmoid_output_0	1x32x40x40	FLOAT	1	/model.6/m.0/m/m.0/cv2/act/Mul	R1	none
57	/model.6/m.0/m/m.0/cv2/act/Mul	Mul	ai.onnx	0	/model.6/m.0/m/m.0/cv2/act/Mul_output_0	1x32x40x40	FLOAT	1	/model.6/m.0/m/m.0/Add	R1	none
58	/model.6/m.0/m/m.0/Add	Add	ai.onnx	0	/model.6/m.0/m/m.0/Add_output_0	1x32x40x40	FLOAT	2	/model.6/m.0/m/m.1/cv1/conv/Conv;/model.6/m.0/m/m.1/Add	R1	residual
59	/model.6/m.0/m/m.1/cv1/conv/Conv	Conv	ai.onnx	0	/model.6/m.0/m/m.1/cv1/conv/Conv_output_0	1x32x40x40	FLOAT	2	/model.6/m.0/m/m.1/cv1/act/Sigmoid;/model.6/m.0/m/m.1/cv1/act/Mul	R1	none
60	/model.6/m.0/m/m.1/cv1/act/Sigmoid	Sigmoid	ai.onnx	0	/model.6/m.0/m/m.1/cv1/act/Sigmoid_output_0	1x32x40x40	FLOAT	1	/model.6/m.0/m/m.1/cv1/act/Mul	R1	none
61	/model.6/m.0/m/m.1/cv1/act/Mul	Mul	ai.onnx	0	/model.6/m.0/m/m.1/cv1/act/Mul_output_0	1x32x40x40	FLOAT	1	/model.6/m.0/m/m.1/cv2/conv/Conv	R1	none
62	/model.6/m.0/m/m.1/cv2/conv/Conv	Conv	ai.onnx	0	/model.6/m.0/m/m.1/cv2/conv/Conv_output_0	1x32x40x40	FLOAT	2	/model.6/m.0/m/m.1/cv2/act/Sigmoid;/model.6/m.0/m/m.1/cv2/act/Mul	R1	none
