scope	frontier	region	role	path	sha256	bytes	nodes	inputs	outputs	initializers	functions	opsets	external_initializers	checker	shape_inference
coarse	C2	R2-later-backbone-model7-model8	fp32-prefix	/data/k1x-stage-runs/BANANA-YOLO26-XSLIM-STAGE65B-R3-HIERARCHICAL-EARLY-SUBGRAPH-CUT-SPLICE-LOCALIZATION-AND-XSLIM-TARGET-POLICY-CHARTER-001/models/coarse/C2/C2.fp32-prefix.onnx	4fe6948411a7c895dbc6709484968f3866fa6eeefd04a61734fd0b8fde271358	3823102	113	1	3	62	0	ai.onnx:18	0	pass	pass
coarse	C2	R2-later-backbone-model7-model8	fp32-suffix	/data/k1x-stage-runs/BANANA-YOLO26-XSLIM-STAGE65B-R3-HIERARCHICAL-EARLY-SUBGRAPH-CUT-SPLICE-LOCALIZATION-AND-XSLIM-TARGET-POLICY-CHARTER-001/models/coarse/C2/C2.fp32-suffix.onnx	e58a74cb31d2cbec61dcb397862abdc18bbce7b2a98c4e8763df321a4e2d4c17	5918474	254	3	6	142	0	ai.onnx:18	0	pass	pass
coarse	C2	R2-later-backbone-model7-model8	b2-prefix	/data/k1x-stage-runs/BANANA-YOLO26-XSLIM-STAGE65B-R3-HIERARCHICAL-EARLY-SUBGRAPH-CUT-SPLICE-LOCALIZATION-AND-XSLIM-TARGET-POLICY-CHARTER-001/models/coarse/C2/C2.b2-prefix.onnx	e811a5ab0509f286ff5556251193feb42c0eebb74b6e9200a4815acccf765831	1052583	368	1	3	584	0	ai.onnx:24	0	pass	pass
coarse	C2	R2-later-backbone-model7-model8	b2-suffix	/data/k1x-stage-runs/BANANA-YOLO26-XSLIM-STAGE65B-R3-HIERARCHICAL-EARLY-SUBGRAPH-CUT-SPLICE-LOCALIZATION-AND-XSLIM-TARGET-POLICY-CHARTER-001/models/coarse/C2/C2.b2-suffix.onnx	49203d89b4097c5d8669296d310ba27605041487c102f450b7b505f66cf9955f	1710906	793	3	6	1265	0	ai.onnx:24	0	pass	pass
coarse	C2	R2-later-backbone-model7-model8	b2-d8-suffix	/data/k1x-stage-runs/BANANA-YOLO26-XSLIM-STAGE65B-R3-HIERARCHICAL-EARLY-SUBGRAPH-CUT-SPLICE-LOCALIZATION-AND-XSLIM-TARGET-POLICY-CHARTER-001/models/coarse/C2/C2.b2-d8-suffix.onnx	386d9683092604ef075fc9e88c43e9dc05c8250c3c197e84283199ac46e3d963	1709109	787	3	6	1241	0	ai.onnx:24	0	pass	pass
coarse	C3	R3-model9-model10-attention-ffn	fp32-prefix	/data/k1x-stage-runs/BANANA-YOLO26-XSLIM-STAGE65B-R3-HIERARCHICAL-EARLY-SUBGRAPH-CUT-SPLICE-LOCALIZATION-AND-XSLIM-TARGET-POLICY-CHARTER-001/models/coarse/C3/C3.fp32-prefix.onnx	db8fca9c66a7d827d36c8e03b08439ae7b2a461f55c16711977d9b9ffaff0dd6	5484113	155	1	3	80	0	ai.onnx:18	0	pass	pass
coarse	C3	R3-model9-model10-attention-ffn	fp32-suffix	/data/k1x-stage-runs/BANANA-YOLO26-XSLIM-STAGE65B-R3-HIERARCHICAL-EARLY-SUBGRAPH-CUT-SPLICE-LOCALIZATION-AND-XSLIM-TARGET-POLICY-CHARTER-001/models/coarse/C3/C3.fp32-suffix.onnx	077b2c6216835dd066d298abc149f891776ce617ebcd8ae93d36c9b3f0717031	4257584	213	3	6	124	0	ai.onnx:18	0	pass	pass
coarse	C3	R3-model9-model10-attention-ffn	b2-prefix	/data/k1x-stage-runs/BANANA-YOLO26-XSLIM-STAGE65B-R3-HIERARCHICAL-EARLY-SUBGRAPH-CUT-SPLICE-LOCALIZATION-AND-XSLIM-TARGET-POLICY-CHARTER-001/models/coarse/C3/C3.b2-prefix.onnx	566abec26cf78cef2c84a7951619579ac4f094b58044a14e30e6b17afdf269e5	1507399	485	1	3	768	0	ai.onnx:24	0	pass	pass
coarse	C3	R3-model9-model10-attention-ffn	b2-suffix	/data/k1x-stage-runs/BANANA-YOLO26-XSLIM-STAGE65B-R3-HIERARCHICAL-EARLY-SUBGRAPH-CUT-SPLICE-LOCALIZATION-AND-XSLIM-TARGET-POLICY-CHARTER-001/models/coarse/C3/C3.b2-suffix.onnx	2d82e6c9981e83e90386e2bd7b7fc8b74e47fb9a1bfa946135fb8c2ef44f1088	1256093	676	3	6	1081	0	ai.onnx:24	0	pass	pass
coarse	C3	R3-model9-model10-attention-ffn	b2-d8-suffix	/data/k1x-stage-runs/BANANA-YOLO26-XSLIM-STAGE65B-R3-HIERARCHICAL-EARLY-SUBGRAPH-CUT-SPLICE-LOCALIZATION-AND-XSLIM-TARGET-POLICY-CHARTER-001/models/coarse/C3/C3.b2-d8-suffix.onnx	3e9beacb92f5cb4d32e6cc79ed0c09c39582bd0763c45f2034e4fb202b87d267	1254296	670	3	6	1057	0	ai.onnx:24	0	pass	pass
coarse	C4	R4-neck-entry-model11-model13	fp32-prefix	/data/k1x-stage-runs/BANANA-YOLO26-XSLIM-STAGE65B-R3-HIERARCHICAL-EARLY-SUBGRAPH-CUT-SPLICE-LOCALIZATION-AND-XSLIM-TARGET-POLICY-CHARTER-001/models/coarse/C4/C4.fp32-prefix.onnx	710c3a0d07d41d6ba51ab115f530cdffd7c1b18ab65a366d0b45f5a6349ecbb2	5970481	190	1	3	98	0	ai.onnx:18	0	pass	pass
coarse	C4	R4-neck-entry-model11-model13	fp32-suffix	/data/k1x-stage-runs/BANANA-YOLO26-XSLIM-STAGE65B-R3-HIERARCHICAL-EARLY-SUBGRAPH-CUT-SPLICE-LOCALIZATION-AND-XSLIM-TARGET-POLICY-CHARTER-001/models/coarse/C4/C4.fp32-suffix.onnx	0d088560920d6e0fb81877d643a3174261460df56ae2dca50c140b42ac4b308b	3771219	178	3	6	106	0	ai.onnx:18	0	pass	pass
coarse	C4	R4-neck-entry-model11-model13	b2-prefix	/data/k1x-stage-runs/BANANA-YOLO26-XSLIM-STAGE65B-R3-HIERARCHICAL-EARLY-SUBGRAPH-CUT-SPLICE-LOCALIZATION-AND-XSLIM-TARGET-POLICY-CHARTER-001/models/coarse/C4/C4.b2-prefix.onnx	7614b317d9d03721b3fe882d7f1e14e8ff293cc234741db122649d48711f37fa	1657556	598	1	3	946	0	ai.onnx:24	0	pass	pass
coarse	C4	R4-neck-entry-model11-model13	b2-suffix	/data/k1x-stage-runs/BANANA-YOLO26-XSLIM-STAGE65B-R3-HIERARCHICAL-EARLY-SUBGRAPH-CUT-SPLICE-LOCALIZATION-AND-XSLIM-TARGET-POLICY-CHARTER-001/models/coarse/C4/C4.b2-suffix.onnx	95180b1941019b598628d3301f46ba319ac2ecc6349af995e12a127df809697b	1105939	563	3	6	903	0	ai.onnx:24	0	pass	pass
coarse	C4	R4-neck-entry-model11-model13	b2-d8-suffix	/data/k1x-stage-runs/BANANA-YOLO26-XSLIM-STAGE65B-R3-HIERARCHICAL-EARLY-SUBGRAPH-CUT-SPLICE-LOCALIZATION-AND-XSLIM-TARGET-POLICY-CHARTER-001/models/coarse/C4/C4.b2-d8-suffix.onnx	8f3676c08f352356c679eead586fb0314a84c529e2981a77d081b6a66baa54b7	1104142	557	3	6	879	0	ai.onnx:24	0	pass	pass
coarse	C5	R5-neck-fusion-model14-model20	fp32-prefix	/data/k1x-stage-runs/BANANA-YOLO26-XSLIM-STAGE65B-R3-HIERARCHICAL-EARLY-SUBGRAPH-CUT-SPLICE-LOCALIZATION-AND-XSLIM-TARGET-POLICY-CHARTER-001/models/coarse/C5/C5.fp32-prefix.onnx	0f35f205a184c50740ff7ebb24959c8b1001853bea716b3354461502d903c446	7242919	264	1	4	138	0	ai.onnx:18	0	pass	pass
coarse	C5	R5-neck-fusion-model14-model20	fp32-suffix	/data/k1x-stage-runs/BANANA-YOLO26-XSLIM-STAGE65B-R3-HIERARCHICAL-EARLY-SUBGRAPH-CUT-SPLICE-LOCALIZATION-AND-XSLIM-TARGET-POLICY-CHARTER-001/models/coarse/C5/C5.fp32-suffix.onnx	67bb75f916d7b6bcdcbbe41b609be8bc61fb853c0fa8c04929d138668a04e86e	2498728	102	4	6	66	0	ai.onnx:18	0	pass	pass
coarse	C5	R5-neck-fusion-model14-model20	b2-prefix	/data/k1x-stage-runs/BANANA-YOLO26-XSLIM-STAGE65B-R3-HIERARCHICAL-EARLY-SUBGRAPH-CUT-SPLICE-LOCALIZATION-AND-XSLIM-TARGET-POLICY-CHARTER-001/models/coarse/C5/C5.b2-prefix.onnx	c5a171b142c3bf2df793290159902c39f6d108e36040cfd2fb51982b771fa7e4	2035828	841	1	4	1329	0	ai.onnx:24	0	pass	pass
coarse	C5	R5-neck-fusion-model14-model20	b2-suffix	/data/k1x-stage-runs/BANANA-YOLO26-XSLIM-STAGE65B-R3-HIERARCHICAL-EARLY-SUBGRAPH-CUT-SPLICE-LOCALIZATION-AND-XSLIM-TARGET-POLICY-CHARTER-001/models/coarse/C5/C5.b2-suffix.onnx	f5de403d5d545a60c6d932c2088a7520032971a1d3ff14fca91a719d6e5ef5d3	727832	320	4	6	520	0	ai.onnx:24	0	pass	pass
coarse	C5	R5-neck-fusion-model14-model20	b2-d8-suffix	/data/k1x-stage-runs/BANANA-YOLO26-XSLIM-STAGE65B-R3-HIERARCHICAL-EARLY-SUBGRAPH-CUT-SPLICE-LOCALIZATION-AND-XSLIM-TARGET-POLICY-CHARTER-001/models/coarse/C5/C5.b2-d8-suffix.onnx	ee905f3ddfbb17bf90c7ed6f9797107237ba5586719844609f5978895b9ed6b5	726035	314	4	6	496	0	ai.onnx:24	0	pass	pass
coarse	C6	R6-pre-head-model21-model22	fp32-prefix	/data/k1x-stage-runs/BANANA-YOLO26-XSLIM-STAGE65B-R3-HIERARCHICAL-EARLY-SUBGRAPH-CUT-SPLICE-LOCALIZATION-AND-XSLIM-TARGET-POLICY-CHARTER-001/models/coarse/C6/C6.fp32-prefix.onnx	9f10bdfce8058962bd27a6fb9d1f9ed5c46247c9c27054b5efd0d86f96542fe8	9100013	304	1	3	156	0	ai.onnx:18	0	pass	pass
coarse	C6	R6-pre-head-model21-model22	fp32-suffix	/data/k1x-stage-runs/BANANA-YOLO26-XSLIM-STAGE65B-R3-HIERARCHICAL-EARLY-SUBGRAPH-CUT-SPLICE-LOCALIZATION-AND-XSLIM-TARGET-POLICY-CHARTER-001/models/coarse/C6/C6.fp32-suffix.onnx	5a3b5e96205ffabf9cd8c330d7d68639d07a87f407838cf573ab0c8208f755eb	641240	60	3	6	48	0	ai.onnx:18	0	pass	pass
coarse	C6	R6-pre-head-model21-model22	b2-prefix	/data/k1x-stage-runs/BANANA-YOLO26-XSLIM-STAGE65B-R3-HIERARCHICAL-EARLY-SUBGRAPH-CUT-SPLICE-LOCALIZATION-AND-XSLIM-TARGET-POLICY-CHARTER-001/models/coarse/C6/C6.b2-prefix.onnx	5fe2eb1dc9ac62d719e2b706f2aae37aa8b7aa0f661a7977ad5898099841ca79	2538476	957	1	3	1513	0	ai.onnx:24	0	pass	pass
coarse	C6	R6-pre-head-model21-model22	b2-suffix	/data/k1x-stage-runs/BANANA-YOLO26-XSLIM-STAGE65B-R3-HIERARCHICAL-EARLY-SUBGRAPH-CUT-SPLICE-LOCALIZATION-AND-XSLIM-TARGET-POLICY-CHARTER-001/models/coarse/C6/C6.b2-suffix.onnx	f2f5288ca2a8ae7ed2719b1e67cbe9e72ccb0fc5c38983a5756438f82244f9f4	225020	204	3	6	336	0	ai.onnx:24	0	pass	pass
coarse	C6	R6-pre-head-model21-model22	b2-d8-suffix	/data/k1x-stage-runs/BANANA-YOLO26-XSLIM-STAGE65B-R3-HIERARCHICAL-EARLY-SUBGRAPH-CUT-SPLICE-LOCALIZATION-AND-XSLIM-TARGET-POLICY-CHARTER-001/models/coarse/C6/C6.b2-d8-suffix.onnx	a575a1d7f01a5f05add1df743243a01de1a66e63a25477e839f43e2598d291b3	223223	198	3	6	312	0	ai.onnx:24	0	pass	pass
coarse	C7	R7-per-scale-head-prefixes	fp32-prefix	/data/k1x-stage-runs/BANANA-YOLO26-XSLIM-STAGE65B-R3-HIERARCHICAL-EARLY-SUBGRAPH-CUT-SPLICE-LOCALIZATION-AND-XSLIM-TARGET-POLICY-CHARTER-001/models/coarse/C7/C7.fp32-prefix.onnx	f03f1ce7a5deb689b74c830079aed713a7d80addd5bb1f083e1d20e2c4b0a814	9659095	358	1	6	192	0	ai.onnx:18	0	pass	pass
coarse	C7	R7-per-scale-head-prefixes	fp32-suffix	/data/k1x-stage-runs/BANANA-YOLO26-XSLIM-STAGE65B-R3-HIERARCHICAL-EARLY-SUBGRAPH-CUT-SPLICE-LOCALIZATION-AND-XSLIM-TARGET-POLICY-CHARTER-001/models/coarse/C7/C7.fp32-suffix.onnx	c68b2b646fc829a11be85f2cd70f948c96f033b49dab9e43b6108440d1df458a	83304	6	6	6	12	0	ai.onnx:18	0	pass	pass
coarse	C7	R7-per-scale-head-prefixes	b2-prefix	/data/k1x-stage-runs/BANANA-YOLO26-XSLIM-STAGE65B-R3-HIERARCHICAL-EARLY-SUBGRAPH-CUT-SPLICE-LOCALIZATION-AND-XSLIM-TARGET-POLICY-CHARTER-001/models/coarse/C7/C7.b2-prefix.onnx	6a8ecc388b9019c79d69c26055ecb3f0f7a1a9335a05ca197f5940ab0b8e11cd	2734244	1137	1	6	1801	0	ai.onnx:24	0	pass	pass
coarse	C7	R7-per-scale-head-prefixes	b2-suffix	/data/k1x-stage-runs/BANANA-YOLO26-XSLIM-STAGE65B-R3-HIERARCHICAL-EARLY-SUBGRAPH-CUT-SPLICE-LOCALIZATION-AND-XSLIM-TARGET-POLICY-CHARTER-001/models/coarse/C7/C7.b2-suffix.onnx	37e1048ffef49f19b11fa8c91df7cd1b33707111601e6c40c6b1fa9362d22310	30398	24	6	6	48	0	ai.onnx:24	0	pass	pass
coarse	C7	R7-per-scale-head-prefixes	b2-d8-suffix	/data/k1x-stage-runs/BANANA-YOLO26-XSLIM-STAGE65B-R3-HIERARCHICAL-EARLY-SUBGRAPH-CUT-SPLICE-LOCALIZATION-AND-XSLIM-TARGET-POLICY-CHARTER-001/models/coarse/C7/C7.b2-d8-suffix.onnx	51577db4b1acaeff8263a488845bc7a621c1bdcafc41120400709f7d5f61a4cd	28601	18	6	6	24	0	ai.onnx:24	0	pass	pass
refined	E0	R0-model0-stem	fp32-prefix	/data/k1x-stage-runs/BANANA-YOLO26-XSLIM-STAGE65B-R3-HIERARCHICAL-EARLY-SUBGRAPH-CUT-SPLICE-LOCALIZATION-AND-XSLIM-TARGET-POLICY-CHARTER-001/models/refined/E0/E0.fp32-prefix.onnx	ce3518f68c222515055d8647d86f382ecbeb4aec668319cd3eb080b7cdb5fbf1	2648	3	1	1	2	0	ai.onnx:18	0	pass	pass
refined	E0	R0-model0-stem	fp32-suffix	/data/k1x-stage-runs/BANANA-YOLO26-XSLIM-STAGE65B-R3-HIERARCHICAL-EARLY-SUBGRAPH-CUT-SPLICE-LOCALIZATION-AND-XSLIM-TARGET-POLICY-CHARTER-001/models/refined/E0/E0.fp32-suffix.onnx	512409df63a76eac43a880132678036222b81dd8f5bcc8418fa3dd6e80f9ade2	9738241	361	1	6	202	0	ai.onnx:18	0	pass	pass
refined	E0	R0-model0-stem	b2-prefix	/data/k1x-stage-runs/BANANA-YOLO26-XSLIM-STAGE65B-R3-HIERARCHICAL-EARLY-SUBGRAPH-CUT-SPLICE-LOCALIZATION-AND-XSLIM-TARGET-POLICY-CHARTER-001/models/refined/E0/E0.b2-prefix.onnx	017cc9f773751fd2e33eb94596bee023daa0368635aef035fab936825e7bc3e1	3398	12	1	1	20	0	ai.onnx:24	0	pass	pass
refined	E0	R0-model0-stem	b2-suffix	/data/k1x-stage-runs/BANANA-YOLO26-XSLIM-STAGE65B-R3-HIERARCHICAL-EARLY-SUBGRAPH-CUT-SPLICE-LOCALIZATION-AND-XSLIM-TARGET-POLICY-CHARTER-001/models/refined/E0/E0.b2-suffix.onnx	2cf4ce90be45db1b85797c1b8b4bdd950b8b44a7556804df55b6a98e6f654be7	2759734	1149	1	6	1829	0	ai.onnx:24	0	pass	pass
refined	E0	R0-model0-stem	b2-d8-suffix	/data/k1x-stage-runs/BANANA-YOLO26-XSLIM-STAGE65B-R3-HIERARCHICAL-EARLY-SUBGRAPH-CUT-SPLICE-LOCALIZATION-AND-XSLIM-TARGET-POLICY-CHARTER-001/models/refined/E0/E0.b2-d8-suffix.onnx	55eab9bfcc4da971da6a55d36737b1179d421f27a4e8a911de8549d926542a4f	2757937	1143	1	6	1805	0	ai.onnx:24	0	pass	pass
refined	E1	R0-model1-downsample	fp32-prefix	/data/k1x-stage-runs/BANANA-YOLO26-XSLIM-STAGE65B-R3-HIERARCHICAL-EARLY-SUBGRAPH-CUT-SPLICE-LOCALIZATION-AND-XSLIM-TARGET-POLICY-CHARTER-001/models/refined/E1/E1.fp32-prefix.onnx	296f8ac117f9874485c8da3e862f894bd65a5ee9a69f6d9e116a9c12a4d85245	21872	6	1	1	4	0	ai.onnx:18	0	pass	pass
refined	E1	R0-model1-downsample	fp32-suffix	/data/k1x-stage-runs/BANANA-YOLO26-XSLIM-STAGE65B-R3-HIERARCHICAL-EARLY-SUBGRAPH-CUT-SPLICE-LOCALIZATION-AND-XSLIM-TARGET-POLICY-CHARTER-001/models/refined/E1/E1.fp32-suffix.onnx	7829602bbaeccebd85668bd9f0cdde98b0a89b53b3caf77b501d40f40770219b	9719018	358	1	6	200	0	ai.onnx:18	0	pass	pass
refined	E1	R0-model1-downsample	b2-prefix	/data/k1x-stage-runs/BANANA-YOLO26-XSLIM-STAGE65B-R3-HIERARCHICAL-EARLY-SUBGRAPH-CUT-SPLICE-LOCALIZATION-AND-XSLIM-TARGET-POLICY-CHARTER-001/models/refined/E1/E1.b2-prefix.onnx	06231bb1cd49d6905648d7a273d2ffd4975b2077027b1d648c317984cd0c0214	10485	22	1	1	36	0	ai.onnx:24	0	pass	pass
refined	E1	R0-model1-downsample	b2-suffix	/data/k1x-stage-runs/BANANA-YOLO26-XSLIM-STAGE65B-R3-HIERARCHICAL-EARLY-SUBGRAPH-CUT-SPLICE-LOCALIZATION-AND-XSLIM-TARGET-POLICY-CHARTER-001/models/refined/E1/E1.b2-suffix.onnx	bfc5a38cec1aaf830b9a267f6daabbdbb6b947c98a459ec922f141c55aa109e4	2752647	1139	1	6	1813	0	ai.onnx:24	0	pass	pass
refined	E1	R0-model1-downsample	b2-d8-suffix	/data/k1x-stage-runs/BANANA-YOLO26-XSLIM-STAGE65B-R3-HIERARCHICAL-EARLY-SUBGRAPH-CUT-SPLICE-LOCALIZATION-AND-XSLIM-TARGET-POLICY-CHARTER-001/models/refined/E1/E1.b2-d8-suffix.onnx	333a7760eabd53613978122fbad23ea83814dd07a513a7575163c690bb33e2f1	2750850	1133	1	6	1789	0	ai.onnx:24	0	pass	pass
refined	E2	R0-model2-entry	fp32-prefix	/data/k1x-stage-runs/BANANA-YOLO26-XSLIM-STAGE65B-R3-HIERARCHICAL-EARLY-SUBGRAPH-CUT-SPLICE-LOCALIZATION-AND-XSLIM-TARGET-POLICY-CHARTER-001/models/refined/E2/E2.fp32-prefix.onnx	6bc965b7ea2eb20bfa2dd18b02929511cae6f73ddeeef8401721bb96cdc6d539	26825	9	1	1	6	0	ai.onnx:18	0	pass	pass
refined	E2	R0-model2-entry	fp32-suffix	/data/k1x-stage-runs/BANANA-YOLO26-XSLIM-STAGE65B-R3-HIERARCHICAL-EARLY-SUBGRAPH-CUT-SPLICE-LOCALIZATION-AND-XSLIM-TARGET-POLICY-CHARTER-001/models/refined/E2/E2.fp32-suffix.onnx	6a265c668d37d673b889582528168b7776bb8cbc6c6599737a03a4426272515d	9714077	355	1	6	198	0	ai.onnx:18	0	pass	pass
refined	E2	R0-model2-entry	b2-prefix	/data/k1x-stage-runs/BANANA-YOLO26-XSLIM-STAGE65B-R3-HIERARCHICAL-EARLY-SUBGRAPH-CUT-SPLICE-LOCALIZATION-AND-XSLIM-TARGET-POLICY-CHARTER-001/models/refined/E2/E2.b2-prefix.onnx	b697e2192e56c315f5759520a2244617bdb07c641a63b62ba370f60f8c561d7b	14057	32	1	1	52	0	ai.onnx:24	0	pass	pass
refined	E2	R0-model2-entry	b2-suffix	/data/k1x-stage-runs/BANANA-YOLO26-XSLIM-STAGE65B-R3-HIERARCHICAL-EARLY-SUBGRAPH-CUT-SPLICE-LOCALIZATION-AND-XSLIM-TARGET-POLICY-CHARTER-001/models/refined/E2/E2.b2-suffix.onnx	451bba6006769f31392238dc727fce922b21ade68e39976636c8e0cb2283e94f	2749087	1129	1	6	1797	0	ai.onnx:24	0	pass	pass
refined	E2	R0-model2-entry	b2-d8-suffix	/data/k1x-stage-runs/BANANA-YOLO26-XSLIM-STAGE65B-R3-HIERARCHICAL-EARLY-SUBGRAPH-CUT-SPLICE-LOCALIZATION-AND-XSLIM-TARGET-POLICY-CHARTER-001/models/refined/E2/E2.b2-d8-suffix.onnx	523107135fc0334f167944adfad07740ab3454c31a2823ea4825a639fd21a962	2747290	1123	1	6	1773	0	ai.onnx:24	0	pass	pass
refined	L1	R7-six-head-first-prefix-blocks	fp32-prefix	/data/k1x-stage-runs/BANANA-YOLO26-XSLIM-STAGE65B-R3-HIERARCHICAL-EARLY-SUBGRAPH-CUT-SPLICE-LOCALIZATION-AND-XSLIM-TARGET-POLICY-CHARTER-001/models/refined/L1/L1.fp32-prefix.onnx	c8023f843c45704887ddce662fa39482ca92629d95b01e7a0858d7bfb52df677	9383855	322	1	6	168	0	ai.onnx:18	0	pass	pass
refined	L1	R7-six-head-first-prefix-blocks	fp32-suffix	/data/k1x-stage-runs/BANANA-YOLO26-XSLIM-STAGE65B-R3-HIERARCHICAL-EARLY-SUBGRAPH-CUT-SPLICE-LOCALIZATION-AND-XSLIM-TARGET-POLICY-CHARTER-001/models/refined/L1/L1.fp32-suffix.onnx	af928bfd6e18f820c1878a44734a2b7def85a4b326d16e6c06fa6be930638151	358550	42	6	6	36	0	ai.onnx:18	0	pass	pass
refined	L1	R7-six-head-first-prefix-blocks	b2-prefix	/data/k1x-stage-runs/BANANA-YOLO26-XSLIM-STAGE65B-R3-HIERARCHICAL-EARLY-SUBGRAPH-CUT-SPLICE-LOCALIZATION-AND-XSLIM-TARGET-POLICY-CHARTER-001/models/refined/L1/L1.b2-prefix.onnx	bbe31933d0a507c418f7081a8e385f15ce0ddcbb3c596a8a5ff9650c323cf25a	2628632	1017	1	6	1609	0	ai.onnx:24	0	pass	pass
